Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	0.24736	-5.548	-0.29401	-12.371	94.698	-9999	0	-9999	-9999	-9999	2.4994
1901	1	2	0.073958	-9.824	-1.335	-17.302	100	-9999	0.62347	-9999	-9999	-9999	2.504
1901	1	3	0.13228	-2.708	-1.568	-5.176	93.811	-9999	0.1807	-9999	-9999	-9999	3.3543
1901	1	4	0.086054	-1.715	-0.060004	-2.841	96.493	-9999	0.48963	-9999	-9999	-9999	3.0593
1901	1	5	0.11223	-1.449	0.097009	-1.95	98.853	-9999	0.36649	-9999	-9999	-9999	1.3923
1901	1	6	0.14489	-1.41	0.053003	-2.523	98.183	-9999	0.48794	-9999	-9999	-9999	1.6111
1901	1	7	0.20658	-2.79	-1.49	-4.608	92.541	-9999	0.15464	-9999	-9999	-9999	2.0527
1901	1	8	0.223	-5.908	-4.546	-7.35	94.992	-9999	0	-9999	-9999	-9999	1.2051
1901	1	9	0.28728	-8.652	-5.81	-9.349	100	-9999	0.076037	-9999	-9999	-9999	2.5863
1901	1	10	0.20511	-7.201	-4.823	-8.295	99.519	-9999	0.074619	-9999	-9999	-9999	2.1006
1901	1	11	0.3367	-10.036	-6.514	-11.884	99.539	-9999	0	-9999	-9999	-9999	3.8057
1901	1	12	0.33852	-12.646	-5.854	-14.566	100	-9999	0.12278	-9999	-9999	-9999	2.8387
1901	1	13	0.18662	-7.846	-3.886	-10.252	100	-9999	0.27069	-9999	-9999	-9999	3.181
1901	1	14	0.23622	-5.929	-3.301	-6.548	85.823	-9999	2.0959	-9999	-9999	-9999	3.5983
1901	1	15	0.10619	-3.58	0.605	-6.045	94.892	-9999	8.2991	-9999	-9999	-9999	4.2741
1901	1	16	0.081562	-3.719	0.27099	-5.333	100	-9999	8.8949	-9999	-9999	-9999	4.2661
1901	1	17	0.43589	-3.801	-1.434	-4.564	98.227	-9999	0	-9999	-9999	-9999	1.9559
1901	1	18	0.35001	-3.698	-1.031	-4.571	100	-9999	4.9182	-9999	-9999	-9999	3.5438
1901	1	19	0.71928	-1.243	1.448	-3.253	91.99	-9999	5.0544	-9999	-9999	-9999	4.5245
1901	1	20	0.84819	-3.491	-0.07099	-8.283	84.028	-9999	0	-9999	-9999	-9999	3.3594
1901	1	21	0.38508	-7.845	1.836	-12.643	100	-9999	0.20205	-9999	-9999	-9999	3.5278
1901	1	22	0.96163	-2.314	2.238	-5.12	90.12	-9999	0.21765	-9999	-9999	-9999	3.78
1901	1	23	1.0661	-9.779	-2.753	-16.951	100	-9999	0	-9999	-9999	-9999	1.8728
1901	1	24	0.14645	-8.646	1.502	-21.658	100	-9999	5.4628	-9999	-9999	-9999	3.2815
1901	1	25	0.30793	-2.352	-0.895	-4.515	97.006	-9999	0.55118	-9999	-9999	-9999	1.2913
1901	1	26	0.25497	-3.26	-1.008	-5.06	99.439	-9999	0.90318	-9999	-9999	-9999	2.9162
1901	1	27	0.62597	-5.462	-1.259	-9.709	100	-9999	0.49799	-9999	-9999	-9999	2.3886
1901	1	28	0.45956	-9.106	-3.663	-10.92	100	-9999	0.84888	-9999	-9999	-9999	2.1934
1901	1	29	0.3075	-4.167	1.597	-6.799	100	-9999	4.7312	-9999	-9999	-9999	3.2471
1901	1	30	0.10152	-1.233	0.531	-1.69	98.485	-9999	7.9461	-9999	-9999	-9999	5.0883
1901	1	31	0.46734	-1.463	1.022	-2.867	96.775	-9999	0.38825	-9999	-9999	-9999	3.1509
1901	2	1	0.6607	-10.21	-6.053	-13.069	97.579	-9999	0.69477	-9999	-9999	-9999	3.9668
1901	2	2	1.2394	-14.008	-6.952	-20.548	100	-9999	0.73398	-9999	-9999	-9999	2.1685
1901	2	3	0.284	-10.325	-7.87	-11.435	100	-9999	1.735	-9999	-9999	-9999	3.092
1901	2	4	0.18127	-10.801	-8.185	-11.409	100	-9999	5.177	-9999	-9999	-9999	2.8813
1901	2	5	0.76974	-13.685	-6.26	-20.655	100	-9999	1.0101	-9999	-9999	-9999	1.8073
1901	2	6	0.79047	-12.474	-9.415	-16.175	96.066	-9999	0.92608	-9999	-9999	-9999	3.0015
