year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1996	1	1	0.139	-9.4	-7.9	-11.4	99.6	-9999	0.3	-9999	-9999	-9999	-9999
1996	1	2	0.154	-9.1	-8.7	-9.4	100.1	-9999	0.5	-9999	-9999	-9999	-9999
1996	1	3	0.151	-9	-7.8	-9.8	99.8	-9999	2.4	-9999	-9999	-9999	-9999
1996	1	4	0.201	-10.2	-6.1	-12.5	99.1	-9999	5.6	-9999	-9999	-9999	-9999
1996	1	5	0.186	-12.2	-9.3	-15.4	98	-9999	0.9	-9999	-9999	-9999	-9999
1996	1	6	0.264	-15	-12.3	-16.6	100.4	-9999	0.3	-9999	-9999	-9999	-9999
1996	1	7	0.297	-12.9	-11.1	-15.3	96.6	-9999	1.9	-9999	-9999	-9999	-9999
1996	1	8	0.392	-15.3	-10.6	-17.2	98.3	-9999	0.4	-9999	-9999	-9999	-9999
1996	1	9	0.298	-12.6	-9.6	-15.2	97	-9999	1.6	-9999	-9999	-9999	-9999
1996	1	10	0.241	-9.2	-7.4	-11.4	97.4	-9999	3.3	-9999	-9999	-9999	-9999
1996	1	11	0.196	-7.8	-3.5	-11.9	97.8	-9999	4.8	-9999	-9999	-9999	-9999
1996	1	12	0.133	-4.6	1.2	-6.7	100	-9999	0.9	-9999	-9999	-9999	-9999
1996	1	13	0.108	0.7	1.5	-1	99.1	-9999	5.4	-9999	-9999	-9999	-9999
1996	1	14	0.124	-0.7	0.5	-1.3	99.8	-9999	3.4	-9999	-9999	-9999	-9999
1996	1	15	0.464	0.3	1.2	-0.7	96.8	-9999	1.2	-9999	-9999	-9999	-9999
1996	1	16	0.692	-1.9	2	-5.1	93	-9999	2.1	-9999	-9999	-9999	-9999
1996	1	17	0.506	-4.1	-1.5	-6.6	95.7	-9999	0.8	-9999	-9999	-9999	-9999
1996	1	18	0.272	0.1	2.2	-3.8	97.1	-9999	5.7	-9999	-9999	-9999	-9999
1996	1	19	0.681	-2	2.3	-5.9	93.1	-9999	0.1	-9999	-9999	-9999	-9999
1996	1	20	0.326	-0.2	4.3	-5	97.9	-9999	1.3	-9999	-9999	-9999	-9999
1996	1	21	0.112	-0.3	2	-2.1	98.4	-9999	0.4	-9999	-9999	-9999	-9999
1996	1	22	0.043	-0.1	1.3	-1.1	99.4	-9999	2.1	-9999	-9999	-9999	-9999
1996	1	23	0.283	-0.2	1.3	-1.3	98.3	-9999	4.7	-9999	-9999	-9999	-9999
1996	1	24	0.558	-5.9	4.2	-12.8	95	-9999	2.6	-9999	-9999	-9999	-9999
1996	1	25	0.918	-10.2	-1.3	-13.6	97.5	-9999	0.6	-9999	-9999	-9999	-9999
1996	1	26	0.701	-4.1	-2.3	-7.5	92.6	-9999	0.8	-9999	-9999	-9999	-9999
1996	1	27	0.737	-3.1	0.7	-7.3	94.8	-9999	1.6	-9999	-9999	-9999	-9999
1996	1	28	0.57	-3.2	3.3	-5.7	96.3	-9999	4.1	-9999	-9999	-9999	-9999
1996	1	29	0.526	1.3	3.2	-0.6	90.3	-9999	1.1	-9999	-9999	-9999	-9999
1996	1	30	1.47	-3.3	2.2	-6.8	89.9	-9999	0.1	-9999	-9999	-9999	-9999
1996	1	31	0.218	-0.8	3.8	-6.9	98	-9999	1.6	-9999	-9999	-9999	-9999
1996	2	1	0.155	0.5	2.1	-0.8	97.9	-9999	3.9	-9999	-9999	-9999	-9999
1996	2	2	0.694	0.9	2.8	-1.1	93	-9999	10.1	-9999	-9999	-9999	-9999
1996	2	3	0.744	-4.1	2.4	-8.4	93.7	-9999	6.5	-9999	-9999	-9999	-9999
1996	2	4	1.167	-9.4	-5.1	-12	98.1	-9999	2	-9999	-9999	-9999	-9999
1996	2	5	1.125	-8.9	-5.3	-12.5	100.2	-9999	3.9	-9999	-9999	-9999	-9999
1996	2	6	1.028	-11.6	-9.9	-12.5	99.8	-9999	6.5	-9999	-9999	-9999	-9999
1996	2	7	1.312	-10.4	-8.6	-12.1	98.2	-9999	1.4	-9999	-9999	-9999	-9999
1996	2	8	1.199	-10.2	-8.5	-11	100.2	-9999	0	-9999	-9999	-9999	-9999
1996	2	9	1.375	-10.6	-7.7	-13.4	96.9	-9999	3.2	-9999	-9999	-9999	-9999
1996	2	10	2.029	-15.8	-8.5	-20.4	93.7	-9999	1.8	-9999	-9999	-9999	-9999
1996	2	11	2.674	-17.9	-15.1	-19.4	102	-9999	0	-9999	-9999	-9999	-9999
1996	2	12	2.352	-12.1	-3	-20.3	99.4	-9999	2.9	-9999	-9999	-9999	-9999
1996	2	13	1.927	-9	-6.6	-10.2	96.9	-9999	2.5	-9999	-9999	-9999	-9999
1996	2	14	1.947	-9.2	-7.4	-10.5	93.3	-9999	2.8	-9999	-9999	-9999	-9999
1996	2	15	1.701	-10.2	-7.9	-11.4	98.5	-9999	5.5	-9999	-9999	-9999	-9999
1996	2	16	1.752	-10.2	-7.7	-12.3	98	-9999	1.8	-9999	-9999	-9999	-9999
1996	2	17	2.107	-11.4	-9.1	-13	99.2	-9999	3.5	-9999	-9999	-9999	-9999
1996	2	18	2.523	-13	-8.7	-15.9	101.3	-9999	1.6	-9999	-9999	-9999	-9999
1996	2	19	3.04	-10.9	-1	-18.4	99.1	-9999	2.7	-9999	-9999	-9999	-9999
1996	2	20	2.019	-4.3	0.1	-8	95.1	-9999	4.5	-9999	-9999	-9999	-9999
1996	2	21	2.352	-5	1	-10.2	96.4	-9999	4.1	-9999	-9999	-9999	-9999
1996	2	22	2.633	-8.4	-6.9	-9.2	97.3	-9999	1.4	-9999	-9999	-9999	-9999
1996	2	23	2.959	-8.2	-5.4	-10.3	97.7	-9999	0	-9999	-9999	-9999	-9999
1996	2	24	3.393	-9.4	-4.8	-13.9	96.8	-9999	0	-9999	-9999	-9999	-9999
1996	2	25	4.877	-8.7	-3	-13.3	94.7	-9999	0	-9999	-9999	-9999	-9999
1996	2	26	5.13	-10.4	-4.7	-14.2	94.9	-9999	0	-9999	-9999	-9999	-9999
1996	2	27	5.516	-11.1	-5.4	-14.3	92.2	-9999	0	-9999	-9999	-9999	-9999
1996	2	28	4.996	-4.7	2.8	-13.3	93	-9999	0	-9999	-9999	-9999	-9999
1996	2	29	1.859	-0.9	2	-2.9	97.9	-9999	1.7	-9999	-9999	-9999	-9999
1996	3	1	2.047	0.2	1.7	-1.7	98.7	-9999	2.1	-9999	-9999	-9999	-9999
1996	3	2	3.249	-1.4	0.6	-3.6	98.4	-9999	0	-9999	-9999	-9999	-9999
1996	3	3	3.979	-2.1	-0.1	-3	97.5	-9999	0	-9999	-9999	-9999	-9999
1996	3	4	4.063	-2.9	-0.8	-5	97.5	-9999	3.2	-9999	-9999	-9999	-9999
1996	3	5	4.93	-4.8	-1.6	-6	97.7	-9999	0	-9999	-9999	-9999	-9999
1996	3	6	7.247	-2.4	3.3	-6.2	87.8	-9999	0	-9999	-9999	-9999	-9999
1996	3	7	3.977	-0.6	3.4	-5.7	98.1	-9999	2.2	-9999	-9999	-9999	-9999
1996	3	8	3.737	1.2	4.1	-1.1	97.1	-9999	3.2	-9999	-9999	-9999	-9999
1996	3	9	3.672	1.3	3.5	0.3	98	-9999	0	-9999	-9999	-9999	-9999
1996	3	10	3.322	-0.1	2.4	-1.6	97.3	-9999	6.8	-9999	-9999	-9999	-9999
1996	3	11	5.803	-0.3	3	-4.2	94.6	-9999	6.8	-9999	-9999	-9999	-9999
1996	3	12	6.931	-4.2	-1.2	-7.2	96.5	-9999	0	-9999	-9999	-9999	-9999
1996	3	13	7.087	-5.8	-1.1	-8.3	97.3	-9999	0	-9999	-9999	-9999	-9999
1996	3	14	5.883	-0.2	3.5	-5.6	93.5	-9999	0	-9999	-9999	-9999	-9999
1996	3	15	4.007	-0.5	1.1	-2.1	95.5	-9999	5.6	-9999	-9999	-9999	-9999
1996	3	16	5.364	-3.3	2.4	-7.8	94.6	-9999	4.5	-9999	-9999	-9999	-9999
1996	3	17	7.371	-10.1	-1.7	-16.4	98.3	-9999	3.4	-9999	-9999	-9999	-9999
