Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1997	1	1	0.11548	0.90145	2.1535	-1.6603	94.992	-9999	4.4556	-9999	-9999	-9999	3.7977
1997	1	2	0.17148	0.29214	4.5096	-3.651	93.133	-9999	5.8509	-9999	-9999	-9999	4.0198
1997	1	3	0.19282	-4.6117	6.0909	-9.3369	78.768	-9999	1.7976	-9999	-9999	-9999	5.463
1997	1	4	0.46307	-9.4668	-4.3367	-11.683	94.762	-9999	0	-9999	-9999	-9999	1.0678
1997	1	5	0.3204	-6.3815	-0.078925	-12.202	97.225	-9999	0	-9999	-9999	-9999	0.41548
1997	1	6	0.22708	-3.4486	6.2678	-12.038	96.838	-9999	4.0022	-9999	-9999	-9999	2.9104
1997	1	7	0.47522	0.22604	3.1842	-0.99332	92.95	-9999	2.6895	-9999	-9999	-9999	2.8469
1997	1	8	0.095571	2.6768	3.8813	0.11395	95.043	-9999	4.0059	-9999	-9999	-9999	3.716
1997	1	9	0.23659	2.07	5.3394	0.89382	98.332	-9999	10.16	-9999	-9999	-9999	1.7682
1997	1	10	0.23353	-0.21195	4.4328	-3.3027	84.55	-9999	4.6549	-9999	-9999	-9999	5.1516
1997	1	11	0.43693	-7.6843	0.25106	-12.656	87.893	-9999	0	-9999	-9999	-9999	2.5543
1997	1	12	0.46104	-11.043	-7.0052	-13.947	95.952	-9999	0	-9999	-9999	-9999	1.0081
1997	1	13	0.27668	-8.4694	-5.4079	-11.86	95.868	-9999	1.9124	-9999	-9999	-9999	0.26658
1997	1	14	0.66493	-11.212	6.3403	-17.174	98.797	-9999	2.2829	-9999	-9999	-9999	1.0369
1997	1	15	0.53901	-2.6799	0.95574	-5.1403	97.585	-9999	0	-9999	-9999	-9999	2.3158
1997	1	16	0.35118	-3.5078	-1.5622	-5.3167	96.828	-9999	1.5899	-9999	-9999	-9999	1.9119
1997	1	17	0.22936	-2.3511	-0.71653	-4.1798	97.433	-9999	6.2691	-9999	-9999	-9999	2.0986
1997	1	18	0.54447	-11.092	0.74581	-17.907	96.392	-9999	0	-9999	-9999	-9999	2.5507
1997	1	19	0.83045	-15.893	-8.7416	-20.163	98.457	-9999	0	-9999	-9999	-9999	0.58599
1997	1	20	0.85083	-16.448	-8.4376	-22.029	97.583	-9999	0	-9999	-9999	-9999	1.3015
1997	1	21	0.94713	-19.454	-14.071	-22.624	95.358	-9999	0	-9999	-9999	-9999	1.0898
1997	1	22	0.64689	-17.439	-12.217	-22.503	96.535	-9999	0	-9999	-9999	-9999	0.80785
1997	1	23	0.43404	-15.219	-7.7905	-22.646	97.122	-9999	2.8744	-9999	-9999	-9999	3.4889
1997	1	24	0.39695	-10.023	-4.0116	-11.662	97.805	-9999	2.5208	-9999	-9999	-9999	1.9308
1997	1	25	0.14776	-1.1126	3.3964	-6.893	93.942	-9999	3.0008	-9999	-9999	-9999	3.2868
1997	1	26	0.78736	-3.9991	2.3653	-11.101	83.487	-9999	0	-9999	-9999	-9999	3.9041
1997	1	27	1.1788	-9.6571	-4.7008	-12.755	89.83	-9999	0	-9999	-9999	-9999	2.2381
1997	1	28	1.0056	-8.658	3.4404	-14.813	92.215	-9999	0	-9999	-9999	-9999	2.0512
1997	1	29	0.29213	1.1709	2.7481	-1.2602	95.942	-9999	4.8879	-9999	-9999	-9999	3.5683
1997	1	30	0.82995	0.11068	2.3665	-1.9948	95.82	-9999	2.5513	-9999	-9999	-9999	2.9067
1997	1	31	1.3678	-0.95154	1.9798	-2.7324	95.698	-9999	0	-9999	-9999	-9999	2.2644
1997	2	1	0.33915	-0.41294	0.6722	-1.1852	88.882	-9999	4.8989	-9999	-9999	-9999	4.5334
1997	2	2	0.85564	-0.31937	0.81783	-1.5727	96.875	-9999	1.4548	-9999	-9999	-9999	1.4615
1997	2	3	1.1065	-2.8344	-0.41462	-5.3	96.278	-9999	0	-9999	-9999	-9999	1.8564
1997	2	4	1.3251	-7.0563	-4.2349	-9.7416	96.307	-9999	0	-9999	-9999	-9999	2.5673
1997	2	5	1.9999	-10.678	-7.5904	-13.022	99.478	-9999	0	-9999	-9999	-9999	1.1104
1997	2	6	1.9523	-10.743	-5.3713	-13.163	98.885	-9999	0	-9999	-9999	-9999	1.9336
1997	2	7	1.7423	-11.033	-8.2912	-13.568	96.687	-9999	0	-9999	-9999	-9999	2.9366
1997	2	8	1.6922	-9.0405	-6.3796	-10.591	94.808	-9999	0	-9999	-9999	-9999	3.2948
1997	2	9	2.7553	-12.387	-8.5143	-15.727	98.607	-9999	0	-9999	-9999	-9999	1.8297
1997	2	10	2.9728	-14.9	-9.7714	-16.992	99.855	-9999	0	-9999	-9999	-9999	1.6425
1997	2	11	2.2159	-15.843	-11.506	-17.93	98.962	-9999	0	-9999	-9999	-9999	0.96594
1997	2	12	2.2919	-13.853	-8.1602	-18.121	101.79	-9999	0	-9999	-9999	-9999	1.0492
1997	2	13	0.83167	-4.7669	4.068	-12.496	99.188	-9999	6.8513	-9999	-9999	-9999	2.5282
