year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1996	1	1	0.228	0.3	4.8	-2.5	97.9	-9999	0	-9999	-9999	-9999	-9999
1996	1	2	0.218	-3.8	-1.1	-4.9	98.1	-9999	0	-9999	-9999	-9999	-9999
1996	1	3	0.192	-1.1	2.2	-4.3	99.5	-9999	3	-9999	-9999	-9999	-9999
1996	1	4	0.029	2.4	3.9	0.6	98.6	-9999	6.6	-9999	-9999	-9999	-9999
1996	1	5	0.21	1.5	5.3	-0.8	94.3	-9999	4.7	-9999	-9999	-9999	-9999
1996	1	6	0.041	2.1	3.7	0.5	98.2	-9999	14.1	-9999	-9999	-9999	-9999
1996	1	7	0.161	-1.4	2.4	-2.2	96.6	-9999	0	-9999	-9999	-9999	-9999
1996	1	8	0.173	-1.6	0.5	-3.6	95.1	-9999	0	-9999	-9999	-9999	-9999
1996	1	9	0.19	-3.9	-3.1	-4.2	96.5	-9999	0	-9999	-9999	-9999	-9999
1996	1	10	0.119	-2.9	-1.7	-3.9	97.7	-9999	0	-9999	-9999	-9999	-9999
1996	1	11	0.156	-2	-0.9	-3.1	98.3	-9999	0	-9999	-9999	-9999	-9999
1996	1	12	0.203	-1.8	-0.1	-2.5	97.9	-9999	3.6	-9999	-9999	-9999	-9999
1996	1	13	0.178	-0.8	-0.1	-1.8	98.2	-9999	2.1	-9999	-9999	-9999	-9999
1996	1	14	0.212	-1.8	-0.5	-2.7	97.4	-9999	7.2	-9999	-9999	-9999	-9999
1996	1	15	0.324	-4.3	0.9	-7.2	96.4	-9999	0	-9999	-9999	-9999	-9999
1996	1	16	0.19	-3.3	1	-7.2	96.7	-9999	2.3	-9999	-9999	-9999	-9999
1996	1	17	0.263	-1.6	0.3	-2.8	97.2	-9999	3.8	-9999	-9999	-9999	-9999
1996	1	18	0.211	-0.9	0.5	-1.5	98.5	-9999	5.3	-9999	-9999	-9999	-9999
1996	1	19	0.203	-0.1	0.3	-0.4	98	-9999	0	-9999	-9999	-9999	-9999
1996	1	20	0.158	-1.2	0.7	-3.4	97.3	-9999	2.4	-9999	-9999	-9999	-9999
1996	1	21	0.207	-2.6	-1	-3.9	98.2	-9999	5.5	-9999	-9999	-9999	-9999
1996	1	22	0.304	-5.8	-0.6	-9	95.4	-9999	2.3	-9999	-9999	-9999	-9999
1996	1	23	0.882	-9	-5.3	-11.6	93.1	-9999	0	-9999	-9999	-9999	-9999
1996	1	24	0.612	-5.2	-2.4	-8.7	92.7	-9999	0	-9999	-9999	-9999	-9999
1996	1	25	0.487	-3.7	-1.7	-7.3	97.5	-9999	4.8	-9999	-9999	-9999	-9999
1996	1	26	0.552	-3.7	-1.7	-5.1	97.1	-9999	8.5	-9999	-9999	-9999	-9999
1996	1	27	1.019	-3.6	-1	-5.9	95.1	-9999	2.2	-9999	-9999	-9999	-9999
1996	1	28	0.879	-7.8	-3.3	-11.1	95.4	-9999	0	-9999	-9999	-9999	-9999
