year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	2.154	-3.8	-2.4	-4.6	83.4	-9999	0.7	-9999	-9999	-9999	-9999
1901	1	2	2.331	-5.1	-3.7	-5.7	78.3	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	3	1.922	-4.6	-2.8	-5.4	79.5	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	4	2.097	-3.9	-0.7	-6.4	83.6	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	5	2.201	-1.8	1.4	-3.4	86.6	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	6	2.352	-1.6	-0.1	-3.0	72.6	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	7	2.170	-1.6	-0.1	-3.1	71.5	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	8	1.429	-2.3	-1.2	-3.1	79.6	-9999	0.2	-9999	-9999	-9999	-9999
1901	1	9	1.578	-2.1	0.0	-4.4	85.8	-9999	0.5	-9999	-9999	-9999	-9999
1901	1	10	0.951	-0.1	1.0	-1.1	89.8	-9999	0.2	-9999	-9999	-9999	-9999
1901	1	11	1.749	0.5	3.5	-0.9	89.0	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	12	1.893	0.1	2.8	-0.8	90.1	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	13	2.623	-1.5	0.9	-3.2	84.4	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	14	2.330	-2.5	0.3	-4.6	83.1	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	15	2.434	-2.2	0.6	-4.8	77.7	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	16	1.821	-1.2	1.0	-3.0	66.0	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	17	1.973	-0.8	1.1	-2.7	72.3	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	18	1.988	-0.7	2.1	-3.7	83.2	-9999	0.1	-9999	-9999	-9999	-9999
1901	1	19	2.101	1.0	2.5	-0.1	88.3	-9999	0.6	-9999	-9999	-9999	-9999
1901	1	20	1.692	2.2	5.0	-0.7	91.0	-9999	6.1	-9999	-9999	-9999	-9999
1901	1	21	1.657	2.6	3.1	1.6	83.5	-9999	6.1	-9999	-9999	-9999	-9999
1901	1	22	1.514	3.9	7.9	0.8	88.8	-9999	3.2	-9999	-9999	-9999	-9999
1901	1	23	3.354	1.9	3.4	0.6	81.0	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	24	2.613	1.6	2.7	-0.8	87.0	-9999	0.0	-9999	-9999	-9999	-9999
