year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	0.604	-2.2	0.6	-6.6	87.0	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	2	0.621	-6.1	-4.5	-7.5	86.5	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	3	0.675	-6.6	-4.7	-8.8	89.3	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	4	0.503	-7.1	-5.3	-9.8	84.8	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	5	0.493	-2.3	2.2	-6.2	95.1	-9999	2.2	-9999	-9999	-9999	-9999
1901	1	6	0.413	1.5	2.5	0.2	94.9	-9999	5.3	-9999	-9999	-9999	-9999
1901	1	7	0.521	-0.7	1.2	-5.0	85.7	-9999	5.7	-9999	-9999	-9999	-9999
1901	1	8	0.659	-4.9	0.1	-7.2	93.8	-9999	1.8	-9999	-9999	-9999	-9999
1901	1	9	0.480	2.2	3.5	-0.2	94.6	-9999	4.9	-9999	-9999	-9999	-9999
1901	1	10	0.544	1.2	2.7	-2.0	91.6	-9999	1.4	-9999	-9999	-9999	-9999
1901	1	11	0.438	-0.3	1.5	-2.3	95.4	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	12	0.591	1.9	3.5	-1.3	95.0	-9999	0.3	-9999	-9999	-9999	-9999
1901	1	13	0.626	-0.4	1.5	-2.8	98.2	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	14	0.756	-0.9	0.7	-3.4	98.2	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	15	0.781	-0.6	1.2	-3.7	98.5	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	16	0.626	3.2	4.6	0.4	96.8	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	17	0.935	3.1	4.3	0.5	89.6	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	18	1.163	1.0	2.0	0.5	90.0	-9999	3.3	-9999	-9999	-9999	-9999
1901	1	19	1.020	-0.2	2.3	-1.6	94.7	-9999	1.5	-9999	-9999	-9999	-9999
1901	1	20	1.230	-0.3	0.8	-1.6	94.0	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	21	1.360	-1.1	-0.1	-2.2	96.1	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	22	1.164	-2.0	-1.5	-2.9	93.2	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	23	1.726	-1.8	-0.8	-2.9	92.8	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	24	1.694	-2.9	-1.9	-3.8	91.7	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	25	1.848	-3.1	-1.2	-4.2	88.7	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	26	2.012	-2.5	-1.0	-4.7	80.4	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	27	1.806	-0.3	1.2	-2.1	91.7	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	28	2.283	0.5	2.2	-0.6	82.9	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	29	2.689	-1.5	0.9	-3.6	92.6	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	30	2.481	0.3	3.1	-4.3	97.6	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	31	2.480	2.3	3.9	1.1	93.9	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	1	2.298	-2.8	-0.8	-4.7	92.1	-9999	0.1	-9999	-9999	-9999	-9999
1901	2	2	3.069	-2.2	-0.4	-4.9	82.9	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	3	2.766	-4.2	-1.9	-8.0	90.6	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	4	2.983	-1.3	1.0	-7.9	96.6	-9999	2.3	-9999	-9999	-9999	-9999
1901	2	5	2.171	1.6	3.5	-1.4	94.5	-9999	1.9	-9999	-9999	-9999	-9999
1901	2	6	2.537	-4.1	-1.2	-7.4	90.8	-9999	0.9	-9999	-9999	-9999	-9999
1901	2	7	3.546	-5.2	-3.4	-7.3	91.5	-9999	0.1	-9999	-9999	-9999	-9999
1901	2	8	3.792	-6.1	-2.8	-8.9	92.9	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	9	3.479	-0.8	0.9	-3.0	90.3	-9999	0.9	-9999	-9999	-9999	-9999
1901	2	10	3.684	-1.1	0.6	-3.6	95.1	-9999	1.5	-9999	-9999	-9999	-9999
1901	2	11	3.540	0.9	3.5	-1.8	90.4	-9999	0.7	-9999	-9999	-9999	-9999
1901	2	12	5.264	-0.9	0.9	-2.3	84.8	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	13	5.264	-3.8	-2.8	-4.7	92.0	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	14	3.431	2.7	6.1	-4.9	96.3	-9999	0.4	-9999	-9999	-9999	-9999
1901	2	15	5.331	3.0	3.6	2.4	93.3	-9999	1.8	-9999	-9999	-9999	-9999
1901	2	16	4.678	-1.7	2.7	-4.4	88.4	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	17	4.166	-2.9	-2.2	-3.9	89.7	-9999	0.5	-9999	-9999	-9999	-9999
1901	2	18	4.268	-2.4	-0.2	-4.1	88.3	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	19	4.673	0.5	2.4	-2.7	89.8	-9999	2.1	-9999	-9999	-9999	-9999
1901	2	20	5.190	-1.5	0.2	-3.4	83.6	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	21	5.579	-5.0	-3.2	-6.4	83.1	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	22	5.590	-4.3	-2.1	-7.0	83.9	-9999	0.5	-9999	-9999	-9999	-9999
1901	2	23	4.643	-1.5	0.7	-3.7	89.0	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	24	4.702	-3.8	-2.6	-4.9	86.4	-9999	0.1	-9999	-9999	-9999	-9999
1901	2	25	4.963	-4.5	-2.6	-7.0	87.4	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	26	5.002	-5.0	-3.1	-7.9	82.5	-9999	0.3	-9999	-9999	-9999	-9999
1901	2	27	5.526	-3.3	0.3	-8.1	84.1	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	28	5.969	-4.6	-1.6	-7.0	86.0	-9999	0.6	-9999	-9999	-9999	-9999
1901	3	1	5.737	-1.3	0.6	-2.8	94.1	-9999	0.0	-9999	-9999	-9999	-9999
1901	3	2	5.171	2.9	5.1	-0.9	91.2	-9999	4.9	-9999	-9999	-9999	-9999
1901	3	3	6.498	0.5	1.7	-0.4	84.9	-9999	1.2	-9999	-9999	-9999	-9999
1901	3	4	5.360	0.8	2.0	-0.3	87.7	-9999	0.0	-9999	-9999	-9999	-9999
1901	3	5	5.740	2.6	4.7	0.4	85.9	-9999	0.0	-9999	-9999	-9999	-9999
1901	3	6	5.922	1.0	1.4	0.2	89.8	-9999	4.8	-9999	-9999	-9999	-9999
1901	3	7	5.775	-1.5	0.0	-2.6	87.0	-9999	0.0	-9999	-9999	-9999	-9999
1901	3	8	5.526	2.1	4.1	-1.2	85.7	-9999	0.0	-9999	-9999	-9999	-9999
1901	3	9	5.296	0.4	1.8	-1.0	84.6	-9999	1.1	-9999	-9999	-9999	-9999
1901	3	10	6.384	1.6	3.4	-0.2	79.0	-9999	0.0	-9999	-9999	-9999	-9999
1901	3	11	6.332	4.0	6.3	1.2	85.6	-9999	0.0	-9999	-9999	-9999	-9999
1901	3	12	6.157	-1.5	1.1	-2.8	80.8	-9999	0.0	-9999	-9999	-9999	-9999
1901	3	13	5.961	-0.9	1.5	-3.0	79.3	-9999	0.0	-9999	-9999	-9999	-9999
1901	3	14	6.280	-0.1	1.2	-1.6	82.7	-9999	0.0	-9999	-9999	-9999	-9999
1901	3	15	6.557	1.3	3.6	-0.8	82.6	-9999	0.0	-9999	-9999	-9999	-9999
1901	3	16	6.461	1.4	3.3	-0.4	87.2	-9999	0.0	-9999	-9999	-9999	-9999
1901	3	17	6.358	1.4	2.7	0.5	84.8	-9999	33.3	-9999	-9999	-9999	-9999
1901	3	18	5.267	0.0	1.7	-1.7	79.6	-9999	0.0	-9999	-9999	-9999	-9999
