year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	1.402	-3.3	-1.6	-4.4	96.7	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	2	1.179	-5.7	-3.7	-6.5	93.4	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	3	1.349	-4.1	-2.8	-4.6	92.4	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	4	1.556	-3.5	-2.3	-4.6	94.7	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	5	1.711	-3.9	-0.6	-5.1	100.0	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	6	0.692	-3.4	-1.4	-3.6	95.0	-9999	1.2	-9999	-9999	-9999	-9999
1901	1	7	0.932	-4.2	-1.8	-5.6	94.4	-9999	1.2	-9999	-9999	-9999	-9999
1901	1	8	0.536	-4.8	-2.4	-5.5	96.9	-9999	2.0	-9999	-9999	-9999	-9999
1901	1	9	0.608	-3.7	-1.0	-4.8	96.6	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	10	1.179	-4.3	-2.7	-5.4	90.5	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	11	0.439	-4.4	1.5	-5.5	99.4	-9999	2.5	-9999	-9999	-9999	-9999
1901	1	12	1.284	-3.0	-0.3	-4.1	99.4	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	13	0.517	-1.3	2.2	-2.9	97.2	-9999	0.7	-9999	-9999	-9999	-9999
1901	1	14	1.092	-0.9	1.5	-1.9	95.7	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	15	0.028	1.0	4.3	-1.8	99.6	-9999	3.4	-9999	-9999	-9999	-9999
1901	1	16	2.065	-0.6	1.0	-2.7	87.6	-9999	3.2	-9999	-9999	-9999	-9999
1901	1	17	0.860	-1.0	1.9	-2.4	92.3	-9999	2.7	-9999	-9999	-9999	-9999
1901	1	18	0.689	-1.6	3.8	-3.9	100.0	-9999	1.0	-9999	-9999	-9999	-9999
1901	1	19	0.606	1.5	2.7	0.6	95.3	-9999	1.7	-9999	-9999	-9999	-9999
1901	1	20	1.564	1.4	2.5	-1.0	89.0	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	21	1.458	-1.2	0.2	-1.9	91.6	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	22	1.433	-1.8	-0.8	-3.7	89.6	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	23	1.845	-2.8	0.2	-3.6	94.0	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	24	0.711	-0.3	1.3	-1.0	96.2	-9999	1.3	-9999	-9999	-9999	-9999
1901	1	25	1.460	-0.6	1.1	-1.6	95.8	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	26	1.434	-0.5	1.0	-1.2	94.9	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	27	1.122	-2.5	-0.3	-3.6	98.4	-9999	1.1	-9999	-9999	-9999	-9999
1901	1	28	1.578	-1.5	-0.1	-3.2	88.4	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	29	0.132	-0.8	0.3	-1.1	96.9	-9999	6.5	-9999	-9999	-9999	-9999
1901	1	30	3.146	-1.8	-0.2	-3.6	89.0	-9999	0.0	-9999	-9999	-9999	-9999
1901	1	31	2.495	-1.8	1.1	-3.6	96.6	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	1	1.696	-3.2	-0.9	-4.8	97.4	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	2	2.100	-2.1	-0.6	-2.7	93.3	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	3	2.370	-3.0	-1.3	-4.3	93.6	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	4	2.487	-3.9	-2.1	-5.2	94.5	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	5	1.803	-5.3	-3.5	-6.3	94.9	-9999	0.2	-9999	-9999	-9999	-9999
1901	2	6	0.707	-5.5	-4.2	-6.4	95.6	-9999	1.3	-9999	-9999	-9999	-9999
1901	2	7	1.363	-4.9	-4.3	-5.3	88.4	-9999	0.7	-9999	-9999	-9999	-9999
1901	2	8	3.396	-4.5	-2.8	-5.5	77.7	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	9	1.079	-3.4	0.7	-7.4	100.0	-9999	4.9	-9999	-9999	-9999	-9999
1901	2	10	1.778	-1.3	1.2	-2.1	94.0	-9999	0.8	-9999	-9999	-9999	-9999
1901	2	11	0.826	0.4	2.4	-0.5	86.9	-9999	2.3	-9999	-9999	-9999	-9999
1901	2	12	2.759	0.5	4.7	-2.7	78.9	-9999	0.1	-9999	-9999	-9999	-9999
1901	2	13	3.827	-3.0	-0.4	-4.6	93.7	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	14	1.981	-3.2	-1.8	-3.8	99.3	-9999	0.8	-9999	-9999	-9999	-9999
1901	2	15	3.640	-3.1	-1.1	-4.2	92.0	-9999	0.0	-9999	-9999	-9999	-9999
1901	2	16	3.036	-3.5	-1.9	-4.0	96.7	-9999	0.0	-9999	-9999	-9999	-9999
