Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1996	1	1	0.479097	-6.13935416666667	-4.975	-7.313	86.3207004269547	-9999	0.114	-9999	-9999	-9999	-9999
1996	1	2	0.1866888	-5.096875	-4.461	-6.126	87.076321538757	-9999	0.441	-9999	-9999	-9999	-9999
1996	1	3	0.2122452	-7.16647916666667	-6.198	-8.764	91.6218905891155	-9999	0.27	-9999	-9999	-9999	-9999
1996	1	4	0.5182542	-13.8892916666667	-8.892	-17.466	87.7367368317476	-9999	0	-9999	-9999	-9999	-9999
1996	1	5	0.2614932	-9.51727083333333	-7.776	-14.197	88.8764557748474	-9999	0.15	-9999	-9999	-9999	-9999
1996	1	6	0.1979514	-6.8255	-5.303	-9.436	89.1201292576843	-9999	0.429	-9999	-9999	-9999	-9999
1996	1	7	0.2503278	-5.43075	-4.59	-7.38	91.4576286572645	-9999	0.231	-9999	-9999	-9999	-9999
1996	1	8	0.7148556	-6.42079166666667	-5.023	-7.744	83.9054190096028	-9999	0	-9999	-9999	-9999	-9999
1996	1	9	0.0536634	-4.23270833333333	-3.241	-4.975	87.2844470518748	-9999	0.708	-9999	-9999	-9999	-9999
1996	1	10	0.2511018	-4.41354166666667	-3.123	-5.519	90.627466249544	-9999	0.423	-9999	-9999	-9999	-9999
1996	1	11	0.1488924	-5.466875	-4.066	-6.248	89.3116368099786	-9999	0.543	-9999	-9999	-9999	-9999
1996	1	12	0.1957806	-5.11445833333333	-3.73	-6.982	88.3409393681895	-9999	0.549	-9999	-9999	-9999	-9999
1996	1	13	0.2213424	-6.14722916666667	-3.574	-7.521	90.1227307793207	-9999	0.489	-9999	-9999	-9999	-9999
1996	1	14	0.0682794	-0.370166666666667	1.085	-3.374	88.5724494796865	-9999	2.385	-9999	-9999	-9999	-9999
1996	1	15	0.2115612	0.4494375	1.054	-0.089	92.0989417500075	-9999	0.48	-9999	-9999	-9999	-9999
1996	1	16	0.1887192	-0.4795	0.168	-1.107	91.0482849727791	-9999	0.603	-9999	-9999	-9999	-9999
1996	1	17	0.1859616	-1.39189583333333	-1.125	-1.679	90.9565383289513	-9999	0.753	-9999	-9999	-9999	-9999
1996	1	18	0.3775572	-1.60270833333333	-0.938	-2.7	88.2816615411739	-9999	0.315	-9999	-9999	-9999	-9999
1996	1	19	0.5201064	-4.1711875	-2.764	-5.917	89.3370845126099	-9999	0.36	-9999	-9999	-9999	-9999
1996	1	20	0.7817958	-4.91464583333333	-3.389	-6.218	90.2297336556391	-9999	0.171	-9999	-9999	-9999	-9999
1996	1	21	0.5880726	-5.52375	-4.846	-6.518	89.3040485815034	-9999	0.369	-9999	-9999	-9999	-9999
1996	1	22	0.7711812	-6.94391666666667	-5.955	-8.209	90.9832100744891	-9999	0.33	-9999	-9999	-9999	-9999
1996	1	23	0.6445224	-6.96375	-6.101	-8.026	89.9689534434007	-9999	0.333	-9999	-9999	-9999	-9999
1996	1	24	0.9192654	-9.78802083333333	-8.072	-11.77	88.2480838971499	-9999	0.018	-9999	-9999	-9999	-9999
1996	1	25	1.1060262	-16.0512916666667	-11.902	-19.122	84.58641271373	-9999	0.057	-9999	-9999	-9999	-9999
1996	1	26	0.9753966	-18.6934583333333	-15.408	-21.651	79.6660107229351	-9999	0.186	-9999	-9999	-9999	-9999
1996	1	27	1.0373004	-16.6849375	-13.191	-18.913	83.1531557026813	-9999	0.108	-9999	-9999	-9999	-9999
1996	1	28	1.337544	-6.81341666666667	-3.668	-12.862	88.4443181168047	-9999	0	-9999	-9999	-9999	-9999
1996	1	29	1.8447768	-5.93210416666667	-3.661	-10.365	88.0564378448604	-9999	0	-9999	-9999	-9999	-9999
1996	1	30	1.0976976	-3.42860416666667	-0.238	-9.455	78.865351445193	-9999	0	-9999	-9999	-9999	-9999
1996	1	31	2.073096	-6.2585	-4.581	-7.523	70.7652508107841	-9999	0	-9999	-9999	-9999	-9999
1996	2	1	1.1343186	-4.35033333333333	-1.252	-7.894	79.7442074868591	-9999	0.126	-9999	-9999	-9999	-9999
1996	2	2	2.3564826	-13.57125	-8.218	-16.889	84.7411705998545	-9999	0	-9999	-9999	-9999	-9999
1996	2	3	1.2096234	-10.6954791666667	-4.939	-16.379	80.0300349579094	-9999	1.446	-9999	-9999	-9999	-9999
1996	2	4	1.0766358	-10.13	-6.028	-11.505	75.3734930718274	-9999	0.396	-9999	-9999	-9999	-9999
1996	2	5	1.5335604	-12.2143125	-11.405	-13.593	79.0032728251825	-9999	0.234	-9999	-9999	-9999	-9999
1996	2	6	2.197584	-14.7518958333333	-11.533	-17.433	83.7285911867404	-9999	0.033	-9999	-9999	-9999	-9999
1996	2	7	2.0964492	-12.3616458333333	-9.432	-14.771	81.7190584694639	-9999	0.168	-9999	-9999	-9999	-9999
1996	2	8	1.2374406	-12.7153958333333	-11.051	-14.556	85.089156685984	-9999	0.936	-9999	-9999	-9999	-9999
1996	2	9	2.7982782	-19.061875	-14.676	-23.558	76.6990311745916	-9999	0.024	-9999	-9999	-9999	-9999
1996	2	10	3.1789908	-24.1366041666667	-18.527	-27.624	67.2911528346966	-9999	0	-9999	-9999	-9999	-9999
1996	2	11	3.3503652	-22.8109166666667	-17.637	-27.761	66.6723697984608	-9999	0	-9999	-9999	-9999	-9999
1996	2	12	3.2176044	-17.4288125	-14.096	-20.445	73.6875584389757	-9999	0	-9999	-9999	-9999	-9999
1996	2	13	1.7263134	-14.8499583333333	-12.234	-15.975	82.1742564067425	-9999	0.351	-9999	-9999	-9999	-9999
1996	2	14	2.4130188	-12.2108958333333	-8.375	-15.442	84.7354720691616	-9999	0.144	-9999	-9999	-9999	-9999
1996	2	15	0.7674084	-6.8774375	-2.67	-11.423	87.2372003940111	-9999	4.164	-9999	-9999	-9999	-9999
1996	2	16	1.7121474	-5.1754375	-2.683	-9.613	85.7652196083601	-9999	1.299	-9999	-9999	-9999	-9999
1996	2	17	3.1962762	-12.9992708333333	-9.722	-15.393	79.2802470573086	-9999	0.174	-9999	-9999	-9999	-9999
1996	2	18	3.981753	-15.5817291666667	-12.785	-17.372	78.0145357799416	-9999	0.069	-9999	-9999	-9999	-9999
1996	2	19	4.2809418	-18.1981458333333	-13.641	-21.039	77.0494228529376	-9999	0	-9999	-9999	-9999	-9999
1996	2	20	4.4565462	-18.8968125	-13.004	-22.984	76.0296512531982	-9999	0	-9999	-9999	-9999	-9999
1996	2	21	5.016492	-17.5214791666667	-12.031	-21.924	73.7308458701604	-9999	0	-9999	-9999	-9999	-9999
