year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	WS_f
2001	1	1	0.13	-2.71	-0.75	-3.57	0.15	1.37	0	-9999	-9999	-9999	-9999
2001	1	2	0.17	-2.09	-0.39	-3.71	0.29	1.38	0	-9999	-9999	-9999	-9999
2001	1	3	0.26	-2.83	-2.29	-3.35	0.24	1.4	0	-9999	-9999	-9999	-9999
2001	1	4	0.12	-3.06	-2.43	-3.52	0.14	1.41	0	-9999	-9999	-9999	-9999
2001	1	5	0.12	-1.36	-0.12	-3.05	0.16	1.39	-9999	-9999	-9999	-9999	-9999
2001	1	6	0.12	-0.29	0.12	-1.25	0.15	1.39	-9999	-9999	-9999	-9999	-9999
2001	1	7	0.28	-2.68	-1.36	-3.54	0.2	1.44	-9999	-9999	-9999	-9999	-9999
2001	1	8	0.44	-0.82	0.99	-3.45	0.21	1.44	-9999	-9999	-9999	-9999	-9999
2001	1	9	0.44	0.69	1.24	0.01	0.21	1.44	-9999	-9999	-9999	-9999	-9999
2001	1	10	0.44	-2.4	-0.13	-4.77	0.44	1.5	0	-9999	-9999	-9999	-9999
2001	1	11	0.27	-6.86	-4.9	-8.6	0.29	1.58	0	-9999	-9999	-9999	-9999
2001	1	12	0.34	-5.83	-3.93	-7.89	0.2	1.59	0	-9999	-9999	-9999	-9999
2001	1	13	0.51	-3.52	-0.56	-8.49	0.21	1.54	0	-9999	-9999	-9999	-9999
2001	1	14	1.19	-1.31	-0.67	-2.49	0.3	1.51	0	-9999	-9999	-9999	-9999
2001	1	15	0.37	-0.39	0.8	-2.52	0.26	1.5	0	-9999	-9999	-9999	-9999
2001	1	16	1.43	-0.96	0.17	-2.43	0.59	1.51	0	-9999	-9999	-9999	-9999
2001	1	17	0.45	-2.57	-1.45	-4.2	0.33	1.54	0	-9999	-9999	-9999	-9999
2001	1	18	0.69	-3.06	-1.58	-4.61	0.3	1.54	0	-9999	-9999	-9999	-9999
2001	1	19	0.23	-2.03	-1.26	-2.97	0.46	1.53	0	-9999	-9999	-9999	-9999
2001	1	20	0.52	-2.54	-0.38	-8.97	0.46	1.52	0	-9999	-9999	-9999	-9999
2001	1	21	0.93	-8.54	-6.12	-10.87	0.53	1.57	0	-9999	-9999	-9999	-9999
2001	1	22	0.76	-5.98	-4.72	-7.87	0.35	1.47	0	-9999	-9999	-9999	-9999
2001	1	23	0.58	-8	-7.24	-8.84	0.36	1.41	0	-9999	-9999	-9999	-9999
2001	1	24	0.19	-6.29	-5.51	-7.79	0.14	1.3	0	-9999	-9999	-9999	-9999
2001	1	25	0.24	-2.69	-0.91	-5.63	0.17	1.2	0	-9999	-9999	-9999	-9999
2001	1	26	0.47	0.18	0.64	-0.84	0.2	1.15	0	-9999	-9999	-9999	-9999
2001	1	27	0.4	-1.5	-0.17	-2.13	0.25	1.18	0	-9999	-9999	-9999	-9999
2001	1	28	0.65	-1.32	-0.13	-2.48	0.27	1.2	0	-9999	-9999	-9999	-9999
2001	1	29	1.14	-1.93	-0.16	-3.2	0.31	1.23	0	-9999	-9999	-9999	-9999
2001	1	30	1.4	-6.31	-3.38	-10.73	0.37	1.31	0	-9999	-9999	-9999	-9999
2001	1	31	1.86	-9.86	-7.32	-13.61	0.21	1.34	0	-9999	-9999	-9999	-9999
2001	2	1	1.81	-13.54	-12.02	-16.47	0.13	1.28	-9999	-9999	-9999	-9999	-9999
2001	2	2	1.81	-19.34	-16.66	-21.92	0.1	0.99	-9999	-9999	-9999	-9999	-9999
2001	2	3	1.81	-23.85	-22.18	-25.84	0.03	0.43	-9999	-9999	-9999	-9999	-9999
2001	2	4	1.32	-23.57	-21.41	-26.84	0.04	0.34	-9999	-9999	-9999	-9999	-9999
2001	2	5	1.49	-24.79	-18.91	-28.66	0.03	-0.1	-9999	-9999	-9999	-9999	-9999
2001	2	6	1.66	-13.27	-7.35	-18.27	0.14	0.62	-9999	-9999	-9999	-9999	-9999
2001	2	7	1.54	-1.61	1.06	-7.1	0.34	0.49	-9999	-9999	-9999	-9999	-9999
2001	2	8	1.41	1.85	2.86	0.33	0.25	0.46	-9999	-9999	-9999	-9999	-9999
2001	2	9	1.57	-4.4	2.88	-8.55	0.5	0.56	-9999	-9999	-9999	-9999	-9999
2001	2	10	1.81	-5.34	-2.5	-9.67	0.21	0.59	-9999	-9999	-9999	-9999	-9999
2001	2	11	1.32	-3.52	-1.73	-5.47	0.3	0.58	-9999	-9999	-9999	-9999	-9999
2001	2	12	1.49	-0.15	0.95	-2.53	0.3	0.55	-9999	-9999	-9999	-9999	-9999
2001	2	13	1.66	-3.57	0.64	-6.03	0.59	0.6	-9999	-9999	-9999	-9999	-9999
2001	2	14	1.76	0.75	4.12	-5.27	1.13	0.56	-9999	-9999	-9999	-9999	-9999
2001	2	15	3.7	3.25	5.81	-0.2	2.1	0.53	-9999	-9999	-9999	-9999	-9999
2001	2	16	3.51	-0.96	1.71	-3.24	1.51	0.6	-9999	-9999	-9999	-9999	-9999
2001	2	17	3.67	-1.72	1.22	-3.87	1.13	0.63	-9999	-9999	-9999	-9999	-9999
