Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	0.53	-8.07	-4.73	-10.93	0.53	0.89	0	-9999	-9999	-9999	-9999
1	2	0.66	-11.39	-9.79	-11.98	0.01	0.75	0	-9999	-9999	-9999	-9999
1	3	0.64	-10.99	-8.47	-13.32	0.02	0.84	0	-9999	-9999	-9999	-9999
1	4	0.46	-10.51	-8.56	-13.3	0.01	0.82	0	-9999	-9999	-9999	-9999
1	5	0.5	-10.94	-3.13	-15.53	0.05	0.78	0	-9999	-9999	-9999	-9999
1	6	0.35	-2.93	-1.26	-9.88	0.11	0.74	0	-9999	-9999	-9999	-9999
1	7	0.62	-12.64	-10.49	-14.35	0.05	0.72	0	-9999	-9999	-9999	-9999
1	8	0.69	-10.96	-5.34	-15.31	0.02	0.63	0	-9999	-9999	-9999	-9999
1	9	0.34	-3.22	0.15	-6.4	0.24	0.62	0	-9999	-9999	-9999	-9999
1	10	0.73	-3.68	-0.52	-7.5	0.11	0.62	0	-9999	-9999	-9999	-9999
1	11	0.11	0.04	0.61	-0.54	0.45	0.55	0	-9999	-9999	-9999	-9999
1	12	0.06	2.39	3.48	0.28	0.12	0.52	0.6	-9999	-9999	-9999	-9999
1	13	0.1	2.84	3.7	2.04	0.28	0.46	1.6	-9999	-9999	-9999	-9999
1	14	0.4	0.42	2.12	-3.34	0.58	0.53	0	-9999	-9999	-9999	-9999
1	15	0.6	-8.04	-3.7	-11.58	0.38	0.51	0	-9999	-9999	-9999	-9999
1	16	1.04	-12.97	-10.28	-15.31	0.21	0.53	0	-9999	-9999	-9999	-9999
1	17	0.96	-11.43	-6.2	-14.33	0.07	0.47	0	-9999	-9999	-9999	-9999
1	18	0.24	-6.01	-5.67	-6.5	0.01	0.43	0	-9999	-9999	-9999	-9999
1	19	0.55	-5.34	-4.44	-6.03	0.01	0.4	0	-9999	-9999	-9999	-9999
1	20	0.23	-4.22	-3.72	-4.63	0.02	0.39	0	-9999	-9999	-9999	-9999
1	21	0.27	-2.66	-0.68	-4.27	0.03	0.37	0	-9999	-9999	-9999	-9999
1	22	0.17	-2.32	-0.74	-4.14	0.08	0.38	0	-9999	-9999	-9999	-9999
1	23	1.02	-5.54	-4.36	-6.65	0.07	0.4	0	-9999	-9999	-9999	-9999
1	24	0.51	-8.11	-6.73	-9.03	0.06	0.42	0	-9999	-9999	-9999	-9999
1	25	0.28	-6.29	-5.89	-7.41	0	0.4	0	-9999	-9999	-9999	-9999
1	26	0.48	-5.42	-4.77	-6	0.01	0.36	0	-9999	-9999	-9999	-9999
1	27	0.71	-5.67	-5.07	-6.32	0.01	0.34	0	-9999	-9999	-9999	-9999
1	28	0.72	-6.5	-5.69	-7.3	0.02	0.31	0	-9999	-9999	-9999	-9999
1	29	0.73	-4.35	-3.4	-5.65	0.02	0.34	0	-9999	-9999	-9999	-9999
1	30	0.69	-5.26	-3.32	-12.95	0.04	0.33	0	-9999	-9999	-9999	-9999
1	31	2.31	-14.51	-12.09	-16.69	0.16	0.32	0	-9999	-9999	-9999	-9999
2	1	0.72	-7.31	-4.27	-12.9	0.21	0.3	0	-9999	-9999	-9999	-9999
2	2	1.38	-5.9	-4.62	-7.17	0.01	0.32	0	-9999	-9999	-9999	-9999
2	3	1.95	-4.98	-3.8	-6.63	0.08	0.31	0	-9999	-9999	-9999	-9999
2	4	0.86	-4.21	-3.43	-4.79	0.07	0.3	0	-9999	-9999	-9999	-9999
2	5	0.55	-5.43	-4.38	-6.47	0.04	0.32	0	-9999	-9999	-9999	-9999
2	6	0.74	-6.68	-6.22	-7.48	0.01	0.32	0	-9999	-9999	-9999	-9999
2	7	0.55	-5.48	-1.33	-8.07	0.03	0.31	0	-9999	-9999	-9999	-9999
2	8	0.33	-0.67	1.11	-2.12	0.05	0.27	8.59	-9999	-9999	-9999	-9999
2	9	2.63	-3.45	0.13	-5.76	0.99	0.31	1	-9999	-9999	-9999	-9999
2	10	2.35	-5.34	-3.52	-7.22	0.24	0.33	0	-9999	-9999	-9999	-9999
2	11	0.89	-4.53	-4.04	-5.36	0.05	0.31	0	-9999	-9999	-9999	-9999
2	12	1.52	-6.92	-5.4	-7.55	0.04	0.32	0	-9999	-9999	-9999	-9999
