Year,x,y,Age,Species,Management,N,Stool,AvDBH,Height,Wf,Wrc,Wrf,Ws,Wbb,Wres,Lai
1995,0,0,NA,Hardwoods,T,NA,0,NA,NA,0,0,0,0,0,0,0
1995,0,0,34,Picea abies,T,965,0,4.12,3.69,0,0,0,0,0,0,0
1995,0,0,34,Pinus silvestrys,T,870,0,12.74,10.92,0,0,0,0,0,0,0
1996,0,0,NA,Hardwoods,T,NA,0,NA,NA,0,0,0,0,0,0,0
1996,0,0,35,Picea abies,T,965,0,4.2,3.82,0,0,0,0,0,0,0
1996,0,0,35,Pinus silvestrys,T,870,0,12.99,11.31,0,0,0,0,0,0,0
1997,0,0,NA,Hardwoods,T,NA,0,NA,NA,0,0,0,0,0,0,0
1997,0,0,36,Picea abies,T,965,0,4.28,3.95,0,0,0,0,0,0,0
1997,0,0,36,Pinus silvestrys,T,870,0,13.23,11.68,0,0,0,0,0,0,0
1998,0,0,NA,Hardwoods,T,NA,0,NA,NA,0,0,0,0,0,0,0
1998,0,0,37,Picea abies,T,965,0,4.34,4.07,0,0,0,0,0,0,0
1998,0,0,37,Pinus silvestrys,T,872,0,13.42,12.04,0,0,0,0,0,0,0
1999,0,0,NA,Hardwoods,T,NA,0,NA,NA,0,0,0,0,0,0,0
1999,0,0,38,Picea abies,T,965,0,4.42,4.2,0,0,0,0,0,0,0
1999,0,0,38,Pinus silvestrys,T,872,0,13.66,12.43,0,0,0,0,0,0,0
2000,0,0,NA,Hardwoods,T,NA,0,NA,NA,0,0,0,0,0,0,0
2000,0,0,39,Picea abies,T,965,0,4.5,4.33,0,0,0,0,0,0,0
2000,0,0,39,Pinus silvestrys,T,875,0,13.91,12.8,0,0,0,0,0,0,0
2001,0,0,NA,Hardwoods,T,NA,0,NA,NA,0,0,0,0,0,0,0
2001,0,0,40,Picea abies,T,965,0,4.58,4.46,0,0,0,0,0,0,0
2001,0,0,40,Pinus silvestrys,T,875,0,14.16,13.19,0,0,0,0,0,0,0
2002,0,0,NA,Hardwoods,T,NA,0,NA,NA,0,0,0,0,0,0,0
2002,0,0,41,Picea abies,T,770,0,4.61,4.4,0,0,0,0,0,0,0
2002,0,0,41,Pinus silvestrys,T,753,0,15.23,13.89,0,0,0,0,0,0,0
2003,0,0,42,Hardwoods,T,1207,0,3.16,5.56,0,0,0,0,0,0,0
2003,0,0,42,Picea abies,T,770,0,4.68,4.53,0,0,0,0,0,0,0
2003,0,0,42,Pinus silvestrys,T,753,0,15.45,14.28,0,0,0,0,0,0,0
2004,0,0,43,Hardwoods,T,1207,0,3.31,5.89,0,0,0,0,0,0,0
2004,0,0,43,Picea abies,T,770,0,4.85,4.66,0,0,0,0,0,0,0
2004,0,0,43,Pinus silvestrys,T,753,0,15.73,14.6,0,0,0,0,0,0,0
2005,0,0,44,Hardwoods,T,1207,0,3.43,6.19,0,0,0,0,0,0,0
2005,0,0,44,Picea abies,T,770,0,4.99,4.78,0,0,0,0,0,0,0
2005,0,0,44,Pinus silvestrys,T,754,0,15.96,14.89,0,0,0,0,0,0,0
2006,0,0,45,Hardwoods,T,1207,0,3.53,6.49,0,0,0,0,0,0,0
2006,0,0,45,Picea abies,T,770,0,5.1,4.9,0,0,0,0,0,0,0
2006,0,0,45,Pinus silvestrys,T,754,0,16.15,15.19,0,0,0,0,0,0,0
2007,0,0,46,Hardwoods,T,1207,0,3.65,6.81,0,0,0,0,0,0,0
2007,0,0,46,Picea abies,T,770,0,5.25,5.03,0,0,0,0,0,0,0
2007,0,0,46,Pinus silvestrys,T,754,0,16.39,15.51,0,0,0,0,0,0,0
2008,0,0,47,Hardwoods,T,1207,0,3.76,7.14,0,0,0,0,0,0,0
2008,0,0,47,Picea abies,T,770,0,5.38,5.16,0,0,0,0,0,0,0
2008,0,0,47,Pinus silvestrys,T,755,0,16.61,15.83,0,0,0,0,0,0,0
2009,0,0,48,Hardwoods,T,1207,0,3.8,7.28,0,0,0,0,0,0,0
2009,0,0,48,Picea abies,T,770,0,5.44,5.27,0,0,0,0,0,0,0
2009,0,0,48,Pinus silvestrys,T,755,0,16.84,16.15,0,0,0,0,0,0,0
2010,0,0,49,Hardwoods,T,1207,0,3.87,7.44,0,0,0,0,0,0,0
2010,0,0,49,Picea abies,T,770,0,5.53,5.38,0,0,0,0,0,0,0
2010,0,0,49,Pinus silvestrys,T,684,0,17.49,16.76,0,0,0,0,0,0,0
2011,0,0,50,Hardwoods,T,1207,0,3.94,7.58,0,0,0,0,0,0,0
2011,0,0,50,Picea abies,T,770,0,5.63,5.48,0,0,0,0,0,0,0
2011,0,0,50,Pinus silvestrys,T,684,0,17.81,17.07,0,0,0,0,0,0,0
