Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	5.80914	5.23635	8.736	1.937	4.20029	9.45646	0	22.02	-9999	-9999	-9999
1	2	5.45929	7.86556	11.276	2.221	4.08574	9.86833	0	21.8396	-9999	-9999	-9999
1	3	3.9699	10.6807	13.296	8.135	4.22614	10.4598	0	21.4298	-9999	-9999	-9999
1	4	0.97104	9.8831	13.067	6.962	3.20311	10.676	26.6	22.5054	-9999	-9999	-9999
1	5	5.60288	8.99775	11.292	6.277	3.49453	11.5175	0	22.5131	-9999	-9999	-9999
1	6	4.84317	12.0761	14.003	10.183	4.74909	11.1252	0	21.1896	-9999	-9999	-9999
1	7	3.65605	13.3252	15.055	12.332	8.09426	10.4117	0	20.3569	-9999	-9999	-9999
1	8	1.66917	10.0729	13.085	6.003	4.17536	10.3919	7.8	20.3152	-9999	-9999	-9999
1	9	6.05564	7.66092	10.378	3.735	2.83348	9.48458	9	21.8083	-9999	-9999	-9999
1	10	5.3478	9.53731	11.913	6.611	4.16082	8.68875	0	21.6235	-9999	-9999	-9999
1	11	5.47145	10.9052	13.136	8.833	3.22039	8.21229	0	20.8606	-9999	-9999	-9999
1	12	4.18283	10.3378	12.609	8.214	3.35548	8.47563	0	20.4654	-9999	-9999	-9999
1	13	2.50052	9.30565	11.878	7.657	4.12056	9.11021	0	20.3575	-9999	-9999	-9999
1	14	6.15308	7.49358	9.989	4.532	6.32072	8.71688	0	20.2969	-9999	-9999	-9999
1	15	1.65248	5.27448	7.121	3.581	4.51103	9.08354	0	20.6031	-9999	-9999	-9999
1	16	2.8128	5.82277	7.771	3.541	2.71901	8.99729	1.4	20.8065	-9999	-9999	-9999
1	17	1.34915	8.01725	9.874	6.13	2.97187	9.62896	23.6	21.5279	-9999	-9999	-9999
1	18	4.89702	8.33835	10.663	6.554	2.42088	9.12687	0	23.524	-9999	-9999	-9999
1	19	1.15658	8.00396	10.095	6.725	2.19351	9.52417	4.8	22.6515	-9999	-9999	-9999
1	20	5.35692	7.75323	11.477	5.241	3.24297	9.49667	0	22.4131	-9999	-9999	-9999
1	21	6.60887	6.89371	10.909	3.817	2.64014	6.60131	0	22.099	-9999	-9999	-9999
1	22	5.51524	7.40385	10.665	4.258	2.50638	6.6426	0	21.9485	-9999	-9999	-9999
1	23	2.63464	10.3774	12.282	8.059	4.38709	6.59858	0	21.3781	-9999	-9999	-9999
