Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1997	1	1	1.29093	2.13083	3.21	-1.63	7.148964263	-3.45979	7	-9999	-9999	-9999	-9999
1997	1	2	1.17298	1.63521	2.61	0.85	6.816869281	-3.49375	7	-9999	-9999	-9999	-9999
1997	1	3	2.09825	3.69458	5.5	1.61	7.680924858	-3.87958	0	-9999	-9999	-9999	-9999
1997	1	4	1.31841	-1.2575	4.2	-4.04	5.681882967	-3.68792	5	-9999	-9999	-9999	-9999
1997	1	5	1.57766	-4.71208	-3.46	-6.16	4.309697303	-3.45708	7	-9999	-9999	-9999	-9999
1997	1	6	1.66959	-2.74312	-1.16	-6.32	5.012053061	-3.46604	5	-9999	-9999	-9999	-9999
1997	1	7	1.87938	-1.94604	0.67	-5.16	5.314510198	-3.46813	0	-9999	-9999	-9999	-9999
1997	1	8	2.80328	-1.32979	2.84	-4.56	5.228075821	-3.43563	0	-9999	-9999	-9999	-9999
1997	1	9	1.01045	-0.736458	0.63	-2.14	5.801369152	-3.35833	15	-9999	-9999	-9999	-9999
1997	1	10	1.6545	-0.239375	1.01	-1.44	6.006521012	-3.43708	5	-9999	-9999	-9999	-9999
1997	1	11	1.28005	-1.91125	0.39	-3.3	5.317687047	-3.41375	10	-9999	-9999	-9999	-9999
1997	1	12	2.62178	-1.32583	1.39	-3.1	5.439597522	-3.37667	5	-9999	-9999	-9999	-9999
1997	1	13	3.83404	0.866667	4.26	-2.03	4.750575886	-3.48333	0	-9999	-9999	-9999	-9999
1997	1	14	3.79029	3.17604	8.1	-0.69	3.222223684	-3.45729	0	-9999	-9999	-9999	-9999
1997	1	15	3.84519	4.31375	9.94	-1.05	1.798137978	-3.32542	0	-9999	-9999	-9999	-9999
1997	1	16	3.91893	4.41271	11.07	-0.54	2.281360501	-3.21312	0	-9999	-9999	-9999	-9999
1997	1	17	4.04232	2.98021	8.62	-0.58	2.159532126	-3.11292	0	-9999	-9999	-9999	-9999
1997	1	18	3.84971	1.31875	5.75	-2.36	2.045700506	-2.90354	0	-9999	-9999	-9999	-9999
1997	1	19	3.04068	-0.0860417	2.36	-5	4.195279062	-2.83937	0	-9999	-9999	-9999	-9999
1997	1	20	2.58295	1.6175	4.94	-0.3	6.175094414	-2.93417	8	-9999	-9999	-9999	-9999
1997	1	21	3.82494	4.63333	12.55	-1.35	5.062165439	-2.92146	0	-9999	-9999	-9999	-9999
1997	1	22	3.64001	6.11042	16.69	0.85	4.280257564	-2.92313	0	-9999	-9999	-9999	-9999
1997	1	23	4.07445	6.38604	15.95	-0.56	3.907846725	-2.93812	0	-9999	-9999	-9999	-9999
1997	1	24	3.99269	3.15396	13.97	-1.7	3.510021499	-2.89563	0	-9999	-9999	-9999	-9999
1997	1	25	4.08174	3.478	11.23	-0.12	3.468123337	-2.88417	0	-9999	-9999	-9999	-9999
