Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1997	1	1	1.50371	2.131	3.21	-1.63	0.488	-3.46	1.227	-9999	-9999	-9999	3.162
1997	1	2	1.36633	1.635	2.61	0.85	0.539	-3.494	1.592	-9999	-9999	-9999	2.213
1997	1	3	2.44408	3.695	5.5	1.61	0.886	-3.88	7.709	-9999	-9999	-9999	2.745
1997	1	4	1.53567	-1.258	4.2	-4.04	0.807	-3.688	11.396	-9999	-9999	-9999	3.159
1997	1	5	1.83764	-4.712	-3.46	-6.16	0.973	-3.457	6.495	-9999	-9999	-9999	1.979
1997	1	6	1.94478	-2.743	-1.16	-6.32	1.192	-3.466	2.114	-9999	-9999	-9999	1.393
1997	1	7	2.18912	-1.946	0.67	-5.16	1.887	-3.468	7.646	-9999	-9999	-9999	2.264
1997	1	8	3.26523	-1.33	2.84	-4.56	2.28	-3.436	1.011	-9999	-9999	-9999	1.572
1997	1	9	1.17694	-0.736	0.63	-2.14	3.82	-3.358	14.055	-9999	-9999	-9999	1.873
1997	1	10	1.92715	-0.239	1.01	-1.44	3.951	-3.437	13.155	-9999	-9999	-9999	1.87
1997	1	11	1.491	-1.911	0.39	-3.3	4.263	-3.414	11.153	-9999	-9999	-9999	2.802
1997	1	12	3.05381	-1.326	1.39	-3.1	3.942	-3.377	8.092	-9999	-9999	-9999	4.203
1997	1	13	4.46593	0.867	4.26	-2.03	1.807	-3.483	0	-9999	-9999	-9999	2.331
1997	1	14	4.41495	3.176	8.1	-0.69	4.565	-3.457	0	-9999	-9999	-9999	1.762
1997	1	15	4.47889	4.314	9.94	-1.05	6.684	-3.325	0	-9999	-9999	-9999	1.527
1997	1	16	4.56477	4.413	11.07	-0.54	6.331	-3.213	0	-9999	-9999	-9999	0.951
1997	1	17	4.70854	2.98	8.62	-0.58	5.6	-3.113	0	-9999	-9999	-9999	1.007
1997	1	18	4.48416	1.319	5.75	-2.36	4.78	-2.904	0.13	-9999	-9999	-9999	1.258
1997	1	19	3.5418	-0.086	2.36	-5	2.969	-2.839	2.284	-9999	-9999	-9999	1.489
1997	1	20	3.00862	1.617	4.94	-0.3	3.021	-2.934	1.406	-9999	-9999	-9999	2.227
1997	1	21	4.4553	4.633	12.55	-1.35	3.772	-2.921	0.355	-9999	-9999	-9999	1.081
