Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	6.68823	-5.63017	-3.785	-7.85	1.23877	-1.77731	0.0	-9999	-9999	-9999	-9999
1	2	5.31076	-3.2526	0.189	-6.246	1.49395	-1.87256	0.0	-9999	-9999	-9999	-9999
1	3	6.06588	-1.29727	2.697	-3.752	2.07721	-1.89904	0.2	-9999	-9999	-9999	-9999
1	4	7.30175	0.977088	3.81	-2.73108	3.78431	-1.91427	0.4	-9999	-9999	-9999	-9999
1	5	7.25985	0.975026	3.607	-3.0158	3.76732	-1.91424	0.0	-9999	-9999	-9999	-9999
1	6	7.25985	0.975026	3.607	-3.0158	3.76732	-1.91424	0.0	-9999	-9999	-9999	-9999
1	7	4.7072	1.74305	3.607	-0.354333	2.22063	-1.93915	0.0	-9999	-9999	-9999	-9999
1	8	4.32494	0.391697	3.004	-2.05925	0.799587	-1.94753	0.0	-9999	-9999	-9999	-9999
1	9	4.32494	0.391697	3.004	-2.05925	0.799587	-1.94753	0.0	-9999	-9999	-9999	-9999
1	10	4.32012	0.400411	3.502	-2.235	0.800041	-1.94768	0.0	-9999	-9999	-9999	-9999
1	11	3.671	-0.460188	4.18	-2.66	0.570211	-1.95554	0.0	-9999	-9999	-9999	-9999
1	12	3.50724	-1.51325	-0.641	-2.77	0.354601	-1.94381	0.0	-9999	-9999	-9999	-9999
1	13	2.00405	0.115375	1.385	-1.405	0.330237	-1.93096	0.2	-9999	-9999	-9999	-9999
1	14	3.42069	0.566312	3.657	-0.651	0.811999	-1.90496	1.6	-9999	-9999	-9999	-9999
1	15	7.07943	0.191167	5.161	-3.54	1.6948	-1.87781	2.4	-9999	-9999	-9999	-9999
1	16	6.11441	-1.23533	3.334	-3.766	0.693381	-1.90752	0.2	-9999	-9999	-9999	-9999
1	17	7.56358	-2.09631	2.886	-6.991	2.30257	-1.906	0.0	-9999	-9999	-9999	-9999
1	18	7.98568	5.21027	9.8	0.387	4.87568	-1.9336	0.8	-9999	-9999	-9999	-9999
1	19	7.39332	-3.77208	-0.018	-6.168	1.46452	-1.914	1.6	-9999	-9999	-9999	-9999
1	20	8.11874	-3.51779	-0.065	-6.565	1.52427	-2.02181	0.0	-9999	-9999	-9999	-9999
1	21	3.14571	-1.26258	1.149	-2.994	0.344428	-2.06046	0.0	-9999	-9999	-9999	-9999
