Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip 	SWC	LAI	ET	LITTERFALL
1	1	1.76	2.37	3.34	0.6	0.34	-9999	0.2	-9999	0	-9999	-9999
1	2	3.17	0.66	3.65	-2.93	0.86	-9999	7.6	-9999	-9999	-9999	-9999
1	3	9.38	-3.17	-1.41	-4.73	1.73	-9999	0	-9999	-9999	-9999	-9999
1	4	7.05	-0.99	1.56	-4.34	2.46	-9999	0.2	-9999	-9999	-9999	-9999
1	5	5.74	0.26	1.74	-1.84	0.28	-9999	5.2	-9999	-9999	-9999	-9999
1	6	9.57	0.91	5.43	-2.16	2.51	-9999	1	-9999	-9999	-9999	-9999
1	7	2.38	1.44	2.87	-1.17	1.3	-9999	0.8	-9999	-9999	-9999	-9999
1	8	3.34	1.92	4.32	0.57	0.1	-9999	3.4	-9999	-9999	-9999	-9999
1	9	8.62	2	5.97	-0.72	1.19	-9999	0	-9999	-9999	-9999	-9999
1	10	9.87	4.65	9.37	0.54	3.18	-9999	0	-9999	-9999	-9999	-9999
1	11	7.48	4.02	8.28	1.55	2.09	-9999	0	-9999	-9999	-9999	-9999
1	12	10.56	4.8	9.06	1.01	3.25	-9999	0	-9999	-9999	-9999	-9999
1	13	10.37	7.06	12.7	2.62	6.5	-9999	0	-9999	-9999	-9999	-9999
1	14	10.03	7.17	13.38	0.43	5.45	-9999	0	-9999	-9999	-9999	-9999
1	15	10.07	3.08	6.65	-1.08	1.76	-9999	0	-9999	-9999	-9999	-9999
1	16	6.99	3.74	5.85	2.24	2.03	-9999	0	-9999	-9999	-9999	-9999
1	17	0.67	3.29	3.97	2.54	0.14	-9999	6.6	-9999	-9999	-9999	-9999
1	18	8.11	2.61	5.69	0.16	0.69	-9999	0.2	-9999	-9999	-9999	-9999
1	19	10.78	8.39	13.75	2.77	4.91	-9999	0	-9999	-9999	-9999	-9999
1	20	10.84	10.16	13.98	3.85	7.27	-9999	0	-9999	-9999	-9999	-9999
1	21	11.46	8.43	12.19	1.78	5.66	-9999	0	-9999	-9999	-9999	-9999
