Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	-9999	3.22746	-9999	-9999	1.85239	-9999	-9999	-9999	-9999	-9999	-9999
1	2	-9999	2.30449	-9999	-9999	1.88524	-9999	-9999	-9999	-9999	-9999	-9999
1	3	-9999	1.62057	-9999	-9999	1.53014	-9999	-9999	-9999	-9999	-9999	-9999
1	4	-9999	3.21155	-9999	-9999	1.82398	-9999	-9999	-9999	-9999	-9999	-9999
1	5	-9999	2.71082	-9999	-9999	1.86961	-9999	-9999	-9999	-9999	-9999	-9999
1	6	-9999	1.96139	-9999	-9999	1.70826	-9999	-9999	-9999	-9999	-9999	-9999
1	7	-9999	1.65677	-9999	-9999	1.47995	-9999	-9999	-9999	-9999	-9999	-9999
1	8	-9999	3.22746	-9999	-9999	1.85239	-9999	-9999	-9999	-9999	-9999	-9999
1	9	-9999	2.30449	-9999	-9999	1.88524	-9999	-9999	-9999	-9999	-9999	-9999
1	10	-9999	1.62057	-9999	-9999	1.53014	-9999	-9999	-9999	-9999	-9999	-9999
1	11	-9999	3.21155	-9999	-9999	1.82398	-9999	-9999	-9999	-9999	-9999	-9999
1	12	-9999	2.71082	-9999	-9999	1.86961	-9999	-9999	-9999	-9999	-9999	-9999
1	13	-9999	1.96139	-9999	-9999	1.70826	-9999	-9999	-9999	-9999	-9999	-9999
1	14	-9999	1.65677	-9999	-9999	1.47995	-9999	-9999	-9999	-9999	-9999	-9999
1	15	-9999	3.22746	-9999	-9999	1.85239	-9999	-9999	-9999	-9999	-9999	-9999
1	16	-9999	2.30449	-9999	-9999	1.88524	12.5938	-9999	-9999	-9999	-9999	-9999
1	17	-9999	1.62057	-9999	-9999	1.53014	12.5325	-9999	-9999	-9999	-9999	-9999
1	18	-9999	3.21155	-9999	-9999	1.82398	12.485	-9999	-9999	-9999	-9999	-9999
1	19	-9999	2.71082	-9999	-9999	1.86961	12.6031	-9999	-9999	-9999	-9999	-9999
1	20	-9999	1.96139	-9999	-9999	1.70826	12.5981	-9999	-9999	-9999	-9999	-9999
1	21	-9999	1.65677	-9999	-9999	1.47995	12.492	-9999	-9999	-9999	-9999	-9999
1	22	14.7783	3.22746	-9999	-9999	1.85239	12.5484	-9999	-9999	-9999	-9999	-9999
1	23	15.1615	2.30449	-9999	-9999	1.88524	12.5938	-9999	-9999	-9999	-9999	-9999
1	24	14.8967	1.62057	-9999	-9999	1.53014	12.5325	-9999	-9999	-9999	-9999	-9999
1	25	14.3458	3.21155	-9999	-9999	1.82398	12.485	-9999	-9999	-9999	-9999	-9999
1	26	14.9264	2.71082	-9999	-9999	1.86961	12.6031	-9999	-9999	-9999	-9999	-9999
1	27	14.983	1.96139	-9999	-9999	1.70826	12.5981	-9999	-9999	-9999	-9999	-9999
1	28	14.5993	1.65677	-9999	-9999	1.47995	12.492	-9999	-9999	-9999	-9999	-9999
1	29	14.7783	3.25642	-9999	-9999	1.84736	12.5484	-9999	-9999	-9999	-9999	-9999
1	30	15.1615	3.25642	5.86694	1.28709	1.84736	12.5938	-9999	-9999	-9999	-9999	-9999
1	31	14.8967	3.25642	5.86694	1.28709	1.84736	12.5325	-9999	-9999	-9999	-9999	-9999
2	1	14.3458	3.20639	6.09206	0.34224	1.85536	12.485	0	-9999	-9999	-9999	-9999
2	2	14.9264	1.37921	4.74501	-1.50725	1.9158	12.6031	0	-9999	-9999	-9999	-9999
2	3	14.983	0.254861	2.80852	-2.11374	0.818351	12.5981	0	-9999	-9999	-9999	-9999
2	4	14.5993	1.60254	5.9989	-1.80882	1.1551	12.492	0	-9999	-9999	-9999	-9999
2	5	14.7783	3.15664	6.74137	0.14581	0.804018	12.5484	0	-9999	-9999	-9999	-9999
2	6	15.1615	3.13867	5.96275	-0.48538	0.355568	12.5938	0	-9999	-9999	-9999	-9999
2	7	14.8967	4.31894	7.71483	1.71452	0.0959506	12.5325	0	-9999	-9999	-9999	-9999
2	8	14.3458	7.64244	12.9251	4.83464	0.804574	12.485	0	-9999	-9999	-9999	-9999
2	9	14.9264	7.02626	10.6758	4.56104	0.15708	12.6031	3.2	-9999	-9999	-9999	-9999
2	10	14.983	10.3687	15.2839	5.39098	0.462839	12.5981	5.2	-9999	-9999	-9999	-9999
