Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f
2006	1	1	1.02704	-4.242	-2.731	-5.692	0.292	-1.656	2.396	38.802	-9999	-9999	1.073
2006	1	2	2.5704	-5.116	-3.436	-5.624	0.693	-1.605	1.512	38.664	-9999	-9999	2.315
2006	1	3	5.71882	-5.18	-2.137	-6.846	1.408	-1.959	0.117	38.707	-9999	-9999	2.552
2006	1	4	6.79519	-5.638	-1.374	-8.175	1.496	-2.425	0	38.68	-9999	-9999	1.819
2006	1	5	2.79487	-5.916	-4.114	-7.99	1.165	-2.363	0.099	38.442	-9999	-9999	0.787
2006	1	6	6.73816	-3.496	2.106	-6.435	1.32	-2.194	0	38.141	-9999	-9999	0.763
2006	1	7	7.01516	-3.635	-0.179	-6.002	1.067	-1.739	0.026	37.887	-9999	-9999	0.767
2006	1	8	3.39906	-5.965	-4.069	-7.954	0.532	-1.946	0.156	37.771	-9999	-9999	1.046
2006	1	9	7.94742	-4.955	0.717	-8.847	1.513	-2.801	0	37.429	-9999	-9999	0.6
2006	1	10	7.33268	-4.458	-0.2	-7	2.603	-2.606	0	36.857	-9999	-9999	0.7
2006	1	11	7.42055	-3.537	-0.2	-7	2.918	-2.61	0	36.173	-9999	-9999	0.681
2006	1	12	7.17517	-0.922	3.88	-3.041	4.333	-2.48	0	35.524	-9999	-9999	0.64
2006	1	13	7.67215	-0.928	4.555	-3.689	4.338	-2.648	0	34.823	-9999	-9999	0.63
2006	1	14	7.59059	-0.902	5.431	-3.442	4.769	-2.643	0	34.097	-9999	-9999	0.602
2006	1	15	7.82585	-4.668	0.994	-8.031	2.539	-3.327	0	33.526	-9999	-9999	0.619
2006	1	16	7.77678	-8.477	-4.314	-10.726	1.071	-4.31	0	32.771	-9999	-9999	0.875
2006	1	17	2.91643	-8.021	-6.373	-10.508	0.549	-3.711	1.585	31.996	-9999	-9999	1.058
2006	1	18	4.87814	-4.386	-1.578	-6.556	0.609	-2.08	3.895	32.099	-9999	-9999	1.754
2006	1	19	8.15296	-2.298	3.257	-5.544	2.435	-2.281	0.063	32.389	-9999	-9999	2.8
2006	1	20	8.10648	0.483	8.228	-3.079	4.091	-1.954	0	32.446	-9999	-9999	1.079
2006	1	21	8.30313	-0.569	5.193	-4.972	2.728	-1.669	0.135	32.546	-9999	-9999	2.29
