Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI
1	1	39.413542	-2.740625	-0.880000	-4.250000	0.248386	-9999.000000	0.000000	24.290729	-9999.000000
1	2	54.554790	-8.165417	-2.750000	-12.900000	0.652147	-9999.000000	0.200000	24.093146	-9999.000000
1	3	92.624333	-11.908125	-6.510000	-14.980000	1.115548	-9999.000000	-9999.000000	23.744396	-9999.000000
1	4	46.027773	-11.966458	-8.090000	-14.490000	1.002021	-9999.000000	-9999.000000	23.144750	-9999.000000
1	5	40.748704	-8.046458	-5.540000	-11.980000	0.587125	-9999.000000	-9999.000000	22.609917	-9999.000000
1	6	41.887908	-5.316458	-2.830000	-6.530000	0.660557	-9999.000000	-9999.000000	22.253542	-9999.000000
1	7	37.427615	-6.519167	-4.340000	-7.530000	0.337571	-9999.000000	-9999.000000	22.042917	-9999.000000
1	8	46.091438	-3.682708	0.380000	-7.850000	0.352413	-9999.000000	-9999.000000	21.879875	-9999.000000
1	9	28.160619	-1.700833	0.460000	-3.760000	0.362013	-9999.000000	-9999.000000	21.796729	-9999.000000
1	10	45.175492	-3.861875	-1.730000	-6.030000	0.352703	-9999.000000	-9999.000000	21.787583	-9999.000000
1	11	21.046115	-5.706667	-5.030000	-6.570000	0.293511	-9999.000000	-9999.000000	21.780813	-9999.000000
1	12	14.600123	-6.236667	-5.500000	-7.090000	0.314498	-9999.000000	-9999.000000	21.748458	-9999.000000
1	13	24.452865	-6.902500	-5.250000	-7.870000	0.397194	-9999.000000	-9999.000000	21.688021	-9999.000000
1	14	43.596754	-6.451875	-5.150000	-8.250000	0.455084	-9999.000000	0.000000	21.589437	-9999.000000
1	15	100.946333	-4.698125	-0.080000	-9.100000	0.856974	-9999.000000	0.000000	21.463792	-9999.000000
1	16	104.065850	-4.392500	-1.030000	-6.400000	1.580705	-9999.000000	0.000000	21.365021	-9999.000000
1	17	99.282167	-4.792500	-2.300000	-8.250000	1.005859	-9999.000000	0.000000	21.231667	-9999.000000
1	18	102.806258	-4.688750	-2.000000	-6.700000	1.795236	-9999.000000	0.000000	21.128521	-9999.000000
1	19	106.697958	-5.432708	-1.250000	-7.850000	2.127321	-9999.000000	0.000000	20.986000	-9999.000000
1	20	109.985671	-6.874167	-2.950000	-9.250000	1.385406	-9999.000000	0.000000	20.845583	-9999.000000
1	21	95.612333	-4.061875	-0.900000	-7.300000	1.947384	-9999.000000	0.000000	20.708688	-9999.000000
1	22	111.236479	-5.036458	-1.750000	-7.850000	1.828007	-9999.000000	0.000000	20.571313	-9999.000000
1	23	116.993125	-2.497292	1.150000	-5.480000	3.257454	-9999.000000	0.000000	20.421188	-9999.000000
1	24	91.775485	-2.865625	1.730000	-6.250000	3.574023	-9999.000000	0.000000	20.316104	-9999.000000
1	25	71.995833	-6.360625	-2.700000	-8.100000	1.691248	-9999.000000	0.000000	20.217104	-9999.000000
1	26	41.080958	-6.790625	-4.330000	-8.300000	1.201832	-9999.000000	0.000000	20.117083	-9999.000000
1	27	97.016671	-6.488750	-2.850000	-9.530000	2.013704	-9999.000000	0.000000	19.992458	-9999.000000
1	28	102.435142	-5.304167	-2.400000	-8.700000	1.919615	-9999.000000	0.000000	19.841479	-9999.000000
1	29	89.421377	-8.537292	-5.600000	-10.600000	1.420075	-9999.000000	0.000000	19.717812	-9999.000000
1	30	83.798167	-7.716042	-4.580000	-11.050000	1.187357	-9999.000000	0.000000	19.564813	-9999.000000
1	31	101.497521	-11.406042	-9.750000	-12.880000	1.238315	-9999.000000	0.000000	19.404604	-9999.000000
2	1	117.202390	-11.591667	-8.130000	-14.500000	1.393460	-9999.000000	0.000000	19.192979	-9999.000000
2	2	127.246052	-10.271042	-6.950000	-13.200000	1.519248	-9999.000000	0.000000	18.926875	-9999.000000
2	3	128.468948	-7.455000	-3.730000	-11.100000	1.390987	-9999.000000	0.000000	18.684354	-9999.000000
2	4	104.220429	-5.124375	-1.960000	-7.850000	1.130191	-9999.000000	-9999.000000	18.464500	-9999.000000
2	5	16.007375	-3.512500	-2.600000	-4.200000	0.466247	-9999.000000	6.200000	18.300667	-9999.000000
2	6	56.346237	-2.847083	-1.450000	-4.180000	0.844958	-9999.000000	1.400000	18.215104	-9999.000000
2	7	124.106748	-5.193125	-2.800000	-8.050000	1.418942	-9999.000000	0.000000	18.198146	-9999.000000
2	8	146.922038	-6.644167	-2.450000	-9.300000	1.748891	-9999.000000	0.000000	18.190562	-9999.000000
2	9	109.518604	-7.842083	-4.700000	-10.250000	1.039262	-9999.000000	0.000000	18.189125	-9999.000000
2	10	52.718031	-6.993125	-4.000000	-9.330000	0.898787	-9999.000000	2.000000	18.103792	-9999.000000
2	11	69.626235	-8.664167	-6.500000	-10.300000	0.548174	-9999.000000	0.200000	18.007417	-9999.000000
2	12	150.304104	-7.213125	-3.100000	-10.000000	1.007810	-9999.000000	0.000000	17.948708	-9999.000000
2	13	153.577396	-7.552708	-3.450000	-10.550000	1.384427	-9999.000000	0.000000	17.891625	-9999.000000
2	14	155.077750	-7.281042	-3.830000	-9.700000	1.191728	-9999.000000	0.000000	17.836000	-9999.000000
2	15	154.336750	-7.683750	-4.100000	-10.300000	1.125590	-9999.000000	0.000000	17.731125	-9999.000000
2	16	98.544265	-6.487917	-3.500000	-8.800000	0.763396	-9999.000000	0.000000	17.636708	-9999.000000
2	17	91.420723	-2.712917	-0.350000	-5.300000	0.976548	-9999.000000	-9999.000000	17.567500	-9999.000000
2	18	92.487231	-0.693542	1.700000	-2.200000	0.608415	-9999.000000	1.000000	17.543063	-9999.000000
2	19	24.376921	-1.037917	-0.400000	-1.700000	0.353761	-9999.000000	1.000000	17.614792	-9999.000000
2	20	48.374375	-6.046042	-2.050000	-9.830000	0.731888	-9999.000000	0.000000	17.760979	-9999.000000
2	21	171.246885	-7.571875	-4.250000	-10.400000	0.980026	-9999.000000	0.200000	17.870479	-9999.000000
2	22	25.398985	-4.793542	-3.500000	-7.650000	0.415060	-9999.000000	0.000000	17.900250	-9999.000000
2	23	80.446519	-1.995417	0.750000	-3.800000	0.613518	-9999.000000	0.400000	17.926229	-9999.000000
2	24	102.196481	-0.491042	2.100000	-2.900000	0.990593	-9999.000000	0.000000	17.971146	-9999.000000
2	25	118.099125	-0.666042	1.400000	-1.850000	0.785229	-9999.000000	0.000000	18.039208	-9999.000000
2	26	42.824592	-1.982083	-0.350000	-5.680000	0.447058	-9999.000000	3.000000	18.127354	-9999.000000
2	27	171.531673	-3.852708	-0.330000	-8.450000	1.650995	-9999.000000	4.400000	18.203500	-9999.000000
2	28	48.257752	-2.945208	-0.800000	-4.000000	0.948324	-9999.000000	0.000000	18.265437	-9999.000000
3	1	189.872046	-0.988750	3.650000	-5.250000	2.256810	-9999.000000	0.200000	18.316521	-9999.000000
3	2	160.207875	-0.604375	3.000000	-3.080000	2.903653	-9999.000000	1.800000	18.349667	-9999.000000
3	3	140.527765	-1.960417	1.030000	-4.350000	2.260147	-9999.000000	0.000000	18.381333	-9999.000000
3	4	105.064567	-2.637083	0.450000	-6.430000	1.812766	-9999.000000	0.000000	18.440083	-9999.000000
3	5	196.142769	-9.795000	-6.600000	-13.930000	1.610526	-9999.000000	0.000000	18.486333	-9999.000000
3	6	143.314208	-10.655417	-6.530000	-14.600000	1.632575	-9999.000000	0.000000	18.401229	-9999.000000
3	7	180.122125	-9.254792	-5.600000	-12.200000	2.026954	-9999.000000	0.000000	18.190187	-9999.000000
3	8	222.225835	-10.215000	-6.030000	-13.750000	2.202284	-9999.000000	0.000000	17.937042	-9999.000000
3	9	148.842771	-10.889583	-7.700000	-15.550000	1.423137	-9999.000000	0.000000	17.698396	-9999.000000
3	10	103.784138	-6.283542	-2.750000	-8.800000	1.298266	-9999.000000	0.000000	17.427271	-9999.000000
3	11	57.157646	-6.273542	-5.000000	-7.530000	0.534279	-9999.000000	0.000000	17.212958	-9999.000000
3	12	173.945646	-5.609167	-1.700000	-8.700000	1.634279	-9999.000000	0.000000	17.073271	-9999.000000
3	13	206.083675	-4.881667	-0.300000	-9.450000	2.070697	-9999.000000	0.000000	16.977937	-9999.000000
3	14	230.597123	-2.637083	2.730000	-6.300000	3.448662	-9999.000000	0.000000	16.892687	-9999.000000
3	15	211.431650	-4.517708	-0.230000	-8.050000	2.249631	-9999.000000	0.000000	16.841417	-9999.000000
3	16	231.573271	-2.858542	1.730000	-6.550000	2.557683	-9999.000000	0.000000	16.825896	-9999.000000
3	17	169.843325	-1.661042	2.500000	-5.300000	3.379970	-9999.000000	0.000000	16.872354	-9999.000000
3	18	211.651042	1.319792	6.350000	-2.230000	4.226299	-9999.000000	0.000000	17.369292	-9999.000000
3	19	188.824271	0.338333	4.050000	-1.400000	1.283624	-9999.000000	0.000000	21.791437	-9999.000000
