Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall			
1	1	7.73	-3.26	1.26	-5.73	3.337184	-1.42	0	-9999	-9999	-9999	-9999			
1	2	7.77	-6.06	-1.56	-12.18	2.179353	-1.79	0	-9999	-9999	-9999	-9999			
1	3	8.08	-11.72	-8.49	-14.38	1.371638	-3.33	0	-9999	-9999	-9999	-9999			
1	4	5.23	-12.34	-8.82	-14.44	0.393319	-3.81	0	-9999	-9999	-9999	-9999			
1	5	7.95	-12.41	-8.99	-14.51	0.55928	-4.31	0	-9999	-9999	-9999	-9999			
1	6	1.1	-6.06	-1.7	-11.99	0.230265	-3.08	0	-9999	-9999	-9999	-9999			
1	7	0.78	0.28	1.22	-1.65	0.249791	-0.92	0	-9999	-9999	-9999	-9999			
1	8	0.6	1.18	1.48	0.9	0.266189	-0.1	0	-9999	-9999	-9999	-9999			
1	9	0.99	1.13	1.31	0.89	0.265307	0.03	0.4	-9999	-9999	-9999	-9999			
1	10	1.19	0.78	1.36	0.17	0.332534	0.05	6.2	-9999	-9999	-9999	-9999			
1	11	2.51	0.29	1.35	-2	0.24993	0	8.2	-9999	-9999	-9999	-9999			
1	12	7.18	-2.21	0.3	-3.95	0.210781	-0.42	0	-9999	-9999	-9999	-9999			
1	13	8.42	1.08	4.66	-3.83	2.115593	-0.25	0	-9999	-9999	-9999	-9999			
1	14	7.97	3.87	8.58	1.58	3.962749	0.07	0	-9999	-9999	-9999	-9999			
1	15	7.95	1.27	4.32	-1.51	4.139402	0.07	0	-9999	-9999	-9999	-9999			
1	16	8.53	2.66	9.16	-0.99	5.462729	0.05	0	-9999	-9999	-9999	-9999			
1	17	8.67	0.74	4.78	-2.08	4.94645	0.06	0	-9999	-9999	-9999	-9999			
1	18	8.75	-0.05	3.76	-3.15	3.999972	-0.01	0	-9999	-9999	-9999	-9999			
1	19	2.79	-3.33	-0.09	-7.95	2.169775	-0.4	0	-9999	-9999	-9999	-9999			
1	20	4.78	-9.21	-7.01	-11.77	1.631101	-1.9	0	-9999	-9999	-9999	-9999			
1	21	4.92	-10.35	-7.01	-12.76	1.472926	-3.21	0	-9999	-9999	-9999	-9999			
1	22	9.47	-9.24	-5.2	-13.19	1.713376	-3.56	0	-9999	-9999	-9999	-9999			
1	23	9.76	-6.01	-0.86	-9.62	3.066274	-3.43	0	-9999	-9999	-9999	-9999			
1	24	10.12	-5.86	-2.23	-8.74	1.922084	-2.83	0	-9999	-9999	-9999	-9999			
1	25	6.57	-6.77	-3.05	-9.53	1.257441	-2.62	0	-9999	-9999	-9999	-9999			
1	26	8.75	-6.43	-2.61	-9.17	1.334628	-2.7	0	-9999	-9999	-9999	-9999			
1	27	9.94	-7.18	-3.38	-9.97	1.028321	-3.13	0	-9999	-9999	-9999	-9999			
1	28	10.24	-6.59	-3.24	-9.01	1.455824	-3.05	0	-9999	-9999	-9999	-9999			
1	29	4.86	-7.33	-4.42	-10.52	1.410095	-3.16	0	-9999	-9999	-9999	-9999			
1	30	9.4	-5.17	-0.3	-9.11	1.790481	-2.74	0	-9999	-9999	-9999	-9999			
1	31	11.06	-4.37	0.36	-7.17	2.019413	-2.48	0	-9999	-9999	-9999	-9999			
2	1	11.54	-3.5	1.1	-7.12	3.510382	-2.5	0	-9999	-9999	-9999	-9999			
2	2	11.51	-1.5	1.79	-3.86	4.473961	-2.19	0	-9999	-9999	-9999	-9999			
2	3	8.84	0.79	4.77	-3.07	5.683023	-1.87	0	-9999	-9999	-9999	-9999			
2	4	9.54	0.15	5.07	-3.56	4.518551	-1.42	0	-9999	-9999	-9999	-9999			
