Year	CO2_conc
2001	300.352
2002	300.666
2003	300.98
2004	301.294
2005	301.608
2006	301.923
2007	302.237
2008	302.551
2009	302.862
2010	303.172
2011	303.478
2012	303.779
2013	304.075
2014	304.366
2015	304.651
2016	304.93
2017	305.206
2018	305.478
2019	305.746
2020	306.013
2021	306.28
2022	306.546
2023	306.815
2024	307.087
2025	307.365
2026	307.65
2027	307.943
2028	308.246
2029	308.56
2030	308.887
2031	309.228
2032	309.585
2033	309.956
2034	310.344
2035	310.749
2036	311.172
2037	311.615
2038	312.077
2039	312.561
2040	313.068
2041	313.599
2042	314.154
2043	314.737
2044	315.347
2045	315.984
2046	316.666
2047	317.419
2048	318.115
2049	318.802
2050	319.438
2051	320.231
2052	321.034
2053	322.04
2054	323.126
2055	324.291
2056	325.38
2057	326.321
2058	327.653
2059	328.961
2060	330.192
2061	331.016
2062	332.233
2063	333.683
2064	335.248
2065	336.843
2066	338.318
2067	339.745
2068	341.109
2069	342.604
2070	344.193
2071	345.649
2072	347.15
2073	349.013
2074	350.939
2075	352.701
2076	354.089
2077	355.268
2078	356.255
2079	357.389
2080	358.86
2081	360.9
2082	362.58
2083	363.84
2084	366.58
2085	368.28
2086	369.4
2087	371.03
