Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	6.23	-7.38	-2.78	-9.96	1.88	-4.47	0	-9999	-9999	-9999	-9999
1	2	2.75	-9.8	-8.72	-10.57	1.02	-4.49	0	-9999	-9999	-9999	-9999
1	3	2.15	-8.81	-7.02	-10.51	0.53	-3.72	0	-9999	-9999	-9999	-9999
1	4	1.32	-4.52	-3.12	-7.26	0.43	-2.48	0.8	-9999	-9999	-9999	-9999
1	5	1.18	-2.28	-1.2	-3.54	0.34	-1.51	4	-9999	-9999	-9999	-9999
1	6	2.6	-1.45	-0.13	-2.46	0.3	-1.01	1.2	-9999	-9999	-9999	-9999
1	7	5.29	-0.06	2.14	-1.91	0.66	-1.46	0	-9999	-9999	-9999	-9999
1	8	7.17	-0.79	2.86	-2.73	1.68	-2.13	0	-9999	-9999	-9999	-9999
1	9	2.99	-2.93	-1.7	-3.73	0.95	-1.71	0	-9999	-9999	-9999	-9999
1	10	7.09	-1.93	1.72	-3.86	0.96	-2.07	0	-9999	-9999	-9999	-9999
1	11	1.25	-1.87	-0.68	-3.51	0.39	-1.09	0.6	-9999	-9999	-9999	-9999
1	12	1.05	-0.57	0.25	-3.08	0.16	-0.54	5.2	-9999	-9999	-9999	-9999
1	13	2.16	-1.46	0.81	-3.35	0.27	-0.53	0.8	-9999	-9999	-9999	-9999
1	14	1.36	-2.48	-1.52	-3.08	0.17	-0.37	1.8	-9999	-9999	-9999	-9999
1	15	0.69	-3.13	-2.66	-3.45	0.19	-0.65	0.4	-9999	-9999	-9999	-9999
1	16	0.88	-2.7	-2.28	-3.38	0.19	-0.69	7.4	-9999	-9999	-9999	-9999
1	17	0.42	-1.95	-0.65	-2.52	0.23	-0.55	8.4	-9999	-9999	-9999	-9999
1	18	4.63	-1.08	0.83	-2.62	0.35	-0.32	0	-9999	-9999	-9999	-9999
1	19	5.78	4.12	7.23	-0.02	0.51	0.08	0	-9999	-9999	-9999	-9999
1	20	7.83	8.01	13.52	4.87	6.5	0.1	0	-9999	-9999	-9999	-9999
1	21	7.34	7.08	14.38	1.09	8.37	0.11	0	-9999	-9999	-9999	-9999
1	22	7.49	-0.15	5.12	-7	2.74	0.11	0	-9999	-9999	-9999	-9999
1	23	8.79	-2.42	3.75	-7.82	3.87	-0.06	0	-9999	-9999	-9999	-9999
1	24	8.46	3.38	9.99	-2.15	4.53	-0.16	0	-9999	-9999	-9999	-9999
1	25	6.56	3.2	7.47	0.78	4.53	-0.07	0	-9999	-9999	-9999	-9999
1	26	7.71	5.04	10.21	0.27	8.01	-0.37	0	-9999	-9999	-9999	-9999
1	27	9.22	5.55	7.42	3.39	5.88	-0.38	0.4	-9999	-9999	-9999	-9999
1	28	7.13	7.12	10.78	4.13	4.77	-0.05	0	-9999	-9999	-9999	-9999
1	29	9.21	5.16	12.87	-0.28	4.81	0.08	0	-9999	-9999	-9999	-9999
1	30	2.18	-1.62	0.69	-2.79	0.61	0.09	0	-9999	-9999	-9999	-9999
1	31	9.9	-0.85	4.24	-3.27	1.76	0.05	0	-9999	-9999	-9999	-9999
2	1	1.23	-3.3	-2.76	-3.85	0.23	-0.04	0	-9999	-9999	-9999	-9999
2	2	1.83	-4.01	-2.34	-6.13	0.42	-0.19	2.2	-9999	-9999	-9999	-9999
2	3	6.43	-3.56	0.59	-6.28	0.93	-0.6	1	-9999	-9999	-9999	-9999
2	4	2.28	-2.62	-1.59	-3.99	0.33	-0.39	3.4	-9999	-9999	-9999	-9999
2	5	7.8	-1.7	2.11	-4.18	0.6	-0.22	1.4	-9999	-9999	-9999	-9999
2	6	9.39	0.47	5.85	-2.05	1.49	-0.27	0	-9999	-9999	-9999	-9999
2	7	11.29	-2.71	-0.96	-4.39	2.36	-0.49	0	-9999	-9999	-9999	-9999
2	8	11.19	-0.42	4.14	-4.05	5.06	-0.89	0	-9999	-9999	-9999	-9999
2	9	11.03	-0.44	5.87	-4.38	4.03	-0.91	0	-9999	-9999	-9999	-9999
2	10	10.79	-1.64	3.27	-4.64	2.59	-0.98	0	-9999	-9999	-9999	-9999
2	11	11.91	-0.57	3.53	-5.15	4.38	-1.1	0	-9999	-9999	-9999	-9999
2	12	12.03	1	4.82	-2.54	5.45	-0.97	0	-9999	-9999	-9999	-9999
2	13	12.12	0.45	5.47	-3.42	4.59	-1.09	0	-9999	-9999	-9999	-9999
2	14	12.28	2.31	8.3	-0.8	6.05	-1.06	0	-9999	-9999	-9999	-9999
2	15	12.73	0.4	3.94	-3.73	4.5	-0.94	0	-9999	-9999	-9999	-9999
2	16	13.37	-3.2	-0.46	-7.23	4.49	-1.48	0	-9999	-9999	-9999	-9999
2	17	13.44	-4.15	3.16	-11.1	2.51	-1.92	0	-9999	-9999	-9999	-9999
2	18	13.3	1.46	6.62	-1.73	6.07	-1.52	0	-9999	-9999	-9999	-9999
2	19	13.31	1.99	7.58	-2.12	6.22	-1.2	0	-9999	-9999	-9999	-9999
2	20	11.65	-1.96	3.66	-5.53	2.26	-1.22	0	-9999	-9999	-9999	-9999
2	21	11.8	1.05	9.36	-5.56	2.81	-1.03	0	-9999	-9999	-9999	-9999
2	22	9.09	4.28	8.93	0.85	4.14	-0.16	0	-9999	-9999	-9999	-9999
2	23	12.5	7.14	11.71	3.13	4.84	0.1	0	-9999	-9999	-9999	-9999
2	24	13.83	6.47	10.06	3.76	4.58	0.12	0	-9999	-9999	-9999	-9999
2	25	13.46	5.27	10.58	1.62	4.87	0.12	0	-9999	-9999	-9999	-9999
2	26	14.79	3.02	7.63	-1.74	3.83	0.12	0	-9999	-9999	-9999	-9999
2	27	14.09	3.21	9.66	-1.57	2.7	0.11	0	-9999	-9999	-9999	-9999
2	28	14.85	2.22	6.23	-0.62	2.55	0.1	0	-9999	-9999	-9999	-9999
3	1	3.42	0.39	6.69	-2.07	0.22	0.11	1.6	-9999	-9999	-9999	-9999
3	2	15.64	4.73	2.3	-1.16	3.06	0.12	0	-9999	-9999	-9999	-9999
3	3	15.3	5.84	10.5	-0.95	4.53	0.12	0	-9999	-9999	-9999	-9999
3	4	3.31	-4.59	9.78	1.96	0.64	0.12	3.4	-9999	-9999	-9999	-9999
3	5	14.15	-7.75	1.62	-6.78	1.36	-0.09	0	-9999	-9999	-9999	-9999
3	6	10.51	-5.05	-5	-11.88	2.49	-0.6	0	-9999	-9999	-9999	-9999
3	7	9.23	3.22	-0.09	-11.98	3.13	-0.11	0	-9999	-9999	-9999	-9999
3	8	11.11	-0.86	6.21	-1.89	0.97	0.09	0	-9999	-9999	-9999	-9999
3	9	1.35	-2.17	2.52	-2.44	0.18	0.1	0	-9999	-9999	-9999	-9999
3	10	2.96	-1.95	-1.89	-2.42	0.2	0.07	1	-9999	-9999	-9999	-9999
3	11	11.16	-1.58	-0.91	-2.56	0.48	0.06	2.8	-9999	-9999	-9999	-9999
3	12	16.3	1.16	0.19	-3.2	1.17	0.07	0	-9999	-9999	-9999	-9999
3	13	18.57	1.48	6.07	-1.75	3.91	0.1	0	-9999	-9999	-9999	-9999
3	14	15.92	3.25	7.7	-2.81	3.43	0.1	0	-9999	-9999	-9999	-9999
3	15	17.49	4.48	8.65	-0.87	3.6	0.14	0	-9999	-9999	-9999	-9999
