Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip 	SWC	LAI 	ET	LITTERFALL
1	1	-9999	-9999	-1.03	-2.33	6.98	-9999	27	-9999	0	-9999	-9999
1	2	3	-9999	2.67	-1.33	6.98	-9999	0	-9999	0	-9999	-9999
1	3	5	-9999	7.07	-2.63	6.08	-9999	0	-9999	0	-9999	-9999
1	4	5	-9999	9.37	-0.33	5.54	-9999	0	-9999	0	-9999	-9999
1	5	4	-9999	7.57	-1.33	5.88	-9999	0	-9999	0	-9999	-9999
1	6	5	-9999	10.07	-1.03	5.44	-9999	0	-9999	0	-9999	-9999
1	7	5	-9999	5.97	-2.13	6.84	-9999	0	-9999	0	-9999	-9999
1	8	4	-9999	5.87	-2.33	7.41	-9999	0	-9999	0	-9999	-9999
1	9	5	-9999	7.07	-4.13	6.14	-9999	0	-9999	0	-9999	-9999
1	10	-9999	-9999	-1.03	-3.93	5.99	-9999	12.6	-9999	0	-9999	-9999
1	11	-9999	-9999	-0.53	-2.33	6.58	-9999	40.4	-9999	0	-9999	-9999
1	12	4	-9999	3.47	-4.33	6.24	-9999	2.4	-9999	0	-9999	-9999
1	13	7	-9999	1.57	-6.73	5.28	-9999	0	-9999	0	-9999	-9999
1	14	4	-9999	2.17	-6.73	3.58	-9999	0	-9999	0	-9999	-9999
1	15	6	-9999	4.07	-5.93	3.88	-9999	12.2	-9999	0	-9999	-9999
1	16	6	-9999	5.27	-4.53	4.88	-9999	0	-9999	0	-9999	-9999
1	17	2	-9999	1.47	-1.43	6.24	-9999	0	-9999	0	-9999	-9999
1	18	6	-9999	5.87	-1.33	6.81	-9999	0	-9999	0	-9999	-9999
1	19	6	-9999	9.77	-1.73	6.54	-9999	0	-9999	0	-9999	-9999
1	20	6	-9999	9.57	-2.33	5.38	-9999	0	-9999	0	-9999	-9999
1	21	6	-9999	9.37	-2.33	5.18	-9999	0	-9999	0	-9999	-9999
1	22	6	-9999	8.47	-2.73	4.91	-9999	0	-9999	0	-9999	-9999
1	23	6	-9999	7.87	-3.43	4.81	-9999	0	-9999	0	-9999	-9999
1	24	6	-9999	7.27	-4.23	4.88	-9999	0	-9999	0	-9999	-9999
1	25	6	-9999	6.87	-2.73	4.68	-9999	0	-9999	0	-9999	-9999
1	26	5	-9999	4.87	-2.73	5.91	-9999	0	-9999	0	-9999	-9999
1	27	8	-9999	4.57	-2.73	5.24	-9999	0	-9999	0	-9999	-9999
1	28	1	-9999	0.97	-2.63	4.34	-9999	10.6	-9999	0	-9999	-9999
1	29	8	-9999	2.27	-6.43	4.41	-9999	0.4	-9999	0	-9999	-9999
1	30	8	-9999	-0.63	-10.53	2.6	-9999	0	-9999	0	-9999	-9999
1	31	8	-9999	1.47	-11.73	1.24	-9999	0	-9999	0	-9999	-9999
2	1	5	-9999	-2.73	-11.73	2.21	-9999	0	-9999	0	-9999	-9999
2	2	7	-9999	3.07	-8.43	2.68	-9999	0	-9999	0	-9999	-9999
2	3	8	-9999	5.27	-3.63	3.48	-9999	0	-9999	0	-9999	-9999
2	4	7	-9999	12.27	0.97	4.34	-9999	0	-9999	0	-9999	-9999
2	5	9	-9999	13.47	1.57	3.71	-9999	0	-9999	0	-9999	-9999
2	6	4	-9999	2.17	-3.13	3.54	-9999	0.2	-9999	0	-9999	-9999
2	7	4	-9999	3.67	-3.13	3.88	-9999	0	-9999	0	-9999	-9999
2	8	8	-9999	-1.23	-6.43	2.14	-9999	0.2	-9999	0	-9999	-9999
2	9	1	-9999	-3.63	-7.33	4.28	-9999	1.6	-9999	0	-9999	-9999
2	10	10	-9999	-0.63	-7.73	4.41	-9999	0	-9999	0	-9999	-9999
2	11	10	-9999	-1.03	-7.93	2.81	-9999	0	-9999	0	-9999	-9999
2	12	10	-9999	-0.23	-10.33	2.66	-9999	0	-9999	0	-9999	-9999
2	13	10	-9999	0.07	-11.53	1.88	-9999	0	-9999	0	-9999	-9999
2	14	10	-9999	-0.13	-8.93	2.78	-9999	0	-9999	0	-9999	-9999
2	15	8	-9999	-1.73	-10.53	3.91	-9999	0	-9999	0	-9999	-9999
2	16	8	-9999	3.27	-8.73	4.08	-9999	0	-9999	0	-9999	-9999
2	17	9	-9999	4.77	-1.93	5.41	-9999	0	-9999	0	-9999	-9999
2	18	11	-9999	8.57	-2.03	3.98	-9999	0	-9999	0	-9999	-9999
2	19	9	-9999	6.17	-4.23	5.21	-9999	0	-9999	0	-9999	-9999
2	20	8	-9999	7.47	-1.83	7.04	-9999	0	-9999	0	-9999	-9999
2	21	8	-9999	10.17	-0.63	7.18	-9999	0	-9999	0	-9999	-9999
2	22	2	-9999	5.17	-3.93	5.44	-9999	1.4	-9999	0	-9999	-9999
2	23	8	-9999	-0.63	-5.23	2.94	-9999	0	-9999	0	-9999	-9999
2	24	8	-9999	4.27	-7.43	2.84	-9999	0	-9999	0	-9999	-9999
2	25	11	-9999	5.27	-4.23	3.68	-9999	0	-9999	0	-9999	-9999
2	26	12	-9999	7.57	-4.03	4.34	-9999	0	-9999	0	-9999	-9999
2	27	12	-9999	8.37	-2.33	4.78	-9999	0	-9999	0	-9999	-9999
2	28	10	-9999	7.67	-2.33	5.31	-9999	0	-9999	0	-9999	-9999
3	1	10	-9999	8.77	-2.13	6.84	-9999	0	-9999	0	-9999	-9999
3	2	10	-9999	14.47	-0.03	7.81	-9999	0	-9999	0	-9999	-9999
3	3	-9999	-9999	1.87	-0.33	8.71	-9999	8.2	-9999	0	-9999	-9999
3	4	-9999	-9999	1.97	-1.73	8.31	-9999	74.4	-9999	0	-9999	-9999
3	5	8	-9999	6.47	-3.43	5.74	-9999	0	-9999	0	-9999	-9999
3	6	8	-9999	2.07	-4.53	5.64	-9999	0	-9999	0	-9999	-9999
3	7	14	-9999	3.77	-4.93	4.44	-9999	0	-9999	0	-9999	-9999
3	8	13	-9999	5.67	-6.73	6.3	-9999	0	-9999	0	-9999	-9999
3	9	6	-9999	7.67	-2.03	6.78	-9999	0	-9999	0	-9999	-9999
3	10	9	-9999	6.07	-0.93	7.64	-9999	0	-9999	0	-9999	-9999
3	11	8	-9999	10.37	-1.03	8.04	-9999	0	-9999	0	-9999	-9999
3	12	13	-9999	10.07	-0.53	8.48	-9999	0	-9999	0	-9999	-9999
3	13	14	-9999	14.07	0.67	8.34	-9999	0	-9999	0	-9999	-9999
3	14	14	-9999	14.27	1.57	8.51	-9999	0	-9999	0	-9999	-9999
3	15	15	-9999	17.37	2.37	8.34	-9999	0	-9999	0	-9999	-9999
3	16	15	-9999	15.47	1.87	8.18	-9999	0	-9999	0	-9999	-9999
3	17	13	-9999	5.67	-0.93	6.48	-9999	0	-9999	0	-9999	-9999
3	18	12	-9999	4.87	-4.53	4.44	-9999	0	-9999	0	-9999	-9999
