Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip 	SWC	LAI 
1	1	4	-9999	1.07	-7.43	4.48	-9999	0	-9999	0
1	2	-9999	-9999	-2.33	-6.13	5.31	-9999	0	-9999	0
1	3	4	-9999	3.17	-5.33	5.61	-9999	1	-9999	0
1	4	-9999	-9999	-0.63	-4.43	5.98	-9999	0	-9999	0
1	5	3	-9999	0.67	-4.83	6.41	-9999	0.6	-9999	0
1	6	-9999	-9999	-0.13	-1.63	6.98	-9999	1	-9999	0
1	7	-9999	-9999	1.17	-1.03	7.98	-9999	15.8	-9999	0
1	8	3	-9999	3.77	-0.23	7.84	-9999	16.6	-9999	0
1	9	5	-9999	5.57	-2.13	4.88	-9999	2.6	-9999	0
1	10	-9999	-9999	0.77	-2.33	6.74	-9999	0	-9999	0
1	11	5	-9999	5.67	-1.33	7.14	-9999	0	-9999	0
1	12	4	-9999	5.47	-0.03	7.74	-9999	0	-9999	0
1	13	-9999	-9999	0.27	-3.23	5.84	-9999	3.8	-9999	0
1	14	1	-9999	-3.23	-6.33	3.68	-9999	1.6	-9999	0
1	15	3	-9999	-3.43	-9.63	3.41	-9999	0	-9999	0
1	16	6	-9999	-1.33	-10.63	3.58	-9999	0	-9999	0
1	17	5	-9999	-2.13	-9.73	4.18	-9999	0	-9999	0
1	18	3	-9999	0.07	-5.63	5.24	-9999	0	-9999	0
1	19	2	-9999	0.47	-4.43	5.74	-9999	0.8	-9999	0
1	20	6	-9999	5.67	-4.83	5.24	-9999	0	-9999	0
1	21	6	-9999	4.47	-5.33	5.34	-9999	0	-9999	0
1	22	6	-9999	3.67	-4.23	6.28	-9999	0	-9999	0
1	23	6	-9999	5.27	-2.83	6.68	-9999	0	-9999	0
1	24	-9999	-9999	0.27	-2.93	6.88	-9999	0	-9999	0
1	25	-9999	-9999	0.97	-3.03	7.18	-9999	11.2	-9999	0
1	26	7	-9999	5.57	-2.33	7.54	-9999	3.4	-9999	0
1	27	5	-9999	3.87	-4.53	7.18	-9999	0	-9999	0
1	28	7	-9999	5.07	-5.63	5.78	-9999	7.2	-9999	0
1	29	6	-9999	7.27	-4.23	5.61	-9999	0	-9999	0
1	30	8	-9999	7.07	-4.43	5.61	-9999	0	-9999	0
1	31	8	-9999	6.97	-5.43	4.78	-9999	0	-9999	0
2	1	8	-9999	3.57	-7.13	4.78	-9999	0	-9999	0
2	2	8	-9999	3.57	-8.53	2.34	-9999	0	-9999	0
2	3	6	-9999	1.77	-6.83	3.71	-9999	0	-9999	0
2	4	6	-9999	4.17	-4.33	5.54	-9999	1.8	-9999	0
2	5	8	-9999	5.57	-1.83	6.71	-9999	0	-9999	0
2	6	2	-9999	3.07	-1.93	7.84	-9999	0.2	-9999	0
2	7	-9999	-9999	2.57	0.47	8.48	-9999	0	-9999	0
2	8	-9999	-9999	2.57	-1.43	8.31	-9999	7.8	-9999	0
2	9	7	-9999	7.37	-1.33	8.41	-9999	40	-9999	0
2	10	9	-9999	9.37	-2.33	6.94	-9999	5.2	-9999	0
2	11	9	-9999	9.97	-2.13	6.38	-9999	0	-9999	0
2	12	9	-9999	9.47	-0.93	6.01	-9999	0	-9999	0
2	13	9	-9999	10.17	0.27	6.04	-9999	0	-9999	0
2	14	9	-9999	9.07	-1.13	7.41	-9999	0	-9999	0
2	15	9	-9999	7.47	-1.93	6.81	-9999	0	-9999	0
2	16	10	-9999	10.47	-1.03	6.94	-9999	0	-9999	0
2	17	10	-9999	9.47	-1.63	7.71	-9999	0	-9999	0
2	18	10	-9999	9.77	-2.83	6.21	-9999	1	-9999	0
2	19	10	-9999	8.37	0.97	5.88	-9999	0	-9999	0
2	20	11	-9999	11.57	-0.03	5.44	-9999	0	-9999	0
2	21	10	-9999	13.27	-2.73	6.71	-9999	0	-9999	0
2	22	12	-9999	12.27	8.47	5.74	-9999	0	-9999	0
2	23	12	-9999	10.47	5.27	6.38	-9999	0	-9999	0
2	24	13	-9999	5.67	-3.43	6.28	-9999	0	-9999	0
2	25	7	-9999	-0.23	-7.73	4.98	-9999	0	-9999	0
2	26	13	-9999	2.27	-7.53	3.64	-9999	0	-9999	0
2	27	6	-9999	-1.33	-7.93	4.11	-9999	0	-9999	0
2	28	-9999	-9999	-4.23	-6.53	5.08	-9999	2.8	-9999	0
3	1	-9999	-9999	4.17	-9.53	5.11	-9999	4	-9999	0
3	2	7	-9999	1.57	-7.43	5.21	-9999	0	-9999	0
3	3	10	-9999	5.47	-4.53	6.44	-9999	4.2	-9999	0
3	4	4	-9999	2.97	-1.03	7.98	-9999	0.4	-9999	0
3	5	13	-9999	13.37	-0.23	9.94	-9999	3.8	-9999	0
3	6	11	-9999	8.67	-0.23	9.01	-9999	0	-9999	0
3	7	5	-9999	4.77	1.77	8.11	-9999	0	-9999	0
3	8	1	-9999	1.87	-1.43	8.04	-9999	0	-9999	0
3	9	13	-9999	9.07	-0.73	8.51	-9999	20.2	-9999	0
3	10	9	-9999	6.37	-0.03	9.48	-9999	0.2	-9999	0
3	11	11	-9999	8.57	-0.63	9.54	-9999	0.6	-9999	0
3	12	-9999	-9999	6.17	0.07	10.21	-9999	0	-9999	0
3	13	16	-9999	10.37	0.77	7.71	-9999	15.4	-9999	0
3	14	15	-9999	11.17	0.97	5.64	-9999	0.2	-9999	0
3	15	14	-9999	13.27	0.07	7.91	-9999	0	-9999	0
3	16	4	-9999	9.07	0.57	10.68	-9999	0	-9999	0
3	17	2	-9999	3.77	-0.23	9.81	-9999	0.8	-9999	0
3	18	11	-9999	10.67	-0.83	9.88	-9999	12.6	-9999	0
3	19	17	-9999	13.97	0.87	9.64	-9999	1	-9999	0
3	20	12	-9999	15.07	1.17	9.44	-9999	0	-9999	0
3	21	8	-9999	10.47	2.27	11.11	-9999	0.8	-9999	0
3	22	9	-9999	14.47	-9999	8.44	-9999	0.2	-9999	0
3	23	15	-9999	16.97	4.27	8.48	-9999	7.2	-9999	0
3	24	11	-9999	13.27	3.67	12.08	-9999	0	-9999	0
3	25	8	-9999	12.17	4.07	11.28	-9999	0.2	-9999	0
3	26	14	-9999	14.27	2.87	8.84	-9999	8.8	-9999	0
3	27	17	-9999	14.27	1.57	9.41	-9999	0	-9999	0
3	28	2	-9999	5.57	3.27	9.88	-9999	0	-9999	0
3	29	1	-9999	3.57	-1.43	9.74	-9999	1.6	-9999	0
3	30	18	-9999	10.77	-1.33	8.08	-9999	39.6	-9999	0
3	31	19	-9999	15.97	-0.33	7.68	-9999	0	-9999	0
4	1	19	-9999	15.27	1.37	9.11	-9999	0	-9999	0
4	2	16	-9999	13.97	2.97	8.94	-9999	0	-9999	0
4	3	16	-9999	14.67	1.77	9.44	-9999	0	-9999	0
4	4	-9999	-9999	6.87	2.57	10.78	-9999	0	-9999	0
4	5	20	-9999	12.17	0.57	6.71	-9999	16	-9999	0
4	6	20	-9999	14.77	-0.43	7.88	-9999	0	-9999	0
4	7	3	-9999	6.07	-1.43	9.88	-9999	0	-9999	0
4	8	21	-9999	11.67	-1.63	6.34	-9999	9	-9999	0
4	9	20	-9999	14.07	0.87	5.28	-9999	0	-9999	0
4	10	12	-9999	11.47	2.17	8.18	-9999	0	-9999	0
4	11	20	-9999	12.27	3.47	9.71	-9999	0	-9999	0
4	12	22	-9999	15.37	1.77	7.58	-9999	0	-9999	0
4	13	23	-9999	12.97	-0.53	6.81	-9999	0	-9999	0
4	14	23	-9999	7.97	-2.63	6.18	-9999	0	-9999	0
4	15	18	-9999	9.57	-3.43	6.58	-9999	0	-9999	0
4	16	20	-9999	11.57	0.37	8.14	-9999	0	-9999	0
4	17	24	-9999	12.07	-0.83	6.24	-9999	0.2	-9999	0
4	18	12	-9999	10.47	0.77	8.04	-9999	0	-9999	0
4	19	12	-9999	8.97	0.17	8.88	-9999	0.4	-9999	0
4	20	19	-9999	8.77	-0.93	7.91	-9999	0.8	-9999	0
4	21	16	-9999	7.47	1.17	6.61	-9999	0	-9999	0
4	22	19	-9999	11.37	-1.03	5.48	-9999	0	-9999	0
4	23	15	-9999	10.87	-1.63	6.84	-9999	0	-9999	0
4	24	23	-9999	17.57	0.17	9.54	-9999	0	-9999	0
4	25	2	-9999	6.17	0.97	11.54	-9999	0	-9999	0
4	26	26	-9999	15.07	-0.23	8.54	-9999	9	-9999	0
4	27	5	-9999	11.07	2.37	9.88	-9999	0	-9999	0
4	28	20	-9999	18.07	2.57	10.81	-9999	0.8	-9999	0
4	29	-9999	-9999	9.37	5.57	12.14	-9999	0	-9999	0
4	30	-9999	-9999	7.67	4.77	12.48	-9999	2	-9999	0
5	1	4	-9999	10.97	5.17	13.11	-9999	32.8	-9999	0
5	2	7	-9999	14.77	6.87	14.21	-9999	11.2	-9999	0
5	3	6	-9999	12.87	6.37	13.48	-9999	11	-9999	0
5	4	4	-9999	9.67	4.87	13.08	-9999	9.6	-9999	0
5	5	16	-9999	14.07	4.67	12.58	-9999	19.8	-9999	0
5	6	13	-9999	17.47	5.07	13.51	-9999	6.8	-9999	0
5	7	18	-9999	18.17	5.47	14.01	-9999	3	-9999	0
5	8	27	-9999	20.37	6.97	14.58	-9999	1.6	-9999	0
5	9	12	-9999	14.47	6.87	15.14	-9999	3.4	-9999	0
5	10	25	-9999	20.47	6.97	15.34	-9999	1	-9999	0
5	11	20	-9999	18.37	6.87	13.81	-9999	4	-9999	0
5	12	27	-9999	23.07	6.07	12.11	-9999	0	-9999	0
5	13	26	-9999	20.97	8.37	13.24	-9999	0	-9999	0
5	14	2	-9999	10.27	7.97	14.24	-9999	6.2	-9999	0
5	15	3	-9999	8.17	6.17	14.74	-9999	7.8	-9999	0
5	16	7	-9999	11.27	6.37	15.74	-9999	23	-9999	0
5	17	2	-9999	10.47	8.87	16.64	-9999	1.8	-9999	0
5	18	26	-9999	17.67	4.07	13.81	-9999	10	-9999	0
5	19	29	-9999	19.97	2.57	9.31	-9999	0.2	-9999	0
5	20	22	-9999	19.07	6.77	11.61	-9999	0	-9999	0
5	21	9	-9999	14.27	6.17	13.74	-9999	0	-9999	0
5	22	18	-9999	17.87	7.67	15.71	-9999	1.6	-9999	0
5	23	14	-9999	17.47	10.17	17.31	-9999	0.2	-9999	0
5	24	22	-9999	18.87	9.47	16.58	-9999	4.8	-9999	0
5	25	22	-9999	23.77	9.27	16.04	-9999	4.2	-9999	0
5	26	28	-9999	24.17	7.87	15.14	-9999	0	-9999	0
5	27	28	-9999	24.87	9.37	15.88	-9999	0	-9999	0
5	28	27	-9999	26.47	11.47	18.48	-9999	0	-9999	0
5	29	29	-9999	27.67	12.27	18.64	-9999	0	-9999	0
5	30	29	-9999	28.87	12.97	21.91	-9999	0	-9999	0
5	31	17	-9999	25.37	13.07	18.68	-9999	0	-9999	0
6	1	30	-9999	21.47	7.67	7.81	-9999	0	-9999	0
6	2	15	-9999	15.17	5.67	13.41	-9999	0	-9999	0
6	3	24	-9999	14.77	4.57	11.08	-9999	0	-9999	0
6	4	30	-9999	21.17	1.57	7.64	-9999	0.2	-9999	0
6	5	28	-9999	21.57	4.87	11.34	-9999	0	-9999	0
6	6	23	-9999	19.87	7.27	14.01	-9999	0	-9999	0
6	7	25	-9999	21.87	6.17	13.71	-9999	3.8	-9999	0
6	8	4	-9999	14.47	9.27	17.28	-9999	0	-9999	0
6	9	3	-9999	12.67	9.37	18.18	-9999	6.8	-9999	0
6	10	3	-9999	11.47	8.27	18.68	-9999	32.8	-9999	0
6	11	32	-9999	17.17	3.87	9.84	-9999	54	-9999	0
6	12	30	-9999	19.47	2.87	8.84	-9999	0	-9999	0
6	13	18	-9999	18.77	5.37	12.08	-9999	0	-9999	0
6	14	30	-9999	23.17	6.57	12.48	-9999	0	-9999	0
6	15	24	-9999	22.37	8.87	16.18	-9999	0	-9999	0
6	16	4	-9999	13.87	6.97	17.74	-9999	9.6	-9999	0
6	17	25	-9999	20.47	5.57	13.48	-9999	27.2	-9999	0
6	18	31	-9999	19.47	6.57	10.08	-9999	0	-9999	0
6	19	31	-9999	21.67	7.47	8.04	-9999	0	-9999	0
6	20	30	-9999	24.07	5.57	10.31	-9999	0	-9999	0
6	21	30	-9999	23.67	8.87	13.68	-9999	0	-9999	0
6	22	30	-9999	24.07	9.77	18.71	-9999	0	-9999	0
6	23	28	-9999	25.37	10.17	18.84	-9999	0	-9999	0
6	24	29	-9999	26.47	10.87	21.28	-9999	0	-9999	0
6	25	28	-9999	28.07	12.67	22.38	-9999	0	-9999	0
6	26	25	-9999	27.07	14.47	21.68	-9999	0	-9999	0
