Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	4.0405	-2.0587	0.5989	-6.3595	89.549	-9999	0.64915	-9999	-9999	-9999	3.9364
1901	1	2	4.1502	-2.4759	0.54196	-7.0028	91.445	-9999	0	-9999	-9999	-9999	2.8645
1901	1	3	4.5735	-6.6906	-3.988	-9.6404	90.114	-9999	0	-9999	-9999	-9999	3.1046
1901	1	4	4.3378	-5.5604	-3.5655	-8.7401	91.517	-9999	0	-9999	-9999	-9999	4.5912
1901	1	5	2.6709	0.83987	3.879	-5.4962	94.714	-9999	0.64584	-9999	-9999	-9999	6.0773
1901	1	6	4.6733	0.85006	4.2679	-0.7735	89.954	-9999	3.7217	-9999	-9999	-9999	7.4951
1901	1	7	3.5377	0.10021	5.732	-5.3845	89.314	-9999	2.9717	-9999	-9999	-9999	9.2392
1901	1	8	4.1567	-4.6184	-3.8138	-5.2945	92.323	-9999	1.8236	-9999	-9999	-9999	6.4796
1901	1	9	4.1815	-1.523	1.1525	-5.8758	89.941	-9999	0	-9999	-9999	-9999	6.1506
1901	1	10	4.1447	-2.4855	-0.78623	-4.9541	92.197	-9999	0	-9999	-9999	-9999	5.8242
1901	1	11	4.0065	-1.2521	1.8327	-5.4729	91.588	-9999	0	-9999	-9999	-9999	5.8149
1901	1	12	4.6922	-3.6609	-1.0112	-7.5242	90.741	-9999	0	-9999	-9999	-9999	3.5756
1901	1	13	4.1928	-2.9776	0.26986	-8.508	91.855	-9999	5.0789	-9999	-9999	-9999	4.3335
1901	1	14	4.971	-1.9692	1.1575	-4.2777	95.141	-9999	1.8214	-9999	-9999	-9999	3.2183
1901	1	15	4.7497	-3.904	-1.1058	-7.7441	91.994	-9999	0.22664	-9999	-9999	-9999	2.5474
1901	1	16	4.8205	-4.0039	-0.60496	-8.6186	93.938	-9999	0.43292	-9999	-9999	-9999	3.5355
1901	1	17	2.8996	-1.9526	0.25634	-3.9265	92.029	-9999	0	-9999	-9999	-9999	4.3929
1901	1	18	5.2481	-3.465	-0.73527	-6.3653	90.747	-9999	0	-9999	-9999	-9999	3.7827
1901	1	19	4.8113	-1.6055	1.6027	-5.4056	86.939	-9999	0	-9999	-9999	-9999	5.5849
1901	1	20	3.8822	-4.7326	-0.4593	-11.764	85.629	-9999	2.8722	-9999	-9999	-9999	3.2195
1901	1	21	5.4877	-9.2398	-5.1571	-11.715	82.902	-9999	0	-9999	-9999	-9999	2.6118
1901	1	22	4.9565	-7.7102	-4.0127	-12.629	90.618	-9999	0.091288	-9999	-9999	-9999	5.2289
1901	1	23	4.8881	-5.9041	-2.1054	-9.755	88.329	-9999	0	-9999	-9999	-9999	2.7885
1901	1	24	4.8561	-7.0635	-3.0978	-12.512	89.782	-9999	0	-9999	-9999	-9999	3.4954
1901	1	25	6.2796	-6.7229	-3.8777	-9.6132	89.624	-9999	1.2225	-9999	-9999	-9999	3.3343
1901	1	26	5.9169	-3.9332	-0.28498	-9.021	94.195	-9999	0	-9999	-9999	-9999	4.9904
1901	1	27	4.5223	-1.08	1.788	-3.8162	87.546	-9999	0.2238	-9999	-9999	-9999	4.1316
1901	1	28	5.8707	-3.1775	-0.82941	-6.0631	86.3	-9999	0	-9999	-9999	-9999	4.9652
1901	1	29	6.1236	-4.9034	-0.34095	-8.6216	87.459	-9999	0	-9999	-9999	-9999	3.213
1901	1	30	6.2993	-3.831	1.1292	-8.0263	92.444	-9999	0	-9999	-9999	-9999	2.5359
1901	1	31	6.2275	-4.5785	1.1823	-9.5844	91.987	-9999	0.1184	-9999	-9999	-9999	1.4839
1901	2	1	6.1704	-7.8527	-3.8123	-11.1	87.728	-9999	0.22587	-9999	-9999	-9999	2.9673
1901	2	2	6.0459	-5.8739	-3.1764	-10.145	85.51	-9999	0.31484	-9999	-9999	-9999	5.2978
1901	2	3	5.7066	-6.6065	-2.8346	-10.749	93.181	-9999	0	-9999	-9999	-9999	4.6169
1901	2	4	5.6932	-6.1887	-3.6529	-9.1005	89.001	-9999	0.36445	-9999	-9999	-9999	4.8956
1901	2	5	6.0911	-6.906	-2.6724	-11.577	94.056	-9999	0	-9999	-9999	-9999	5.861
1901	2	6	5.3171	-4.0317	-1.5245	-7.7971	87.116	-9999	0.98445	-9999	-9999	-9999	5.5346
1901	2	7	6.2819	-6.2832	-4.4163	-7.7843	95.474	-9999	0.36083	-9999	-9999	-9999	3.7448
1901	2	8	5.8763	0.1134	3.6337	-7.6599	97.574	-9999	1.4634	-9999	-9999	-9999	6.0963
1901	2	9	5.7634	3.1878	5.3508	0.88983	83.333	-9999	1.0914	-9999	-9999	-9999	5.7783
1901	2	10	6.1758	-5.9735	-0.42454	-10.004	87.936	-9999	0	-9999	-9999	-9999	3.0217
1901	2	11	5.6111	-2.3048	1.7449	-8.6429	87.333	-9999	0	-9999	-9999	-9999	4.9373
1901	2	12	6.0264	-1.2544	0.98651	-4.7118	84.987	-9999	0.36422	-9999	-9999	-9999	6.5415
1901	2	13	6.2483	2.2688	5.6565	-1.2499	90.783	-9999	0	-9999	-9999	-9999	4.7281
1901	2	14	5.9907	4.5928	8.1216	1.3797	87.948	-9999	0.90258	-9999	-9999	-9999	4.7408
1901	2	15	7.7032	-5.9807	1.3256	-11.011	91.536	-9999	0	-9999	-9999	-9999	3.5487
1901	2	16	5.9446	-1.0821	3.4646	-10.753	89.55	-9999	1.3035	-9999	-9999	-9999	7.1477
1901	2	17	6.3611	-1.9461	0.93447	-7.2062	87.578	-9999	0	-9999	-9999	-9999	7.5737
1901	2	18	6.3489	-8.1753	-6.2341	-9.6679	89.657	-9999	0.33554	-9999	-9999	-9999	4.2452
1901	2	19	6.686	-8.9507	-6.1017	-11.736	89.884	-9999	1.1304	-9999	-9999	-9999	4.6424
1901	2	20	7.0008	-6.7467	-3.496	-11.623	93.603	-9999	2.3767	-9999	-9999	-9999	6.4481
1901	2	21	6.6608	-4.0683	-1.2114	-7.1531	93.859	-9999	1.5347	-9999	-9999	-9999	5.188
1901	2	22	6.2854	-6.8562	-3.7317	-13.037	85.124	-9999	2.7996	-9999	-9999	-9999	6.4663
1901	2	23	9.7708	-10.199	-4.6756	-19.365	94.047	-9999	0	-9999	-9999	-9999	3.8883
1901	2	24	7.2501	-2.5253	-0.61869	-7.9027	94.906	-9999	1.1302	-9999	-9999	-9999	4.8805
1901	2	25	8.1458	-1.4108	0.037195	-2.8092	96.813	-9999	0.86999	-9999	-9999	-9999	7.6157
1901	2	26	7.8589	-3.6687	-1.2106	-8.5558	93.146	-9999	2.5473	-9999	-9999	-9999	5.0092
1901	2	27	8.9059	-7.7278	-4.2588	-10.522	85.653	-9999	0	-9999	-9999	-9999	5.848
1901	2	28	10.128	-16.069	-9.7707	-21.373	91.958	-9999	0	-9999	-9999	-9999	3.0039
1901	3	1	9.0558	-2.6111	3.3324	-10.681	88.906	-9999	0.55299	-9999	-9999	-9999	2.7044
1901	3	2	7.6859	1.4108	4.1108	-2.8468	95.472	-9999	9.2368	-9999	-9999	-9999	5.1118
1901	3	3	8.4781	1.8577	4.2224	-0.12977	91.302	-9999	11.134	-9999	-9999	-9999	4.4933
1901	3	4	10.29	-1.0531	2.383	-4.6761	86.982	-9999	0.51688	-9999	-9999	-9999	2.4451
1901	3	5	10.045	-0.61948	3.7506	-5.3496	83.203	-9999	0	-9999	-9999	-9999	3.3068
1901	3	6	10.115	4.8445	9.2936	-0.84156	81.9	-9999	0	-9999	-9999	-9999	3.389
1901	3	7	11.566	6.8328	11.182	2.9204	90.303	-9999	0	-9999	-9999	-9999	2.7259
1901	3	8	9.8536	2.7949	5.7603	0.17867	85.633	-9999	4.6581	-9999	-9999	-9999	2.4436
1901	3	9	10.123	-2.5792	0.6954	-6.0426	89.608	-9999	0	-9999	-9999	-9999	2.9197
1901	3	10	8.3742	-2.5577	1.0281	-6.2953	87.761	-9999	0.99015	-9999	-9999	-9999	2.087
1901	3	11	11.211	1.1423	5.7062	-6.3238	85.71	-9999	0	-9999	-9999	-9999	3.1864
1901	3	12	9.9349	-2.913	-0.67264	-5.4573	91.074	-9999	0	-9999	-9999	-9999	3.598
1901	3	13	11.5	-0.74207	2.9543	-6.4854	91.511	-9999	5.8466	-9999	-9999	-9999	3.4096
1901	3	14	12.415	5.6865	9.5891	2.4935	84.914	-9999	0	-9999	-9999	-9999	3.0485
1901	3	15	12.666	-1.9103	1.6863	-5.8678	87.918	-9999	0	-9999	-9999	-9999	2.4319
1901	3	16	11.769	4.0139	7.5906	-2.4401	91.829	-9999	0	-9999	-9999	-9999	4.1355
1901	3	17	13.147	1.627	4.3126	-1.4256	86.256	-9999	0.60017	-9999	-9999	-9999	3.9823
1901	3	18	12.861	3.061	7.1815	-1.1996	92.76	-9999	0	-9999	-9999	-9999	2.9515
1901	3	19	12.154	0.22009	3.8276	-4.2128	79.171	-9999	0	-9999	-9999	-9999	1.9581
1901	3	20	12.813	6.7259	11.651	1.4359	76.571	-9999	0	-9999	-9999	-9999	1.8727
1901	3	21	11.775	5.9705	10.402	1.694	89.542	-9999	0	-9999	-9999	-9999	2.0825
1901	3	22	12.992	-3.7204	1.3271	-7.7885	82.185	-9999	3.8172	-9999	-9999	-9999	3.2351
1901	3	23	13.954	3.2159	7.9544	-6.6577	87.006	-9999	0	-9999	-9999	-9999	2.999
1901	3	24	13.538	1.3846	5.335	-2.947	92.609	-9999	0	-9999	-9999	-9999	2.6013
1901	3	25	13.533	4.6563	7.1282	0.057214	96.6	-9999	0	-9999	-9999	-9999	4.2245
1901	3	26	11.487	5.774	7.8724	3.8638	94.465	-9999	0.74713	-9999	-9999	-9999	2.1699
1901	3	27	12.463	9.1628	12.823	5.0292	89.634	-9999	0	-9999	-9999	-9999	3.0818
1901	3	28	13.424	11.634	16.088	7.5163	86.487	-9999	0	-9999	-9999	-9999	1.9863
1901	3	29	13.398	10.297	14.566	5.8935	88.362	-9999	0	-9999	-9999	-9999	2.0176
1901	3	30	13.121	10.443	14.237	6.8255	86.717	-9999	0	-9999	-9999	-9999	2.922
1901	3	31	14.561	9.2613	13.023	5.9014	88.914	-9999	0	-9999	-9999	-9999	3.8299
1901	4	1	15.246	5.0859	9.4186	-0.305	94.328	-9999	0	-9999	-9999	-9999	2.7457
1901	4	2	10.613	6.0579	10.496	1.3956	88.982	-9999	5.5211	-9999	-9999	-9999	2.9578
1901	4	3	13.58	8.4055	14.8	1.5448	95.764	-9999	0	-9999	-9999	-9999	3.8719
1901	4	4	10.559	11.352	16.08	6.4147	97.071	-9999	13.693	-9999	-9999	-9999	3.0455
1901	4	5	13.442	9.6021	14.303	5.5953	85.542	-9999	11.292	-9999	-9999	-9999	1.8299
1901	4	6	14.339	8.2611	14.099	1.5384	93.457	-9999	0	-9999	-9999	-9999	3.5823
1901	4	7	11.634	5.8061	8.9553	3.2293	91.553	-9999	8.3338	-9999	-9999	-9999	3.4434
1901	4	8	14.441	7.8349	13.715	1.5018	94.581	-9999	0	-9999	-9999	-9999	3.6889
1901	4	9	11.287	3.6922	6.6937	1.0829	92.502	-9999	10.606	-9999	-9999	-9999	3.7508
1901	4	10	11.78	3.3135	7.284	0.3869	88.898	-9999	9.7165	-9999	-9999	-9999	3.4675
1901	4	11	14.752	7.0393	13.356	-0.96845	94.824	-9999	0	-9999	-9999	-9999	3.6671
1901	4	12	12.254	5.0285	7.7195	1.4762	95.705	-9999	0.67116	-9999	-9999	-9999	5.4008
1901	4	13	14.769	8.4309	14.465	1.6277	86.666	-9999	0	-9999	-9999	-9999	5.4242
1901	4	14	13.813	8.9925	14.22	4.0294	92.87	-9999	0	-9999	-9999	-9999	4.2616
1901	4	15	14.809	11.235	16.783	4.9856	86.372	-9999	5.6177	-9999	-9999	-9999	2.847
1901	4	16	15.235	10.836	17.096	4.7151	91.72	-9999	0	-9999	-9999	-9999	2.5896
1901	4	17	13.854	7.2386	11.492	3.7698	85.452	-9999	0	-9999	-9999	-9999	3.3727
1901	4	18	16.065	6.2049	11.191	1.2793	78.193	-9999	0	-9999	-9999	-9999	2.7383
1901	4	19	17.051	8.9306	15.199	2.6522	89.616	-9999	0	-9999	-9999	-9999	3.2722
1901	4	20	15.757	10.416	16.268	3.8074	89.962	-9999	2.7109	-9999	-9999	-9999	2.0629
1901	4	21	12.827	9.9937	14.963	4.546	81.554	-9999	10.853	-9999	-9999	-9999	2.9559
1901	4	22	17.389	13.004	20.19	5.7337	91.031	-9999	0	-9999	-9999	-9999	3.5969
1901	4	23	17.383	9.5087	14.146	4.6744	92.314	-9999	0	-9999	-9999	-9999	3.8483
1901	4	24	16.517	9.5389	14.475	3.7603	84.059	-9999	1.5616	-9999	-9999	-9999	3.8584
1901	4	25	17.866	7.7416	13.594	2.6988	87.362	-9999	0	-9999	-9999	-9999	2.5668
1901	4	26	16.158	9.447	13.879	1.8224	86.654	-9999	0	-9999	-9999	-9999	3.1652
1901	4	27	16.091	13.306	19.562	7.794	86.428	-9999	0	-9999	-9999	-9999	4.1669
1901	4	28	17.737	9.1129	14.047	4.3388	84.742	-9999	0	-9999	-9999	-9999	2.7594
1901	4	29	17.574	9.343	15.007	3.6853	93.98	-9999	0	-9999	-9999	-9999	2.8434
1901	4	30	16.496	10.541	15.63	5.3163	83.456	-9999	1.7224	-9999	-9999	-9999	2.6953
1901	5	1	20.408	9.3454	16.881	1.542	88.339	-9999	0	-9999	-9999	-9999	1.6528
1901	5	2	16.858	10.897	17.379	4.4732	95.992	-9999	3.04	-9999	-9999	-9999	1.5142
1901	5	3	15.171	10.676	15.245	6.8524	91.556	-9999	3.3254	-9999	-9999	-9999	2.4868
1901	5	4	19.103	7.9721	12.723	3.3518	81.411	-9999	0.02867	-9999	-9999	-9999	2.7366
1901	5	5	19.832	11.532	20.767	-0.33521	83.569	-9999	0	-9999	-9999	-9999	2.8841
1901	5	6	19.182	11.852	17.422	6.9612	93.421	-9999	0	-9999	-9999	-9999	3.0785
1901	5	7	17.222	12.084	17.012	7.1228	83.197	-9999	2.0086	-9999	-9999	-9999	3.0461
1901	5	8	21.081	15.87	23.92	6.1977	83.645	-9999	0	-9999	-9999	-9999	2.5845
