Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	3.2982	-4.2032	-0.21903	-8.2849	100	-9999	2.113	-9999	-9999	-9999	3.6796
1901	1	2	4.4474	-10.274	-7.5661	-12.835	100	-9999	0.13251	-9999	-9999	-9999	3.0012
1901	1	3	4.4936	-12.545	-9.7869	-15.354	100	-9999	0.32839	-9999	-9999	-9999	2.4732
1901	1	4	3.1478	-11.833	-9.744	-13.716	100	-9999	3.0001	-9999	-9999	-9999	3.0695
1901	1	5	3.9427	-13.75	-11.661	-15.349	100	-9999	0.32012	-9999	-9999	-9999	4.4522
1901	1	6	4.0994	-13.408	-9.9075	-15.752	100	-9999	0.35955	-9999	-9999	-9999	4.9771
1901	1	7	4.2777	-10.641	-4.7913	-16.083	100	-9999	0.058592	-9999	-9999	-9999	2.2313
1901	1	8	4.6426	-7.559	-1.3761	-12.461	100	-9999	0	-9999	-9999	-9999	2.1872
1901	1	9	2.9662	-2.4858	1.6383	-7.8014	99.125	-9999	0.2097	-9999	-9999	-9999	2.0308
1901	1	10	2.4984	0.88326	4.2978	-1.1121	91.02	-9999	0.36765	-9999	-9999	-9999	1.661
1901	1	11	4.7598	-0.90763	4.3611	-3.5794	93.284	-9999	0	-9999	-9999	-9999	1.9003
1901	1	12	2.9751	-1.3099	3.1074	-3.9239	96.635	-9999	0.038907	-9999	-9999	-9999	1.3311
1901	1	13	3.8864	-2.0817	1.3706	-4.6572	100	-9999	0.24504	-9999	-9999	-9999	1.8128
1901	1	14	5.3678	-4.3376	0.10079	-6.4647	94.832	-9999	0	-9999	-9999	-9999	2.5252
1901	1	15	5.3219	-4.7149	-0.85059	-7.4776	85.388	-9999	0	-9999	-9999	-9999	4.2962
1901	1	16	5.276	-3.3621	2.8112	-6.1693	84.389	-9999	0	-9999	-9999	-9999	2.3751
1901	1	17	5.3609	-4.1568	2.2344	-7.7772	92.508	-9999	0	-9999	-9999	-9999	0.90444
1901	1	18	5.4623	-4.0806	4.073	-8.4864	93.804	-9999	0	-9999	-9999	-9999	0.48557
1901	1	19	4.7481	-1.3979	4.6429	-5.357	84.954	-9999	0	-9999	-9999	-9999	2.353
1901	1	20	5.3687	1.2689	5.199	-1.5661	87.363	-9999	0.34706	-9999	-9999	-9999	4.701
1901	1	21	3.616	1.9004	2.7108	0.98663	91.405	-9999	2.0704	-9999	-9999	-9999	7.708
1901	1	22	3.9463	2.5744	6.4045	-0.59067	93.504	-9999	0.043334	-9999	-9999	-9999	4.7072
1901	1	23	3.439	3.202	6.7744	0.25356	94.498	-9999	0.20512	-9999	-9999	-9999	3.1475
1901	1	24	4.7841	2.7017	8.5745	-2.1755	91.321	-9999	0	-9999	-9999	-9999	2.371
1901	1	25	3.1309	3.4021	5.5116	2.2443	88.007	-9999	0.1819	-9999	-9999	-9999	4.3856
1901	1	26	4.4435	0.42846	2.382	-3.5319	89.85	-9999	2.5007	-9999	-9999	-9999	5.9089
1901	1	27	4.1147	-0.19086	3.5711	-4.4921	92.548	-9999	2.3522	-9999	-9999	-9999	8.8968
1901	1	28	5.6225	-0.46967	2.8301	-2.8241	95.542	-9999	8.1218	-9999	-9999	-9999	7.4725
1901	1	29	5.2135	-3.0283	-0.25974	-7.5969	99.471	-9999	3.6788	-9999	-9999	-9999	4.41
1901	1	30	7.2093	-6.0068	-2.8441	-8.1074	100	-9999	0.08434	-9999	-9999	-9999	4.1748
1901	1	31	7.5217	-5.2175	-1.0689	-7.5385	98.193	-9999	0.17542	-9999	-9999	-9999	3.156
1901	2	1	4.3536	0.91769	3.9505	-1.6265	92.059	-9999	0.057244	-9999	-9999	-9999	3.2366
1901	2	2	1.5972	-0.07746	0.81475	-2.3164	97.831	-9999	3.7947	-9999	-9999	-9999	3.8366
1901	2	3	5.2926	-1.8786	2.2108	-6.4901	98.189	-9999	0.004796	-9999	-9999	-9999	2.4803
1901	2	4	6.055	2.0448	3.5998	0.76052	93.526	-9999	0.19973	-9999	-9999	-9999	2.9614
1901	2	5	2.631	2.5358	4.5557	1.1694	94.032	-9999	1.148	-9999	-9999	-9999	3.6818
1901	2	6	6.8605	-0.56397	2.3216	-3.2966	95.937	-9999	0.11946	-9999	-9999	-9999	2.3162
1901	2	7	4.8808	-0.62366	1.8172	-2.179	98.051	-9999	0.9083	-9999	-9999	-9999	2.2515
1901	2	8	4.017	-0.98527	0.45843	-2.8018	99.757	-9999	3.3368	-9999	-9999	-9999	3.743
1901	2	9	4.3277	-2.4236	-1.0032	-3.2871	99.934	-9999	1.849	-9999	-9999	-9999	3.2496
1901	2	10	7.557	-2.5401	-0.41065	-4.0329	99.166	-9999	0.3506	-9999	-9999	-9999	4.3747
1901	2	11	5.8513	-4.5263	-1.486	-9.6341	100	-9999	0.86368	-9999	-9999	-9999	3.1877
