year	CO2_ppm
1950	310.750
1951	311.100
1952	311.500
1953	311.925
1954	312.425
1955	313.000
1956	313.600
1957	314.225
1958	314.848
1959	315.500
1960	316.273
1961	317.075
1962	317.795
1963	318.398
1964	318.925
1965	319.648
1966	320.648
1967	321.605
1968	322.635
1969	323.903
1970	324.985
1971	325.855
1972	327.140
1973	328.678
1974	329.743
1975	330.585
1976	331.748
1977	333.273
1978	334.848
1979	336.525
1980	338.360
1981	339.728
1982	340.793
1983	342.198
1984	343.783
1985	345.283
1986	346.798
1987	348.645
1988	350.738
1989	352.488
1990	353.855
1991	355.018
1992	355.885
1993	356.778
1994	358.128
1995	359.838
1996	361.463
1997	363.155
1998	365.323
1999	367.348
2000	368.865
2001	370.468
2002	372.523
2003	374.760
2004	376.813
2005	378.813
2006	380.828
2007	382.778
2008	384.800
2009	387.012
2010	389.324
2011	391.638
2012	394.009
2013	396.464
2014	397.764
2015	399.966
2016	402.184
2017	404.411
2018	406.643
2019	408.882
2020	411.129
2021	413.378
2022	415.639
2023	417.936
2024	420.274
2025	422.656
2026	425.080
2027	427.538
2028	430.021
2029	432.523
2030	435.046
2031	437.589
2032	440.131
2033	442.664
2034	445.207
2035	447.770
2036	450.355
2037	452.963
2038	455.586
2039	458.215
2040	460.845
2041	463.475
2042	466.093
2043	468.678
2044	471.234
2045	473.780
2046	476.328
2047	478.881
2048	481.438
2049	483.993
2050	486.535
2051	489.060
2052	491.536
2053	493.932
2054	496.244
2055	498.474
2056	500.645
2057	502.768
2058	504.847
2059	506.884
2060	508.871
2061	510.799
2062	512.647
2063	514.402
2064	516.065
2065	517.629
2066	519.096
2067	520.488
2068	521.818
2069	523.089
2070	524.302
2071	525.451
2072	526.509
2073	527.457
2074	528.296
2075	529.027
2076	529.643
2077	530.144
2078	530.553
2079	530.883
2080	531.138
2081	531.319
2082	531.490
2083	531.702
2084	531.942
2085	532.205
2086	532.487
2087	532.776
2088	533.070
2089	533.388
2090	533.741
2091	534.131
2092	534.558
2093	535.011
2094	535.480
2095	535.955
2096	536.435
2097	536.920
2098	537.399
2099	537.871
