year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1999	1	1	3.8	-2	2	-4	95.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	1	2	3.46	-4	-1	-6	95.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	1	3	3.97	2	5	-3	87.0	-9999	1.3	-9999	-9999	-9999	-9999
1999	1	4	2.42	5	6	2	88.0	-9999	2.3	-9999	-9999	-9999	-9999
1999	1	5	4.15	6	11	2	90.0	-9999	2.6	-9999	-9999	-9999	-9999
1999	1	6	4.41	3	8	-1	82.0	-9999	2.6	-9999	-9999	-9999	-9999
1999	1	7	4.41	6	10	1	61.0	-9999	5.0	-9999	-9999	-9999	-9999
1999	1	8	3.11	3	6	1	94.0	-9999	11.4	-9999	-9999	-9999	-9999
1999	1	9	4.41	1	4	-1	89.0	-9999	2.6	-9999	-9999	-9999	-9999
1999	1	10	5.01	1	2	-1	80.0	-9999	2.6	-9999	-9999	-9999	-9999
1999	1	11	3.72	0	2	-2	82.0	-9999	2.6	-9999	-9999	-9999	-9999
1999	1	12	2.33	-5	-2	-7	90.0	-9999	1.0	-9999	-9999	-9999	-9999
1999	1	13	1.56	-3	-1	-7	93.0	-9999	1.0	-9999	-9999	-9999	-9999
1999	1	14	1.73	0	1	-2	93.0	-9999	1.0	-9999	-9999	-9999	-9999
1999	1	15	3.54	2	5	-1	83.0	-9999	1.0	-9999	-9999	-9999	-9999
1999	1	16	4.06	4	9	0	64.0	-9999	1.0	-9999	-9999	-9999	-9999
1999	1	17	6.13	4	11	0	63.0	-9999	1.0	-9999	-9999	-9999	-9999
1999	1	18	5.88	-3	1	-4	93.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	1	19	5.53	-3	0	-5	96.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	1	20	5.27	-3	0	-5	96.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	1	21	3.37	-4	-2	-5	96.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	1	22	3.37	-4	-3	-6	95.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	1	23	3.89	-5	-3	-6	95.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	1	24	6.13	-3	0	-9	95.0	-9999	0.4	-9999	-9999	-9999	-9999
1999	1	25	4.58	2	7	-3	86.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	1	26	2.94	4	7	-1	81.0	-9999	14.0	-9999	-9999	-9999	-9999
1999	1	27	2.07	0	1	-1	98.0	-9999	1.0	-9999	-9999	-9999	-9999
1999	1	28	1.81	0	0	-1	100.0	-9999	1.0	-9999	-9999	-9999	-9999
1999	1	29	3.46	-5	-1	-9	89.0	-9999	1.0	-9999	-9999	-9999	-9999
1999	1	30	3.2	-8	-6	-11	89.0	-9999	1.0	-9999	-9999	-9999	-9999
1999	1	31	4.32	-10	-6	-13	84.0	-9999	1.0	-9999	-9999	-9999	-9999
1999	2	1	2.25	-8	-5	-12	88.0	-9999	1.0	-9999	-9999	-9999	-9999
1999	2	2	2.68	-2	0	-5	97.0	-9999	4.0	-9999	-9999	-9999	-9999
1999	2	3	2.51	0	1	-1	99.0	-9999	4.0	-9999	-9999	-9999	-9999
1999	2	4	2.33	3	4	1	97.0	-9999	4.0	-9999	-9999	-9999	-9999
1999	2	5	2.76	2	5	-1	91.0	-9999	4.0	-9999	-9999	-9999	-9999
1999	2	6	3.46	-1	0	-2	92.0	-9999	4.0	-9999	-9999	-9999	-9999
1999	2	7	3.2	-1	0	-3	95.0	-9999	4.0	-9999	-9999	-9999	-9999
1999	2	8	2.85	-4	-3	-7	90.0	-9999	4.0	-9999	-9999	-9999	-9999
1999	2	9	3.89	-6	-3	-9	90.0	-9999	1.2	-9999	-9999	-9999	-9999
1999	2	10	3.89	-7	-3	-11	91.0	-9999	1.2	-9999	-9999	-9999	-9999
1999	2	11	5.1	-8	-3	-12	88.0	-9999	1.2	-9999	-9999	-9999	-9999
1999	2	12	7.26	-10	-5	-15	78.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	2	13	4.58	-7	-4	-9	84.0	-9999	4.3	-9999	-9999	-9999	-9999
1999	2	14	2.85	-5	-3	-7	88.0	-9999	4.1	-9999	-9999	-9999	-9999
1999	2	15	6.91	-5	1	-9	83.0	-9999	0.1	-9999	-9999	-9999	-9999
1999	2	16	4.41	-3	2	-9	91.0	-9999	1.5	-9999	-9999	-9999	-9999
1999	2	17	4.15	-3	1	-6	83.0	-9999	1.6	-9999	-9999	-9999	-9999
1999	2	18	5.88	-2	1	-6	85.0	-9999	0.7	-9999	-9999	-9999	-9999
1999	2	19	3.97	1	3	-2	94.0	-9999	9.8	-9999	-9999	-9999	-9999
1999	2	20	3.02	3	4	2	96.0	-9999	13.5	-9999	-9999	-9999	-9999
1999	2	21	3.28	2	3	1	95.0	-9999	3.8	-9999	-9999	-9999	-9999
1999	2	22	3.2	-1	3	-3	92.0	-9999	8.6	-9999	-9999	-9999	-9999
1999	2	23	2.76	-2	-1	-3	96.0	-9999	3.8	-9999	-9999	-9999	-9999
1999	2	24	5.44	-2	1	-5	94.0	-9999	3.8	-9999	-9999	-9999	-9999
1999	2	25	7.08	-4	0	-7	88.0	-9999	3.8	-9999	-9999	-9999	-9999
1999	2	26	13.22	0	8	-5	82.0	-9999	3.8	-9999	-9999	-9999	-9999
1999	2	27	13.05	3	12	-3	74.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	2	28	5.01	3	6	-1	84.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	3	1	11.66	4	11	-1	77.0	-9999	4.9	-9999	-9999	-9999	-9999
1999	3	2	4.32	6	8	4	86.0	-9999	7.3	-9999	-9999	-9999	-9999
1999	3	3	10.37	8	14	5	69.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	3	4	8.99	5	11	2	81.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	3	5	5.36	1	4	-2	95.0	-9999	5.9	-9999	-9999	-9999	-9999
1999	3	6	8.47	0	5	-2	88.0	-9999	0.7	-9999	-9999	-9999	-9999
1999	3	7	6.31	0	4	-3	91.0	-9999	4.4	-9999	-9999	-9999	-9999
1999	3	8	13.65	2	7	-4	69.0	-9999	0.4	-9999	-9999	-9999	-9999
1999	3	9	2.85	3	5	0	97.0	-9999	20.0	-9999	-9999	-9999	-9999
1999	3	10	10.54	6	14	1	86.0	-9999	2.4	-9999	-9999	-9999	-9999
1999	3	11	9.76	3	8	0	79.0	-9999	0.5	-9999	-9999	-9999	-9999
1999	3	12	13.39	4	11	-2	80.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	3	13	14.26	8	17	1	73.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	3	14	13.39	8	15	2	76.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	3	15	5.53	6	9	2	82.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	3	16	14.34	2	8	-2	69.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	3	17	16.33	0	5	-4	63.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	3	18	16.5	0	6	-5	62.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	3	19	12.01	1	7	-5	79.0	-9999	1.0	-9999	-9999	-9999	-9999
1999	3	20	8.99	1	5	-1	80.0	-9999	0.5	-9999	-9999	-9999	-9999
1999	3	21	13.65	4	9	-1	67.0	-9999	0.2	-9999	-9999	-9999	-9999
1999	3	22	10.63	4	9	2	82.0	-9999	2.4	-9999	-9999	-9999	-9999
1999	3	23	6.13	2	4	1	90.0	-9999	1.7	-9999	-9999	-9999	-9999
1999	3	24	13.74	7	13	3	75.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	3	25	17.8	10	19	1	57.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	3	26	14	11	17	4	52.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	3	27	12.1	9	16	3	73.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	3	28	4.32	5	6	3	85.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	3	29	4.67	4	7	3	88.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	3	30	5.01	5	8	2	85.0	-9999	0.0	-9999	-9999	-9999	-9999
1999	3	31	15.72	7	14	0	69.0	-9999	0.0	-9999	-9999	-9999	-9999
