Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1998	1	1	3.63	-0.3	3.6	-2.5	93	-9999	0	-9999	-9999	-9999	-9999
1998	1	2	3.11	1.5	4.8	-1.9	93	-9999	1.4	-9999	-9999	-9999	-9999
1998	1	3	3.63	4.9	9.2	1.7	75	-9999	1.3	-9999	-9999	-9999	-9999
1998	1	4	4.41	3.7	6.8	1.7	72	-9999	2	-9999	-9999	-9999	-9999
1998	1	5	4.32	2.8	5.8	0.2	68	-9999	0.1	-9999	-9999	-9999	-9999
1998	1	6	3.46	2.6	4.9	1	82	-9999	2.2	-9999	-9999	-9999	-9999
1998	1	7	3.46	5.8	9.7	2.3	86	-9999	1	-9999	-9999	-9999	-9999
1998	1	8	4.23	5.1	9.2	2.2	76	-9999	0	-9999	-9999	-9999	-9999
1998	1	9	3.54	6.2	10	2.8	70	-9999	0	-9999	-9999	-9999	-9999
1998	1	10	4.23	1.9	6.8	-1.9	83	-9999	0	-9999	-9999	-9999	-9999
1998	1	11	4.67	0.7	6	-3.2	78	-9999	0.3	-9999	-9999	-9999	-9999
1998	1	12	4.75	-0.3	6	-3.9	87	-9999	0	-9999	-9999	-9999	-9999
1998	1	13	3.46	-3.2	-2	-4.5	98	-9999	0	-9999	-9999	-9999	-9999
1998	1	14	4.06	-1.4	1.9	-4	98	-9999	0	-9999	-9999	-9999	-9999
1998	1	15	5.01	2	5.3	-0.1	87	-9999	1.8	-9999	-9999	-9999	-9999
1998	1	16	3.11	2.6	4.7	-0.1	94	-9999	3.8	-9999	-9999	-9999	-9999
1998	1	17	4.49	1.4	3.7	-2.7	88	-9999	0.2	-9999	-9999	-9999	-9999
1998	1	18	6.57	-1.1	2.3	-4.8	85	-9999	0.8	-9999	-9999	-9999	-9999
1998	1	19	4.92	2.6	6.4	0	85	-9999	4.3	-9999	-9999	-9999	-9999
1998	1	20	3.63	-0.6	1.3	-1.4	92	-9999	1.8	-9999	-9999	-9999	-9999
1998	1	21	5.1	-1.3	0.8	-3.5	86	-9999	0.7	-9999	-9999	-9999	-9999
1998	1	22	2.76	-2.7	-2	-3.8	87	-9999	0.8	-9999	-9999	-9999	-9999
1998	1	23	3.11	-2	-0.4	-3.5	93	-9999	0.2	-9999	-9999	-9999	-9999
1998	1	24	2.33	-3.6	-2.4	-5.2	94	-9999	0.2	-9999	-9999	-9999	-9999
1998	1	25	3.63	-4.2	-2.1	-7.1	88	-9999	0.2	-9999	-9999	-9999	-9999
1998	1	26	5.1	-7	-3.8	-9.6	85	-9999	0.2	-9999	-9999	-9999	-9999
1998	1	27	6.39	-7.6	-1.4	-11.3	83	-9999	0	-9999	-9999	-9999	-9999
1998	1	28	5.18	-7	-3.6	-11	85	-9999	0	-9999	-9999	-9999	-9999
1998	1	29	3.72	-4.5	-1.3	-7.2	91	-9999	0	-9999	-9999	-9999	-9999
1998	1	30	5.01	-5.3	-1.7	-9.5	88	-9999	0	-9999	-9999	-9999	-9999
1998	1	31	5.18	-6	-1.7	-12	84	-9999	0	-9999	-9999	-9999	-9999
1998	2	1	7.69	-10.9	-5.8	-15.2	71	-9999	0	-9999	-9999	-9999	-9999
1998	2	2	4.58	-8.2	-3.9	-14.9	86	-9999	0	-9999	-9999	-9999	-9999
1998	2	3	6.83	-5.9	0.1	-10.3	86	-9999	0.1	-9999	-9999	-9999	-9999
1998	2	4	7.34	-5.6	-0.6	-9.5	72	-9999	0	-9999	-9999	-9999	-9999
1998	2	5	8.47	-5.2	2.1	-10.5	74	-9999	0	-9999	-9999	-9999	-9999
1998	2	6	8.04	-3.8	3.4	-9.9	80	-9999	0	-9999	-9999	-9999	-9999
1998	2	7	8.29	-1.5	5.1	-8.6	73	-9999	0.2	-9999	-9999	-9999	-9999
1998	2	8	5.79	-0.6	3.1	-3.4	77	-9999	0	-9999	-9999	-9999	-9999
1998	2	9	8.47	0.9	8.1	-4.5	66	-9999	0	-9999	-9999	-9999	-9999
