Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	5.7857	-0.37662	5.1923	-7.0765	96.371	-9999	0	-9999	-9999	-9999	4.5517
1901	1	2	5.0787	-1.9266	1.6166	-6.68	94.257	-9999	0	-9999	-9999	-9999	2.5204
1901	1	3	5.7038	4.5246	9.8676	-7.9076	91.94	-9999	0	-9999	-9999	-9999	3.5083
1901	1	4	3.0696	8.0882	9.978	3.8666	94.848	-9999	0	-9999	-9999	-9999	4.2936
1901	1	5	4.9011	8.4322	10.412	6.7095	94.672	-9999	0	-9999	-9999	-9999	4.8797
1901	1	6	4.0217	8.7227	10.802	5.7126	92.034	-9999	2.3938	-9999	-9999	-9999	9.2912
1901	1	7	4.9309	6.1948	10.667	2.3649	90.922	-9999	5.421	-9999	-9999	-9999	9.0327
1901	1	8	6.1416	5.0585	7.4642	3.256	92.836	-9999	0	-9999	-9999	-9999	4.3629
1901	1	9	3.705	5.8971	8.722	2.6014	92.835	-9999	1.171	-9999	-9999	-9999	7.1487
1901	1	10	5.3932	7.0943	9.3801	4.1248	92.715	-9999	3.2502	-9999	-9999	-9999	7.6166
1901	1	11	4.3285	6.3428	8.1405	4.0776	92.28	-9999	10.362	-9999	-9999	-9999	9.865
1901	1	12	4.6886	4.2644	5.8739	0.93078	84.544	-9999	6.7517	-9999	-9999	-9999	7.6723
1901	1	13	6.2798	4.6688	8.4868	0.10876	91.889	-9999	0	-9999	-9999	-9999	4.7415
1901	1	14	6.2899	2.5763	4.8257	0.032922	92.7	-9999	0	-9999	-9999	-9999	4.7964
1901	1	15	5.9904	2.3916	4.4498	0.018701	96.001	-9999	0.23631	-9999	-9999	-9999	5.3512
1901	1	16	5.6997	2.0463	3.7289	0.11373	87.374	-9999	0	-9999	-9999	-9999	4.9376
1901	1	17	4.287	5.5205	8.8449	-1.5222	95.957	-9999	0	-9999	-9999	-9999	7.9829
1901	1	18	5.5463	3.9123	5.9996	0.95242	96.379	-9999	0	-9999	-9999	-9999	3.9342
1901	1	19	5.4922	6.5863	9.3762	1.5354	94.729	-9999	1.0038	-9999	-9999	-9999	7.5978
1901	1	20	3.9179	4.6289	8.8099	-1.004	92.31	-9999	4.684	-9999	-9999	-9999	5.6383
1901	1	21	5.8582	1.9016	4.18	-1.5964	88.452	-9999	0.23727	-9999	-9999	-9999	6.9936
1901	1	22	5.404	3.4485	6.2959	1.1586	89.06	-9999	1.1299	-9999	-9999	-9999	5.0462
1901	1	23	6.5284	2.8999	5.7392	-0.83433	89.905	-9999	0	-9999	-9999	-9999	3.9253
1901	1	24	4.6191	3.5796	6.3586	0.97613	90.356	-9999	0	-9999	-9999	-9999	4.661
1901	1	25	6.3425	6.2089	9.7855	0.25198	88.992	-9999	0	-9999	-9999	-9999	5.0609
1901	1	26	3.894	9.7937	11.889	6.1837	89.179	-9999	1.14	-9999	-9999	-9999	6.5888
1901	1	27	5.495	6.8349	10.371	3.3069	88.192	-9999	0.52924	-9999	-9999	-9999	3.9258
1901	1	28	4.8104	4.9843	6.3727	2.6597	95.78	-9999	0	-9999	-9999	-9999	5.8719
1901	1	29	3.4677	7.7277	10.052	3.8868	91.328	-9999	12.22	-9999	-9999	-9999	2.7294
1901	1	30	5.7588	6.2608	9.9072	3.2814	90.32	-9999	0	-9999	-9999	-9999	1.9925
1901	1	31	5.1506	3.9227	6.147	0.54696	93.175	-9999	3.0695	-9999	-9999	-9999	4.7121
1901	2	1	6.0022	3.9742	7.5659	-4.0166	88.075	-9999	0	-9999	-9999	-9999	4.3632
1901	2	2	6.1793	1.5754	5.6074	-2.0382	91.28	-9999	0	-9999	-9999	-9999	3.1256
1901	2	3	6.0279	-0.83106	1.1194	-2.8769	92.071	-9999	2.0295	-9999	-9999	-9999	3.9623
1901	2	4	6.1319	1.0113	5.774	-4.7519	92.616	-9999	0	-9999	-9999	-9999	2.9599
1901	2	5	6.0109	1.6327	4.8577	-2.5311	86.051	-9999	6.0534	-9999	-9999	-9999	5.1592
1901	2	6	6.5717	2.49	6.6405	-1.6818	89.683	-9999	0	-9999	-9999	-9999	3.7897
1901	2	7	7.067	4.3569	8.6301	-1.2597	89.803	-9999	0	-9999	-9999	-9999	5.0602
1901	2	8	3.9979	5.624	7.9869	2.7789	85.384	-9999	4.87	-9999	-9999	-9999	8.0407
1901	2	9	6.4843	5.5904	7.5433	2.7224	82.465	-9999	0	-9999	-9999	-9999	7.1235
1901	2	10	6.8993	1.1535	7.0083	-2.0934	75.042	-9999	0	-9999	-9999	-9999	6.1646
1901	2	11	6.2594	5.6528	8.6551	-2.7999	80.775	-9999	0	-9999	-9999	-9999	9.7744
1901	2	12	6.132	3.9811	6.9253	0.61245	79.512	-9999	0	-9999	-9999	-9999	6.66
1901	2	13	4.859	5.6185	10.063	-0.49207	79.109	-9999	0	-9999	-9999	-9999	5.8852
1901	2	14	6.4561	6.8299	10.098	4.0656	86.833	-9999	0	-9999	-9999	-9999	4.9628
1901	2	15	6.6787	7.4963	11.807	2.9368	88.417	-9999	0	-9999	-9999	-9999	3.9344
1901	2	16	6.8596	7.8912	11.673	4.3871	89.185	-9999	0	-9999	-9999	-9999	3.1141
1901	2	17	6.035	1.5299	7.575	-2.0351	89.014	-9999	0	-9999	-9999	-9999	3.5046
1901	2	18	7.3274	0.20303	2.8597	-3.7982	80.639	-9999	33.133	-9999	-9999	-9999	6.0841
1901	2	19	8.7753	-0.37458	3.7075	-5.3897	91.794	-9999	0	-9999	-9999	-9999	4.8618
1901	2	20	7.9659	1.9824	5.7559	-3.575	93.07	-9999	2.4615	-9999	-9999	-9999	5.1562
1901	2	21	6.7363	3.6316	6.5619	1.0794	88.057	-9999	4.8667	-9999	-9999	-9999	5.5058
1901	2	22	9.0312	-0.22587	2.0768	-3.9115	80.976	-9999	0	-9999	-9999	-9999	4.2998
1901	2	23	8.3505	-0.30237	2.6509	-3.8478	80.795	-9999	0	-9999	-9999	-9999	4.4519
1901	2	24	5.8688	5.0525	8.9531	-3.8243	85.909	-9999	1.8862	-9999	-9999	-9999	7.313
1901	2	25	7.6357	4.3116	7.8682	0.99789	88.959	-9999	0	-9999	-9999	-9999	5.7186
1901	2	26	7.2915	-0.93888	2.3188	-4.1167	84.46	-9999	0	-9999	-9999	-9999	7.8319
1901	2	27	9.4903	2.5944	7.0753	-5.1628	85.341	-9999	0	-9999	-9999	-9999	4.57
1901	2	28	10.846	2.7688	5.6993	-1.1206	89.9	-9999	0	-9999	-9999	-9999	4.6224
1901	3	1	9.0403	5.9968	10.584	0.61459	95.072	-9999	0	-9999	-9999	-9999	3.2034
1901	3	2	9.481	5.8017	7.6463	3.898	93.388	-9999	2.4954	-9999	-9999	-9999	5.9452
1901	3	3	10.794	4.6216	6.9641	1.631	93.994	-9999	0.1249	-9999	-9999	-9999	6.0025
1901	3	4	10.106	5.482	8.0962	2.4054	94.27	-9999	0.20108	-9999	-9999	-9999	5.9338
1901	3	5	6.7795	7.1641	10.224	3.4579	87.606	-9999	2.8236	-9999	-9999	-9999	6.5485
1901	3	6	12.197	5.5482	9.2985	0.088007	87.558	-9999	0	-9999	-9999	-9999	5.6434
1901	3	7	10.63	7.9619	12.051	3.5914	89.968	-9999	0	-9999	-9999	-9999	3.6977
1901	3	8	10.378	3.154	5.8523	-1.3641	84.836	-9999	0	-9999	-9999	-9999	3.3013
1901	3	9	12.586	6.8936	11.845	0.20675	82.027	-9999	0	-9999	-9999	-9999	4.8311
1901	3	10	11.387	4.0335	7.6407	-1.1707	90.272	-9999	0	-9999	-9999	-9999	3.3757
1901	3	11	10.794	1.549	3.7968	-0.71876	87.718	-9999	4.8853	-9999	-9999	-9999	5.245
1901	3	12	11.59	4.9947	9.968	-2.8725	94.758	-9999	1.5773	-9999	-9999	-9999	5.327
1901	3	13	9.9926	8.5741	11.771	4.2174	89.614	-9999	0.4127	-9999	-9999	-9999	6.0074
1901	3	14	12.83	7.9635	11.586	3.1412	74.898	-9999	0	-9999	-9999	-9999	4.1633
1901	3	15	12.155	7.2716	13.281	0.32806	84.592	-9999	0	-9999	-9999	-9999	2.7114
1901	3	16	13.366	4.2848	6.5515	1.3145	87.667	-9999	0	-9999	-9999	-9999	4.4817
1901	3	17	12.259	9.7189	15.57	-0.1113	81.89	-9999	0	-9999	-9999	-9999	4.0357
1901	3	18	14.567	7.6326	11.183	3.2609	95.42	-9999	0	-9999	-9999	-9999	4.6914
1901	3	19	9.7528	8.0547	11.642	3.7759	96.388	-9999	7.1095	-9999	-9999	-9999	2.7363
1901	3	20	11.002	7.3205	10.852	3.6102	91.422	-9999	18.048	-9999	-9999	-9999	2.984
1901	3	21	13.774	4.6499	7.7531	1.1632	87.703	-9999	0	-9999	-9999	-9999	5.1008
1901	3	22	10.551	6.6619	10.974	1.4356	92.28	-9999	0	-9999	-9999	-9999	5.9701
1901	3	23	8.734	8.786	12.368	3.7613	97.588	-9999	5.4716	-9999	-9999	-9999	6.9896
1901	3	24	8.4435	10.869	12.975	8.7347	93.983	-9999	7.1946	-9999	-9999	-9999	6.7094
1901	3	25	9.4815	10.097	12.773	7.026	93.573	-9999	14.941	-9999	-9999	-9999	6.8488
1901	3	26	12.07	10.361	13.876	6.1531	83.353	-9999	3.7792	-9999	-9999	-9999	5.4244
1901	3	27	13.738	7.1796	11.236	1.5749	80.27	-9999	0	-9999	-9999	-9999	4.669
1901	3	28	13.038	11.404	17.026	3.2505	91.179	-9999	0	-9999	-9999	-9999	3.2861
1901	3	29	11.757	9.0018	12.206	4.9779	98.24	-9999	6.8357	-9999	-9999	-9999	3.1166
1901	3	30	11.515	9.2439	11.764	6.9647	93.422	-9999	5.2	-9999	-9999	-9999	5.2278
1901	3	31	15.339	8.1348	10.846	4.7544	93.058	-9999	0	-9999	-9999	-9999	3.0801
1901	4	1	12.519	12.081	15.393	9.0065	92.18	-9999	5.1839	-9999	-9999	-9999	5.4408
1901	4	2	13.915	11.558	15.097	6.5033	88.955	-9999	1.2549	-9999	-9999	-9999	3.7795
1901	4	3	11.749	12.504	14.475	10.511	79.467	-9999	25.091	-9999	-9999	-9999	5.2147
1901	4	4	13.816	13.743	18.146	8.9029	91.671	-9999	0	-9999	-9999	-9999	4.3406
1901	4	5	12.888	8.7724	11.06	5.0396	87.142	-9999	12.5	-9999	-9999	-9999	6.7419
1901	4	6	14.385	11.661	16.259	5.4316	80.907	-9999	0	-9999	-9999	-9999	4.7726
1901	4	7	16.011	10.239	13.536	5.4717	83.483	-9999	0	-9999	-9999	-9999	5.0152
1901	4	8	13.626	8.5355	11.964	3.8094	83.638	-9999	0	-9999	-9999	-9999	4.4584
1901	4	9	15.846	7.7213	11.252	3.9528	75.59	-9999	0	-9999	-9999	-9999	4.295
1901	4	10	15.97	12.317	18.227	3.2542	78.026	-9999	0	-9999	-9999	-9999	3.8542
1901	4	11	15.286	13.24	18.201	8.155	84.432	-9999	0	-9999	-9999	-9999	3.3123
1901	4	12	14.237	6.931	10.233	2.2621	81.929	-9999	3.5866	-9999	-9999	-9999	6.5608
1901	4	13	15.267	9.9067	15.613	2.8417	85.005	-9999	0	-9999	-9999	-9999	4.2927
1901	4	14	11.298	9.9951	12.258	7.4683	83.188	-9999	10.824	-9999	-9999	-9999	8.4637
1901	4	15	15.751	11.995	17.029	5.8429	86.794	-9999	0	-9999	-9999	-9999	4.748
1901	4	16	12.068	8.9112	10.999	6.4203	77.96	-9999	4.0921	-9999	-9999	-9999	7.7242
1901	4	17	16.874	13.652	20.268	3.4073	84.415	-9999	0	-9999	-9999	-9999	3.4784
1901	4	18	13.253	12.238	15.386	8.5893	90.756	-9999	4.6372	-9999	-9999	-9999	4.6225
1901	4	19	14.057	11.246	14.683	6.945	76.181	-9999	2.8893	-9999	-9999	-9999	4.3255
1901	4	20	17.584	15.39	23.144	5.8569	84.281	-9999	0	-9999	-9999	-9999	3.1687
1901	4	21	13.076	12.199	14.394	9.9688	83.878	-9999	0	-9999	-9999	-9999	7.6615
1901	4	22	17.804	14.909	21.307	7.2834	86.845	-9999	0	-9999	-9999	-9999	4.3002
1901	4	23	15.247	13.257	16.305	9.5431	83.005	-9999	6.0949	-9999	-9999	-9999	6.3368
1901	4	24	17.32	13.226	18.633	6.6215	81.224	-9999	0	-9999	-9999	-9999	4.3739
1901	4	25	18.011	11.533	14.903	8.0522	86.643	-9999	0	-9999	-9999	-9999	5.4786
1901	4	26	14.216	12.679	16.356	7.1797	80.951	-9999	1.0456	-9999	-9999	-9999	6.0395
1901	4	27	15.161	15.22	20.066	9.8645	73.855	-9999	0	-9999	-9999	-9999	4.1798
1901	4	28	19.987	15.047	21.058	7.8707	81.9	-9999	0	-9999	-9999	-9999	4.2567
1901	4	29	18.986	13.424	19.174	7.1579	76.514	-9999	0	-9999	-9999	-9999	3.7068
1901	4	30	19.924	16.167	22.036	9.2396	81.993	-9999	0	-9999	-9999	-9999	4.8018
1901	5	1	14.471	13.415	17.681	9.5755	73.273	-9999	0.6152	-9999	-9999	-9999	5.1961
1901	5	2	20.602	16.853	26.636	5.3697	83.621	-9999	0	-9999	-9999	-9999	2.5479
1901	5	3	17.448	12.672	17.119	7.3612	65.647	-9999	2.254	-9999	-9999	-9999	2.3681
1901	5	4	21.364	16.591	26.444	5.0432	77.313	-9999	0	-9999	-9999	-9999	2.1163
1901	5	5	15.977	15.986	20.019	12.853	86.642	-9999	2.809	-9999	-9999	-9999	3.2461
1901	5	6	17.706	15.59	21.039	8.8644	86.453	-9999	0.50419	-9999	-9999	-9999	1.7547
1901	5	7	17.924	11.763	15.448	6.5841	84.298	-9999	1.9463	-9999	-9999	-9999	3.0081
1901	5	8	17.467	14.784	20.89	6.5547	73.743	-9999	1.1327	-9999	-9999	-9999	3.7409
1901	5	9	21.322	17.114	24.135	8.7618	79.971	-9999	0	-9999	-9999	-9999	3.2796
1901	5	10	18.401	17.218	22.821	11.038	88.518	-9999	0	-9999	-9999	-9999	2.75
1901	5	11	13.683	15.032	18.714	11.76	81.803	-9999	2.9388	-9999	-9999	-9999	2.9224
1901	5	12	19.287	14.457	19.789	8.3762	68.335	-9999	0	-9999	-9999	-9999	3.2951
1901	5	13	21.084	18.207	26.236	7.7752	70.194	-9999	0	-9999	-9999	-9999	4.1962
1901	5	14	23.565	16.74	23.352	8.71	87.689	-9999	0	-9999	-9999	-9999	3.7539
1901	5	15	17.208	13.708	16.774	10.973	82.452	-9999	6.8983	-9999	-9999	-9999	4.8429
1901	5	16	20.519	15.288	20.838	9.268	82.621	-9999	0	-9999	-9999	-9999	5.1484
1901	5	17	19.473	13.146	17.841	7.65	81.377	-9999	2.7541	-9999	-9999	-9999	3.0392
1901	5	18	21.932	14.7	21.616	6.8027	83.832	-9999	0	-9999	-9999	-9999	2.185
1901	5	19	18.42	14.916	19.14	11.424	76.521	-9999	8.6666	-9999	-9999	-9999	6.3495
1901	5	20	17.165	14.635	19.739	8.8813	79.79	-9999	3.1121	-9999	-9999	-9999	4.9514
1901	5	21	20.109	12.895	16.128	9.7642	80.264	-9999	0.18362	-9999	-9999	-9999	4.7107
1901	5	22	19.411	13.433	18.749	7.885	72.96	-9999	0.057818	-9999	-9999	-9999	3.4381
1901	5	23	15.406	14.648	21.015	6.3964	78.563	-9999	0	-9999	-9999	-9999	3.1735
1901	5	24	20.258	15.109	20.846	9.0284	79.086	-9999	0	-9999	-9999	-9999	3.151
1901	5	25	15.157	15.009	19.019	11.14	84.639	-9999	0	-9999	-9999	-9999	2.5456
1901	5	26	18.524	12.329	16.01	8.2746	71.714	-9999	2.9933	-9999	-9999	-9999	1.7181
1901	5	27	22.554	16.308	23.905	5.9333	81.797	-9999	0	-9999	-9999	-9999	3.8136
1901	5	28	22.952	13.435	19.148	7.1014	75.075	-9999	0	-9999	-9999	-9999	2.4666
1901	5	29	17.252	15.936	22.541	7.744	80.868	-9999	2.0667	-9999	-9999	-9999	2.4554
1901	5	30	17.982	14.637	18.992	10.493	74.453	-9999	1.8671	-9999	-9999	-9999	2.6514
1901	5	31	22.79	15.657	22.208	8.5458	71.823	-9999	0	-9999	-9999	-9999	3.4736
1901	6	1	14.454	17.756	22.896	11.973	76.31	-9999	3.1115	-9999	-9999	-9999	2.7239
1901	6	2	21.829	18.79	25.229	12.161	81.714	-9999	0	-9999	-9999	-9999	2.8455
1901	6	3	19.94	15.628	20.281	10.381	86.398	-9999	0	-9999	-9999	-9999	2.9098
1901	6	4	21.033	16.35	22.173	9.2077	68.659	-9999	0.97055	-9999	-9999	-9999	2.6465
1901	6	5	20.702	20.683	28.439	11.712	75.748	-9999	0	-9999	-9999	-9999	2.3734
1901	6	6	15.786	19.406	23.88	15.914	80.243	-9999	7.3297	-9999	-9999	-9999	2.7915
1901	6	7	22.389	16.431	21.41	10.929	79.821	-9999	0	-9999	-9999	-9999	4.0184
1901	6	8	19.983	18.132	24.138	10.049	80.271	-9999	16.308	-9999	-9999	-9999	2.2749
1901	6	9	20.525	17.366	21.768	13.099	79.126	-9999	1.9454	-9999	-9999	-9999	4.3297
1901	6	10	22.338	16.071	21.336	10.241	83.209	-9999	0	-9999	-9999	-9999	4.5654
1901	6	11	21.299	16.854	22.129	11.33	80.673	-9999	0	-9999	-9999	-9999	4.5356
1901	6	12	22.044	17.926	24.418	10.463	73.274	-9999	0.15713	-9999	-9999	-9999	4.997
1901	6	13	22.193	19.586	26.445	11.848	82.854	-9999	0	-9999	-9999	-9999	4.6875
1901	6	14	19.218	18.932	23.599	14.065	80.019	-9999	1.3276	-9999	-9999	-9999	2.4663
1901	6	15	18.492	19.04	25.26	13.227	70.631	-9999	0	-9999	-9999	-9999	3.5039
1901	6	16	19.679	21.646	30.209	11.684	74.322	-9999	0	-9999	-9999	-9999	2.2946
1901	6	17	20.751	17.951	23.248	11.715	78.607	-9999	0	-9999	-9999	-9999	3.7799
1901	6	18	15.398	19.82	25.737	12.343	81.057	-9999	0	-9999	-9999	-9999	3.7403
1901	6	19	19.695	17.591	21.926	13.281	79.018	-9999	4.3165	-9999	-9999	-9999	3.878
1901	6	20	13.78	19.337	24.946	12.165	78.953	-9999	0	-9999	-9999	-9999	3.65
1901	6	21	18.927	18.888	24.258	13.077	75.278	-9999	0	-9999	-9999	-9999	3.6005
1901	6	22	20.315	18.127	23.733	12.934	72.041	-9999	0.30051	-9999	-9999	-9999	5.6001
1901	6	23	23.454	21.231	29.837	10.243	73.759	-9999	0	-9999	-9999	-9999	3.8011
1901	6	24	21.064	20.347	27.162	13.341	68.013	-9999	0	-9999	-9999	-9999	3.2484
1901	6	25	22.107	20.294	28.082	11.138	82.302	-9999	0	-9999	-9999	-9999	2.8543
1901	6	26	18.356	19.799	25.135	14.899	91.346	-9999	0	-9999	-9999	-9999	4.7141
1901	6	27	18.158	14.895	17.548	11.624	84.527	-9999	6.9332	-9999	-9999	-9999	7.7636
1901	6	28	22.123	17.383	23.332	10.684	78.909	-9999	0	-9999	-9999	-9999	3.3806
1901	6	29	19.585	20.499	27.454	11.97	82.691	-9999	0	-9999	-9999	-9999	4.1962
1901	6	30	19.664	18.544	23.615	12.922	67.69	-9999	0	-9999	-9999	-9999	2.8694
1901	7	1	21.455	22.455	29.588	12.26	69.164	-9999	0	-9999	-9999	-9999	3.6804
1901	7	2	21.715	22.054	29.168	14.792	77.842	-9999	0	-9999	-9999	-9999	3.2466
1901	7	3	21.884	18.741	23.006	13.609	87.553	-9999	0	-9999	-9999	-9999	4.3919
1901	7	4	21.644	18.219	22.441	13.639	82.399	-9999	0	-9999	-9999	-9999	3.9237
1901	7	5	20.356	19.104	25.352	11.252	87.41	-9999	0	-9999	-9999	-9999	2.9797
1901	7	6	17.652	17.946	21.478	14.067	82.7	-9999	13.105	-9999	-9999	-9999	3.5379
1901	7	7	21.514	19.869	26.121	12.337	91.412	-9999	0	-9999	-9999	-9999	4.4193
1901	7	8	20.017	18.622	22.017	14.916	74.008	-9999	18.904	-9999	-9999	-9999	4.572
1901	7	9	18.984	20.61	27.927	11.543	79.861	-9999	0	-9999	-9999	-9999	3.9684
1901	7	10	20.146	19.654	24.76	13.94	76.774	-9999	0	-9999	-9999	-9999	3.7957
1901	7	11	20.985	22.022	29.217	13.967	72.772	-9999	0	-9999	-9999	-9999	3.1703
1901	7	12	19.625	23.192	29.922	16.086	75.141	-9999	0	-9999	-9999	-9999	2.569
1901	7	13	19.272	21.031	25.018	16.883	82.082	-9999	0	-9999	-9999	-9999	5.0064
1901	7	14	18.626	20.416	25.09	15.374	73.014	-9999	3.9471	-9999	-9999	-9999	5.1017
1901	7	15	18.095	22.588	28.666	15.615	82.179	-9999	0	-9999	-9999	-9999	3.0234
1901	7	16	19.413	19.847	23.448	16.237	79.035	-9999	0	-9999	-9999	-9999	4.3405
1901	7	17	22.011	17.253	22.882	11.18	78.081	-9999	0	-9999	-9999	-9999	3.6858
1901	7	18	21.476	19.659	26.225	12.414	79.211	-9999	0	-9999	-9999	-9999	3.5205
1901	7	19	20.207	20.26	25.46	14.459	74.193	-9999	7.8569	-9999	-9999	-9999	3.2379
1901	7	20	21.279	22.005	28.754	15.046	65.321	-9999	0	-9999	-9999	-9999	3.7414
1901	7	21	21.644	22.358	29.515	14.62	76.084	-9999	0	-9999	-9999	-9999	3.8294
1901	7	22	16.934	18.708	21.744	15.655	71.428	-9999	35.804	-9999	-9999	-9999	5.9082
1901	7	23	18.84	21.675	29.44	12.633	83.823	-9999	0	-9999	-9999	-9999	4.0849
1901	7	24	18.741	20.164	24.04	16.758	80.604	-9999	11.596	-9999	-9999	-9999	5.283
1901	7	25	19.728	20.463	27.004	12.855	81.985	-9999	0	-9999	-9999	-9999	2.9337
1901	7	26	14.93	21.252	25.459	17.422	86.13	-9999	2.0396	-9999	-9999	-9999	3.8033
1901	7	27	17.838	21.409	27.169	14.536	71.613	-9999	8.2466	-9999	-9999	-9999	2.7113
1901	7	28	19.205	23.634	30.019	17.109	78.342	-9999	0	-9999	-9999	-9999	3.3445
1901	7	29	19.373	20.448	24.906	15.413	77.855	-9999	0	-9999	-9999	-9999	4.1354
1901	7	30	18.79	21.47	27.887	15.22	79.377	-9999	0	-9999	-9999	-9999	3.7529
1901	7	31	19.293	21.784	28.198	14.285	72.529	-9999	0	-9999	-9999	-9999	4.5371
1901	8	1	16.781	22.557	29.819	15.228	75.645	-9999	0.27096	-9999	-9999	-9999	4.2566
1901	8	2	20.703	20.498	26.283	13.867	75.214	-9999	0	-9999	-9999	-9999	3.9532
1901	8	3	16.974	17.802	21.585	13.653	83.942	-9999	0	-9999	-9999	-9999	4.7349
1901	8	4	19.071	17.753	22.587	12.745	76.351	-9999	0.22671	-9999	-9999	-9999	4.3769
1901	8	5	18.152	21.132	28.145	12.675	84.704	-9999	0	-9999	-9999	-9999	3.639
1901	8	6	14.953	20.016	24.084	15.898	77.772	-9999	9.2766	-9999	-9999	-9999	3.6653
1901	8	7	18.896	18.467	23.242	13.397	75.637	-9999	0	-9999	-9999	-9999	4.3406
1901	8	8	18.306	20.488	28.261	11.379	66.395	-9999	0	-9999	-9999	-9999	2.4802
1901	8	9	19.417	23.868	33.192	13.169	69.805	-9999	0	-9999	-9999	-9999	3.6897
1901	8	10	18.806	22.422	30.029	13.997	80.617	-9999	0	-9999	-9999	-9999	3.1034
1901	8	11	14.897	19.514	24.532	14.995	77.067	-9999	5.0119	-9999	-9999	-9999	4.1514
1901	8	12	17.804	18.915	25.08	12.126	77.121	-9999	0	-9999	-9999	-9999	3.8911
1901	8	13	18.659	18.297	23.784	12.052	75.827	-9999	0	-9999	-9999	-9999	3.0267
1901	8	14	13.655	20.634	25.837	13.57	73.787	-9999	3.9311	-9999	-9999	-9999	2.5158
1901	8	15	17.696	20.912	27.694	13.467	71.873	-9999	0	-9999	-9999	-9999	3.9455
1901	8	16	20.02	19.529	26.96	10.602	74.938	-9999	0	-9999	-9999	-9999	3.1507
1901	8	17	16.127	20.869	27.19	13.424	75.344	-9999	0.44138	-9999	-9999	-9999	3.5694
1901	8	18	15.709	21.605	27.714	16.586	85.96	-9999	0	-9999	-9999	-9999	2.8378
1901	8	19	13.779	17.283	19.652	14.746	78.232	-9999	2.7404	-9999	-9999	-9999	5.6622
