Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	3.6381	-1.117	-0.141	-2.656	79.612	-9999	0	-9999	-9999	-9999	3.8605
1901	1	2	3.9549	-1.417	1.192	-3.469	78.302	-9999	0	-9999	-9999	-9999	2.7565
1901	1	3	4.8828	0.80001	8.396	-6.025	86.2	-9999	0	-9999	-9999	-9999	5.1656
1901	1	4	5.1186	4.25	9.08	-0.79899	73.933	-9999	0	-9999	-9999	-9999	5.7204
1901	1	5	2.7341	6.316	10.282	2.51	74.831	-9999	5.2446	-9999	-9999	-9999	9.0574
1901	1	6	3.4822	6.275	9.259	3.022	80.196	-9999	4.0402	-9999	-9999	-9999	6.0243
1901	1	7	0.62148	8.146	11.624	3.994	86.727	-9999	11.259	-9999	-9999	-9999	6.3813
1901	1	8	0.72593	6.576	9.969	3.866	87.857	-9999	7.4753	-9999	-9999	-9999	6.8535
1901	1	9	0.97623	6.645	10.05	4.203	87.578	-9999	13.233	-9999	-9999	-9999	9.7404
1901	1	10	1.2215	6.09	11.52	2.068	89.508	-9999	3.7613	-9999	-9999	-9999	4.5
1901	1	11	1.7476	8.967	12.187	4.717	84.823	-9999	0	-9999	-9999	-9999	4.486
1901	1	12	5.7061	7.778	12.13	4.081	85.022	-9999	0	-9999	-9999	-9999	4.3188
1901	1	13	4.8291	7.97	11.831	4.524	76.135	-9999	0	-9999	-9999	-9999	6.1706
1901	1	14	0.72377	8.307	10.707	5.975	86.599	-9999	4.3079	-9999	-9999	-9999	6.2935
1901	1	15	2.4272	9.586	11.147	7.603	89.771	-9999	0	-9999	-9999	-9999	4.7297
1901	1	16	3.3769	7.582	12.562	4.509	85.477	-9999	0	-9999	-9999	-9999	5.4436
1901	1	17	3.9887	5.449	8.289	2.546	76.54	-9999	0	-9999	-9999	-9999	4.7838
1901	1	18	3.0296	4.143	8.158	0.78799	78.632	-9999	0	-9999	-9999	-9999	2.8107
1901	1	19	3.874	5.236	7.836	1.711	77.322	-9999	0	-9999	-9999	-9999	2.8251
1901	1	20	5.9345	3.083	6.088	-0.61399	77.466	-9999	0	-9999	-9999	-9999	2.8263
1901	1	21	4.2489	1.939	6.239	-0.95701	87.203	-9999	0	-9999	-9999	-9999	1.7019
1901	1	22	4.0859	3.925	8.789	-0.34199	84.899	-9999	0	-9999	-9999	-9999	2.0534
1901	1	23	3.9099	2.689	7.781	-2.774	85.546	-9999	0	-9999	-9999	-9999	2.768
1901	1	24	3.0749	5.489	8.942	2.158	88.724	-9999	0	-9999	-9999	-9999	2.7667
1901	1	25	3.9074	4.224	6.645	1.683	90.377	-9999	1.8183	-9999	-9999	-9999	3.2743
1901	1	26	3.2316	6.211	8.835	4.475	82.358	-9999	3.2534	-9999	-9999	-9999	4.6792
1901	1	27	4.8356	6.016	8.913	2.171	74.923	-9999	2.2481	-9999	-9999	-9999	5.616
1901	1	28	4.267	7.3	12.779	3.256	68.93	-9999	7.4794	-9999	-9999	-9999	5.8973
1901	1	29	4.501	5.082	7.469	2.452	79.316	-9999	7.8246	-9999	-9999	-9999	4.4123
1901	1	30	7.3805	4.091	9.015	-0.792	74.229	-9999	1.5675	-9999	-9999	-9999	7.1744
1901	1	31	5.7067	6.154	9.44	3.026	78.293	-9999	0	-9999	-9999	-9999	4.9127
1901	2	1	6.3998	6.792	11.678	1.419	67.172	-9999	1.562	-9999	-9999	-9999	7.1149
1901	2	2	5.4157	2.995	5.66	0.25799	84.382	-9999	1.749	-9999	-9999	-9999	3.392
1901	2	3	5.4002	2.745	7.105	-1.045	83.755	-9999	2.1022	-9999	-9999	-9999	3.4854
1901	2	4	1.6113	2.603	7.855	-1.584	93.005	-9999	4.5621	-9999	-9999	-9999	7.1697
1901	2	5	0.44591	6.19	8.918	3.485	91.94	-9999	14.657	-9999	-9999	-9999	9.618
1901	2	6	1.9392	5.76	10.175	-0.49799	85.156	-9999	16.808	-9999	-9999	-9999	13.743
1901	2	7	4.4112	4.333	7.233	2.252	78.597	-9999	4.7503	-9999	-9999	-9999	9.1495
1901	2	8	3.5156	3.875	10.036	-1.616	97.148	-9999	0	-9999	-9999	-9999	4.3795
1901	2	9	8.4488	7.461	11.825	2.706	79.807	-9999	0	-9999	-9999	-9999	4.9339
1901	2	10	9.8664	7.227	15.307	0.639	69.564	-9999	0	-9999	-9999	-9999	6.2902
1901	2	11	2.9619	9.143	12.939	4.481	62.1	-9999	2.6145	-9999	-9999	-9999	10.021
1901	2	12	6.0915	5.57	8.872	2.107	78.19	-9999	2.7735	-9999	-9999	-9999	7.0375
1901	2	13	3.4023	3.856	5.604	1.914	85.223	-9999	8.1516	-9999	-9999	-9999	7.3312
1901	2	14	5.5413	3.501	8.412	-1.458	78.508	-9999	0	-9999	-9999	-9999	5.8195
1901	2	15	3.5085	5.132	9.067	2.609	84.35	-9999	5.6042	-9999	-9999	-9999	6.2395
1901	2	16	6.3371	4.163	8.994	0.67199	85.035	-9999	1.9595	-9999	-9999	-9999	4.7683
1901	2	17	6.8604	3.586	8.45	-0.227	89.593	-9999	1.6511	-9999	-9999	-9999	4.5505
1901	2	18	5.5838	3.397	8.133	1.447	90.505	-9999	0	-9999	-9999	-9999	5.6837
1901	2	19	5.5718	2.458	3.515	0.19	80.999	-9999	0	-9999	-9999	-9999	3.5267
1901	2	20	5.8139	2.044	3.763	0.33001	78.751	-9999	0	-9999	-9999	-9999	5.4166
1901	2	21	9.3402	1.581	4.678	-1.441	77.395	-9999	0	-9999	-9999	-9999	4.0583
1901	2	22	8.3711	1.655	6.366	-3.395	83.766	-9999	0	-9999	-9999	-9999	3.2353
1901	2	23	6.8254	3.885	5.282	-0.16801	77.225	-9999	1.124	-9999	-9999	-9999	6.5979
1901	2	24	8.3195	1.661	4.529	-1.189	71.147	-9999	0	-9999	-9999	-9999	6.9566
1901	2	25	11.033	1.44	5.599	-3.22	66.738	-9999	0	-9999	-9999	-9999	5.9715
1901	2	26	12.629	-0.083014	5.717	-6.72	73.154	-9999	0	-9999	-9999	-9999	4.4582
1901	2	27	10.86	-1.222	2.893	-5.731	69.985	-9999	0	-9999	-9999	-9999	4.1873
1901	2	28	9.2998	-0.31299	6.407	-5.206	67.147	-9999	0	-9999	-9999	-9999	1.5655
1901	3	1	3.6088	4.522	9.419	0.95901	79.191	-9999	5.8071	-9999	-9999	-9999	8.2899
1901	3	2	7.7275	4.084	8.538	-0.745	83.331	-9999	2.6543	-9999	-9999	-9999	4.554
1901	3	3	10.947	3.955	7.237	-0.090002	69.009	-9999	2.0967	-9999	-9999	-9999	6.7188
