Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1997	1	1	3.5181	10.138	12.336	8.0607	82.673	-9999	0.17452	-9999	-9999	-9999	6.5946
1997	1	2	4.3434	9.4794	12.733	6.5764	77.843	-9999	2.8804	-9999	-9999	-9999	6.3236
1997	1	3	0.64373	9.8554	12.842	6.4432	81.103	-9999	7.486	-9999	-9999	-9999	9.4318
1997	1	4	2.8838	7.411	10.842	5.3338	77.922	-9999	6.3157	-9999	-9999	-9999	7.3535
1997	1	5	0.27093	9.4591	17.345	3.5	86.921	-9999	11.687	-9999	-9999	-9999	8.3447
1997	1	6	1.8744	11.598	15.085	8.1496	82.328	-9999	6.5734	-9999	-9999	-9999	8.2769
1997	1	7	2.7297	8.0951	11.511	3.8312	78.473	-9999	5.7134	-9999	-9999	-9999	7.1943
1997	1	8	5.0853	3.8037	7.8962	-2.4314	71.881	-9999	0.92569	-9999	-9999	-9999	3.9501
1997	1	9	1.3695	4.6658	14.072	-3.9775	80.545	-9999	0.30141	-9999	-9999	-9999	4.1471
1997	1	10	2.7351	10.721	13.463	7.7606	83.047	-9999	0.50971	-9999	-9999	-9999	5.8572
1997	1	11	1.8929	10.832	12.319	8.8517	85.783	-9999	1.0608	-9999	-9999	-9999	6.1629
1997	1	12	1.6645	11.139	12.466	8.8992	86.424	-9999	1.3929	-9999	-9999	-9999	6.3072
1997	1	13	2.9326	11.048	12.811	9.9258	81.982	-9999	0.83964	-9999	-9999	-9999	7.8052
1997	1	14	2.6088	11.074	12.875	9.3714	79.7	-9999	3.6577	-9999	-9999	-9999	7.9964
1997	1	15	1.0925	11.011	13.449	9.3378	83.442	-9999	5.9894	-9999	-9999	-9999	6.0442
1997	1	16	2.0089	12.038	14.343	10.045	73.42	-9999	2.7671	-9999	-9999	-9999	7.0022
1997	1	17	5.7155	11.633	16.063	8.5235	65.232	-9999	0.00011182	-9999	-9999	-9999	6.5824
1997	1	18	2.3283	11.381	13.729	9.7525	78.85	-9999	1.4684	-9999	-9999	-9999	4.2781
1997	1	19	5.6501	10.81	13.367	8.6198	78.823	-9999	0.20022	-9999	-9999	-9999	4.3449
1997	1	20	0.99346	9.4136	12.221	5.9523	84.345	-9999	7.1321	-9999	-9999	-9999	4.6862
1997	1	21	5.1396	5.9116	10.45	2.9943	78.681	-9999	4.784	-9999	-9999	-9999	8.7996
1997	1	22	4.7866	6.4367	9.5335	3.0889	79.854	-9999	6.838	-9999	-9999	-9999	8.6818
1997	1	23	6.5457	2.1714	8.6298	-0.96891	74.194	-9999	1.7649	-9999	-9999	-9999	6.3389
1997	1	24	3.1181	3.9545	12.384	-2.82	78.269	-9999	1.4785	-9999	-9999	-9999	3.0253
1997	1	25	3.3413	9.3473	12.341	5.9939	82.377	-9999	0.38377	-9999	-9999	-9999	4.0268
1997	1	26	4.7891	10.622	15.135	7.4112	74.679	-9999	0.00056021	-9999	-9999	-9999	3.964
1997	1	27	2.9558	10.614	13.531	6.5973	79.243	-9999	2.2323	-9999	-9999	-9999	4.8097
1997	1	28	5.5942	8.1615	11.012	5.3747	85.764	-9999	5.7237	-9999	-9999	-9999	4.1656
1997	1	29	5.4801	8.359	10.589	6.1229	82.131	-9999	4.6116	-9999	-9999	-9999	6.4326
1997	1	30	1.0259	8.8823	15.027	6.2133	88.306	-9999	5.3722	-9999	-9999	-9999	5.2671
1997	1	31	5.4455	9.799	14.281	4.0954	79.374	-9999	2.1412	-9999	-9999	-9999	5.024
1997	2	1	4.5585	7.0691	10.212	4.4983	82.171	-9999	2.2601	-9999	-9999	-9999	0.21161
1997	2	2	4.3043	3.7898	10.308	-2.1969	88.447	-9999	2.5674	-9999	-9999	-9999	4.3673
1997	2	3	6.0703	0.89025	5.1528	-2.3098	76.795	-9999	0.51308	-9999	-9999	-9999	1.3925
1997	2	4	8.226	1.2433	5.6912	-5.5271	74.146	-9999	1.8632	-9999	-9999	-9999	4.0997
1997	2	5	9.8795	-1.9522	2.0054	-4.8834	64.876	-9999	0.0082704	-9999	-9999	-9999	1.185
1997	2	6	5.2815	1.5563	8.1348	-5.5404	65.735	-9999	0.62935	-9999	-9999	-9999	5.2949
1997	2	7	4.6974	5.6756	10.956	0.2348	83.688	-9999	3.1032	-9999	-9999	-9999	2.6303
1997	2	8	2.6973	7.5739	12.703	1.0216	88.09	-9999	1.7845	-9999	-9999	-9999	5.6638
1997	2	9	4.8609	10.157	13.069	8.278	84.79	-9999	0.31304	-9999	-9999	-9999	7.5642
1997	2	10	7.3073	9.9312	13.83	6.3178	78.728	-9999	0.080404	-9999	-9999	-9999	6.5385
1997	2	11	7.6675	9.1924	14.451	4.7083	80.606	-9999	2.328	-9999	-9999	-9999	6.416
1997	2	12	5.2169	8.9505	13.591	3.9332	84.28	-9999	3.4562	-9999	-9999	-9999	5.7353
1997	2	13	5.7018	11.882	15.61	8.733	79.036	-9999	0.5492	-9999	-9999	-9999	6.4164
1997	2	14	2.4201	12.8	17.43	8.3363	88.664	-9999	2.9236	-9999	-9999	-9999	4.2931
1997	2	15	7.9708	14.154	18.531	11.318	77.381	-9999	0.069445	-9999	-9999	-9999	5.0827
1997	2	16	7.6519	14.013	19.104	10.656	75.534	-9999	0.01641	-9999	-9999	-9999	4.3902
1997	2	17	5.2758	11.979	16.494	4.8526	83.725	-9999	1.8488	-9999	-9999	-9999	2.9505
1997	2	18	8.3338	8.6687	12.817	4.4992	83.794	-9999	0.9578	-9999	-9999	-9999	1.9656
1997	2	19	5.4287	7.9344	13.323	-0.64695	88.469	-9999	3.9126	-9999	-9999	-9999	2.2038
1997	2	20	9.0366	3.7754	7.8948	-0.064001	83.489	-9999	0.19973	-9999	-9999	-9999	3.6315
1997	2	21	2.6767	7.8043	17.262	-0.09574	90.261	-9999	2.6795	-9999	-9999	-9999	5.3318
1997	2	22	9.6461	12.478	18.376	7.3537	80.564	-9999	1.4807	-9999	-9999	-9999	2.5029
1997	2	23	10.895	11.419	19.293	4.0141	81.563	-9999	0.23551	-9999	-9999	-9999	2.2106
1997	2	24	4.8219	11.405	15.725	7.421	84.678	-9999	1.0483	-9999	-9999	-9999	1.1933
1997	2	25	9.0108	11.241	16.062	7.9693	90.902	-9999	0.51777	-9999	-9999	-9999	2.6917
1997	2	26	4.9877	10.41	14.241	7.1336	93.741	-9999	0.21157	-9999	-9999	-9999	2.2033
1997	2	27	8.8294	11.924	17.805	6.6528	91.015	-9999	0.13947	-9999	-9999	-9999	2.2594
1997	2	28	10.985	12.178	17.115	8.0568	85.984	-9999	0.017891	-9999	-9999	-9999	3.0248
1997	3	1	11.03	11.988	16.923	7.8798	82.325	-9999	0.021353	-9999	-9999	-9999	3.1328
