year,neeCutRef_gCm2d1,neeVutRef_gCm2d1,neeCutRef_qc,neeVutRef_qc,neeCutRefJointunc_gCm2d1,neeVutRefJointunc_gCm2d1,recoNtVutRef_gCm2d1,recoNtVutSe_gCm2d1,recoNtCutRef_gCm2d1,recoNtCutSe_gCm2d1,recoDtVutRef_gCm2d1,recoDtVutSe_gCm2d1,recoDtCutRef_gCm2d1,recoDtCutSe_gCm2d1,gppNtVutRef_gCm2d1,gppNtVutSe_gCm2d1,gppNtCutRef_gCm2d1,gppNtCutSe_gCm2d1,gppDtVutRef_gCm2d1,gppDtVutSe_gCm2d1,gppDtCutRef_gCm2d1,gppDtCutSe_gCm2d1
1996,-739.706063788121,-733.171061554198,0.366234061930783,0.368681693989071,NA,NA,1726.47394057107,9.86742466113348,1729.34141996345,21.2665298284589,1957.21982917124,13.1657416904538,1988.8837705589,58.8989176954004,2477.75857109477,16.6323888681214,2463.54565430803,54.3883597645293,2208.82778320934,6.87931409952517,2219.04521763951,37.6061759316151
1997,-400.24160556027,-398.279071296085,0.867808219178082,0.874372146118721,NA,NA,1511.67111429159,16.91116813273,1504.70883991016,33.3997120206518,1621.15514116543,28.293034077507,1656.93832576879,48.7995023602162,1897.15638666333,29.9977415377059,1918.87802103703,45.979061672286,2031.75447765658,15.1330759272987,2081.69353846682,27.5246632331262
1998,-498.499316316487,-497.73281772469,0.492294520547945,0.492408675799087,NA,NA,1629.70107591482,15.5059152410761,1634.41681438202,24.7905899351629,1728.6384669789,52.9539543012832,1553.58029738535,59.4666535717295,2135.49029409053,28.8827614652806,2138.62944363352,44.2840859762839,2310.5584966854,25.3488673441098,2316.20265922629,43.4875615845642
1999,-730.699872997307,-754.381237038201,0.430764840182648,0.428824200913242,NA,NA,1368.73405683767,14.6795304870811,1488.90190671914,14.5123079146104,2239.93959275884,46.7212892373001,2161.14707360645,52.4057383882208,2122.75493875356,29.9408087287415,2219.601750705,33.4432468040727,2272.42859921893,20.6006578272226,2216.06277309746,24.0485084743348
2000,-389.559191725988,-390.90337454196,0.655111566484517,0.65033014571949,NA,NA,1925.36576695179,16.2659596033406,1930.54782206918,20.2939805160587,2156.84337142696,59.3552974230686,2022.89247343364,51.713473082672,2303.84969980405,36.7603186148836,2314.85938466419,48.9162437510963,2360.10444251399,26.2433196235263,2365.35023559857,26.1570713212789
2001,-340.652806743312,-349.513244110593,0.973630136986301,0.964440639269406,NA,NA,1521.71070942405,31.0464292402036,1535.17371560981,18.9767736452088,1476.76201844329,63.7493225050359,1463.70296151513,38.0233731707446,1885.0244692573,57.4493826040036,1871.91507938412,36.4833351822552,1924.97764906751,40.8164258040658,1915.30539884526,24.7095195490982
2002,10.4363204796405,9.26001581650367,0.994634703196347,0.993493150684931,NA,NA,1323.67755793621,32.5881139184353,1318.71447150476,18.5989263505743,826.330975221024,29.9642606339544,823.694739952032,24.5591071628198,1303.85213921493,54.2726035741371,1308.27811281624,34.1861797097672,0,0,0,0
2003,-175.991266864,-174.8427202436,0.711187214611872,0.70736301369863,NA,NA,1551.73087698874,48.3906507905558,1549.93715091906,30.0008296122444,1206.26590325751,64.2248295502135,1200.54368070311,46.0359950502477,1807.47730267182,72.2827634321887,1757.79258380778,46.6792643507805,1553.47998985615,68.1291850282398,1563.0704991697,23.8843184331133
2004,-494.119019448837,-497.797565114175,0.758139799635701,0.756716757741348,NA,NA,1450.81919605489,15.0769986459602,1450.81919605489,22.4465591821057,1218.92448302446,45.5396387844128,1206.89517261536,66.1857530876463,1958.15619674478,24.7331897050636,1944.93816276117,41.4781587859707,1891.20087610071,21.0375710953596,1891.20087610071,32.7740477420815
2005,-133.39892609745,-133.101405925857,0.969406392694064,0.969634703196347,NA,NA,1357.37449426197,13.6118903932156,1335.2027701574,22.8686434727509,899.166686417382,25.8790934848618,899.534124463361,37.7972849394967,1471.30496179865,22.2810538284913,1471.7274855894,40.6068496911566,1263.80636623283,13.3717902727389,1264.92252817699,21.9804594533882
2006,-237.509879081523,-240.05576922408,0.992465753424657,0.992351598173516,NA,NA,1350.99042074127,12.5963314605935,1349.38375486474,22.7132490499391,1087.71913071615,32.1593907808893,1086.05562499457,48.8097081080744,1591.31894485563,24.2040834134978,1594.42495816968,51.5267505918801,1432.29267146802,16.3010663386373,1439.99260929098,25.3574463555611
2007,-647.975040990861,-648.260668559512,0.990353881278539,0.990353881278539,NA,NA,1270.02251701581,15.4408525679803,1264.18620432967,31.6838336814388,1295.95805263262,34.3101414788342,1334.59532926913,52.5715375860144,1918.49174403274,27.4271156391795,1917.86942799102,71.1240879916604,1995.12842532009,17.5159417123199,2036.26470761073,27.5760193114052
2008,-312.488289829363,-315.957029604604,0.926229508196721,0.926229508196721,NA,NA,1719.90120432958,20.568922694154,1722.6433936461,42.2935997049502,1577.65132897757,34.5625173481228,1542.86568005511,64.3887595975928,2039.04932824894,27.7719749870842,2035.69065514009,63.7531764018859,2064.28277692714,16.8438336545417,2039.54823586872,32.8435824224345
