Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1996	1	1	2.3538708	10.6096041666667	13.208	8.36	93.0215157387501	-9999	13.198	-9999	-9999	-9999	-9999
1996	1	2	3.8120652	10.688125	12.565	6.242	88.2467721607011	-9999	5.236	-9999	-9999	-9999	-9999
1996	1	3	6.2070462	7.054375	11.447	4.348	86.1176506269129	-9999	0	-9999	-9999	-9999	-9999
1996	1	4	2.5193394	9.4996875	12.831	6.411	74.7121084889949	-9999	3.034	-9999	-9999	-9999	-9999
1996	1	5	0.6563574	9.71464583333333	11.924	5.892	87.7726861011917	-9999	2.186	-9999	-9999	-9999	-9999
1996	1	6	3.4841232	9.37025	13.67	4.697	83.4959371847827	-9999	9.432	-9999	-9999	-9999	-9999
1996	1	7	4.3192836	10.2460416666667	11.489	9.325	87.1780145848128	-9999	3.48	-9999	-9999	-9999	-9999
1996	1	8	6.7785264	11.1912916666667	15.261	7.973	67.4072931574698	-9999	2.368	-9999	-9999	-9999	-9999
1996	1	9	4.5233928	11.93825	13.909	9.019	90.3595610780889	-9999	9.218	-9999	-9999	-9999	-9999
1996	1	10	3.174624	9.36385416666667	11.677	7.056	89.1930916584868	-9999	0.75	-9999	-9999	-9999	-9999
1996	1	11	2.0708442	9.30660416666667	11.649	6.543	85.964946091288	-9999	7.854	-9999	-9999	-9999	-9999
1996	1	12	5.821317	9.28283333333333	11.718	7.267	87.5917994865113	-9999	1.008	-9999	-9999	-9999	-9999
1996	1	13	6.7949172	9.04139583333333	12.424	7.148	82.7483012773213	-9999	0.18	-9999	-9999	-9999	-9999
1996	1	14	4.0833036	11.1299166666667	14.487	8.28	66.3628140799102	-9999	0	-9999	-9999	-9999	-9999
1996	1	15	6.9813216	11.5491041666667	16.316	9.491	81.0412114071458	-9999	0	-9999	-9999	-9999	-9999
1996	1	16	6.8615244	10.1863125	15.101	7.159	89.4013440890355	-9999	0	-9999	-9999	-9999	-9999
1996	1	17	6.7683726	10.5501041666667	14.901	8.172	85.2553571981766	-9999	0	-9999	-9999	-9999	-9999
1996	1	18	8.2876734	8.97166666666667	13.605	6.173	78.4508919748482	-9999	0	-9999	-9999	-9999	-9999
1996	1	19	8.1975546	8.59770833333333	14.093	4.525	76.2419891124808	-9999	0	-9999	-9999	-9999	-9999
1996	1	20	7.8318756	9.9168125	13.848	7.915	68.9811618108317	-9999	0	-9999	-9999	-9999	-9999
1996	1	21	6.2258994	10.603125	14.576	7.292	68.5920399459824	-9999	0.2	-9999	-9999	-9999	-9999
1996	1	22	4.7697912	11.319	13.897	9.691	84.2582292135021	-9999	15.666	-9999	-9999	-9999	-9999
1996	1	23	7.3635516	11.1144583333333	12.988	9.678	76.1384779185176	-9999	9.048	-9999	-9999	-9999	-9999
1996	1	24	5.5117062	8.47108333333333	11.803	6.049	81.4146855211199	-9999	0.112	-9999	-9999	-9999	-9999
1996	1	25	2.7949014	8.87139583333333	10.537	7.289	93.2455109750402	-9999	4.75	-9999	-9999	-9999	-9999
1996	1	26	6.2125524	8.3396875	11.257	5.196	91.3791800697217	-9999	3.82	-9999	-9999	-9999	-9999
1996	1	27	8.4854808	7.82066666666667	13.499	3.784	77.3686469465093	-9999	0.004	-9999	-9999	-9999	-9999
1996	1	28	4.8356532	10.1833541666667	14.178	7.947	83.0964133323712	-9999	3.582	-9999	-9999	-9999	-9999
1996	1	29	7.8600312	9.8526875	14.53	6.285	83.9237598687379	-9999	0.284	-9999	-9999	-9999	-9999
1996	1	30	7.6811868	10.7988125	14.621	7.025	73.0974095332208	-9999	0.34	-9999	-9999	-9999	-9999
1996	1	31	9.4997988	7.35460416666667	13.18	2.523	83.6487351545861	-9999	0	-9999	-9999	-9999	-9999
1996	2	1	7.7135292	8.64247916666667	12.049	5.944	69.0714927611958	-9999	0.98	-9999	-9999	-9999	-9999
1996	2	2	3.0899592	9.12616666666667	11.252	7.763	93.7161177601994	-9999	3.144	-9999	-9999	-9999	-9999
1996	2	3	7.2250146	7.54635416666667	10.411	4.621	90.2775582295705	-9999	1.826	-9999	-9999	-9999	-9999
1996	2	4	7.8442866	2.84054166666667	5.528	0.6	72.8620512889836	-9999	0.002	-9999	-9999	-9999	-9999
1996	2	5	8.7142662	2.3380625	6.552	-1.983	70.6343538133537	-9999	5.258	-9999	-9999	-9999	-9999
1996	2	6	4.5529974	7.608625	8.905	5.02	87.424761510787	-9999	14.256	-9999	-9999	-9999	-9999
1996	2	7	3.4798842	7.80372916666667	11.023	5.281	79.5646828749741	-9999	15.742	-9999	-9999	-9999	-9999
1996	2	8	8.0317854	7.51141666666667	9.99	4.331	64.5186365986446	-9999	1.518	-9999	-9999	-9999	-9999
1996	2	9	6.5010762	5.88329166666667	11.104	1.734	66.6116392555438	-9999	1.496	-9999	-9999	-9999	-9999
1996	2	10	6.6675924	8.36008333333333	9.825	7.186	88.3701988803529	-9999	5.26	-9999	-9999	-9999	-9999
1996	2	11	6.3017424	8.15920833333333	9.922	7.056	88.7616853836118	-9999	4.584	-9999	-9999	-9999	-9999
