Year,x,y,Age,Species,Management,N,Stool,AvDBH,Height,Wf,Wrc,Wrf,Ws,Wbb,Wres,Lai
1986,0,0,16,Pinuspinaster,T,819.4,0,18.76,12.59051908,0,0,0,0,0,0,2
1987,0,0,17,Pinuspinaster,T,819.4,0,18.95,12.71061673,0,0,0,0,0,0,2
1988,0,0,18,Pinuspinaster,T,819.4,0,19.7,13.18401274,0,0,0,0,0,0,2
1989,0,0,19,Pinuspinaster,T,819.4,0,20.52,13.70040072,0,0,0,0,0,0,2
1990,0,0,20,Pinuspinaster,T,819.4,0,21.02,14.0146824,0,0,0,0,0,0,2
1991,0,0,21,Pinuspinaster,T,819.4,0,21.85,14.61,0,0,0,0,0,0,2
1992,0,0,22,Pinuspinaster,T,615.9,0,23.67,15.22,0,0,0,0,0,0,2
1993,0,0,23,Pinuspinaster,T,615.4,0,24.45,15.74,0,0,0,0,0,0,2
1994,0,0,24,Pinuspinaster,T,615,0,25.47,16.65,0,0,0,0,0,0,2
1995,0,0,25,Pinuspinaster,T,614.8,0,26.03,17.14151473,0,0,0,0,0,0,2
1996,0,0,26,Pinuspinaster,T,614,0,26.65,17.76,0,0,0,0,0,0,2
1997,0,0,27,Pinuspinaster,T,519.8,0,28.11,18.59,0,0,0,0,0,0,2
1998,0,0,28,Pinuspinaster,T,517.5,0,28.72,18.85,0,0,0,0,0,0,2
1999,0,0,29,Pinuspinaster,T,517,0,29.25,18.84,0,0,0,0,0,0,2
2000,0,0,30,Pinuspinaster,T,422,0,29.34,19.87,0,0,0,0,0,0,2
2001,0,0,31,Pinuspinaster,T,422,0,29.93,20.2,0,0,0,0,0,0,2
2002,0,0,32,Pinuspinaster,T,409.4,0,30.47,20.4,0,0,0,0,0,0,2
2003,0,0,33,Pinuspinaster,T,391.1,0,31.1,20.96,0,0,0,0,0,0,2
2004,0,0,34,Pinuspinaster,T,385,0,31.59,20.74,0,0,0,0,0,0,2
2005,0,0,35,Pinuspinaster,T,309.9,0,33.13,21.26,0,0,0,0,0,0,2
2006,0,0,36,Pinuspinaster,T,309.9,0,33.56,21.48,0,0,0,0,0,0,2
2007,0,0,37,Pinuspinaster,T,301.9,0,34.24,21.68,0,0,0,0,0,0,2
2008,0,0,38,Pinuspinaster,T,301.9,0,34.88,21.98,0,0,0,0,0,0,2
2009,0,0,39,Pinuspinaster,T,194.9,0,35.01,22.44,0,0,0,0,0,0,2
