Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	6.08317	3.20071	8.6	-1.241	0.414695	3.09471	0	28.89	-9999	-9999	-9999
1	2	2.96954	3.01152	6.692	1.146	0.0783355	3.89835	0	28.887	-9999	-9999	-9999
1	3	1.12465	1.82873	2.339	1.215	0.438563	4.01833	0	28.9272	-9999	-9999	-9999
1	4	0.855806	2.45979	3.093	1.901	2.29891	3.93944	0	29.3935	-9999	-9999	-9999
1	5	0.619642	4.17846	5.216	3.078	1.82166	4.52635	0	30.6549	-9999	-9999	-9999
1	6	3.23931	6.03285	9.03	4.971	1.02968	5.7006	0.2	30.949	-9999	-9999	-9999
1	7	1.7687	5.77983	7.08	4.314	0.44553	6.22129	0	31.2795	-9999	-9999	-9999
1	8	1.75742	5.33612	6.69	3.837	0.205468	6.41356	11.6	31.4701	-9999	-9999	-9999
1	9	2.16322	6.32654	7.64	5.365	0.0454422	6.80633	8.4	31.4055	-9999	-9999	-9999
1	10	2.8388	7.32652	9.52	6.049	0.0717544	7.11984	0.2	31.3087	-9999	-9999	-9999
1	11	1.46049	7.40335	8.46	6.365	0.0486196	7.5144	0.2	30.9931	-9999	-9999	-9999
1	12	3.43059	10.1154	15.5	7.14	1.16466	8.49339	0	31.8298	-9999	-9999	-9999
1	13	3.69575	7.93375	9.44	5.512	0.994187	8.22693	0.2	32.3461	-9999	-9999	-9999
1	14	4.37018	9.04438	11.86	6.96	2.43847	8.54849	0	32.4834	-9999	-9999	-9999
1	15	1.61724	7.00617	8.93	4.673	1.42106	7.76271	0.8	32.4514	-9999	-9999	-9999
1	16	1.03074	8.86562	12.15	7.49	1.32411	8.32219	0	32.4569	-9999	-9999	-9999
1	17	1.41882	7.95415	9.14	6.912	1.63147	8.41833	0.2	32.6846	-9999	-9999	-9999
1	18	7.13463	9.37625	13.91	6.721	2.52035	8.44156	0	32.7412	-9999	-9999	-9999
1	19	5.53672	6.38419	13.05	2.117	1.85931	7.36983	0	32.5969	-9999	-9999	-9999
1	20	1.59146	5.23423	5.797	4.563	1.61612	7.69302	0.2	32.4739	-9999	-9999	-9999
1	21	1.96389	6.08715	7.58	4.764	2.00994	7.7046	0	32.2798	-9999	-9999	-9999
1	22	2.3476	6.7134	8.5	5.02	1.37757	8.19323	0.6	32.2883	-9999	-9999	-9999
1	23	8.47726	6.73965	12.9	2.074	0.0488517	6.38033	4.4	31.8018	-9999	-9999	-9999
1	24	8.40315	5.68394	12.74	0.409	0.213126	5.28911	0	31.033	-9999	-9999	-9999
1	25	5.67552	5.788	10.33	1.818	0.046738	5.34452	0.2	30.7121	-9999	-9999	-9999
1	26	8.80297	7.36858	15.35	2.028	0.295252	5.28962	0	30.5386	-9999	-9999	-9999
1	27	6.15153	8.12977	13.02	2.863	0.264821	5.39034	0.2	30.4461	-9999	-9999	-9999
1	28	6.25765	9.8695	13.38	6.195	0.535874	6.65469	0.2	30.5928	-9999	-9999	-9999
1	29	5.35719	7.06335	12.12	3.002	0.280009	6.63643	0.2	30.6068	-9999	-9999	-9999
1	30	1.94985	6.5899	8.13	4.229	0.0459366	6.70767	0.2	30.6025	-9999	-9999	-9999
1	31	1.75465	7.51256	8.89	5.689	0.778919	7.47009	0	30.7633	-9999	-9999	-9999
