Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	0.752066	-10.2295	-3.97047	-15.734	1.0303	1.71169	1.4	-9999	-9999	-9999	-9999
1	2	0.752066	-11.3583	-6.8172	-15.734	1.66813	1.72372	0	-9999	-9999	-9999	-9999
1	3	0.752066	-11.3583	-6.8172	-15.734	1.39953	1.72874	0	-9999	-9999	-9999	-9999
1	4	0.748982	-11.3651	-6.8172	-16.04	0.845126	1.71512	0	-9999	-9999	-9999	-9999
1	5	0.177556	-5.29844	-2.038	-9.99	1.34438	1.71123	0	-9999	-9999	-9999	-9999
1	6	0.20741	-2.16346	-1.816	-2.789	1.27123	1.72307	0	-9999	-9999	-9999	-9999
1	7	0.794898	-3.44294	-2.794	-4.545	1.12242	1.74516	0.2	-9999	-9999	-9999	-9999
1	8	0.265548	-3.14487	-2.087	-4.654	0.989	1.76232	0	-9999	-9999	-9999	-9999
1	9	0.508923	-5.82158	-4.986	-6.47	0.833367	1.76148	0	-9999	-9999	-9999	-9999
1	10	0.791232	-4.42381	0.644	-8.29	0.766055	1.71177	0.2	-9999	-9999	-9999	-9999
1	11	0.197808	2.32823	4.079	0.725	0.869759	1.69846	16.4	-9999	-9999	-9999	-9999
1	12	1.73924	2.1541	4.18	0.834	1.82204	1.72836	1	-9999	-9999	-9999	-9999
1	13	1.0594	1.374	3.668	-2.357	1.0141	1.80959	0.6	-9999	-9999	-9999	-9999
1	14	0.416218	-1.65067	0.017	-2.851	0.618658	1.83287	0	-9999	-9999	-9999	-9999
1	15	0.549253	-0.425458	0.996	-2.858	0.605985	1.88267	0.4	-9999	-9999	-9999	-9999
1	16	0.388982	-2.93877	-1.774	-3.767	0.149739	1.90646	0	-9999	-9999	-9999	-9999
1	17	0.348827	-2.19348	-0.001	-4.691	0.689403	1.8747	0	-9999	-9999	-9999	-9999
1	18	0.591154	-4.53848	-0.918	-8.04	0.860237	1.85	0	-9999	-9999	-9999	-9999
1	19	1.49744	-9.87208	-8.18	-10.99	0.564014	1.69325	0	-9999	-9999	-9999	-9999
1	20	0.715635	-9.55542	-8.53	-10.6	0.569225	1.41717	0	-9999	-9999	-9999	-9999
1	21	1.86861	-9.02396	-7.7	-10.2	0.625691	1.18606	0	-9999	-9999	-9999	-9999
1	22	2.46431	-11.106	-8.62	-13.2	0.456837	1.00417	0	-9999	-9999	-9999	-9999
1	23	0.454801	-5.04571	-1.66	-10.7	0.408563	0.817137	0	-9999	-9999	-9999	-9999
1	24	0.442929	-1.98825	-0.141	-3.69	0.767831	0.806709	1.2	-9999	-9999	-9999	-9999
1	25	1.16485	-1.20379	-0.3	-2.564	0.574663	0.826784	2.2	-9999	-9999	-9999	-9999
1	26	2.57674	-3.39775	-0.896	-6.497	0.87156	0.860356	0	-9999	-9999	-9999	-9999
1	27	2.14097	-0.824812	3.321	-3.127	0.918695	0.878008	0	-9999	-9999	-9999	-9999
1	28	1.1645	0.43975	2.821	-2.55	0.986465	0.895335	0.6	-9999	-9999	-9999	-9999
1	29	1.65719	2.70115	4.746	0.06	2.23986	0.934008	1.4	-9999	-9999	-9999	-9999
1	30	1.82078	4.9465	6.859	3.249	2.67535	0.984735	2.8	-9999	-9999	-9999	-9999
1	31	2.01823	5.98717	8.6	3.282	3.06902	1.02666	0.4	-9999	-9999	-9999	-9999
2	1	1.68949	5.13227	7.13	3.012	3.29702	1.07509	0	-9999	-9999	-9999	-9999
2	2	1.65474	1.68113	3.498	-0.719	1.08985	1.16359	1	-9999	-9999	-9999	-9999
2	3	1.10462	-3.55498	-0.382	-7.77	0.675525	1.24169	0	-9999	-9999	-9999	-9999
2	4	3.62243	-11.0679	-7.94	-15.35	0.430477	1.24871	0	-9999	-9999	-9999	-9999
2	5	4.5763	-12.0685	-8.82	-15.89	0.359102	1.06967	0	-9999	-9999	-9999	-9999
2	6	1.09327	-8.71835	-2.33	-15.01	0.174805	0.844177	0	-9999	-9999	-9999	-9999
2	7	0.574044	-2.1011	-1.018	-3.596	0.167482	0.776207	4.6	-9999	-9999	-9999	-9999
2	8	0.39614	-3.7056	-2.723	-4.352	0.256377	0.779197	0	-9999	-9999	-9999	-9999
2	9	1.49971	-2.53767	-1.6	-3.859	0.27223	0.794312	2.8	-9999	-9999	-9999	-9999
2	10	2.50307	-4.2534	-2.693	-6.123	0.531309	0.816725	0	-9999	-9999	-9999	-9999
2	11	4.90522	-4.97642	-1.361	-8.26	0.492791	0.812605	0	-9999	-9999	-9999	-9999
2	12	1.28566	-1.50192	-0.495	-2.881	0.0951004	0.812825	4.8	-9999	-9999	-9999	-9999
2	13	3.37618	-4.276	-0.861	-7.01	0.343509	0.841477	0.2	-9999	-9999	-9999	-9999
2	14	2.60136	-4.62394	-3.042	-7.05	0.258425	0.82296	0.6	-9999	-9999	-9999	-9999
2	15	1.07057	-2.41702	-1.082	-5.44	0.365019	0.815271	0.8	-9999	-9999	-9999	-9999
2	16	1.67412	-2.27077	-1.25	-4.564	0.88167	0.837082	0.2	-9999	-9999	-9999	-9999
2	17	1.44925	-5.08702	-3.934	-5.989	0.602314	0.847401	0	-9999	-9999	-9999	-9999
2	18	1.58788	-4.47767	-3.445	-5.379	0.415404	0.830596	0	-9999	-9999	-9999	-9999
2	19	0.947139	-2.16742	-0.844	-4.71	0.0973085	0.837987	3.4	-9999	-9999	-9999	-9999
2	20	0.578584	-1.9355	-1.302	-2.664	0.148628	0.867043	0.4	-9999	-9999	-9999	-9999
2	21	2.35205	-3.7741	-2.175	-6.405	0.540561	0.891442	0	-9999	-9999	-9999	-9999
2	22	1.35375	-1.56383	1.794	-6.751	0.153023	0.880632	7.2	-9999	-9999	-9999	-9999
2	23	2.23874	0.782896	1.826	-0.144	0.0515938	0.903666	3.4	-9999	-9999	-9999	-9999
2	24	2.75395	-0.0193125	0.873	-0.492	0.153742	0.929761	0.2	-9999	-9999	-9999	-9999
2	25	6.86811	-1.05569	1.984	-5.676	1.32285	0.976125	0	-9999	-9999	-9999	-9999
2	26	6.72809	-4.75977	-0.788	-7.8	1.22435	0.984163	0	-9999	-9999	-9999	-9999
2	27	8.67906	-6.60281	-3.187	-11.11	1.01705	0.951921	0	-9999	-9999	-9999	-9999
2	28	2.84648	-5.31596	-3.9	-6.86	0.348797	0.88414	0	-9999	-9999	-9999	-9999
3	1	2.34367	-4.54906	-1.839	-7.5	0.424865	0.850011	1	-9999	-9999	-9999	-9999
3	2	4.98727	-6.29362	-4.267	-8.28	0.588841	0.832307	0	-9999	-9999	-9999	-9999
3	3	4.30045	-7.64075	-6.812	-8.71	0.412394	0.807563	0	-9999	-9999	-9999	-9999
3	4	3.42786	-6.52871	-3.16	-9.32	0.33825	0.772545	0	-9999	-9999	-9999	-9999
3	5	2.09453	-4.95463	-2.898	-7.17	0.242602	0.757513	5	-9999	-9999	-9999	-9999
3	6	2.53131	-7.95062	-5.867	-10.45	0.382055	0.772545	8.6	-9999	-9999	-9999	-9999
3	7	3.91531	-10.2477	-4.87	-16.44	0.518281	0.77029	0.2	-9999	-9999	-9999	-9999
3	8	4.13389	-7.62946	-4.255	-12.97	0.519023	0.752797	0.2	-9999	-9999	-9999	-9999
3	9	6.09626	-10.7087	-6.418	-14.31	0.351601	0.737412	0.2	-9999	-9999	-9999	-9999
3	10	7.79046	-10.284	-7.12	-13.66	0.427326	0.71247	0	-9999	-9999	-9999	-9999
3	11	6.48465	-7.5855	-3.534	-12.51	0.398413	0.685837	0.4	-9999	-9999	-9999	-9999
3	12	8.59337	-4.83812	-2.033	-9.33	0.813397	0.681351	0.8	-9999	-9999	-9999	-9999
3	13	9.2527	-7.59842	-0.644	-14.5	0.890601	0.683263	0	-9999	-9999	-9999	-9999
3	14	4.36906	-6.20087	-3.158	-11.45	0.294875	0.662136	1.8	-9999	-9999	-9999	-9999
3	15	6.87614	-2.92983	0.114	-5.408	0.742774	0.665093	6.4	-9999	-9999	-9999	-9999
3	16	11.3774	-3.59171	1.516	-8.46	1.24191	0.686212	0.4	-9999	-9999	-9999	-9999
3	17	12.0347	-1.43419	4.142	-8.97	1.7006	0.697187	2.6	-9999	-9999	-9999	-9999
3	18	6.86758	2.54252	7.66	-1.904	2.44795	0.719211	9.6	-9999	-9999	-9999	-9999
3	19	9.93876	-0.246771	2.104	-3.868	2.01181	0.75229	0.6	-9999	-9999	-9999	-9999
3	20	10.8855	-4.28156	-0.877	-8.39	1.36424	0.776318	0	-9999	-9999	-9999	-9999
3	21	13.6503	-4.05881	0.528	-9.3	1.77837	0.771554	0	-9999	-9999	-9999	-9999
3	22	11.9092	-3.85933	0.483	-8.98	1.66202	0.75625	0	-9999	-9999	-9999	-9999
3	23	11.1605	-5.1281	-0.195	-11.89	0.811458	0.737189	0	-9999	-9999	-9999	-9999
3	24	14.5048	-4.72183	-0.212	-9.99	1.51909	0.699098	2	22.4667	-9999	-9999	-9999
3	25	15.3431	-1.8091	4.613	-8.84	2.68644	0.655624	0	22.4367	-9999	-9999	-9999
3	26	15.502	0.178187	5.212	-4.524	3.35269	0.64435	0	22.3988	-9999	-9999	-9999
3	27	1.65631	-0.619146	0.328	-2.126	0.94297	0.670849	3.2	22.3484	-9999	-9999	-9999
3	28	3.06786	1.04587	2.63	-0.156	0.291014	0.698841	1.8	22.3133	-9999	-9999	-9999
3	29	2.51598	-0.166271	0.488	-0.945	0.0306484	0.728339	6.4	22.3055	-9999	-9999	-9999
3	30	4.46526	-0.488979	1.053	-2.159	0.0993238	0.753062	2.2	22.4914	-9999	-9999	-9999
3	31	3.88266	-2.39392	-1.405	-3.288	0.245649	0.791169	4.8	23.3877	-9999	-9999	-9999
4	1	15.1046	-1.12019	2.713	-4.352	1.30832	0.816564	1	23.8502	-9999	-9999	-9999
4	2	3.51079	-0.648313	1.656	-3.585	0.253804	0.847645	5	23.8837	-9999	-9999	-9999
4	3	5.20376	0.726833	2.162	-0.795	0.16044	0.863271	0.4	23.9139	-9999	-9999	-9999
4	4	3.65721	0.440604	1.412	-0.392	0.0499541	0.880334	10.6	24.5631	-9999	-9999	-9999
4	5	3.00204	-0.395896	0.257	-1.305	0.263559	0.890947	0	24.9418	-9999	-9999	-9999
4	6	10.7681	1.88173	5.46	-0.931	2.22887	0.914601	0	24.6493	-9999	-9999	-9999
4	7	10.6928	3.07317	6.916	0.462	1.61396	0.929299	1	24.7867	-9999	-9999	-9999
4	8	7.22479	2.36025	5.2	-0.436	0.827006	0.935584	2.6	25.0016	-9999	-9999	-9999
4	9	15.5865	3.05792	6.891	0.156	2.14419	0.941936	1.2	25.1981	-9999	-9999	-9999
4	10	11.1588	0.342229	5.665	-2.484	0.867416	0.952203	2.8	25.0198	-9999	-9999	-9999
4	11	18.2987	3.19181	8.21	-1.833	3.33934	0.971469	0	25.0609	-9999	-9999	-9999
4	12	13.1009	3.41544	6.945	-1.568	3.285	0.98661	0	24.9755	-9999	-9999	-9999
4	13	5.53688	2.89358	5.391	1.1	1.07661	0.998357	0.4	25.1706	-9999	-9999	-9999
