Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	3.864	-11.3	-6.5	-13.1	73.9	-9999	0	-9999	-9999	-9999	-9999
1901	1	2	3.034	-14.6	-10.3	-16.4	78.7	-9999	0	-9999	-9999	-9999	-9999
1901	1	3	3.035	-14.6	-10.3	-16.4	78.7	-9999	0	-9999	-9999	-9999	-9999
1901	1	4	3.729	-14.1	-10	-17.1	93.2	-9999	0	-9999	-9999	-9999	-9999
1901	1	5	3.729	-14.1	-10	-17.1	93.2	-9999	0	-9999	-9999	-9999	-9999
1901	1	6	4.192	-12.1	-9.3	-14.8	85.8	-9999	0	-9999	-9999	-9999	-9999
1901	1	7	3.883	-8.5	-5.1	-13	86.4	-9999	0	-9999	-9999	-9999	-9999
1901	1	8	2.474	-6.4	-3.3	-10.5	84.9	-9999	0	-9999	-9999	-9999	-9999
1901	1	9	4.624	-4.2	0.9	-8.8	85.6	-9999	0	-9999	-9999	-9999	-9999
1901	1	10	4.871	-3.3	0.8	-6.8	73.4	-9999	0	-9999	-9999	-9999	-9999
1901	1	11	3.629	-7	-2.8	-9.6	88	-9999	0	-9999	-9999	-9999	-9999
1901	1	12	1.526	-8.5	-6	-12.6	83.9	-9999	0	-9999	-9999	-9999	-9999
1901	1	13	3.404	-7.6	-4.5	-10.8	88.6	-9999	0	-9999	-9999	-9999	-9999
1901	1	14	3.368	-4.7	-1.8	-6.7	90.2	-9999	0	-9999	-9999	-9999	-9999
1901	1	15	2.663	-4.8	-1.9	-6.6	86.9	-9999	0	-9999	-9999	-9999	-9999
1901	1	16	3.315	-4.5	0.5	-7.7	84.2	-9999	0	-9999	-9999	-9999	-9999
1901	1	17	6.437	-7.6	-1	-13.9	70.6	-9999	0	-9999	-9999	-9999	-9999
1901	1	18	6.639	-7.2	-1	-13.8	70.3	-9999	0	-9999	-9999	-9999	-9999
1901	1	19	5.716	-0.7	3.8	-7.3	73.1	-9999	0.1	-9999	-9999	-9999	-9999
1901	1	20	3.738	3	4.6	-0.1	70.9	-9999	0	-9999	-9999	-9999	-9999
