Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	1.8089	-3.2498	-1.467	-6.3617	95.681	-9999	1.3135	-9999	-9999	-9999	4.005
1901	1	2	2.1389	-6.3105	-2.8289	-10.835	94.332	-9999	0.7025	-9999	-9999	-9999	1.4507
1901	1	3	2.5536	-11.353	-9.4514	-14.821	93.462	-9999	0	-9999	-9999	-9999	2.8232
1901	1	4	2.2196	-8.065	-4.4268	-15.556	92.089	-9999	0	-9999	-9999	-9999	3.5067
1901	1	5	1.88	-6.5528	-1.4336	-11.393	98.892	-9999	1.461	-9999	-9999	-9999	6.2416
1901	1	6	1.9201	-0.84815	0.69653	-2.6829	94.067	-9999	3.8785	-9999	-9999	-9999	7.2162
1901	1	7	1.3695	-0.75617	1.3867	-4.0045	93.969	-9999	6.5576	-9999	-9999	-9999	7.7618
1901	1	8	2.3855	-5.5033	-2.8363	-7.4431	95.336	-9999	0	-9999	-9999	-9999	5.7303
1901	1	9	2.0597	-3.8962	-2.1691	-6.451	96.607	-9999	4.2425	-9999	-9999	-9999	6.4896
1901	1	10	2.3636	-2.584	-0.33997	-4.7319	93.397	-9999	0	-9999	-9999	-9999	5.1265
1901	1	11	2.0556	0.14694	2.2248	-5.1036	93.962	-9999	0.4327	-9999	-9999	-9999	5.7538
1901	1	12	2.4868	-3.0958	0.59323	-6.231	95.854	-9999	0	-9999	-9999	-9999	3.2344
1901	1	13	2.4134	-1.9527	0.60241	-6.3471	99.064	-9999	0	-9999	-9999	-9999	4.2608
1901	1	14	2.7274	-1.6053	0.022882	-3.5325	98.329	-9999	0	-9999	-9999	-9999	4.2127
1901	1	15	2.7448	-5.5279	-3.6028	-7.2281	98.09	-9999	0	-9999	-9999	-9999	2.798
1901	1	16	1.7161	-2.6354	0.53457	-7.6486	98.485	-9999	2.1524	-9999	-9999	-9999	3.5617
1901	1	17	2.6391	-3.2499	-0.91108	-5.9156	96.363	-9999	0	-9999	-9999	-9999	4.9639
1901	1	18	3.2249	-1.804	-0.072638	-5.7249	92.553	-9999	1.5355	-9999	-9999	-9999	6.6341
1901	1	19	3.0505	-2.9546	-1.532	-4.2177	96.167	-9999	0	-9999	-9999	-9999	6.3702
1901	1	20	2.4387	-3.3475	-1.3802	-4.7351	96.988	-9999	0.834	-9999	-9999	-9999	5.1812
1901	1	21	2.961	-6.1171	-4.2935	-7.8386	94.429	-9999	0	-9999	-9999	-9999	3.5036
1901	1	22	2.8311	-5.157	-2.761	-9.045	94.516	-9999	0	-9999	-9999	-9999	5.2975
1901	1	23	3.4776	-5.7033	-4.1146	-7.6357	94.965	-9999	0	-9999	-9999	-9999	3.3424
1901	1	24	3.6583	-3.6642	-0.70185	-8.552	93.851	-9999	0	-9999	-9999	-9999	3.784
1901	1	25	3.1124	-7.1868	-3.6449	-9.8404	92.499	-9999	0	-9999	-9999	-9999	1.7231
1901	1	26	4.2701	-5.1166	-2.2679	-10.428	93.274	-9999	0.34913	-9999	-9999	-9999	4.6206
1901	1	27	3.6671	-5.2097	-3.5292	-7.6692	88.952	-9999	0.040663	-9999	-9999	-9999	5.2025
1901	1	28	4.2704	-1.1525	1.7129	-5.1739	88.888	-9999	0	-9999	-9999	-9999	6.3161
1901	1	29	4.3111	-4.2764	-0.89731	-6.9436	96.415	-9999	0	-9999	-9999	-9999	2.8646
1901	1	30	4.3487	-3.5099	-0.14554	-8.6256	95.735	-9999	0	-9999	-9999	-9999	3.2635
1901	1	31	4.6088	-1.451	0.9291	-3.1875	97.651	-9999	0	-9999	-9999	-9999	4.0445
1901	2	1	4.7044	-5.718	-2.4926	-8.6042	97.619	-9999	0	-9999	-9999	-9999	3.1998
1901	2	2	4.4241	-4.7457	-2.1018	-8.4309	91.175	-9999	0	-9999	-9999	-9999	5.7996
1901	2	3	4.9757	-6.0507	-4.0613	-7.6787	94.218	-9999	0	-9999	-9999	-9999	6.2236
1901	2	4	4.907	-5.9545	-3.8586	-8.8064	91.95	-9999	5.0178	-9999	-9999	-9999	6.5916
1901	2	5	4.4312	-4.2161	-2.2017	-6.8464	97.199	-9999	0	-9999	-9999	-9999	8.9659
1901	2	6	4.2595	-5.7148	-3.7917	-8.1901	98.084	-9999	0	-9999	-9999	-9999	4.9712
1901	2	7	4.5053	-5.3897	-3.0425	-8.1278	99.329	-9999	1.1071	-9999	-9999	-9999	3.7515
1901	2	8	4.5897	-4.6211	1.6922	-10.188	95.198	-9999	3.656	-9999	-9999	-9999	4.5952
1901	2	9	5.8953	-2.2435	0.29025	-5.7719	88.641	-9999	0	-9999	-9999	-9999	4.8528
1901	2	10	4.9387	-1.1739	1.9429	-6.544	95.306	-9999	0	-9999	-9999	-9999	5.1049
