Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	1.8887	-8.026	-7.276	-10.059	91.594	-9999	0	-9999	-9999	-9999	1.3471
1901	1	2	1.8468	-7.781	-5.444	-10.253	87.567	-9999	0	-9999	-9999	-9999	2.2852
1901	1	3	2.0781	-4.816	-3.59	-7.636	80.134	-9999	0	-9999	-9999	-9999	2.283
1901	1	4	2.3529	-5.47	-3.911	-8.86	81.045	-9999	0	-9999	-9999	-9999	1.649
1901	1	5	2.5569	-6.142	-3.818	-9.744	80.324	-9999	0	-9999	-9999	-9999	1.7879
1901	1	6	1.638	-6.589	-5.07	-8.211	86.451	-9999	0.58148	-9999	-9999	-9999	2.4688
1901	1	7	1.154	-6.713	-5.798	-7.375	92.265	-9999	0.90126	-9999	-9999	-9999	2.0486
1901	1	8	0.31795	-6.378	-5.291	-7.223	94.965	-9999	3.8509	-9999	-9999	-9999	1.71
1901	1	9	0.82685	-5.61	-4.412	-7.557	87.636	-9999	0.75537	-9999	-9999	-9999	2.6637
1901	1	10	1.8308	-7.614	-6.709	-10.799	83.258	-9999	0	-9999	-9999	-9999	2.3723
1901	1	11	1.6156	-7.327	-0.96299	-11.034	94.527	-9999	1.3411	-9999	-9999	-9999	2.9137
1901	1	12	2.4632	-2.744	-1.31	-8.439	76.035	-9999	0	-9999	-9999	-9999	4.1257
1901	1	13	2.589	-3.727	0.037988	-5.957	72.09	-9999	0	-9999	-9999	-9999	2.5391
1901	1	14	2.2823	-4.476	-0.44501	-6.6	83.411	-9999	0	-9999	-9999	-9999	2.2973
1901	1	15	0.27691	-2.046	3.871	-4.745	96.832	-9999	2.7903	-9999	-9999	-9999	3.5722
1901	1	16	2.6162	-0.534	3.499	-3.893	73.747	-9999	2.3139	-9999	-9999	-9999	4.4548
1901	1	17	0.51382	-1.366	2.074	-5.581	80.306	-9999	5.8131	-9999	-9999	-9999	6.5653
1901	1	18	0.31026	-2.602	0.47399	-4.464	94.648	-9999	4.4186	-9999	-9999	-9999	3.5216
1901	1	19	0.07681	1.04	1.812	-0.20899	90.778	-9999	5.9075	-9999	-9999	-9999	5.5812
1901	1	20	0.54804	0.1	0.59301	-2.167	83.87	-9999	2.2739	-9999	-9999	-9999	5.5788
1901	1	21	2.1692	-2.29	-0.01499	-9.534	75.44	-9999	0	-9999	-9999	-9999	2.7031
1901	1	22	2.7816	-6.831	-5.26	-8.986	88.166	-9999	0.089388	-9999	-9999	-9999	1.5643
1901	1	23	1.5161	-6.212	-5.143	-7.675	89.445	-9999	0.19798	-9999	-9999	-9999	1.9238
1901	1	24	0.86296	-3.047	0.037988	-7.037	89.725	-9999	1.0147	-9999	-9999	-9999	3.5807
1901	1	25	1.6462	-1.849	-0.551	-4.072	83.287	-9999	0.41259	-9999	-9999	-9999	3.2274
1901	1	26	2.6349	-2.506	0.63101	-7.48	80.106	-9999	0	-9999	-9999	-9999	1.9446
1901	1	27	3.1623	-4.482	-1.793	-7.141	88.23	-9999	0.19078	-9999	-9999	-9999	2.3451
1901	1	28	2.6721	-2.958	-0.45099	-5.223	79.748	-9999	0.1061	-9999	-9999	-9999	2.2159
1901	1	29	2.7701	-2.579	-0.17499	-4.53	75.01	-9999	0.15089	-9999	-9999	-9999	2.6675
1901	1	30	3.3969	-3.681	0.040002	-7.553	84.291	-9999	0.08043	-9999	-9999	-9999	2.5947
1901	1	31	4.3365	-3.682	-0.52	-6.045	83.597	-9999	0	-9999	-9999	-9999	2.6536
1901	2	1	4.3451	-2.778	1.287	-6.757	82.047	-9999	0	-9999	-9999	-9999	2.0034
1901	2	2	3.942	-3.127	0.704	-6.235	82.232	-9999	0	-9999	-9999	-9999	2.2155
1901	2	3	3.4738	-4.241	-1.172	-8.035	84.045	-9999	0	-9999	-9999	-9999	1.5356
1901	2	4	1.8113	-4.592	-2.787	-7.092	92.923	-9999	0.54762	-9999	-9999	-9999	1.4633
1901	2	5	2.2781	-6.352	-4.834	-7.583	95.459	-9999	0.094243	-9999	-9999	-9999	1.7081
1901	2	6	0.90228	-3.746	-2.118	-5.682	90.281	-9999	3.1571	-9999	-9999	-9999	2.9674
1901	2	7	0.68532	-5.272	-3.889	-6.003	90.966	-9999	3.5013	-9999	-9999	-9999	5.1189
1901	2	8	2.9289	-4.929	-3.021	-6.463	77.501	-9999	0.78296	-9999	-9999	-9999	5.5916
1901	2	9	0.61785	-1.308	2.998	-7.399	93.511	-9999	4.4177	-9999	-9999	-9999	5.3357
1901	2	10	2.9699	1.783	4.238	-1.276	70.685	-9999	0.28301	-9999	-9999	-9999	5.6274
1901	2	11	4.9018	2.24	8.148	-2.562	62.741	-9999	0	-9999	-9999	-9999	3.1897
1901	2	12	5.0396	3.279	8.35	-1.472	62.746	-9999	0.47787	-9999	-9999	-9999	3.3771
1901	2	13	2.8858	-0.062994	4.231	-3.096	79.333	-9999	0.065403	-9999	-9999	-9999	1.83
1901	2	14	5.6239	-2.311	1.389	-5.064	94.645	-9999	0	-9999	-9999	-9999	1.7119
1901	2	15	4.171	-1.454	1.155	-5.15	88.854	-9999	0	-9999	-9999	-9999	1.8171
1901	2	16	6.1038	-1.821	1.305	-5.702	86.325	-9999	0	-9999	-9999	-9999	0.901
1901	2	17	6.1701	-2.067	2.396	-5.379	92.569	-9999	0	-9999	-9999	-9999	1.6657
1901	2	18	4.997	-3.445	0.13	-5.153	100	-9999	0.26345	-9999	-9999	-9999	1.2059
1901	2	19	0.72913	-3.816	-2.776	-5.753	93.896	-9999	3.2712	-9999	-9999	-9999	2.9754
