year	CO2_ppm
1950	310.75
1951	311.1
1952	311.5
1953	311.925
1954	312.425
1955	313
1956	313.6
1957	314.225
1958	314.848
1959	315.5
1960	316.273
1961	317.075
1962	317.795
1963	318.398
1964	318.925
1965	319.648
1966	320.648
1967	321.605
1968	322.635
1969	323.903
1970	324.985
1971	325.855
1972	327.14
1973	328.678
1974	329.743
1975	330.585
1976	331.748
1977	333.273
1978	334.848
1979	336.525
1980	338.36
1981	339.728
1982	340.793
1983	342.198
1984	343.783
1985	345.283
1986	346.798
1987	348.645
1988	350.738
1989	352.488
1990	353.855
1991	355.018
1992	355.885
1993	356.778
1994	358.128
1995	359.838
1996	361.463
1997	363.155
1998	365.323
1999	367.348
2000	368.865
2001	368.865
2002	368.865
2003	368.865
2004	368.865
2005	368.865
2006	368.865
2007	368.865
2008	368.865
2009	368.865
2010	368.865
2011	368.865
2012	368.865
2013	368.865
2014	368.865
2015	368.865
2016	368.865
2017	368.865
2018	368.865
2019	368.865
2020	368.865
2021	368.865
2022	368.865
2023	368.865
2024	368.865
2025	368.865
2026	368.865
2027	368.865
2028	368.865
2029	368.865
2030	368.865
2031	368.865
2032	368.865
2033	368.865
2034	368.865
2035	368.865
2036	368.865
2037	368.865
2038	368.865
2039	368.865
2040	368.865
2041	368.865
2042	368.865
2043	368.865
2044	368.865
2045	368.865
2046	368.865
2047	368.865
2048	368.865
2049	368.865
2050	368.865
2051	368.865
2052	368.865
2053	368.865
2054	368.865
2055	368.865
2056	368.865
2057	368.865
2058	368.865
2059	368.865
2060	368.865
2061	368.865
2062	368.865
2063	368.865
2064	368.865
2065	368.865
2066	368.865
2067	368.865
2068	368.865
2069	368.865
2070	368.865
2071	368.865
2072	368.865
2073	368.865
2074	368.865
2075	368.865
2076	368.865
2077	368.865
2078	368.865
2079	368.865
2080	368.865
2081	368.865
2082	368.865
2083	368.865
2084	368.865
2085	368.865
2086	368.865
2087	368.865
2088	368.865
2089	368.865
2090	368.865
2091	368.865
2092	368.865
2093	368.865
2094	368.865
2095	368.865
2096	368.865
2097	368.865
2098	368.865
2099	368.865
