year	CO2_ppm
1950	310.750
1951	311.100
1952	311.500
1953	311.925
1954	312.425
1955	313.000
1956	313.600
1957	314.225
1958	314.848
1959	315.500
1960	316.273
1961	317.075
1962	317.795
1963	318.398
1964	318.925
1965	319.648
1966	320.648
1967	321.605
1968	322.635
1969	323.903
1970	324.985
1971	325.855
1972	327.140
1973	328.678
1974	329.743
1975	330.585
1976	331.748
1977	333.273
1978	334.848
1979	336.525
1980	338.360
1981	339.728
1982	340.793
1983	342.198
1984	343.783
1985	345.283
1986	346.798
1987	348.645
1988	350.738
1989	352.488
1990	353.855
1991	355.018
1992	355.885
1993	356.778
1994	358.128
1995	359.838
1996	361.463
1997	363.155
1998	365.323
1999	367.348
2000	368.865
2001	370.468
2002	372.523
2003	374.76
2004	376.813
2005	378.813
2006	363.155
2007	372.523
2008	367.348
2009	378.813
2010	376.813
2011	365.323
2012	374.76
2013	370.468
2014	361.463
2015	368.865
2016	361.463
2017	378.813
2018	363.155
2019	365.323
2020	372.523
2021	367.348
2022	374.76
2023	370.468
2024	368.865
2025	376.813
2026	376.813
2027	370.468
2028	378.813
2029	361.463
2030	365.323
2031	372.523
2032	374.76
2033	363.155
2034	368.865
2035	367.348
2036	363.155
2037	376.813
2038	372.523
2039	368.865
2040	374.76
2041	365.323
2042	367.348
2043	361.463
2044	378.813
2045	370.468
2046	361.463
2047	374.76
2048	372.523
2049	370.468
2050	365.323
2051	376.813
2052	368.865
2053	378.813
2054	367.348
2055	363.155
2056	370.468
2057	378.813
2058	374.76
2059	361.463
2060	372.523
2061	367.348
2062	363.155
2063	376.813
2064	365.323
2065	368.865
2066	378.813
2067	374.76
2068	368.865
2069	361.463
2070	372.523
2071	376.813
2072	365.323
2073	370.468
2074	363.155
2075	367.348
2076	376.813
2077	367.348
2078	378.813
2079	363.155
2080	361.463
2081	372.523
2082	365.323
2083	370.468
2084	374.76
2085	368.865
2086	370.468
2087	363.155
2088	376.813
2089	374.76
2090	378.813
2091	365.323
2092	372.523
2093	361.463
2094	368.865
2095	367.348
2096	367.348
2097	368.865
2098	374.76
2099	361.463
