Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1994	1	1	0.1296	5.2187	5.9809	4.1875	99.085	-9999	0.42271	-9999	-9999	-9999	2.8591
1994	1	2	0.068964	1.4304	4.8527	-0.63993	96.235	-9999	0.38173	-9999	-9999	-9999	3.2552
1994	1	3	1.4007	-0.061896	1.5458	-1.0954	89.495	-9999	1.2645	-9999	-9999	-9999	3.6716
1994	1	4	2.8656	-1.1733	0.078088	-2.2796	85.553	-9999	0.35924	-9999	-9999	-9999	5.0988
1994	1	5	1.4192	-2.453	-0.070563	-4.3754	95.121	-9999	2.2528	-9999	-9999	-9999	2.0659
1994	1	6	2.3562	-4.3103	-2.4897	-5.0663	94.08	-9999	1.1115	-9999	-9999	-9999	2.8001
1994	1	7	2.2729	-4.6362	-2.8831	-6.4774	90.094	-9999	0.96474	-9999	-9999	-9999	3.5215
1994	1	8	2.2635	-3.4772	-0.86567	-6.1888	95.7	-9999	0.57724	-9999	-9999	-9999	1.3681
1994	1	9	1.1219	-2.5393	-1.7165	-3.2826	96.729	-9999	2.9284	-9999	-9999	-9999	0.80396
1994	1	10	1.4485	-2.3951	-0.84284	-3.8453	97.94	-9999	2.8571	-9999	-9999	-9999	0.24782
1994	1	11	2.1671	-4.3272	-3.1486	-5.3965	96.973	-9999	1.0399	-9999	-9999	-9999	1.1636
1994	1	12	2.5508	-4.8835	-2.8473	-6.0526	94.817	-9999	0.14282	-9999	-9999	-9999	1.7242
1994	1	13	3.3561	-5.9827	-4.0968	-7.8543	94.85	-9999	0.11798	-9999	-9999	-9999	2.1794
1994	1	14	2.1101	-2.8449	-0.69507	-5.4032	92.417	-9999	0.21714	-9999	-9999	-9999	3.6381
1994	1	15	2.2505	-4.4445	-2.6094	-5.8195	94.997	-9999	0.13819	-9999	-9999	-9999	1.2824
1994	1	16	0.66916	-3.1772	-1.5066	-5.6122	97.406	-9999	1.3891	-9999	-9999	-9999	2.8649
1994	1	17	0.77276	-1.3924	-0.46134	-2.3368	99.73	-9999	0.4967	-9999	-9999	-9999	1.6233
1994	1	18	0.45669	-1.1805	-0.1709	-2.3048	99.45	-9999	2.2681	-9999	-9999	-9999	0.61571
1994	1	19	0.56499	-0.088293	1.2568	-0.96015	99.961	-9999	2.482	-9999	-9999	-9999	1.1156
1994	1	20	1.1624	-0.62693	0.51672	-2.4851	98.69	-9999	13.87	-9999	-9999	-9999	2.8146
1994	1	21	2.7163	-2.6726	-1.1095	-3.8365	96.69	-9999	3.684	-9999	-9999	-9999	2.865
1994	1	22	2.4551	-3.8408	-1.834	-5.796	96.273	-9999	0.34824	-9999	-9999	-9999	1.5653
1994	1	23	3.3814	-5.832	-4.0242	-6.7277	92.23	-9999	0.15298	-9999	-9999	-9999	2.6783
1994	1	24	2.459	-4.3814	-2.6209	-5.8103	97.019	-9999	0.41172	-9999	-9999	-9999	0.37047
1994	1	25	1.5296	-4.7394	-3.7109	-5.8612	96.548	-9999	1.2999	-9999	-9999	-9999	2.2956
1994	1	26	1.976	-3.7232	-2.0163	-4.9852	97.409	-9999	0.7097	-9999	-9999	-9999	1.7187
1994	1	27	1.4724	-5.8941	-3.4139	-9.0241	97.47	-9999	0.22047	-9999	-9999	-9999	1.1265
1994	1	28	4.6928	-6.8842	-1.233	-10.199	96.124	-9999	0.040275	-9999	-9999	-9999	1.3657
1994	1	29	2.1449	-4.5869	-1.4945	-7.5415	96.101	-9999	0.16107	-9999	-9999	-9999	2.4563
1994	1	30	1.2515	-4.0151	-2.6431	-4.8009	97.393	-9999	0.10769	-9999	-9999	-9999	1.7006
1994	1	31	0.9661	-4.2821	-3.2296	-5.5394	97.839	-9999	0.19804	-9999	-9999	-9999	0.57808
1994	2	1	1.8353	-2.5751	0.67602	-5.1657	97.812	-9999	0.36554	-9999	-9999	-9999	1.2637
1994	2	2	1.047	-0.52485	0.11389	-0.94556	100.56	-9999	2.1999	-9999	-9999	-9999	3.0707
1994	2	3	0.73344	-0.11957	0.52969	-0.70655	100.12	-9999	0.63732	-9999	-9999	-9999	2.3791
1994	2	4	3.3479	-0.66276	0.50121	-2.0353	95.61	-9999	1.0505	-9999	-9999	-9999	2.309
1994	2	5	1.3829	-2.8778	-0.97571	-5.3345	91.094	-9999	0.10619	-9999	-9999	-9999	2.4072
1994	2	6	2.4775	-2.1674	0.15869	-5.6315	96.185	-9999	1.6511	-9999	-9999	-9999	2.0589
1994	2	7	1.0472	-1.5785	-1.1191	-2.0173	98.701	-9999	0.61296	-9999	-9999	-9999	1.404
1994	2	8	2.4661	-1.1612	0.13473	-1.8838	97.536	-9999	2.732	-9999	-9999	-9999	3.2753
1994	2	9	3.2057	-0.75635	0.84295	-1.9685	96.649	-9999	3.8057	-9999	-9999	-9999	3.7722
1994	2	10	1.7682	-1.2386	0.018701	-2.6749	96.521	-9999	2.3639	-9999	-9999	-9999	3.661
1994	2	11	3.4962	-1.5025	0.52828	-2.6988	96.68	-9999	1.0844	-9999	-9999	-9999	2.8636
1994	2	12	1.3314	-1.7669	-0.72272	-2.8099	97.302	-9999	0.24254	-9999	-9999	-9999	1.9792
1994	2	13	0.38492	-0.89557	-0.0058044	-1.7903	98.598	-9999	0.22977	-9999	-9999	-9999	2.9401
1994	2	14	0.4511	-0.77402	0.18142	-3.358	98.057	-9999	0.074955	-9999	-9999	-9999	2.9409
1994	2	15	2.5136	-0.10319	3.9245	-4.2776	96.806	-9999	0.59864	-9999	-9999	-9999	3.2404
1994	2	16	0.83151	3.4575	4.7979	1.695	100.08	-9999	0.8538	-9999	-9999	-9999	2.4725
1994	2	17	0.43586	4.9958	6.3204	3.1222	99.949	-9999	1.9074	-9999	-9999	-9999	2.4672
1994	2	18	1.914	5.4727	9.3337	-0.409	96.279	-9999	7.6582	-9999	-9999	-9999	2.4043
1994	2	19	4.7085	2.498	6.3006	-0.085455	92.277	-9999	1.4188	-9999	-9999	-9999	2.5627
1994	2	20	4.0297	2.6221	5.9189	-1.2866	95.419	-9999	0.89608	-9999	-9999	-9999	1.7271
1994	2	21	2.4811	3.9902	6.626	1.563	96.59	-9999	9.649	-9999	-9999	-9999	0.67089
1994	2	22	2.4663	1.9938	4.0817	-0.031866	95.499	-9999	4.8729	-9999	-9999	-9999	3.9335
1994	2	23	4.3015	-1.4866	1.4111	-4.6215	96.182	-9999	2.6613	-9999	-9999	-9999	1.7265
1994	2	24	4.6348	-4.824	-3.2162	-6.8336	93.873	-9999	0.49962	-9999	-9999	-9999	2.4104
1994	2	25	6.1107	-6.3412	-3.6132	-9.8631	93.517	-9999	0.44475	-9999	-9999	-9999	1.959
1994	2	26	7.979	-8.017	-4.1755	-10.231	94.736	-9999	0.31244	-9999	-9999	-9999	1.1652
1994	2	27	9.1431	-5.549	-1.4198	-11.398	91.338	-9999	0.34122	-9999	-9999	-9999	1.564
1994	2	28	5.4819	-2.8808	-0.090552	-5.696	86.136	-9999	0.13201	-9999	-9999	-9999	1.9088
1994	3	1	11.189	-2.6959	2.1108	-7.6922	81.934	-9999	0.0082782	-9999	-9999	-9999	1.2122
1994	3	2	9.1417	-2.8298	0.54955	-7.772	81.751	-9999	0.12444	-9999	-9999	-9999	2.2408
1994	3	3	9.7392	-4.1599	-0.23145	-8.506	83.481	-9999	0.10818	-9999	-9999	-9999	2.5402
1994	3	4	5.7355	-1.7262	0.96465	-3.7937	95.813	-9999	4.5989	-9999	-9999	-9999	1.4753
1994	3	5	7.8443	-1.7032	0.36324	-3.3062	91.602	-9999	1.2734	-9999	-9999	-9999	3.2464
1994	3	6	7.222	-0.55701	3.2298	-3.708	91.037	-9999	0.50095	-9999	-9999	-9999	3.8535
1994	3	7	3.1898	4.231	6.9448	2.1603	97.653	-9999	0.8465	-9999	-9999	-9999	2.666
1994	3	8	2.9314	4.9155	7.9935	1.6663	90.47	-9999	2.7196	-9999	-9999	-9999	1.7646
1994	3	9	7.2503	3.4455	8.0903	0.16949	87.536	-9999	1.526	-9999	-9999	-9999	3.0332
1994	3	10	2.1872	2.2088	4.4977	0.28991	90.729	-9999	0.1584	-9999	-9999	-9999	1.8509
1994	3	11	6.3059	0.73916	6.2832	-2.5077	90.759	-9999	0.041292	-9999	-9999	-9999	0.38727
1994	3	12	12.728	1.3851	9.459	-2.6836	84.659	-9999	0.046923	-9999	-9999	-9999	0.30109
1994	3	13	11.765	0.88845	7.0059	-3.0445	88.9	-9999	0.034661	-9999	-9999	-9999	1.9299
1994	3	14	4.6894	0.82034	3.6815	-1.3991	90.172	-9999	1.675	-9999	-9999	-9999	4.2687
1994	3	15	5.2467	0.89199	3.6419	-1.2148	94.971	-9999	4.8013	-9999	-9999	-9999	3.3187
1994	3	16	11.263	0.32516	4.7537	-2.1623	83.732	-9999	0.091866	-9999	-9999	-9999	3.1699
1994	3	17	2.3298	-0.67985	1.0114	-2.5423	88.855	-9999	0.43896	-9999	-9999	-9999	2.4178
1994	3	18	10.656	2.4278	7.3007	-0.98212	94.078	-9999	2.5764	-9999	-9999	-9999	1.4581
1994	3	19	4.7126	1.4523	3.5084	0.16757	93.309	-9999	1.6311	-9999	-9999	-9999	2.1604
1994	3	20	3.9268	2.0975	4.1207	-0.15793	90.097	-9999	0.38692	-9999	-9999	-9999	1.0322
1994	3	21	1.5704	2.8191	4.3329	1.598	90.432	-9999	0.050663	-9999	-9999	-9999	0.77572
1994	3	22	3.2023	2.9024	4.9379	1.8324	87.52	-9999	0.060198	-9999	-9999	-9999	1.9904
1994	3	23	1.6067	0.99081	1.9874	-0.48887	83.763	-9999	0.051961	-9999	-9999	-9999	2.1411
1994	3	24	1.7684	-0.6814	0.20895	-1.2206	91.428	-9999	0.26706	-9999	-9999	-9999	2.1008
1994	3	25	2.4094	-0.21326	1.5454	-1.4444	92.207	-9999	0.37128	-9999	-9999	-9999	1.4378
1994	3	26	2.5433	-0.23221	2.019	-2.0636	88.155	-9999	0.089162	-9999	-9999	-9999	2.1577
1994	3	27	12.798	3.2965	10.828	-2.4776	86.962	-9999	0.074503	-9999	-9999	-9999	1.3674
1994	3	28	13.192	6.3845	13.299	0.56576	84.099	-9999	0.37955	-9999	-9999	-9999	1.1571
1994	3	29	6.4542	5.4568	9.366	2.2024	92.004	-9999	0.67044	-9999	-9999	-9999	2.2524
1994	3	30	0.7554	3.6138	4.5024	2.3416	93.829	-9999	0.1163	-9999	-9999	-9999	2.07
1994	3	31	11.364	5.816	11.733	2.1873	84.653	-9999	0.04013	-9999	-9999	-9999	2.8031
1994	4	1	11.152	7.0622	12.872	2.6636	88.421	-9999	0.67125	-9999	-9999	-9999	3.5735
1994	4	2	10.215	6.253	11.817	1.9581	87.199	-9999	0.25179	-9999	-9999	-9999	1.7827
1994	4	3	15.896	7.1922	14.695	0.41442	77.497	-9999	0.26617	-9999	-9999	-9999	4.1955
1994	4	4	11.29	8.9259	15.131	4.694	88.368	-9999	3.4147	-9999	-9999	-9999	2.0784
1994	4	5	16.327	9.5368	17.635	2.8534	79.63	-9999	0.52389	-9999	-9999	-9999	2.912
1994	4	6	5.7517	7.5902	9.9026	5.5556	88.787	-9999	4.6411	-9999	-9999	-9999	7.9264
1994	4	7	2.4109	5.5245	6.442	4.4613	95.478	-9999	1.874	-9999	-9999	-9999	5.2246
1994	4	8	1.2068	4.4575	5.4225	3.2538	95.835	-9999	0.61341	-9999	-9999	-9999	2.9353
1994	4	9	11.877	7.0087	12.562	1.7836	87.936	-9999	1.8229	-9999	-9999	-9999	2.8644
1994	4	10	16.492	8.2301	15.25	3.8755	78.999	-9999	3.124	-9999	-9999	-9999	1.4355
1994	4	11	6.4881	6.5135	9.8845	2.7025	91.343	-9999	5.0055	-9999	-9999	-9999	2.1566
1994	4	12	8.9634	7.2422	12.98	1.517	91.568	-9999	3.6617	-9999	-9999	-9999	3.8539
1994	4	13	8.2831	9.7201	13.324	5.9366	92.647	-9999	3.4845	-9999	-9999	-9999	3.1084
1994	4	14	11.559	9.5508	15.709	4.2752	92.439	-9999	1.3249	-9999	-9999	-9999	1.0931
1994	4	15	4.9045	6.2101	8.1967	2.8416	90.479	-9999	3.5845	-9999	-9999	-9999	6.7605
1994	4	16	5.3944	3.4692	6.103	1.2607	83.484	-9999	0.79618	-9999	-9999	-9999	5.7868
1994	4	17	12.642	5.1766	9.8683	0.93649	76.1	-9999	0.38235	-9999	-9999	-9999	5.3557
1994	4	18	13.96	5.2578	10.864	1.4032	72.366	-9999	0.34014	-9999	-9999	-9999	5.4026
1994	4	19	19.151	6.0731	12.957	0.5863	72.92	-9999	0.10355	-9999	-9999	-9999	5.0947
1994	4	20	20.32	8.1232	16.961	0.27673	73.453	-9999	2.1184e-05	-9999	-9999	-9999	2.9501
1994	4	21	20.268	9.0902	17.592	1.491	69.333	-9999	0.0053234	-9999	-9999	-9999	2.8219
1994	4	22	20.444	8.7928	17.455	1.5866	70.312	-9999	0.00456	-9999	-9999	-9999	3.2674
1994	4	23	16.873	5.7193	11.665	1.5101	72.871	-9999	0.043699	-9999	-9999	-9999	3.5646
1994	4	24	18.464	6.8726	14.214	-0.65491	76.796	-9999	0.041558	-9999	-9999	-9999	0.77505
