Year,x,y,Age,Species,Management,N,Stool,AvDBH,Height,Wf,Wrc,Wrf,Ws,Wbb,Wres,Lai
1948,0,0,48,Pinussylvestris,T,4150,0,7.631325301,6.406987952,0,0,0,0,0,0,NA
1952,0,0,52,Pinussylvestris,T,3860,0,8.71865285,7.074870466,0,0,0,0,0,0,NA
1956,0,0,56,Pinussylvestris,T,3670,0,9.379291553,7.491280654,0,0,0,0,0,0,NA
1961,0,0,61,Pinussylvestris,T,3470,0,10.04553314,8.761095101,0,0,0,0,0,0,NA
1966,0,0,66,Pinussylvestris,T,3060,0,10.94869281,9.434640523,0,0,0,0,0,0,NA
1971,0,0,71,Pinussylvestris,T,2150,0,12.39069767,10.59674419,0,0,0,0,0,0,NA
1976,0,0,76,Pinussylvestris,T,1760,0,13.06306818,11.28238636,0,0,0,0,0,0,NA
1982,0,0,82,Pinussylvestris,T,1670,0,14.78502994,12.33353293,0,0,0,0,0,0,NA
1989,0,0,89,Pinussylvestris,T,1540,0,16.36038961,13.02597403,0,0,0,0,0,0,NA
1994,0,0,94,Pinussylvestris,T,1290,0,17.83410853,14.11317829,0,0,0,0,0,0,NA
2001,0,0,101,Pinussylvestris,T,1080,0,19.68703704,15.44259259,0,0,0,0,0,0,NA
2007,0,0,107,Pinussylvestris,T,886,0,21.65887097,17,0,0,0,0,0,0,NA
2011,0,0,111,Pinussylvestris,T,886,0,22.64193548,17.65645161,0,0,0,0,0,0,NA
