Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip 	SWC	LAI 	ET	LITTERFALL
1	1	4	0	5.27	-2.03	3.96	0	0	0	0	-9999	-9999
1	2	6	-9999	-0.83	-4.53	2.49	-9999	0	-9999	0	-9999	-9999
1	3	5	-9999	1.17	-7.63	2.39	-9999	0	-9999	0	-9999	-9999
1	4	5	-9999	-1.13	-10.63	1.79	-9999	0	-9999	0	-9999	-9999
1	5	5	-9999	-0.83	-11.83	2.19	-9999	0	-9999	0	-9999	-9999
1	6	5	-9999	-3.53	-10.93	2.52	-9999	0	-9999	0	-9999	-9999
1	7	5	-9999	-0.23	-9.83	2.92	-9999	0	-9999	0	-9999	-9999
1	8	5	-9999	0.47	-8.53	3.22	-9999	0	-9999	0	-9999	-9999
1	9	5	-9999	-0.83	-7.33	3.49	-9999	0	-9999	0	-9999	-9999
1	10	2	-9999	6.47	-2.63	5.22	-9999	0	-9999	0	-9999	-9999
1	11	5	-9999	4.57	-1.73	4.89	-9999	2.8	-9999	0	-9999	-9999
1	12	3	-9999	-0.83	-3.33	3.16	-9999	12.4	-9999	0	-9999	-9999
1	13	6	-9999	2.47	-7.93	2.06	-9999	0.6	-9999	0	-9999	-9999
1	14	6	-9999	2.87	-8.43	2.46	-9999	4	-9999	0	-9999	-9999
1	15	6	-9999	-0.53	-9.43	3.26	-9999	2	-9999	0	-9999	-9999
1	16	6	-9999	3.07	-7.43	3.42	-9999	0	-9999	0	-9999	-9999
1	17	7	-9999	5.47	-6.73	3.56	-9999	0	-9999	0	-9999	-9999
1	18	1	-9999	-2.43	-6.53	4.59	-9999	0	-9999	0	-9999	-9999
1	19	5	-9999	5.77	-4.13	5.36	-9999	0	-9999	0	-9999	-9999
1	20	3	-9999	1.87	-4.63	4.86	-9999	11	-9999	0	-9999	-9999
1	21	6	-9999	3.97	-4.33	6.06	-9999	0.8	-9999	0	-9999	-9999
1	22	7	-9999	5.77	-4.13	5.89	-9999	0	-9999	0	-9999	-9999
1	23	2	-9999	2.37	-1.43	6.66	-9999	0	-9999	0	-9999	-9999
1	24	7	-9999	5.77	-2.93	5.02	-9999	1.6	-9999	0	-9999	-9999
1	25	6	-9999	5.47	-2.53	5.36	-9999	0.2	-9999	0	-9999	-9999
1	26	1	-9999	2.67	-2.73	6.26	-9999	3.8	-9999	0	-9999	-9999
1	27	8	-9999	3.27	-3.73	2.99	-9999	2.4	-9999	0	-9999	-9999
