Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	-9999	-9999	-9999	-9999	-9999	1.34611	-9999	0.382628	-9999	-9999	-9999
1	2	-9999	-9999	-9999	-9999	-9999	1.39133	-9999	0.382609	-9999	-9999	-9999
1	3	-9999	-9999	-9999	-9999	-9999	1.41373	-9999	0.382657	-9999	-9999	-9999
1	4	-9999	-9999	-9999	-9999	-9999	1.46941	-9999	0.382193	-9999	-9999	-9999
1	5	-9999	-9999	-9999	-9999	-9999	1.50953	-9999	0.382261	-9999	-9999	-9999
1	6	-9999	-9999	-9999	-9999	-9999	1.46496	-9999	0.382761	-9999	-9999	-9999
1	7	-9999	-9999	-9999	-9999	-9999	1.36614	-9999	0.383238	-9999	-9999	-9999
1	8	-9999	-9999	-9999	-9999	-9999	1.31912	-9999	0.383538	-9999	-9999	-9999
1	9	-9999	-9999	-9999	-9999	-9999	1.22166	-9999	0.383242	-9999	-9999	-9999
1	10	-9999	-9999	-9999	-9999	-9999	1.17987	-9999	0.382341	-9999	-9999	-9999
1	11	-9999	-9999	-9999	-9999	-9999	1.31137	-9999	0.384367	-9999	-9999	-9999
1	12	-9999	-9999	-9999	-9999	-9999	1.60457	-9999	0.384396	-9999	-9999	-9999
1	13	-9999	-9999	-9999	-9999	-9999	1.72973	-9999	0.384268	-9999	-9999	-9999
1	14	-9999	-9999	-9999	-9999	-9999	2.04177	-9999	0.384293	-9999	-9999	-9999
1	15	-9999	-9999	-9999	-9999	-9999	2.2931	-9999	0.383945	-9999	-9999	-9999
1	16	-9999	-9999	-9999	-9999	-9999	2.54954	-9999	0.383874	-9999	-9999	-9999
1	17	-9999	-9999	-9999	-9999	-9999	2.68539	-9999	0.383637	-9999	-9999	-9999
1	18	-9999	-9999	-9999	-9999	-9999	2.30398	-9999	0.382492	-9999	-9999	-9999
1	19	-9999	-9999	-9999	-9999	-9999	1.85991	-9999	0.379775	-9999	-9999	-9999
1	20	-9999	-9999	-9999	-9999	-9999	1.76305	-9999	0.376844	-9999	-9999	-9999
1	21	-9999	-9999	-9999	-9999	-9999	1.6925	-9999	0.375347	-9999	-9999	-9999
1	22	-9999	-9999	-9999	-9999	-9999	1.61332	-9999	0.375108	-9999	-9999	-9999
1	23	-9999	-9999	-9999	-9999	-9999	1.57616	-9999	0.374791	-9999	-9999	-9999
1	24	-9999	-9999	-9999	-9999	-9999	1.56808	-9999	0.374156	-9999	-9999	-9999
1	25	-9999	-9999	-9999	-9999	-9999	1.54192	-9999	0.373807	-9999	-9999	-9999
1	26	-9999	-9999	-9999	-9999	-9999	1.53414	-9999	0.373356	-9999	-9999	-9999
1	27	-9999	-9999	-9999	-9999	-9999	1.5354	-9999	0.372813	-9999	-9999	-9999
1	28	-9999	-9999	-9999	-9999	-9999	1.49027	-9999	0.37209	-9999	-9999	-9999
1	29	-9999	-9999	-9999	-9999	-9999	1.30438	-9999	0.371339	-9999	-9999	-9999
1	30	-9999	-9999	-9999	-9999	-9999	1.17916	-9999	0.3706	-9999	-9999	-9999
1	31	-9999	-9999	-9999	-9999	-9999	1.0563	-9999	0.367515	-9999	-9999	-9999
2	1	-9999	-9999	-9999	-9999	-9999	0.933515	-9999	0.366316	-9999	-9999	-9999
2	2	-9999	-9999	-9999	-9999	-9999	0.874796	-9999	0.365828	-9999	-9999	-9999
2	3	-9999	-9999	-9999	-9999	-9999	0.871844	-9999	0.363349	-9999	-9999	-9999
