Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	0.929709	-11.5347	-8.24214	-18.8238	0.392482	-2.34443	0	0.0754167	-9999	-9999	-9999
1	2	0.912505	-14.0756	-10.6932	-20.0597	0.394345	-2.4782	-9999	0.07	-9999	-9999	-9999
1	3	0.353802	-14.7706	-10.196	-19.4613	0.346519	-2.76049	-9999	0.0695833	-9999	-9999	-9999
1	4	0.618564	-9.23262	-7.45912	-13.4028	0.406018	-2.0998	-9999	0.07	-9999	-9999	-9999
1	5	0.979648	-16.5954	-13.9191	-18.6295	0.360174	-2.58791	-9999	-9999	-9999	-9999	-9999
1	6	0.217915	-12.0455	-4.37672	-18.6324	0.323246	-2.8282	-9999	-9999	-9999	-9999	-9999
1	7	0.450844	-2.36668	-1.00031	-4.2101	0.255399	-1.70963	-9999	-9999	-9999	-9999	-9999
1	8	0.117643	-0.688645	-0.337772	-1.14573	0.239099	-1.08345	-9999	-9999	-9999	-9999	-9999
1	9	0.29485	-0.51996	0.245329	-1.03012	0.0952989	-0.730419	-9999	-9999	-9999	-9999	-9999
1	10	0.174908	0.0752494	0.30075	-0.317437	0.0691252	-0.530326	-9999	-9999	-9999	-9999	-9999
1	11	0.231213	-0.764984	0.0121	-1.70349	0.129927	-0.404406	-9999	-9999	-9999	-9999	-9999
1	12	0.140863	-0.356912	0.0165	-0.700785	0.0929769	-0.342342	-9999	-9999	-9999	-9999	-9999
1	13	0.308119	0.253188	1.09601	-0.566186	0.0337813	-0.297724	-9999	0.08	-9999	-9999	-9999
1	14	0.318041	1.12403	1.42599	0.860597	0.0245605	-0.233571	-9999	0.088125	-9999	-9999	-9999
1	15	0.651998	0.266944	0.974168	-0.972117	0.0473104	-0.177066	-9999	0.0910417	-9999	-9999	-9999
1	16	0.325344	-1.45432	-0.958837	-1.86633	0.15435	-0.152209	-9999	0.1	-9999	-9999	-9999
1	17	2.13265	-1.48259	0.462303	-3.12214	0.368517	-0.153692	-9999	0.103333	-9999	-9999	-9999
1	18	0.289059	-1.59353	-0.640519	-3.26726	0.280897	-0.192095	-9999	0.11	-9999	-9999	-9999
1	19	0.194345	-2.75238	-2.18201	-3.34544	0.315901	-0.245359	-9999	0.11	-9999	-9999	-9999
1	20	1.20352	-3.93746	-2.44485	-5.1717	0.33074	-0.378121	-9999	0.114375	-9999	-9999	-9999
1	21	0.37935	-5.68288	-5.19602	-6.25454	0.286766	-0.645284	-9999	0.10375	-9999	-9999	-9999
1	22	0.599214	-5.66927	-5.30326	-6.30979	0.374693	-0.856348	-9999	0.0995833	-9999	-9999	-9999
1	23	0.406469	-6.72657	-6.14247	-7.24606	0.340467	-1.0659	-9999	0.1	-9999	-9999	-9999
1	24	0.587139	-6.10412	-4.78682	-6.93037	0.499753	-1.15815	-9999	0.094375	-9999	-9999	-9999
1	25	0.997449	-6.67198	-5.97616	-7.56439	0.451645	-1.22565	-9999	0.09	-9999	-9999	-9999
1	26	2.30124	-6.26808	-3.98246	-11.2204	0.459338	-1.27833	-9999	0.09	-9999	-9999	-9999
1	27	0.999719	-8.82268	-5.55905	-12.6985	0.420393	-1.61982	-9999	0.0885417	-9999	-9999	-9999
1	28	1.21205	-2.34804	0.773342	-6.67779	0.919523	-1.42043	-9999	0.08	-9999	-9999	-9999
1	29	3.0875	-1.92529	0.451451	-3.64329	0.372948	-1.04983	-9999	0.0816667	-9999	-9999	-9999
1	30	3.29462	-3.4304	-0.514455	-6.09254	0.648379	-1.31796	-9999	0.0804167	-9999	-9999	-9999
1	31	3.30006	-4.90827	-1.93542	-7.04061	1.07358	-1.52227	-9999	0.08625	-9999	-9999	-9999
2	1	3.14292	-6.0118	-4.56811	-8.28484	0.815943	-1.743	-9999	0.0897917	-9999	-9999	-9999
2	2	2.41056	-5.0701	-3.80979	-6.65984	0.387045	-1.60923	-9999	0.0833333	-9999	-9999	-9999
2	3	3.81761	-4.49978	-2.95667	-5.68151	0.555244	-1.35916	-9999	0.0845833	-9999	-9999	-9999
2	4	3.56051	-7.62749	-3.89098	-12.1926	0.895042	-1.5065	-9999	0.0814583	-9999	-9999	-9999
2	5	4.21234	-13.7426	-9.97706	-16.6326	0.593294	-1.6182	-9999	0.0814583	-9999	-9999	-9999
2	6	3.34806	-15.5416	-10.8456	-19.9285	0.315602	-2.06788	-9999	0.0752083	-9999	-9999	-9999
2	7	3.81891	-14.7803	-8.44433	-20.2709	0.217736	-2.39402	-9999	0.0704167	-9999	-9999	-9999
2	8	2.86496	-12.2535	-7.95961	-17.0259	0.261722	-2.42888	-9999	0.0704167	-9999	-9999	-9999
2	9	2.76241	-11.8411	-9.4624	-14.4729	0.28022	-2.35901	-9999	0.071875	-9999	-9999	-9999
2	10	2.98251	-9.94866	-6.50053	-11.7499	0.363712	-2.16253	-9999	0.0714583	-9999	-9999	-9999
2	11	2.94495	-8.99195	-6.64931	-11.2856	0.494726	-2.09722	-9999	0.07375	-9999	-9999	-9999
2	12	2.74172	-8.39025	-6.84282	-11.9673	0.392091	-1.86669	-9999	0.0716667	-9999	-9999	-9999
2	13	4.47905	-10.1207	-7.26759	-11.9776	0.429865	-1.95371	-9999	0.0714583	-9999	-9999	-9999
2	14	5.43855	-7.42575	-1.47349	-13.691	0.793401	-2.11983	-9999	0.0708333	-9999	-9999	-9999
2	15	1.17375	-1.75806	1.38877	-6.9987	0.483804	-1.65376	-9999	0.0733333	-9999	-9999	-9999
2	16	3.64769	-0.891194	1.83805	-5.89288	1.58195	-1.0862	-9999	0.0747917	-9999	-9999	-9999
2	17	4.12353	-10.4226	-6.08866	-15.8852	0.629957	-1.22955	-9999	0.074375	-9999	-9999	-9999
2	18	6.49071	-13.5252	-7.20797	-19.1915	1.08252	-1.96258	-9999	-9999	-9999	-9999	-9999
2	19	3.22406	-11.1114	-7.01853	-17.2922	0.455945	-2.38159	-9999	-9999	-9999	-9999	-9999
2	20	3.15334	-10.5743	-5.25245	-15.2763	0.286065	-2.26297	-9999	-9999	-9999	-9999	-9999
2	21	4.94418	-12.0861	-6.52559	-16.5198	0.524053	-2.42788	-9999	-9999	-9999	-9999	-9999
2	22	2.01118	-11.6919	-7.35508	-15.5127	0.299416	-2.5622	-9999	-9999	-9999	-9999	-9999
2	23	6.69436	-11.8913	-4.79706	-17.6826	0.754175	-2.81054	-9999	-9999	-9999	-9999	-9999
2	24	1.87341	-7.52061	-3.8703	-14.2014	0.265068	-2.58594	-9999	-9999	-9999	-9999	-9999
2	25	1.06446	-4.68794	-3.97358	-5.48534	0.237547	-1.84395	-9999	0.07125	-9999	-9999	-9999
2	26	0.836858	-0.145849	1.64039	-3.81765	0.364659	-1.37923	-9999	0.071875	-9999	-9999	-9999
2	27	1.96464	1.05876	2.31787	-0.519838	0.413031	-0.728893	-9999	0.0745833	-9999	-9999	-9999
2	28	3.02852	0.486385	1.75711	-0.737798	1.01548	-0.483223	-9999	0.0808333	-9999	-9999	-9999
3	1	4.24216	-0.579334	1.95958	-2.6642	1.84981	-0.481341	-9999	0.080625	-9999	-9999	-9999
3	2	6.03823	-1.99804	1.22548	-4.66748	0.949368	-0.573289	-9999	0.0820513	-9999	-9999	-9999
3	3	9.67155	-3.54563	-0.15439	-5.5647	0.817317	-0.832672	-9999	-9999	-9999	-9999	-9999
3	4	4.84842	-0.475153	3.67828	-5.24138	1.21025	-0.913885	-9999	-9999	-9999	-9999	-9999
3	5	9.63658	0.330546	2.9703	-3.05049	1.39394	-0.573453	-9999	-9999	-9999	-9999	-9999
3	6	3.44782	-1.54959	0.331275	-3.5497	0.756577	-0.739589	-9999	-9999	-9999	-9999	-9999
3	7	6.60597	1.09996	5.02	-1.03111	0.624605	-0.551705	-9999	-9999	-9999	-9999	-9999
3	8	10.196	1.9665	7.88547	-2.53345	1.77661	-0.47766	-9999	-9999	-9999	-9999	-9999
3	9	6.43682	-2.07258	0.876727	-4.88922	0.0258394	-0.512492	-9999	-9999	-9999	-9999	-9999
3	10	8.29105	-1.3709	4.54425	-5.4415	0.697557	-0.674884	-9999	-9999	-9999	-9999	-9999
3	11	11.7333	-2.88094	1.34736	-6.18462	0.732533	-0.923222	-9999	-9999	-9999	-9999	-9999
