Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	2.199551564	-4.232752917	-3.36478	-4.90469	0.33630068	-9999	0	-9999	-9999	-9999	-9999
1	2	1.216807834	-0.617628938	0.155367	-3.446	0.478646278	-9999	0	-9999	-9999	-9999	-9999
1	3	1.522405545	1.117929875	3.15782	-0.195119	-9999	-9999	0	-9999	-9999	-9999	-9999
1	4	2.56637698	1.479940229	3.00055	-0.44065	0.049754243	-9999	0.3	-9999	-9999	-9999	-9999
1	5	3.240091113	0.976516521	2.59917	-0.608753	0.184685341	-9999	0.9	-9999	-9999	-9999	-9999
1	6	0.600382491	1.956187875	2.59939	0.0797	0.065446853	-9999	5.6	-9999	-9999	-9999	-9999
1	7	2.209074886	1.199456458	2.85882	-0.101599	0.004596851	-9999	2.3	-9999	-9999	-9999	-9999
1	8	-9999	2.212895208	2.66531	1.53139	0.259897552	-9999	3.4	-9999	-9999	-9999	-9999
1	9	-9999	-0.784507396	1.41323	-5.07346	-9999	-9999	0	-9999	-9999	-9999	-9999
1	10	3.145373935	-5.000899583	-3.63513	-6.84815	0.217936142	-9999	0.7	-9999	-9999	-9999	-9999
1	11	6.13676664	-3.313558125	-1.87141	-5.46672	0.001416901	-9999	0.3	-9999	-9999	-9999	-9999
1	12	6.815448	-5.169710625	-3.03284	-7.2945	0.001193803	-9999	0.2	-9999	-9999	-9999	-9999
1	13	5.163610896	-0.893700688	0.592168	-2.73108	0.000616449	-9999	0.2	-9999	-9999	-9999	-9999
1	14	4.275305403	-3.244374083	-0.605848	-6.50765	0.000295076	-9999	0	-9999	-9999	-9999	-9999
1	15	6.601405454	-6.087062917	-2.87977	-7.8163	0.21867715	-9999	0.4	-9999	-9999	-9999	-9999
1	16	7.339267131	-8.368163125	-5.93485	-10.7323	0.000243889	-9999	0.6	-9999	-9999	-9999	-9999
1	17	1.523220624	-7.108013958	-5.72782	-8.10832	0.227286261	-9999	0	-9999	-9999	-9999	-9999
1	18	1.885311465	-4.383045208	-3.45248	-5.66164	-9999	-9999	0	-9999	-9999	-9999	-9999
1	19	1.300445496	-3.289079792	-2.54601	-6.06438	-9999	-9999	0	-9999	-9999	-9999	-9999
1	20	6.097676012	-6.539226458	-3.35014	-9.39328	-9999	-9999	0	-9999	-9999	-9999	-9999
1	21	2.038371264	-2.516185646	-0.912741	-3.22979	-9999	-9999	0	-9999	-9999	-9999	-9999
1	22	1.290669984	-2.143927417	-0.63064	-3.45999	0.090674679	-9999	0	-9999	-9999	-9999	-9999
1	23	1.587235464	-1.963255354	-0.351504	-2.83192	0.168465606	-9999	0	-9999	-9999	-9999	-9999
1	24	0.943027881	0.456679167	2.25146	-0.217353	0.171401472	-9999	7.1	-9999	-9999	-9999	-9999
1	25	4.56981011	2.055387021	2.73382	0.730964	0.380405652	-9999	1	-9999	-9999	-9999	-9999
1	26	1.098236913	1.079034896	2.18307	-0.40521	0.371745791	-9999	0	-9999	-9999	-9999	-9999
1	27	3.356383126	0.171768833	1.29359	-1.11246	0.015347454	-9999	0.8	-9999	-9999	-9999	-9999
1	28	6.949392069	-0.452931479	1.6311	-1.44417	0.154600399	-9999	0	-9999	-9999	-9999	-9999
1	29	4.894887168	-2.261067896	0.0367	-5.29363	0.327341804	-9999	0	-9999	-9999	-9999	-9999
1	30	9.640642788	-4.775785	-2.51122	-7.18006	0.705441189	-9999	0.3	-9999	-9999	-9999	-9999
1	31	4.526805715	-3.235071458	-2.2104	-4.29564	0.164423522	-9999	0.3	-9999	-9999	-9999	-9999
2	1	4.665598974	-7.788897083	-3.17501	-10.144	0.053646131	-9999	1.2	-9999	-9999	-9999	-9999
2	2	6.558385914	-10.02091896	-6.99159	-13.3198	-9999	-9999	0	-9999	-9999	-9999	-9999
2	3	12.45369816	-14.1817125	-12.6587	-16.2975	1.051264931	-9999	0	-9999	-9999	-9999	-9999
2	4	14.46450099	-18.16668542	-16.5047	-20.4393	0.366107266	-9999	4	-9999	-9999	-9999	-9999
2	5	12.26994205	-17.24755417	-11.0067	-22.3495	0.28962157	-9999	2	-9999	-9999	-9999	-9999
2	6	5.289220782	-6.187480417	-3.46756	-10.5875	-9999	-9999	6	-9999	-9999	-9999	-9999
2	7	3.800240064	-0.193185521	4.31124	-3.71384	0.00257407	-9999	0	-9999	-9999	-9999	-9999
2	8	3.55386263	2.518300875	4.3492	-1.46146	0.035149292	-9999	15	-9999	-9999	-9999	-9999
2	9	13.05135773	-3.320064167	-1.31014	-6.63675	-9999	-9999	0	-9999	-9999	-9999	-9999
2	10	13.21388856	-5.535858604	-0.992913	-8.64414	0.737977256	-9999	0	-9999	-9999	-9999	-9999
2	11	3.022113942	-1.989462938	0.930792	-5.45052	0.004208593	-9999	0	-9999	-9999	-9999	-9999
2	12	2.799951408	3.0256	3.91915	1.20528	0.047695871	-9999	4.5	-9999	-9999	-9999	-9999
2	13	11.36977488	2.039250417	4.18847	-0.113594	0.740826216	-9999	0	-9999	-9999	-9999	-9999
2	14	10.14401453	3.367427604	6.73708	0.252722	0.004376783	-9999	0	-9999	-9999	-9999	-9999
2	15	14.4188448	3.604238604	8.75469	-1.13414	0.00420218	-9999	0	-9999	-9999	-9999	-9999
2	16	15.81191424	0.813570375	4.04731	-1.61944	0.004324996	-9999	0	-9999	-9999	-9999	-9999
2	17	12.18304301	0.908962563	3.95338	-2.56197	0.003461161	-9999	1	-9999	-9999	-9999	-9999
2	18	17.1677976	1.366555521	3.17149	-1.20579	0.146578808	-9999	0	-9999	-9999	-9999	-9999
2	19	11.94265968	3.255861	6.85202	0.549515	0.004744642	-9999	1.3	-9999	-9999	-9999	-9999
2	20	13.6665973	1.173863188	3.79476	-1.54993	0.005701396	-9999	0.2	-9999	-9999	-9999	-9999
2	21	13.74990535	1.012558938	3.98121	-4.20903	0.00601344	-9999	0	-9999	-9999	-9999	-9999
2	22	6.076166991	-7.154378542	-4.50996	-9.69818	0.7730364	-9999	2.2	-9999	-9999	-9999	-9999
2	23	13.53829684	-10.82307438	-8.91737	-13.4273	0.513901888	-9999	0	-9999	-9999	-9999	-9999
2	24	16.59338179	-12.50490792	-8.43175	-17.4065	1.145909907	-9999	0	-9999	-9999	-9999	-9999
2	25	16.14775824	-11.00016479	-7.44365	-14.1907	0.006497673	-9999	0	-9999	-9999	-9999	-9999
2	26	19.25898854	-13.48181146	-9.7693	-16.6107	0.587898767	-9999	0	-9999	-9999	-9999	-9999
2	27	19.68247555	-13.65324417	-8.79946	-18.6226	0.168430056	-9999	0	-9999	-9999	-9999	-9999
2	28	-9999	-9999	-9999	-9999	-9999	-9999	0	-9999	-9999	-9999	-9999
3	1	10.23447662	-9.358686042	-6.29167	-13.5933	0.764408865	-9999	0.2	-9999	-9999	-9999	-9999
3	2	11.37935606	-7.476886875	-5.00483	-12.445	0.434084634	-9999	1.2	-9999	-9999	-9999	-9999
3	3	20.05727416	-10.88570104	-5.82267	-16.6017	0.942418767	-9999	0	-9999	-9999	-9999	-9999
3	4	21.35849087	-4.335406958	2.205	-12.61	0.006191511	-9999	0	-9999	-9999	-9999	-9999
3	5	18.08881997	-1.076815563	3.467	-4.38467	0.008138804	-9999	0	-9999	-9999	-9999	-9999
3	6	14.88838053	3.300028708	6.54367	-0.802333	-9999	-9999	3	-9999	-9999	-9999	-9999
3	7	15.9451306	-0.829962146	3.6155	-3.59933	0.472429481	-9999	5.5	-9999	-9999	-9999	-9999
3	8	10.79079429	-0.278050833	2.42683	-3.88733	0.008988481	-9999	0	-9999	-9999	-9999	-9999
3	9	4.894185024	0.669166417	2.23733	-0.503667	0.004860515	-9999	0.3	-9999	-9999	-9999	-9999
3	10	7.682142341	1.647059375	3.49467	-0.1645	0.264428689	-9999	0	-9999	-9999	-9999	-9999
3	11	5.329464768	4.045283958	4.867	2.86	0.562560302	-9999	1.5	-9999	-9999	-9999	-9999
3	12	4.978246299	4.673096667	5.417	3.69083	0.421435952	-9999	0.4	-9999	-9999	-9999	-9999
3	13	11.44413674	2.386552146	4.55233	0.730833	0.612585239	-9999	0	-9999	-9999	-9999	-9999
3	14	8.078534521	1.112614896	3.13017	-0.916333	0.010640677	-9999	0.4	-9999	-9999	-9999	-9999
