year	CO2_ppm

1980	338.36
1981	339.7275
1982	340.7925
1983	342.1975
1984	343.7825
1985	345.2825
1986	346.7975
1987	348.645
1988	350.7375
1989	352.4875
1990	353.855
1991	355.0175
1992	355.885
1993	356.7775
1994	358.1275
1995	359.8375
1996	361.4625
1997	363.155
1998	365.3225
1999	367.3475
2000	368.865
2001	370.4675
2002	372.5225
2003	374.76
2004	376.8125
2005	378.8125
2006	380.93
2007	382.7
2008	384.77
2009	386.28
2010	388.57
2011	390.49
2012	392.52
2013	395.31
2014	397.11
2015	399.41
2016    402.85
2017    405.00
2018    407.39
2019    409.85

