"Year" "Month" "n_days" "Rg_f" "Ta_f" "Tmax" "Tmin" "VPD_f" "Ts_f" "Precip" "SWC" "LAI" "ET" "WS_f"
2000 1 1 3.22 -9999 1.82 -0.41 0.52 -9999 0 -9999 -9999 -9999 -9999
2000 1 2 3.78 -9999 2.62 -0.91 0.83 -9999 0 -9999 -9999 -9999 -9999
2000 1 3 3.77 -9999 2.62 -0.8 0.81 -9999 0 -9999 -9999 -9999 -9999
2000 1 4 4.01 -9999 11.92 3.1 3.16 -9999 0 -9999 -9999 -9999 -9999
2000 1 5 4.13 -9999 9.13 3.19 1.95 -9999 0 -9999 -9999 -9999 -9999
2000 1 6 4.08 -9999 12.13 3.8 3.06 -9999 0 -9999 -9999 -9999 -9999
2000 1 7 4.18 -9999 7.92 2.1 1.78 -9999 0 -9999 -9999 -9999 -9999
2000 1 8 3.74 -9999 6.92 3.8 0.97 -9999 0 -9999 -9999 -9999 -9999
2000 1 9 4.04 -9999 7.92 3.9 1.3 -9999 0 -9999 -9999 -9999 -9999
2000 1 10 4.02 -9999 7.63 3.8 1.22 -9999 0 -9999 -9999 -9999 -9999
2000 1 11 3.82 -9999 6.72 3.6 0.96 -9999 0 -9999 -9999 -9999 -9999
2000 1 12 1.63 -9999 3.23 3.1 0.04 -9999 0 -9999 -9999 -9999 -9999
2000 1 13 2.29 -9999 6.32 5.49 0.26 -9999 0 -9999 -9999 -9999 -9999
2000 1 14 2.84 -9999 4.92 3.6 0.39 -9999 0 -9999 -9999 -9999 -9999
2000 1 15 3.57 -9999 5.82 2.19 1.04 -9999 0.2 -9999 -9999 -9999 -9999
2000 1 16 4.5 -9999 6.22 0.6 1.56 -9999 0 -9999 -9999 -9999 -9999
2000 1 17 4.5 -9999 3.52 -1.41 1.17 -9999 0 -9999 -9999 -9999 -9999
2000 1 18 4.39 -9999 9.13 -0.7 2.89 -9999 0 -9999 -9999 -9999 -9999
2000 1 19 4.62 -9999 5.63 -1.21 1.76 -9999 0 -9999 -9999 -9999 -9999
2000 1 20 4.69 -9999 3.52 -2.61 1.41 -9999 0 -9999 -9999 -9999 -9999
2000 1 21 4.65 -9999 4.82 -3.21 1.89 -9999 0 -9999 -9999 -9999 -9999
2000 1 22 3.97 -9999 3.62 1.1 0.65 -9999 0 -9999 -9999 -9999 -9999
2000 1 23 4.68 -9999 6.42 -0.6 1.89 -9999 0.2 -9999 -9999 -9999 -9999
2000 1 24 4.92 -9999 2.23 -4.21 1.35 -9999 0 -9999 -9999 -9999 -9999
2000 1 25 4.92 -9999 -0.18 -4.9 0.89 -9999 0 -9999 -9999 -9999 -9999
2000 1 26 4.97 -9999 0.42 -7.4 1.4 -9999 0 -9999 -9999 -9999 -9999
2000 1 27 4.89 -9999 5.52 -4.61 2.35 -9999 0 -9999 -9999 -9999 -9999
2000 1 28 5.12 -9999 8.22 0.09 2.37 -9999 0 -9999 -9999 -9999 -9999
2000 1 29 5.09 -9999 8.72 -1.11 2.81 -9999 0 -9999 -9999 -9999 -9999
2000 1 30 5.29 -9999 9.42 4.1 1.81 -9999 0 -9999 -9999 -9999 -9999
2000 1 31 5.42 -9999 11.82 4.7 2.66 -9999 0 -9999 -9999 -9999 -9999
2000 2 1 5.48 -9999 12.92 4.7 3.18 -9999 0 -9999 -9999 -9999 -9999
2000 2 2 5.58 -9999 11.63 3.8 2.83 -9999 0 -9999 -9999 -9999 -9999
2000 2 3 4.54 -9999 9.13 4.99 1.43 -9999 0.2 -9999 -9999 -9999 -9999
2000 2 4 2.99 -9999 4.13 2.49 0.45 -9999 0.2 -9999 -9999 -9999 -9999
2000 2 5 5.81 -9999 10.52 1.9 2.85 -9999 0 -9999 -9999 -9999 -9999
2000 2 6 5.78 -9999 12.23 7.09 2.07 -9999 0 -9999 -9999 -9999 -9999
2000 2 7 6.04 -9999 12.23 5.6 2.57 -9999 0 -9999 -9999 -9999 -9999
2000 2 8 5.9 -9999 9.02 4.2 1.63 -9999 0 -9999 -9999 -9999 -9999
2000 2 9 4.29 -9999 8.42 5.39 1.03 -9999 5.3 -9999 -9999 -9999 -9999
2000 2 10 5.43 -9999 4.32 -0.7 1.26 -9999 34.5 -9999 -9999 -9999 -9999
2000 2 11 2.28 -9999 2.32 1.6 0.18 -9999 6.3 -9999 -9999 -9999 -9999
2000 2 12 6.54 -9999 11.52 1.19 3.46 -9999 0 -9999 -9999 -9999 -9999
2000 2 13 6.49 -9999 7.32 1.79 1.64 -9999 0 -9999 -9999 -9999 -9999
2000 2 14 6.82 -9999 10.63 0.69 3.19 -9999 0 -9999 -9999 -9999 -9999
2000 2 15 6.88 -9999 11.13 4.2 2.5 -9999 0 -9999 -9999 -9999 -9999
2000 2 16 6.27 -9999 9.52 2.69 2.23 -9999 1.1 -9999 -9999 -9999 -9999
2000 2 17 6.16 -9999 6.82 0.9 1.69 -9999 9.7 -9999 -9999 -9999 -9999
2000 2 18 6.27 -9999 4.03 0.29 0.95 -9999 0 -9999 -9999 -9999 -9999
2000 2 19 6.94 -9999 9.42 0.9 2.65 -9999 4.4 -9999 -9999 -9999 -9999
2000 2 20 6.08 -9999 7.32 2.29 1.51 -9999 5.5 -9999 -9999 -9999 -9999
2000 2 21 7.64 -9999 6.02 -0.7 1.78 -9999 0 -9999 -9999 -9999 -9999
2000 2 22 7.49 -9999 3.12 -2.3 1.24 -9999 0 -9999 -9999 -9999 -9999
2000 2 23 8.09 -9999 5.52 -2.91 2.05 -9999 0 -9999 -9999 -9999 -9999
2000 2 24 8.08 -9999 4.72 -2.21 1.68 -9999 0 -9999 -9999 -9999 -9999
2000 2 25 8.44 -9999 8.42 -1.71 2.82 -9999 0 -9999 -9999 -9999 -9999
2000 2 26 8.54 -9999 10.42 1.79 2.83 -9999 0 -9999 -9999 -9999 -9999
2000 2 27 8.79 -9999 10.82 -0.1 3.45 -9999 0 -9999 -9999 -9999 -9999
2000 2 28 8.74 -9999 8.13 0.6 2.22 -9999 0 -9999 -9999 -9999 -9999
2000 2 29 9.16 -9999 9.02 -2.5 3.21 -9999 0 -9999 -9999 -9999 -9999
2000 3 1 9.15 -9999 8.82 0.5 2.5 -9999 0 -9999 -9999 -9999 -9999
2000 3 2 7.54 -9999 9.02 2.8 2.01 -9999 5.9 -9999 -9999 -9999 -9999
2000 3 3 9.55 -9999 10.73 1.79 2.97 -9999 0 -9999 -9999 -9999 -9999
2000 3 4 9 -9999 10.82 4.7 2.22 -9999 0 -9999 -9999 -9999 -9999
2000 3 5 9.9 -9999 10.73 1.6 3.02 -9999 0 -9999 -9999 -9999 -9999
2000 3 6 9.74 -9999 5.72 -1.5 1.85 -9999 0 -9999 -9999 -9999 -9999
2000 3 7 10.61 -9999 11.82 -3.61 4.59 -9999 0 -9999 -9999 -9999 -9999
2000 3 8 10.64 -9999 11.82 0.6 3.74 -9999 0 -9999 -9999 -9999 -9999
2000 3 9 10.19 -9999 11.42 3.6 2.8 -9999 0 -9999 -9999 -9999 -9999
2000 3 10 10.34 -9999 14.32 6.2 3.42 -9999 0 -9999 -9999 -9999 -9999
2000 3 11 11.19 -9999 15.43 3.8 4.76 -9999 0 -9999 -9999 -9999 -9999
2000 3 12 10.65 -9999 14.72 6.29 3.6 -9999 0 -9999 -9999 -9999 -9999
2000 3 13 10.83 -9999 13.82 5.49 3.38 -9999 0 -9999 -9999 -9999 -9999
2000 3 14 11.4 -9999 13.32 3.69 3.66 -9999 0 -9999 -9999 -9999 -9999
2000 3 15 5.37 -9999 9.52 6.7 1.04 -9999 2.1 -9999 -9999 -9999 -9999
2000 3 16 8.36 -9999 8.52 2.6 1.88 -9999 9.5 -9999 -9999 -9999 -9999
2000 3 17 12.23 -9999 11.02 0.79 3.33 -9999 0 -9999 -9999 -9999 -9999
2000 3 18 10.03 -9999 8.82 0.2 2.57 -9999 0.2 -9999 -9999 -9999 -9999
2000 3 19 11.74 -9999 6.13 -1.61 2 -9999 0 -9999 -9999 -9999 -9999
2000 3 20 8.76 -9999 4.42 -1.5 1.45 -9999 1.3 -9999 -9999 -9999 -9999
2000 3 21 9.17 -9999 6.52 0.09 1.77 -9999 0.4 -9999 -9999 -9999 -9999
2000 3 22 12.95 -9999 10.13 0.69 2.98 -9999 0 -9999 -9999 -9999 -9999
2000 3 23 14.04 -9999 14.13 0.5 4.89 -9999 0 -9999 -9999 -9999 -9999
2000 3 24 14.21 -9999 16.13 2.4 5.54 -9999 0 -9999 -9999 -9999 -9999
2000 3 25 13.89 -9999 16.52 4.99 5.03 -9999 0 -9999 -9999 -9999 -9999
2000 3 26 13.05 -9999 14.93 6.1 3.78 -9999 0 -9999 -9999 -9999 -9999
2000 3 27 8.6 -9999 11.23 5.7 2.09 -9999 0.6 -9999 -9999 -9999 -9999
