Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	0.094518	-11.741	-5.94	-17.31	0.181703	-3.58083	-9999	4.02327	-9999	-9999	-9999
1	2	0.101322	-4.81521	-2.24	-7.46	0.122995	-3.24583	-9999	4.01912	-9999	-9999	-9999
1	3	0.103788	-6.23542	-3.83	-9.71	0.238343	-2.85646	-9999	4.02192	-9999	-9999	-9999
1	4	0.111186	-5.44583	-5.02	-6.2	0.193197	-2.64854	-9999	4.02729	-9999	-9999	-9999
1	5	0.130968	-6.22729	-5.78	-6.71	0.171909	-2.43104	-9999	4.03633	-9999	-9999	-9999
1	6	0.14814	-4.93896	-3.66	-6.28	0.167447	-2.26437	-9999	4.04625	-9999	-9999	-9999
1	7	0.131598	-4.95167	-4.54	-6.69	0.172858	-2.10542	-9999	4.05235	-9999	-9999	-9999
1	8	0.09639	-7.36812	-6.59	-8.65	0.19565	-2.02083	-9999	4.05875	-9999	-9999	-9999
1	9	0.0941346	-11.3569	-8.72	-13.63	0.185429	-2.04729	-9999	4.06129	-9999	-9999	-9999
1	10	0.105433	-10.8879	-9.27	-12.35	0.204146	-2.18104	-9999	4.05729	-9999	-9999	-9999
1	11	0.135072	-8.45167	-6.52	-9.74	0.198216	-2.18292	-9999	4.05217	-9999	-9999	-9999
1	12	0.2304	-13.0158	-7.77	-17.54	0.231675	-2.11979	-9999	4.04602	-9999	-9999	-9999
1	13	0.117306	-7.68687	1.33	-15.56	0.284758	-2.28542	-9999	4.03781	-9999	-9999	-9999
1	14	0.0486	1.95229	4.13	0.53	0.657294	-2.19479	-9999	4.03696	-9999	-9999	-9999
1	15	0.0641394	4.23479	5.58	3.08	1.67946	-1.89083	-9999	4.04267	-9999	-9999	-9999
1	16	0.232661	1.69792	3.71	-1.01	1.85204	-1.66229	-9999	4.06344	-9999	-9999	-9999
1	17	0.174544	-1.29229	-0.53	-2.34	1.47519	-1.66187	-9999	4.08008	-9999	-9999	-9999
1	18	0.160684	-5.64708	-1.98	-9.8	0.358568	-1.75979	-9999	4.07385	-9999	-9999	-9999
1	19	0.180113	-4.24221	0.03	-7.12	1.05797	-1.84521	-9999	4.06142	-9999	-9999	-9999
1	20	0.330766	-7.2525	-5.55	-12.25	0.727082	-1.95771	-9999	4.05502	-9999	-9999	-9999
1	21	0.321862	-10.6944	-8.32	-14.24	0.270034	-2.23958	-9999	4.03381	-9999	-9999	-9999
1	22	0.156199	-6.84583	-4.54	-9.79	0.483428	-2.45792	-9999	4.01679	-9999	-9999	-9999
1	23	0.121014	-5.93313	-3.31	-10.66	0.436403	-2.39625	-9999	4.01017	-9999	-9999	-9999
1	24	0.391284	-14.2392	-10.85	-19.25	0.247532	-2.35667	-9999	4.00333	-9999	-9999	-9999
1	25	0.404856	-9.44542	-4.32	-16.49	0.189369	-2.62479	-9999	3.99027	-9999	-9999	-9999
1	26	0.266796	-2.04083	-0.85	-3.58	0.106054	-2.50312	-9999	3.9852	-9999	-9999	-9999
1	27	0.296424	-0.487917	0.08	-1.67	0.197372	-2.16042	-9999	3.992	-9999	-9999	-9999
1	28	0.367686	-2.97917	-1.56	-4.73	0.334629	-1.88708	-9999	4.00669	-9999	-9999	-9999
1	29	0.33156	-7.56021	-5.01	-11.63	0.255245	-1.80187	-9999	4.0169	-9999	-9999	-9999
1	30	0.518675	-14.1792	-11.61	-16.5	0.215731	-1.91896	-9999	4.01471	-9999	-9999	-9999
1	31	0.514042	-13.6642	-10.6	-15.71	0.234136	-2.16958	-9999	3.99881	-9999	-9999	-9999
2	1	1.90309	-20.5829	-16.13	-24.21	0.217266	-2.46479	-9999	3.98385	-9999	-9999	-9999
2	2	0.635297	-19.4773	-15.55	-23.04	0.208774	-2.91562	-9999	3.96227	-9999	-9999	-9999
2	3	1.4359	-22.1417	-18	-26.93	0.192433	-3.28458	-9999	3.94169	-9999	-9999	-9999
2	4	0.423619	-19.5533	-16.25	-26.24	0.217463	-3.70417	-9999	3.92852	-9999	-9999	-9999
2	5	0.39078	-16.8031	-11.66	-25.61	0.221265	-3.94708	-9999	3.92075	-9999	-9999	-9999
2	6	0.631944	-17.461	-13.53	-20.75	0.231155	-3.96333	-9999	3.91277	-9999	-9999	-9999
2	7	0.528475	-17.1642	-13.5	-24.06	0.235535	-3.94479	-9999	3.90831	-9999	-9999	-9999
2	8	0.511182	-9.82208	0.31	-21.24	0.259632	-3.96979	-9999	3.90785	-9999	-9999	-9999
2	9	2.53703	-17.1335	-13.15	-20.14	0.249208	-3.83687	-9999	3.9011	-9999	-9999	-9999
2	10	2.7119	-12.8906	-7.08	-16.83	0.233606	-3.81042	-9999	3.89958	-9999	-9999	-9999
2	11	2.6188	-7.80333	-5.38	-11.03	0.307585	-3.87083	-9999	3.90033	-9999	-9999	-9999
2	12	1.07549	-6.77333	-5.63	-8.13	0.371922	-3.80292	-9999	3.89887	-9999	-9999	-9999
2	13	0.895626	-6.555	-5.92	-7.39	0.370938	-3.62896	-9999	3.89579	-9999	-9999	-9999
2	14	0.863334	-0.974167	2.5	-6.2	0.888673	-3.45771	-9999	3.89531	-9999	-9999	-9999
2	15	1.46536	-2.57479	0.23	-5.4	1.03562	-3.25354	-9999	3.8915	-9999	-9999	-9999
2	16	2.12004	-4.33042	-0.99	-7.36	1.10329	-3.12021	-9999	3.89058	-9999	-9999	-9999
2	17	1.26553	-1.77729	0.16	-3.64	0.826539	-3.07125	-9999	3.89008	-9999	-9999	-9999
2	18	2.04856	-2.08208	-0.09	-4.05	1.08661	-2.92854	-9999	3.89019	-9999	-9999	-9999
2	19	1.86005	-2.43458	0.1	-4.26	0.609269	-2.77063	-9999	3.89137	-9999	-9999	-9999
2	20	1.59462	-10.6106	-2.59	-15.33	0.255022	-2.63792	-9999	3.89119	-9999	-9999	-9999
2	21	2.65633	-18.0625	-15.45	-25.5	0.276471	-2.53792	-9999	3.89235	-9999	-9999	-9999
2	22	5.18273	-25.8552	-19.08	-30.69	0.178696	-2.52417	-9999	3.89656	-9999	-9999	-9999
2	23	5.27249	-25.8217	-18.84	-31.62	0.188158	-2.60521	-9999	3.89533	-9999	-9999	-9999
2	24	3.83061	-23.3573	-17.02	-29.69	0.209181	-2.76479	-9999	3.89233	-9999	-9999	-9999
2	25	4.36873	-18.2748	-13.75	-23.26	0.222695	-2.965	-9999	3.88735	-9999	-9999	-9999
2	26	4.12183	-13.5058	-11.42	-18.16	0.313352	-3.17188	-9999	3.88358	-9999	-9999	-9999
2	27	3.77935	-18.2342	-14.8	-22.39	0.255768	-3.30646	-9999	3.87952	-9999	-9999	-9999
2	28	4.28464	-22.3652	-17.56	-26.83	0.205052	-3.42021	-9999	3.87494	-9999	-9999	-9999
3	1	3.69117	-24.746	-17.6	-29.89	0.211114	-3.56542	-9999	3.87183	-9999	-9999	-9999
3	2	2.92221	-25.25	-17.46	-33.88	0.189099	-3.76	-9999	3.869	-9999	-9999	-9999
3	3	2.01277	-13.1542	-11.34	-16.7	0.275383	-3.97229	-9999	3.86762	-9999	-9999	-9999
3	4	3.25444	-15.269	-13.38	-21.55	0.274405	-4.09042	-9999	3.86319	-9999	-9999	-9999
3	5	4.60465	-15.851	-4.64	-28.64	0.391663	-4.10583	-9999	3.86227	-9999	-9999	-9999
3	6	4.93248	-11.4252	-6.01	-18.61	0.458256	-4.14896	-9999	3.86029	-9999	-9999	-9999
3	7	4.66735	-8.35333	-3.38	-13.7	0.577194	-4.20604	-9999	3.85806	-9999	-9999	-9999
3	8	7.24238	-11.2515	-4.64	-19.26	0.544681	-4.20875	-9999	3.85654	-9999	-9999	-9999
3	9	4.78426	-8.325	-5.45	-11.86	0.528153	-4.21917	-9999	3.85338	-9999	-9999	-9999
3	10	2.25205	-5.27042	-2.99	-7.1	0.453796	-4.2	-9999	3.85108	-9999	-9999	-9999
3	11	3.40768	-7.63979	-4.74	-10.19	0.319932	-4.09521	-9999	3.84708	-9999	-9999	-9999
3	12	3.27863	-4.14208	-0.89	-9.4	0.878542	-3.96729	-9999	3.84646	-9999	-9999	-9999
3	13	6.87038	-7.63438	-3.41	-14.72	0.636018	-3.85146	-9999	3.84652	-9999	-9999	-9999
3	14	4.70265	-11.6475	-7	-17.01	0.498462	-3.76604	-9999	3.84654	-9999	-9999	-9999
3	15	7.6414	-9.91979	-4.74	-14.76	0.597552	-3.7675	-9999	3.84542	-9999	-9999	-9999
