Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	2.5014	-9.91	-8.262	-11.726	88.498	-9999	0	-9999	-9999	-9999	1.9453
1901	1	2	2.288	-9.745	-8.398	-11.965	85.878	-9999	0	-9999	-9999	-9999	2.1472
1901	1	3	2.768	-8.256	-7.237	-10.905	84.597	-9999	0	-9999	-9999	-9999	2.2875
1901	1	4	2.6481	-8.314	-6.504	-11.051	88.503	-9999	0	-9999	-9999	-9999	1.9449
1901	1	5	2.7719	-6.014	-3.446	-8.326	81.334	-9999	1.5357	-9999	-9999	-9999	2.768
1901	1	6	0.26395	-6.598	-5.301	-7.111	88.378	-9999	7.7261	-9999	-9999	-9999	2.1621
1901	1	7	1.5892	-5.747	-4.648	-7.642	90.144	-9999	8.9408	-9999	-9999	-9999	2.6148
1901	1	8	1.5502	-4.336	-2.68	-7.836	85.931	-9999	4.9832	-9999	-9999	-9999	2.6561
1901	1	9	2.0831	-5.791	-4.436	-9.155	84.041	-9999	4.2336	-9999	-9999	-9999	2.4345
1901	1	10	0.98729	-6.562	-4.697	-7.638	89.352	-9999	0.96205	-9999	-9999	-9999	2.4498
1901	1	11	0.43476	-3.672	0.367	-6.778	84.663	-9999	2.2291	-9999	-9999	-9999	4.7234
1901	1	12	1.9252	-3.429	-1.489	-6.047	78.79	-9999	0	-9999	-9999	-9999	3.5693
1901	1	13	1.6897	-2.007	1.269	-4.93	79.509	-9999	0	-9999	-9999	-9999	3.4835
1901	1	14	1.0364	-1.845	0.077997	-3.793	89.809	-9999	2.3125	-9999	-9999	-9999	3.6068
1901	1	15	0.19129	1.509	3.242	-0.73701	88.978	-9999	6.9895	-9999	-9999	-9999	4.8335
1901	1	16	1.7662	-1.26	2.46	-5.305	77.975	-9999	6.0462	-9999	-9999	-9999	4.4576
1901	1	17	0.36988	-3.181	0.26901	-5.462	80.601	-9999	12.875	-9999	-9999	-9999	7.9916
1901	1	18	0.29886	-1.841	-0.266	-4.723	95.469	-9999	8.4791	-9999	-9999	-9999	4.0508
1901	1	19	0.45291	-0.417	-0.19999	-2.37	86.394	-9999	4.6286	-9999	-9999	-9999	4.9817
1901	1	20	1.8948	-2.157	-1.322	-6.612	75.9	-9999	0.34443	-9999	-9999	-9999	3.1688
1901	1	21	3.2254	-5.785	-3.892	-11.418	79.623	-9999	0	-9999	-9999	-9999	1.369
1901	1	22	2.0584	-7.956	-7.563	-9.204	85.598	-9999	1.3559	-9999	-9999	-9999	1.9852
1901	1	23	1.2263	-5.133	-0.93	-8.526	95.955	-9999	1.8233	-9999	-9999	-9999	1.7114
1901	1	24	0.77492	-2.218	-1.551	-3.5	81.992	-9999	3.3789	-9999	-9999	-9999	3.6933
1901	1	25	2.1649	-3.185	-2.112	-4.874	82.479	-9999	0.555	-9999	-9999	-9999	3.0892
1901	1	26	3.291	-4.903	-2.965	-7.884	81.089	-9999	0	-9999	-9999	-9999	2.3126
1901	1	27	0.8462	-5.35	-1.478	-8.545	87.605	-9999	1.5325	-9999	-9999	-9999	2.5841
1901	1	28	2.3022	-5.475	-2.314	-8.967	81.36	-9999	0.37677	-9999	-9999	-9999	3.5485
1901	1	29	0.54812	-3.374	-2.778	-4.176	85.376	-9999	9.973	-9999	-9999	-9999	4.0229
1901	1	30	4.7695	-5.524	-2.635	-9.017	80.94	-9999	0	-9999	-9999	-9999	2.475
1901	1	31	3.6609	-4.21	-1.012	-6.805	87.328	-9999	0.97596	-9999	-9999	-9999	2.8682
1901	2	1	3.716	-1.851	1.248	-4.803	83.002	-9999	0	-9999	-9999	-9999	2.7233
1901	2	2	3.1934	-1.482	0.27899	-5.079	80.184	-9999	0	-9999	-9999	-9999	3.011
1901	2	3	3.1083	-4.529	-1.604	-7.977	84.664	-9999	0.82396	-9999	-9999	-9999	1.6606
1901	2	4	4.6181	-6.252	-2.192	-9.179	84.506	-9999	0	-9999	-9999	-9999	1.5312
1901	2	5	1.4609	-5.795	-3.387	-8.367	89.995	-9999	1.1853	-9999	-9999	-9999	2.5476
1901	2	6	0.43952	-5.496	-4.366	-7.158	91.082	-9999	15.456	-9999	-9999	-9999	2.2946
1901	2	7	1.7332	-6.11	-5.117	-7.055	89.699	-9999	5.5111	-9999	-9999	-9999	4.059
1901	2	8	2.7104	-5.439	-4.194	-6.516	82.593	-9999	10.152	-9999	-9999	-9999	4.0303
1901	2	9	0.21514	-0.361	2.621	-6.564	92.236	-9999	15.71	-9999	-9999	-9999	5.2396
1901	2	10	2.0878	0.69799	2.867	-1.1	76.617	-9999	1.2905	-9999	-9999	-9999	4.6882
1901	2	11	4.5465	3.266	5.997	0.954	58.785	-9999	0	-9999	-9999	-9999	4.2618
1901	2	12	3.7001	2.229	4.861	-1.193	69.93	-9999	0.9481	-9999	-9999	-9999	4.5075
1901	2	13	3.9084	-2.43	1.671	-8.771	90.207	-9999	0	-9999	-9999	-9999	1.5033
1901	2	14	2.713	-3.475	0.35299	-7.861	91.847	-9999	0	-9999	-9999	-9999	1.9879
1901	2	15	6.2078	-4.799	-0.44901	-9.684	80.624	-9999	0	-9999	-9999	-9999	2.5823
1901	2	16	6.3659	-2.934	1.13	-6.25	83.452	-9999	0	-9999	-9999	-9999	2.1878
1901	2	17	6.3364	-3.921	0.29101	-6.362	94.926	-9999	0	-9999	-9999	-9999	1.8145
1901	2	18	3.184	-3.619	-1.592	-4.303	91.133	-9999	1.0034	-9999	-9999	-9999	1.8152
1901	2	19	2.2423	-4.937	-4.02	-6.378	88.875	-9999	1.763	-9999	-9999	-9999	3.7684
1901	2	20	6.6069	-7.695	-4.548	-10.191	80.289	-9999	0	-9999	-9999	-9999	2.6139
1901	2	21	3.4185	-7.192	-3.263	-10.09	88.795	-9999	0.76865	-9999	-9999	-9999	2.7645
1901	2	22	1.3549	-3.36	-1.628	-5.041	96.895	-9999	3.417	-9999	-9999	-9999	2.4485
1901	2	23	2.5104	-3.423	-2.452	-5.094	87.6	-9999	7.132	-9999	-9999	-9999	3.1326
1901	2	24	6.0192	-5.879	-2.777	-8.467	85.649	-9999	0	-9999	-9999	-9999	2.1666
1901	2	25	5.3142	-6.237	-3.962	-7.703	79.83	-9999	0	-9999	-9999	-9999	1.6562
1901	2	26	6.7211	-7.207	-5.751	-9.993	75.312	-9999	0	-9999	-9999	-9999	2.4297
1901	2	27	8.1166	-7.286	-4.214	-10.721	70.868	-9999	0	-9999	-9999	-9999	3.5415
1901	2	28	9.1937	-6.592	-2.945	-10.196	73.023	-9999	0	-9999	-9999	-9999	3.4315
1901	3	1	7.9237	-2.806	1.274	-6.062	74.46	-9999	0	-9999	-9999	-9999	2.6046
1901	3	2	3.685	-1.856	-0.30701	-2.934	79.449	-9999	0.7946	-9999	-9999	-9999	3.0588
1901	3	3	5.3482	-1.636	1.182	-3.409	78.243	-9999	0.37031	-9999	-9999	-9999	2.1379
1901	3	4	7.6715	-1.712	1.746	-4.189	80.871	-9999	0.74449	-9999	-9999	-9999	3.6149
1901	3	5	2.4353	-0.379	2.785	-2.104	83.441	-9999	7.2627	-9999	-9999	-9999	2.6192
1901	3	6	2.8748	-1.724	1.386	-4.284	90.233	-9999	1.7852	-9999	-9999	-9999	1.6194
1901	3	7	6.6301	-2.378	-0.159	-3.895	75.32	-9999	0.17606	-9999	-9999	-9999	2.3697
1901	3	8	6.041	-3.675	-0.827	-4.755	81.578	-9999	0.66014	-9999	-9999	-9999	3.1586
1901	3	9	7.4129	-3.5	-0.728	-5.006	71.469	-9999	0	-9999	-9999	-9999	3.0892
