Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	2.9453	-12.85	-9.3462	-16.497	100	-9999	0.0019785	-9999	-9999	-9999	4.2128
1901	1	2	2.5828	-14.412	-10.533	-16.259	100	-9999	0.00098132	-9999	-9999	-9999	4.1307
1901	1	3	2.9197	-14.759	-7.7666	-20.073	100	-9999	0.084932	-9999	-9999	-9999	2.0888
1901	1	4	2.4309	-10.189	-5.6371	-13.403	100	-9999	0.29553	-9999	-9999	-9999	3.9007
1901	1	5	3.0354	-11.694	-5.9034	-15.081	100	-9999	0	-9999	-9999	-9999	4.238
1901	1	6	3.0143	-12.312	-10.324	-14.79	100	-9999	0.42849	-9999	-9999	-9999	6.0794
1901	1	7	3.0396	-11.911	-9.882	-14.179	100	-9999	0.47783	-9999	-9999	-9999	4.7109
1901	1	8	2.8139	-9.4742	-5.671	-13.076	100	-9999	0.0738	-9999	-9999	-9999	4.722
1901	1	9	1.5328	-3.5014	0.33093	-9.7311	100	-9999	2.8303	-9999	-9999	-9999	4.4163
1901	1	10	1.9884	-1.2079	0.91467	-2.9182	96.272	-9999	0.5128	-9999	-9999	-9999	2.6628
1901	1	11	2.9984	-2.6698	1.6539	-4.6089	98.19	-9999	0	-9999	-9999	-9999	2.2436
1901	1	12	0.77783	-2.615	0.3793	-4.6496	99.838	-9999	3.2886	-9999	-9999	-9999	1.9525
1901	1	13	3.3683	-4.5104	-0.21302	-8.0451	100	-9999	0	-9999	-9999	-9999	2.915
1901	1	14	3.5858	-6.5474	-2.45	-8.7815	100	-9999	0	-9999	-9999	-9999	3.9378
1901	1	15	3.5487	-5.9561	-2.1197	-8.7651	95.191	-9999	0	-9999	-9999	-9999	5.1131
1901	1	16	3.5388	-4.5605	-0.053076	-6.8502	87.293	-9999	0	-9999	-9999	-9999	4.9399
1901	1	17	3.6166	-3.8918	1.6552	-6.0254	92.291	-9999	0	-9999	-9999	-9999	3.7658
1901	1	18	2.965	-3.4407	0.57836	-7.1079	92.367	-9999	1.0643	-9999	-9999	-9999	3.2246
1901	1	19	3.5516	-0.46894	2.2632	-2.342	96.715	-9999	2.9539	-9999	-9999	-9999	5.2466
1901	1	20	3.4731	0.98748	4.3926	-1.1473	90.169	-9999	4.5339	-9999	-9999	-9999	8.0856
1901	1	21	1.4739	1.2095	5.3985	-2.1318	92.798	-9999	16.397	-9999	-9999	-9999	8.87
1901	1	22	0.84547	4.8053	8.3082	-1.3292	95.696	-9999	10.176	-9999	-9999	-9999	7.7432
1901	1	23	3.991	0.73483	4.664	-5.2815	94.859	-9999	6.0924	-9999	-9999	-9999	4.5498
1901	1	24	2.546	-0.74366	3.2074	-4.6721	95.101	-9999	0.17837	-9999	-9999	-9999	3.4825
1901	1	25	2.785	1.1497	4.9316	-3.3596	93.908	-9999	9.4992	-9999	-9999	-9999	7.4651
1901	1	26	2.1997	-1.8201	-0.44169	-3.5977	92.599	-9999	11.221	-9999	-9999	-9999	8.6933
1901	1	27	1.9894	-1.7993	-0.054236	-3.3494	96.467	-9999	29.162	-9999	-9999	-9999	10.411
1901	1	28	3.6404	-3.2487	-1.4019	-6.3773	99.72	-9999	20.408	-9999	-9999	-9999	9.167
1901	1	29	4.4872	-6.0485	-4.3841	-7.8985	100	-9999	8.936	-9999	-9999	-9999	6.8034
1901	1	30	3.8817	-6.5555	-3.9277	-8.9489	100	-9999	1.1116	-9999	-9999	-9999	7.0216
1901	1	31	4.8804	-6.6999	-3.7597	-8.514	100	-9999	0.38217	-9999	-9999	-9999	6.2081
1901	2	1	4.2144	-2.7937	-0.11185	-4.9968	100	-9999	0.11353	-9999	-9999	-9999	4.8476
1901	2	2	4.3705	-5.7837	-1.401	-9.452	100	-9999	0.23992	-9999	-9999	-9999	1.221
1901	2	3	4.8221	-4.6515	-2.0111	-7.2483	100	-9999	0.45768	-9999	-9999	-9999	3.6406
1901	2	4	2.7274	0.52154	1.7985	-0.54142	96.752	-9999	2.6825	-9999	-9999	-9999	5.5112
1901	2	5	2.9048	-0.93937	1.1552	-3.6133	98.172	-9999	2.4496	-9999	-9999	-9999	2.4388
1901	2	6	4.418	-3.1413	0.077539	-6.6261	100	-9999	0.9966	-9999	-9999	-9999	1.5594
1901	2	7	5.0338	-3.7286	-0.92689	-9.8582	100	-9999	4.4142	-9999	-9999	-9999	2.6595
1901	2	8	5.6458	-7.7324	-1.9263	-11.901	100	-9999	0.047335	-9999	-9999	-9999	1.205
1901	2	9	4.8925	-2.0009	0.68502	-4.7128	99.457	-9999	1.0389	-9999	-9999	-9999	4.2704
