Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1996	1	1	1.5316	-0.028601	1.7064	-1.3767	88.986	-9999	0.53619	-9999	-9999	-9999	2.3516
1996	1	2	0.75433	0.77471	3.6345	-1.346	90.349	-9999	4.0242	-9999	-9999	-9999	3.0074
1996	1	3	1.3083	0.22201	1.6255	-0.97947	88.904	-9999	0.20533	-9999	-9999	-9999	2.0797
1996	1	4	1.1	-0.78364	0.40957	-2.2508	85.332	-9999	0.19449	-9999	-9999	-9999	2.3488
1996	1	5	1.0417	-1.4939	-0.16831	-2.9678	88.92	-9999	0.31799	-9999	-9999	-9999	1.0786
1996	1	6	0.74823	-0.46213	0.80755	-2.3381	88.527	-9999	0.42991	-9999	-9999	-9999	2.4715
1996	1	7	1.855	-3.1191	-0.064185	-5.0023	83.592	-9999	7.2142	-9999	-9999	-9999	3.7072
1996	1	8	1.4618	-1.5709	-0.31412	-3.0478	92.438	-9999	0.7037	-9999	-9999	-9999	3.068
1996	1	9	0.86685	0.94036	2.2189	-1.262	86.023	-9999	0.4818	-9999	-9999	-9999	3.3019
1996	1	10	1.555	0.021295	1.6605	-1.1694	82.924	-9999	0.29259	-9999	-9999	-9999	2.8091
1996	1	11	1.4714	-2.0281	-0.36393	-3.961	85.812	-9999	3.6299	-9999	-9999	-9999	3.5428
1996	1	12	1.2322	-0.38026	1.0551	-2.0891	92.853	-9999	2.3634	-9999	-9999	-9999	3.571
1996	1	13	1.754	0.24011	1.5288	-2.231	87.26	-9999	5.4426	-9999	-9999	-9999	3.4683
1996	1	14	1.5292	-1.4853	0.9559	-4.1594	87.848	-9999	6.8584	-9999	-9999	-9999	3.9389
1996	1	15	1.7075	0.17877	1.4805	-1.1268	87.773	-9999	1.8178	-9999	-9999	-9999	3.9267
1996	1	16	0.42703	2.688	4.0271	0.64532	91.798	-9999	5.0042	-9999	-9999	-9999	3.542
1996	1	17	2.5913	4.0606	6.4445	2.5135	84.03	-9999	2.2358	-9999	-9999	-9999	3.8612
1996	1	18	2.3799	3.208	4.8972	1.5957	83.278	-9999	1.4102	-9999	-9999	-9999	3.6662
1996	1	19	2.2444	2.1852	4.7005	-0.52531	87.573	-9999	5.7905	-9999	-9999	-9999	4.0688
1996	1	20	1.7802	2.5117	4.1594	0.7777	84.901	-9999	2.3584	-9999	-9999	-9999	4.4289
1996	1	21	2.7861	-0.50684	2.4423	-2.9534	82.997	-9999	0.4052	-9999	-9999	-9999	2.8556
1996	1	22	0.96635	0.5761	2.4672	-2.3438	90.629	-9999	11.258	-9999	-9999	-9999	2.8475
1996	1	23	1.3331	-1.4232	1.6558	-5.6796	87.92	-9999	6.8586	-9999	-9999	-9999	2.5108
