Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1960	1	1	0.97632	6.2	7.9	3.8	87	-9999	10.4	-9999	-9999	-9999	-9999
1960	1	2	0.10368	5.2	6.6	4.6	95	-9999	3.1	-9999	-9999	-9999	-9999
1960	1	3	0.12096	3.5	4.9	2.9	100	-9999	11.6	-9999	-9999	-9999	-9999
1960	1	4	0.1296	2.8	3.9	1.2	98	-9999	0	-9999	-9999	-9999	-9999
1960	1	5	0.13824	3.8	5.3	2.1	96	-9999	14.8	-9999	-9999	-9999	-9999
1960	1	6	0.39744	1.3	3.2	-0.1	95	-9999	5	-9999	-9999	-9999	-9999
1960	1	7	0.16416	2.7	3.1	1	100	-9999	10.6	-9999	-9999	-9999	-9999
1960	1	8	0.65664	-0.6	2.6	-2.9	93	-9999	1.8	-9999	-9999	-9999	-9999
1960	1	9	1.13184	-7.5	-2.8	-8.9	83	-9999	1.7	-9999	-9999	-9999	-9999
1960	1	10	2.35872	-8.5	-6	-11.1	85	-9999	4	-9999	-9999	-9999	-9999
1960	1	11	0.38016	-7.5	-4.7	-9.1	90	-9999	1.6	-9999	-9999	-9999	-9999
1960	1	12	1.39104	-11	-8.4	-17	89	-9999	1.1	-9999	-9999	-9999	-9999
1960	1	13	0.75168	-13	-10.2	-17.7	90	-9999	5.3	-9999	-9999	-9999	-9999
1960	1	14	0.41472	-9.5	-6.4	-12.9	89	-9999	1.7	-9999	-9999	-9999	-9999
1960	1	15	1.84032	-17.7	-10.6	-22.5	90	-9999	0.9	-9999	-9999	-9999	-9999
1960	1	16	0.32832	-6.6	-5	-18	93	-9999	1.5	-9999	-9999	-9999	-9999
1960	1	17	0.57888	-6.3	-5.1	-7.9	93	-9999	1.1	-9999	-9999	-9999	-9999
1960	1	18	0.37152	-2.4	-1.2	-6.7	90	-9999	1.1	-9999	-9999	-9999	-9999
1960	1	19	0.46656	0.2	1	-1.3	88	-9999	3.2	-9999	-9999	-9999	-9999
1960	1	20	0.49248	-1.4	0.1	-2.1	85	-9999	5	-9999	-9999	-9999	-9999
1960	1	21	0.44928	-2	-1.2	-3	83	-9999	2.8	-9999	-9999	-9999	-9999
1960	1	22	0.5184	1.7	2.8	-2.4	98	-9999	1.2	-9999	-9999	-9999	-9999
1960	1	23	1.27008	3.5	5.5	1.5	88	-9999	1	-9999	-9999	-9999	-9999
1960	1	24	1.5552	5.9	7.9	2.3	82	-9999	0.7	-9999	-9999	-9999	-9999
1960	1	25	0.69984	5.3	7.2	3.1	91	-9999	3.9	-9999	-9999	-9999	-9999
1960	1	26	0.62208	2.5	5.3	0.5	94	-9999	0.5	-9999	-9999	-9999	-9999
1960	1	27	0.65664	2.3	3.6	-0.8	97	-9999	5.6	-9999	-9999	-9999	-9999
1960	1	28	0.76032	4.9	6.5	2.1	90	-9999	1.4	-9999	-9999	-9999	-9999
1960	1	29	0.75168	1.2	5.4	-0.4	87	-9999	4.8	-9999	-9999	-9999	-9999
1960	1	30	0.70848	-2.3	0.4	-3.2	99	-9999	10.4	-9999	-9999	-9999	-9999
