Year,x,y,Age,Species,Management,N,Stool,AvDBH,Height,Wf,Wrc,Wrf,Ws,Wbb,Wres,Lai
1967,0,0,120,Fagussylvatica,T,245,0,36.4828571428571,24.6319591836735,0,0,0,0,0,0,0
1968,0,0,121,Fagussylvatica,T,244,0,36.9659836065574,24.7345491803279,0,0,0,0,0,0,0
1969,0,0,122,Fagussylvatica,T,243,0,37.462962962963,25.6537037037037,0,0,0,0,0,0,0
1970,0,0,123,Fagussylvatica,T,241,0,37.9348547717842,25.7552697095436,0,0,0,0,0,0,0
1971,0,0,124,Fagussylvatica,T,241,0,38.1224066390041,26.536265560166,0,0,0,0,0,0,0
1972,0,0,125,Fagussylvatica,T,239,0,38.5326359832636,26.6913807531381,0,0,0,0,0,0,0
1973,0,0,126,Fagussylvatica,T,232,0,39.0435344827586,26.9539655172414,0,0,0,0,0,0,0
1977,0,0,130,Fagussylvatica,T,231,0,40.0748917748918,27.1678787878788,0,0,0,0,0,0,0
1980,0,0,134,Fagussylvatica,T,226,0,41.203982300885,27.6886725663717,0,0,0,0,0,0,0
1985,0,0,138,Fagussylvatica,T,223,0,42.2659192825112,28.197802690583,0,0,0,0,0,0,0
1990,0,0,144,Fagussylvatica,T,217,0,43.8253456221198,28.4559447004608,0,0,0,0,0,0,0
1996,0,0,149,Fagussylvatica,T,212,0,44.9891509433962,29.3370754716981,0,0,0,0,0,0,0
2000,0,0,153,Fagussylvatica,T,199,0,45.6492462311558,29.6733668341709,0,0,0,0,0,0,0
2005,0,0,158,Fagussylvatica,T,164,0,45.7817073170732,28.4587804878049,0,0,0,0,0,0,0
2009,0,0,163,Fagussylvatica,T,140,0,47.1521428571429,29.6524285714286,0,0,0,0,0,0,0
2014,0,0,168,Fagussylvatica,T,130,0,48.8492307692308,30.2275384615385,0,0,0,0,0,0,0
