Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	1.8263	-3.6102	-1.0652	-7.6921	96.92	-9999	8.1092	-9999	-9999	-9999	3.8784
1901	1	2	2.4804	-7.6162	-5.3361	-9.787	93.578	-9999	0	-9999	-9999	-9999	1.9732
1901	1	3	2.7501	-9.8503	-8.0851	-12.377	87.845	-9999	0	-9999	-9999	-9999	3.8169
1901	1	4	2.4888	-7.4957	-2.9483	-13.843	90.263	-9999	0	-9999	-9999	-9999	5.6415
1901	1	5	1.8218	-3.2227	2.2826	-8.9164	97.351	-9999	9.4541	-9999	-9999	-9999	6.803
1901	1	6	2.3957	-2.5934	0.31832	-4.4005	95.234	-9999	7.6146	-9999	-9999	-9999	6.9919
1901	1	7	2.2756	-6.2795	1.0443	-10.705	95.364	-9999	4.5288	-9999	-9999	-9999	7.0116
1901	1	8	2.0465	-6.554	-0.69718	-11.012	96.866	-9999	1.6274	-9999	-9999	-9999	4.4599
1901	1	9	1.6891	-2.0812	0.13787	-3.4763	98.011	-9999	4.3932	-9999	-9999	-9999	8.5982
1901	1	10	1.6478	-2.7239	-1.2461	-5.3366	95.135	-9999	3.223	-9999	-9999	-9999	7.6782
1901	1	11	1.8831	-3.3189	-0.53181	-6.2514	96.762	-9999	0	-9999	-9999	-9999	6.1157
1901	1	12	2.1563	-2.6523	-0.37394	-6.3263	97.199	-9999	0	-9999	-9999	-9999	3.8454
1901	1	13	2.3036	-4.9713	-2.631	-7.6926	99.699	-9999	0	-9999	-9999	-9999	3.3813
1901	1	14	2.42	-4.7109	-2.3091	-8.0731	97.631	-9999	1.2239	-9999	-9999	-9999	2.8517
1901	1	15	2.6009	-6.2113	-3.1709	-9.254	98.879	-9999	0	-9999	-9999	-9999	2.2086
1901	1	16	1.6047	-3.6903	-0.89286	-8.4764	98.597	-9999	2.998	-9999	-9999	-9999	3.471
1901	1	17	1.8506	-3.6632	-1.9565	-5.5324	97.688	-9999	2.6795	-9999	-9999	-9999	4.7066
1901	1	18	3.0508	-2.7788	-1.0221	-6.1404	91.892	-9999	3.3281	-9999	-9999	-9999	6.3861
1901	1	19	2.5396	-4.0597	-0.50141	-8.0582	97.916	-9999	1.7463	-9999	-9999	-9999	7.8656
1901	1	20	2.249	-5.9382	-4.1458	-7.6686	95.032	-9999	0	-9999	-9999	-9999	5.3861
1901	1	21	2.7896	-7.7214	-5.7976	-9.5677	92.629	-9999	0	-9999	-9999	-9999	4.6838
1901	1	22	2.3751	-6.3605	-3.5771	-9.3356	93.908	-9999	0	-9999	-9999	-9999	5.4302
1901	1	23	3.3905	-8.8082	-6.3336	-11.717	92.369	-9999	0	-9999	-9999	-9999	3.9285
1901	1	24	2.5808	-7.7004	-4.4654	-12.817	92.573	-9999	0	-9999	-9999	-9999	3.4918
1901	1	25	3.7825	-8.6419	-6.069	-10.903	89.51	-9999	0.94093	-9999	-9999	-9999	3.238
1901	1	26	2.9494	-5.0289	0.52673	-12.924	93.638	-9999	0	-9999	-9999	-9999	6.068
1901	1	27	3.2791	-1.5857	1.0561	-3.93	95.376	-9999	0	-9999	-9999	-9999	4.6194
1901	1	28	3.6941	-1.399	0.93725	-3.3568	89.903	-9999	0	-9999	-9999	-9999	5.2521
1901	1	29	4.1546	-4.3096	-1.1422	-7.353	93.514	-9999	0	-9999	-9999	-9999	3.2982
1901	1	30	4.0774	-3.8676	0.12963	-8.1174	99.112	-9999	0.032984	-9999	-9999	-9999	2.9153
1901	1	31	4.1844	-5.2445	-0.36152	-11.786	98.243	-9999	0	-9999	-9999	-9999	1.7573
1901	2	1	4.1779	-6.8368	-2.2779	-11.789	96.557	-9999	0	-9999	-9999	-9999	2.8883
1901	2	2	3.8474	-4.0031	-1.4422	-8.175	93.441	-9999	0	-9999	-9999	-9999	5.652
1901	2	3	4.0015	-2.7706	-1.4815	-5.0168	94.664	-9999	2.9902	-9999	-9999	-9999	7.3719
1901	2	4	4.0735	-4.5545	-2.5657	-7.1419	92.888	-9999	0.77666	-9999	-9999	-9999	7.0489
1901	2	5	3.2196	-3.1418	-1.9897	-5.1117	88.79	-9999	6.1996	-9999	-9999	-9999	10.722
1901	2	6	4.7817	-8.1907	-5.2653	-10.509	91.744	-9999	0	-9999	-9999	-9999	4.5305
