Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1996	1	1	1.5962	-2.5742	-1.2088	-4.052	98.905	-9999	0	-9999	-9999	-9999	0.7543
1996	1	2	0.95262	1.3718	3.9248	-2.3306	94.865	-9999	3.0569	-9999	-9999	-9999	3.0795
1996	1	3	0.73185	4.4482	6.324	2.8088	86.48	-9999	1.8467	-9999	-9999	-9999	4.2227
1996	1	4	1.3423	3.1413	5.7928	0.70535	89.39	-9999	2.6262	-9999	-9999	-9999	3.2653
1996	1	5	0.70212	4.5034	6.2208	1.6953	90.095	-9999	7.5984	-9999	-9999	-9999	3.4839
1996	1	6	1.2693	1.2791	4.9058	-1.4746	76.485	-9999	3.9195	-9999	-9999	-9999	4.1538
1996	1	7	2.1463	-0.10947	2.3163	-1.8841	82.79	-9999	0	-9999	-9999	-9999	3.1618
1996	1	8	0.69143	-1.0541	0.11425	-2.5245	91.56	-9999	3.8635	-9999	-9999	-9999	1.0984
1996	1	9	1.1606	-6.6787	-1.5471	-13.48	86.675	-9999	2.5879	-9999	-9999	-9999	3.175
1996	1	10	3.1007	-14.854	-11.923	-18.039	90.075	-9999	0	-9999	-9999	-9999	1.0275
1996	1	11	2.8409	-13.302	-9.1763	-17.977	91.355	-9999	0	-9999	-9999	-9999	1.6519
1996	1	12	1.8089	-5.9578	-1.9751	-9.4193	95.39	-9999	0	-9999	-9999	-9999	2.0909
1996	1	13	1.6662	-4.569	-2.1767	-7.9132	88.5	-9999	0	-9999	-9999	-9999	4.1784
1996	1	14	0.93668	-2.6681	-1.8274	-3.7663	83.12	-9999	4.5231	-9999	-9999	-9999	5.5193
1996	1	15	1.4887	-0.20167	0.88146	-1.8354	89.585	-9999	2.0902	-9999	-9999	-9999	3.7853
1996	1	16	1.6616	0.37832	1.3252	-1.0249	89.185	-9999	3.5928	-9999	-9999	-9999	4.212
1996	1	17	1.1533	-1.0188	0.19674	-2.7964	96.79	-9999	3.6456	-9999	-9999	-9999	0.43902
1996	1	18	2.3185	-2.684	-0.71311	-5.1658	97.695	-9999	0	-9999	-9999	-9999	1.2091
1996	1	19	2.5403	-1.8696	0.44232	-5.1609	97.73	-9999	0	-9999	-9999	-9999	1.8409
1996	1	20	2.1608	-1.6433	0.19973	-3.473	93.515	-9999	0	-9999	-9999	-9999	3.4345
1996	1	21	1.4362	-0.5138	1.0488	-3.5552	95.485	-9999	0	-9999	-9999	-9999	2.0224
1996	1	22	3.3647	-3.8343	-0.31443	-6.0234	90.28	-9999	0	-9999	-9999	-9999	1.9136
1996	1	23	3.6577	-4.1563	-0.061591	-6.9068	92.685	-9999	0	-9999	-9999	-9999	1.6715
1996	1	24	0.88531	0.31686	5.0369	-5.0208	88.955	-9999	3.7448	-9999	-9999	-9999	4.0199
1996	1	25	0.46567	6.7963	7.778	5.2656	87.04	-9999	11.946	-9999	-9999	-9999	7.4422
1996	1	26	0.59927	7.6693	8.4919	5.9197	92.33	-9999	2.5878	-9999	-9999	-9999	4.2252
1996	1	27	1.2441	3.964	5.4757	2.9905	96.14	-9999	0	-9999	-9999	-9999	2.1094
1996	1	28	1.2899	3.4331	4.6159	2.2346	93.72	-9999	0	-9999	-9999	-9999	2.5755
1996	1	29	1.7424	3.4961	4.9802	2.0034	89.695	-9999	0	-9999	-9999	-9999	3.2094
1996	1	30	1.3044	4.3358	5.8643	2.7645	85.145	-9999	3.5619	-9999	-9999	-9999	3.6006
1996	1	31	0.86642	5.1717	6.7446	3.5224	80.595	-9999	6.5201	-9999	-9999	-9999	4.0412
1996	2	1	0.9167	6.492	7.9658	3.7583	79.02	-9999	9.7827	-9999	-9999	-9999	6.2612
1996	2	2	4.5456	2.0901	3.8159	0.34182	74.135	-9999	0	-9999	-9999	-9999	5.014
1996	2	3	2.7678	2.9293	4.8698	1.7072	85.405	-9999	1.7056	-9999	-9999	-9999	3.7207
1996	2	4	0.71502	4.9077	7.5946	2.7375	92.345	-9999	7.8395	-9999	-9999	-9999	4.3752
1996	2	5	1.4572	9.4206	10.313	7.5886	93.365	-9999	2.5378	-9999	-9999	-9999	3.2035
1996	2	6	2.5118	6.4843	8.8675	3.2733	90.03	-9999	0	-9999	-9999	-9999	3.0296
1996	2	7	4.2043	2.4764	5.7953	-1.0396	91.575	-9999	0	-9999	-9999	-9999	2.1655
1996	2	8	4.784	2.3632	5.9828	-1.3495	88.525	-9999	0	-9999	-9999	-9999	3.5405
1996	2	9	5.8778	2.7128	5.646	-0.68314	78.09	-9999	0	-9999	-9999	-9999	3.0182
1996	2	10	1.7716	2.4954	7.1173	-0.87144	86.22	-9999	7.4719	-9999	-9999	-9999	5.4248
1996	2	11	1.5039	4.2822	7.7608	0.17306	87.37	-9999	7.4529	-9999	-9999	-9999	4.1774
1996	2	12	1.3814	-0.22297	1.9357	-4.1077	90.25	-9999	8.2748	-9999	-9999	-9999	1.5272
1996	2	13	5.2249	-1.6187	2.0185	-5.3192	84.06	-9999	2.1647	-9999	-9999	-9999	2.6219
1996	2	14	4.6914	-0.75681	1.1114	-2.2163	82.445	-9999	4.1171	-9999	-9999	-9999	3.2142
1996	2	15	4.4404	-3.0292	-0.89408	-6.5843	86.86	-9999	4.5445	-9999	-9999	-9999	1.023
1996	2	16	0.71864	0.55392	6.4214	-5.6581	89.34	-9999	9.3726	-9999	-9999	-9999	2.7125
1996	2	17	5.8448	0.19641	2.0315	-1.2805	58.895	-9999	0	-9999	-9999	-9999	6.6122
1996	2	18	2.1868	0.67431	1.9054	-0.8389	80.17	-9999	5.6506	-9999	-9999	-9999	5.6889
1996	2	19	4.578	1.9529	4.685	0.55532	82.845	-9999	2.0763	-9999	-9999	-9999	4.1651
1996	2	20	5.6885	2.6732	5.8943	-1.5169	87.535	-9999	0	-9999	-9999	-9999	3.8641
1996	2	21	4.3654	2.6867	5.568	-0.63328	71.37	-9999	6.4138	-9999	-9999	-9999	5.9539
1996	2	22	6.7021	0.58651	4.4556	-1.462	72.07	-9999	0	-9999	-9999	-9999	2.677
1996	2	23	0.56672	5.2277	8.9636	0.20095	89.01	-9999	12.715	-9999	-9999	-9999	4.0523
1996	2	24	3.8982	1.7438	4.7793	-0.012427	66.575	-9999	0	-9999	-9999	-9999	5.6415
1996	2	25	3.392	0.60012	2.6464	-1.3808	81.71	-9999	2.1932	-9999	-9999	-9999	4.4621
1996	2	26	5.951	1.2305	5.6247	-2.944	85.505	-9999	0	-9999	-9999	-9999	2.1494
1996	2	27	5.4849	-1.0142	3.6217	-4.5471	84.29	-9999	0	-9999	-9999	-9999	0.44501
1996	2	28	7.7508	-1.0345	3.449	-4.8541	83.645	-9999	0	-9999	-9999	-9999	1.1794
1996	2	29	6.3865	-0.55744	2.7926	-3.0024	82.7	-9999	0	-9999	-9999	-9999	1.3242
1996	3	1	5.1638	-0.39579	3.3541	-4.2646	85.53	-9999	2.5276	-9999	-9999	-9999	3.1358
1996	3	2	1.6816	1.9153	3.1909	0.50646	93.125	-9999	4.9361	-9999	-9999	-9999	2.2421
1996	3	3	8.3171	2.2387	6.7209	-1.2992	82.81	-9999	0	-9999	-9999	-9999	1.1918
1996	3	4	6.6091	4.0264	7.7286	0.77969	74.315	-9999	0	-9999	-9999	-9999	3.3373
1996	3	5	9.0558	4.7289	8.3321	0.79611	78.085	-9999	0	-9999	-9999	-9999	1.4701
1996	3	6	8.4932	3.2801	9.4605	-0.82679	82.345	-9999	0	-9999	-9999	-9999	2.0478
1996	3	7	8.5454	2.8846	9.397	-1.4957	89.185	-9999	0	-9999	-9999	-9999	1.7824
1996	3	8	8.5534	3.2569	10.72	-1.1565	91.335	-9999	0	-9999	-9999	-9999	1.1741
1996	3	9	8.1482	5.227	11.984	0.55383	87.955	-9999	0	-9999	-9999	-9999	1.168
1996	3	10	3.3909	4.275	6.4933	1.6693	90.56	-9999	3.9846	-9999	-9999	-9999	1.4481
1996	3	11	5.3953	1.1379	3.2219	-0.43458	84.245	-9999	7.0771	-9999	-9999	-9999	3.0592
1996	3	12	2.5334	0.85589	2.9471	-0.43049	94.59	-9999	11.634	-9999	-9999	-9999	3.3799
1996	3	13	3.3422	4.0313	6.7217	1.8481	94.04	-9999	5.3476	-9999	-9999	-9999	2.6006
1996	3	14	7.242	6.8325	9.8832	4.3769	91.07	-9999	1.818	-9999	-9999	-9999	1.7107
1996	3	15	3.1039	6.3257	8.2968	5.0295	93.335	-9999	1.741	-9999	-9999	-9999	0.66871
1996	3	16	6.6993	6.2296	9.6695	3.3013	88.77	-9999	1.8777	-9999	-9999	-9999	1.3152
