Year,x,y,Age,Species,Management,N,Stool,AvDBH,Height,Wf,Wrc,Wrf,Ws,Wbb,Wres,Lai
1967,0,0,85,Piceaabies,T,595,0,30.1452100840336,23.8525042016807,0,0,0,0,0,0,-9999
1968,0,0,86,Piceaabies,T,595,0,30.4791596638655,24.2969411764706,0,0,0,0,0,0,-9999
1969,0,0,87,Piceaabies,T,595,0,30.783025210084,24.582487394958,0,0,0,0,0,0,-9999
1970,0,0,88,Piceaabies,T,565,0,31.4853097345133,25.0994690265487,0,0,0,0,0,0,-9999
1971,0,0,89,Piceaabies,T,564,0,31.6735815602837,25.334024822695,0,0,0,0,0,0,-9999
1972,0,0,90,Piceaabies,T,563,0,31.9206039076377,25.4086500888099,0,0,0,0,0,0,-9999
1973,0,0,91,Piceaabies,T,545,0,32.4148623853211,25.5415779816514,0,0,0,0,0,0,-9999
1977,0,0,95,Piceaabies,T,539,0,33.2244897959184,25.7781818181818,0,0,0,0,0,0,-9999
1980,0,0,98,Piceaabies,T,534,0,33.7724719101124,26.3317602996255,0,0,0,0,0,0,-9999
1981,0,0,99,Piceaabies,T,483,0,34.9089026915114,26.208364389234,0,0,0,0,0,0,-9999
1985,0,0,103,Piceaabies,T,473,0,35.9365750528541,27.3324312896406,0,0,0,0,0,0,-9999
1990,0,0,108,Piceaabies,T,461,0,37.1377440347072,28.4972234273319,0,0,0,0,0,0,-9999
1996,0,0,114,Piceaabies,T,456,0,38.5559210526316,29.8823026315789,0,0,0,0,0,0,-9999
2000,0,0,118,Piceaabies,T,447,0,39.8941834451902,30.3214988814318,0,0,0,0,0,0,-9999
2005,0,0,123,Piceaabies,T,426,0,41.0694835680751,31.4485680751174,0,0,0,0,0,0,-9999
2010,0,0,128,Piceaabies,T,300,0,44.471,32.4064,0,0,0,0,0,0,-9999
2014,0,0,133,Piceaabies,T,290,0,45.8751724137931,32.8445862068966,0,0,0,0,0,0,-9999
