Year,x,y,Age,Species,Management,N,Stool,AvDBH,Height,Lai
1967,0,0,85,Piceaabies,T,595,0,30.14,23.85,-9999
1968,0,0,86,Piceaabies,T,595,0,30.47,24.29,-9999
1969,0,0,87,Piceaabies,T,595,0,30.78,24.58,-9999
1970,0,0,88,Piceaabies,T,565,0,31.48,25.09,-9999
1971,0,0,89,Piceaabies,T,564,0,31.67,25.33,-9999
1972,0,0,90,Piceaabies,T,563,0,31.92,25.40,-9999
1973,0,0,91,Piceaabies,T,545,0,32.41,25.54,-9999
1977,0,0,95,Piceaabies,T,539,0,33.22,25.77,-9999
1980,0,0,98,Piceaabies,T,534,0,33.77,26.33,-9999
1981,0,0,99,Piceaabies,T,483,0,34.90,26.20,-9999
1985,0,0,103,Piceaabies,T,473,0,35.93,27.33,-9999
1990,0,0,108,Piceaabies,T,461,0,37.13,28.49,-9999
1996,0,0,114,Piceaabies,T,456,0,38.55,29.88,-9999
2000,0,0,118,Piceaabies,T,447,0,39.89,30.32,-9999
2005,0,0,123,Piceaabies,T,426,0,41.06,31.44,-9999
2010,0,0,128,Piceaabies,T,300,0,44.47,32.40,-9999
2014,0,0,133,Piceaabies,T,290,0,45.87,32.84,-9999
