year,neeCutRef_gCm2d1,neeVutRef_gCm2d1,neeCutRef_qc,neeVutRef_qc,neeCutRefJointunc_gCm2d1,neeVutRefJointunc_gCm2d1,recoNtVutRef_gCm2d1,recoNtVutSe_gCm2d1,recoNtCutRef_gCm2d1,recoNtCutSe_gCm2d1,recoDtVutRef_gCm2d1,recoDtVutSe_gCm2d1,recoDtCutRef_gCm2d1,recoDtCutSe_gCm2d1,gppNtVutRef_gCm2d1,gppNtVutSe_gCm2d1,gppNtCutRef_gCm2d1,gppNtCutSe_gCm2d1,gppDtVutRef_gCm2d1,gppDtVutSe_gCm2d1,gppDtCutRef_gCm2d1,gppDtCutSe_gCm2d1
1996,-824.575152933014,-829.523580950571,588.34654164,586.72509714,NA,NA,1811.61397174614,22.0520047156465,1834.43209014868,22.6524506054287,2286.94966031251,62.5577843476976,2234.71175332387,81.4652705467917,2711.90843490378,59.100414522862,2661.81847671765,68.074511314661,2419.462167842,49.6295061130118,2383.46088003653,55.1351055966531
1997,3.42029917009525,6.41254366648846,196.47583488,201.90226914,NA,NA,1566.36234593521,14.7903854875886,1571.41366800375,13.9050757041559,1592.73548157697,30.2422705883774,1571.67519111145,21.7747763626481,1576.21346262946,25.7764167851008,1570.51569362004,24.2569668476575,1591.89493136366,17.4202180800003,1587.41643059215,13.2317583214677
1998,89.2437270370033,92.1357840667571,125.52142356,129.4993674,NA,NA,1868.41601497334,9.69828340432968,1871.07780200249,8.79914725903013,1839.09652673886,20.3069116035064,1825.17077767469,18.4176536230183,1787.56285149238,19.4313193619322,1768.61218279447,17.8134961282805,1766.49044308572,10.3711314579852,1764.3922577337,9.28160056900275
1999,28.586117802697,31.777068177286,154.53447048,158.33946024,NA,NA,1918.3087545733,12.4465740194206,1924.52204467418,11.6275863795497,1753.72544363563,36.0600647106983,1836.0005307738,33.1038165057482,1899.93753624287,25.5266864948822,1906.23618821908,23.9118538040663,1832.53915314353,19.2062912630762,1826.6921978578,17.5569146843722
2000,-75.5928552505104,-73.8501958993245,151.59425112,146.62182132,NA,NA,1822.93746822915,12.2080340939576,1813.84311118232,13.878906647259,1819.89502766792,18.5206599335413,1817.673715247,21.9445479192378,1909.68350680133,21.0276395604879,1915.85758600711,24.5602626040841,1864.08635318637,10.5725463750566,1867.56507101974,12.5115888583442
2001,-135.6990714987,-137.250766857882,118.2573522,112.80929868,NA,NA,1721.12288653082,8.67075863596069,1743.84271443789,9.65581378053241,1655.8023474812,20.1453432941597,1664.4137415665,22.2954018929831,1878.43493776939,18.6963067247167,1880.94523719523,21.4363594692225,1813.446572726,11.5127574548651,1815.53154094884,12.6214579728474
2002,-142.48302498379,-140.896130778162,121.80291084,126.06190506,NA,NA,1686.16191120373,9.4388554500163,1688.58359490427,9.31564290544144,1514.68528371405,17.8785024270406,1514.84403636159,18.5372930225829,1835.78401202564,18.8577800994391,1837.74607838743,19.1874303610453,1687.6547036816,10.0142382577464,1690.41299283942,10.3494184382048
2003,-76.1248066451238,-66.6313204256159,202.140081,212.71189914,NA,NA,1823.50990487631,11.0652465532105,1822.02017796626,11.3556663945409,1666.98145363968,21.7812639354034,1654.64162977714,21.7554762905288,1888.97349448331,20.2109453445552,1884.71363713597,21.1304042674569,1807.03703245207,12.2922741053324,1803.32410286273,12.1088816823089
2004,-185.601979733812,-195.917900839197,248.05938924,260.42560596,NA,NA,2038.80373674147,16.0676066809241,2041.3467292879,16.1592251093271,1758.27493784123,27.789697190711,1760.74938769127,29.4695905664325,2196.04095788398,25.0021332100031,2217.60393123256,25.5629863975706,2040.82468021764,14.6471586576503,2027.24144080903,16.3991466714043
2005,-163.905185658964,-163.174824448949,207.39356118,210.85264278,NA,NA,1836.55718510172,7.99248798755526,1828.80403614003,9.25648373083517,1555.64030362146,23.7532310385358,1545.8017025114,26.3122180860595,1997.86936048172,19.7460453638728,1995.65458518454,22.7674897303326,1897.04192855017,13.9916140146514,1926.70684542946,15.5776060540875
2006,-87.9267473450128,-85.7917252435189,121.84614936,115.90085286,NA,NA,1819.43575308091,12.9796154171275,1812.51492584759,14.6470780301636,1790.17497224963,20.1791997843212,1787.60071980982,24.1592217453785,1921.99243609275,22.0504142660094,1887.25812923752,25.2298214268842,1893.84654532295,11.0857708733851,1892.15339328309,13.3532637870991
2007,-221.958511864638,-218.867221926108,144.78418422,131.42348154,NA,NA,1886.48128395717,15.1818796744622,1870.94309743072,15.4517997532211,1809.55329903148,24.8991853939985,1780.0506221377,27.6416977396045,2104.87500210838,23.0322392987583,2096.15291991971,24.2329923803709,2033.11509529715,12.9006307453744,2038.23289291491,14.6064302507484
2008,-307.70054146787,-306.777889127148,105.5019888,93.24386838,NA,NA,1774.384191759,10.1508527176629,1770.13354268146,10.4533146225822,1635.78761041344,25.5011197610543,1633.50369092883,26.3626761419817,2079.10474259947,19.7150536025674,2084.87567274131,20.8459215009084,1971.74046977021,14.7924621257949,1976.32261122032,15.2089562497807
2009,-320.681237936852,-318.861130625303,101.32947162,90.30364902,NA,NA,1749.40567186019,9.49576576111395,1736.80515515603,9.90042717121893,1717.9252430532,20.4574736840262,1718.82422413775,21.2490498438647,2057.38806556534,19.4595032694573,2058.7329772459,20.2358137954614,2007.94681671078,11.5081652340637,2017.21991098966,11.7741199751883
2010,-241.692252470266,-237.764976736519,137.45525508,125.26199244,NA,NA,1672.0045997158,15.1088580275769,1643.20950548462,14.8027076650328,1616.58255028285,27.2494406889869,1612.68266686712,25.0014492561323,1883.61233449835,27.437348564237,1887.06037287225,25.381664153067,1862.87822425056,16.0154932570415,1869.08373803333,13.727917884267
2011,-289.72911856188,-289.059257937777,155.18304828,153.86427342,NA,NA,1759.75897648616,14.0515330778829,1750.41281271889,12.0575790277587,1726.46193492037,23.136643281058,1740.31750801792,20.0473436327906,2044.72666511192,26.731628903298,2037.42430238881,22.6921083017977,2017.824436391,13.1497777509313,2023.10872823225,11.2100966251138
2012,-312.417442914408,-312.417442914408,148.97832066,148.97832066,NA,NA,1723.46531210009,18.8409863857815,1719.37046358175,13.2493836391883,1745.14036382179,28.0423860960098,1774.21465615963,22.7115667437848,2030.09462708167,31.7260436547888,2029.09102670108,24.6079704217917,2063.46943241224,16.6764772790681,2070.61586488221,13.6560215193195
