year	CO2_ppm
1950	310.750
1951	311.100
1952	311.500
1953	311.925
1954	312.425
1955	313.000
1956	313.600
1957	314.225
1958	314.848
1959	315.500
1960	316.273
1961	317.075
1962	317.795
1963	318.398
1964	318.925
1965	319.648
1966	320.648
1967	321.605
1968	322.635
1969	323.903
1970	324.985
1971	325.855
1972	327.140
1973	328.678
1974	329.743
1975	330.585
1976	331.748
1977	333.273
1978	334.848
1979	336.525
1980	338.360
1981	339.728
1982	340.793
1983	342.198
1984	343.783
1985	345.283
1986	346.798
1987	348.645
1988	350.738
1989	352.488
1990	353.855
1991	355.018
1992	355.885
1993	356.778
1994	358.128
1995	359.838
1996	361.463
1997	363.155
1998	365.323
1999	367.348
2000	368.865
2001	370.468
2002	372.523
2003	374.760
2004	376.813
2005	378.813
2006	380.828
2007	382.778
2008	384.800
2009	387.012
2010	389.324
2011	391.638
2012	394.009
2013	396.464
2014	399.004
2015	401.628
2016	404.328
2017	407.096
2018	409.927
2019	412.822
2020	415.780
2021	418.796
2022	421.864
2023	424.995
2024	428.197
2025	431.475
2026	434.826
2027	438.245
2028	441.721
2029	445.251
2030	448.835
2031	452.474
2032	456.177
2033	459.964
2034	463.852
2035	467.850
2036	471.960
2037	476.182
2038	480.508
2039	484.927
2040	489.435
2041	494.032
2042	498.730
2043	503.530
2044	508.433
2045	513.456
2046	518.611
2047	523.900
2048	529.324
2049	534.875
2050	540.543
2051	546.322
2052	552.212
2053	558.212
2054	564.313
2055	570.517
2056	576.843
2057	583.305
2058	589.905
2059	596.647
2060	603.520
2061	610.517
2062	617.605
2063	624.764
2064	631.995
2065	639.291
2066	646.653
2067	654.098
2068	661.645
2069	669.305
2070	677.078
2071	684.954
2072	692.902
2073	700.894
2074	708.932
2075	717.015
2076	725.136
2077	733.307
2078	741.524
2079	749.805
2080	758.182
2081	766.645
2082	775.174
2083	783.751
2084	792.366
2085	801.019
2086	809.715
2087	818.422
2088	827.157
2089	835.956
2090	844.805
2091	853.725
2092	862.726
2093	871.777
2094	880.864
2095	889.982
2096	899.124
2097	908.289
2098	917.471
2099	926.665
