Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	0.60379	-2.1984	0.57226	-6.6026	86.96	-9999	0	-9999	-9999	-9999	3.4846
1901	1	2	0.62116	-6.0679	-4.4834	-7.5183	86.529	-9999	0	-9999	-9999	-9999	2.0876
1901	1	3	0.67496	-6.6213	-4.6851	-8.8317	89.272	-9999	0	-9999	-9999	-9999	3.4087
1901	1	4	0.50277	-7.111	-5.3281	-9.8337	84.756	-9999	0	-9999	-9999	-9999	5.6182
1901	1	5	0.49251	-2.2833	2.2132	-6.2031	95.071	-9999	2.1957	-9999	-9999	-9999	9.9906
1901	1	6	0.41333	1.4564	2.4557	0.20114	94.949	-9999	5.2988	-9999	-9999	-9999	5.5341
1901	1	7	0.52147	-0.73246	1.1862	-4.9537	85.718	-9999	5.6613	-9999	-9999	-9999	8.3244
1901	1	8	0.65882	-4.8507	0.088373	-7.1893	93.767	-9999	1.762	-9999	-9999	-9999	4.7029
1901	1	9	0.47982	2.1896	3.4573	-0.2396	94.59	-9999	4.8552	-9999	-9999	-9999	6.8442
1901	1	10	0.54355	1.1884	2.6968	-2.0115	91.593	-9999	1.3923	-9999	-9999	-9999	5.4186
1901	1	11	0.43763	-0.34159	1.5036	-2.2798	95.373	-9999	0	-9999	-9999	-9999	8.3908
1901	1	12	0.59076	1.9134	3.5078	-1.2569	94.989	-9999	0.26843	-9999	-9999	-9999	5.1535
1901	1	13	0.62645	-0.41053	1.5468	-2.7916	98.233	-9999	0	-9999	-9999	-9999	3.5849
1901	1	14	0.75615	-0.91385	0.69042	-3.3744	98.162	-9999	0	-9999	-9999	-9999	2.24
1901	1	15	0.7812	-0.59415	1.1817	-3.6932	98.481	-9999	0	-9999	-9999	-9999	3.5335
1901	1	16	0.62635	3.209	4.6378	0.36935	96.805	-9999	0	-9999	-9999	-9999	5.6587
1901	1	17	0.93484	3.1086	4.2826	0.51501	89.59	-9999	0	-9999	-9999	-9999	8.9589
1901	1	18	1.1625	1.0368	2.0034	0.45837	90.036	-9999	3.3404	-9999	-9999	-9999	10.484
1901	1	19	1.0195	-0.18461	2.2911	-1.6357	94.699	-9999	1.4927	-9999	-9999	-9999	10.759
1901	1	20	1.2298	-0.34086	0.7687	-1.5707	94.045	-9999	0	-9999	-9999	-9999	6.1276
1901	1	21	1.3601	-1.1064	-0.056372	-2.1863	96.127	-9999	0	-9999	-9999	-9999	4.7476
1901	1	22	1.1642	-2.0329	-1.488	-2.9141	93.23	-9999	0	-9999	-9999	-9999	8.0519
1901	1	23	1.726	-1.7647	-0.78159	-2.8832	92.774	-9999	0	-9999	-9999	-9999	6.3403
1901	1	24	1.6943	-2.9371	-1.9377	-3.751	91.727	-9999	0	-9999	-9999	-9999	4.0291
1901	1	25	1.8476	-3.0824	-1.2251	-4.2422	88.699	-9999	0	-9999	-9999	-9999	4.0483
