Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1901	1	1	2.1535	-3.7965	-2.4438	-4.6036	83.395	-9999	0.70838	-9999	-9999	-9999	6.3014
1901	1	2	2.3312	-5.0605	-3.6514	-5.7133	78.311	-9999	0	-9999	-9999	-9999	6.6131
1901	1	3	1.9216	-4.5795	-2.8461	-5.3849	79.524	-9999	0	-9999	-9999	-9999	3.4718
1901	1	4	2.0968	-3.8615	-0.74821	-6.3842	83.638	-9999	0	-9999	-9999	-9999	3.4057
1901	1	5	2.2014	-1.7971	1.3921	-3.3835	86.618	-9999	0.011446	-9999	-9999	-9999	3.0008
1901	1	6	2.3516	-1.6409	-0.088751	-3.0428	72.584	-9999	0	-9999	-9999	-9999	7.3692
1901	1	7	2.1696	-1.5812	-0.093359	-3.1347	71.505	-9999	0	-9999	-9999	-9999	8.2689
1901	1	8	1.429	-2.2511	-1.2411	-3.0932	79.606	-9999	0.15876	-9999	-9999	-9999	9.8576
1901	1	9	1.578	-2.1469	-0.044562	-4.4298	85.811	-9999	0.51014	-9999	-9999	-9999	7.7617
1901	1	10	0.95127	-0.061438	1.0368	-1.139	89.755	-9999	0.17643	-9999	-9999	-9999	4.6013
1901	1	11	1.7494	0.49246	3.5217	-0.91462	89.036	-9999	0.00051352	-9999	-9999	-9999	2.7272
1901	1	12	1.8933	0.1015	2.8126	-0.8054	90.114	-9999	0	-9999	-9999	-9999	3.0275
1901	1	13	2.6226	-1.5066	0.90698	-3.2378	84.373	-9999	0	-9999	-9999	-9999	2.2165
1901	1	14	2.3295	-2.5194	0.33373	-4.5862	83.129	-9999	0	-9999	-9999	-9999	1.8331
1901	1	15	2.4341	-2.1822	0.60647	-4.8174	77.72	-9999	0	-9999	-9999	-9999	3.9776
1901	1	16	1.8209	-1.1795	1	-3.031	66.019	-9999	0	-9999	-9999	-9999	5.7381
1901	1	17	1.9729	-0.82502	1.0687	-2.6688	72.331	-9999	0	-9999	-9999	-9999	5.4703
1901	1	18	1.9875	-0.6988	2.0746	-3.7332	83.151	-9999	0.14824	-9999	-9999	-9999	4.2248
1901	1	19	2.1013	1.0127	2.4836	-0.089301	88.278	-9999	0.58657	-9999	-9999	-9999	6.3525
1901	1	20	1.6917	2.1855	4.9602	-0.73102	91.022	-9999	6.0774	-9999	-9999	-9999	9.8302
1901	1	21	1.6567	2.5762	3.1102	1.5952	83.487	-9999	6.123	-9999	-9999	-9999	11.64
1901	1	22	1.514	3.8686	7.8551	0.79473	88.781	-9999	3.1917	-9999	-9999	-9999	10.708
1901	1	23	3.354	1.9495	3.4313	0.57174	80.999	-9999	0.042874	-9999	-9999	-9999	10.505
1901	1	24	2.613	1.6491	2.7109	-0.80652	87.025	-9999	3.7907e-05	-9999	-9999	-9999	5.4253
1901	1	25	2.0416	1.4677	5.1114	-1.315	89.427	-9999	2.8758	-9999	-9999	-9999	8.9371
1901	1	26	3.5988	0.15884	0.86352	-0.67658	80.41	-9999	4.027	-9999	-9999	-9999	10.906
1901	1	27	2.3945	-0.22675	0.53466	-1.1434	83.022	-9999	2.3975	-9999	-9999	-9999	9.1272
1901	1	28	3.2512	-2.039	0.40338	-3.9288	89.851	-9999	2.9489	-9999	-9999	-9999	8.4303
1901	1	29	3.495	-2.2071	-0.79062	-3.9963	90.826	-9999	4.0583	-9999	-9999	-9999	5.0202
1901	1	30	3.8376	-2.9928	-0.79447	-7.2102	93.007	-9999	3.5329	-9999	-9999	-9999	4.8823
1901	1	31	3.2661	-3.3083	-0.39222	-9.878	95.791	-9999	6.9239	-9999	-9999	-9999	4.4045
1901	2	1	3.2328	-2.0686	-0.82383	-3.2716	93.24	-9999	0.98755	-9999	-9999	-9999	8.1099
1901	2	2	3.7022	-1.7597	1.4319	-7.1434	95.345	-9999	0.63392	-9999	-9999	-9999	5.0022
1901	2	3	4.0826	-3.8119	-1.0186	-7.549	94.378	-9999	0.20964	-9999	-9999	-9999	2.6398
1901	2	4	1.6839	-2.1796	1.4298	-5.4063	96.536	-9999	0.96239	-9999	-9999	-9999	5.703
1901	2	5	2.448	-0.57398	0.2228	-1.3862	92.138	-9999	1.3516	-9999	-9999	-9999	4.3834
1901	2	6	2.5363	-0.061499	0.98379	-1.7802	91.395	-9999	1.9952	-9999	-9999	-9999	6.2198
1901	2	7	5.1003	-1.1015	0.97112	-3.3564	87.357	-9999	0.28841	-9999	-9999	-9999	5.8697
1901	2	8	3.9946	-0.16117	0.49349	-0.76868	88.963	-9999	0.33581	-9999	-9999	-9999	7.1917
1901	2	9	4.9237	-0.14057	1.5336	-2.1339	90.811	-9999	0.81085	-9999	-9999	-9999	6.4051
1901	2	10	4.5819	-2.8087	-1.6404	-5.1517	80.682	-9999	0.55352	-9999	-9999	-9999	8.2888
1901	2	11	5.4198	-1.8864	1.9024	-4.1439	76.873	-9999	0.3761	-9999	-9999	-9999	7.2275
1901	2	12	5.7168	-4.1316	-0.3325	-7.2923	74.562	-9999	0.66676	-9999	-9999	-9999	4.051
1901	2	13	5.787	-6.3399	-4.8029	-7.8296	86.997	-9999	0.62744	-9999	-9999	-9999	6.2531
1901	2	14	5.0954	-6.568	-5.3553	-7.2802	89.578	-9999	1.2957	-9999	-9999	-9999	5.5044
1901	2	15	6.0441	-5.604	-3.1361	-8.1388	77.898	-9999	0.29647	-9999	-9999	-9999	5.3515
1901	2	16	5.3687	-3.4412	-1.8484	-5.2681	97.04	-9999	1.6944	-9999	-9999	-9999	5.671
1901	2	17	6.4865	-3.9111	-2.1812	-6.337	81.688	-9999	0.069384	-9999	-9999	-9999	5.7249
1901	2	18	5.8782	-3.4588	-1.7311	-5.7824	83.339	-9999	0.018303	-9999	-9999	-9999	4.4029
1901	2	19	6.0157	-3.1421	-0.53022	-6.1815	88.061	-9999	0.35812	-9999	-9999	-9999	3.5487
1901	2	20	5.7539	-3.4111	0.34017	-6.7652	90.859	-9999	0.44329	-9999	-9999	-9999	2.686
1901	2	21	7.5119	-3.1996	-0.21592	-4.471	82.883	-9999	0.17633	-9999	-9999	-9999	3.3832
1901	2	22	4.855	-0.45978	3.0401	-4.3071	88.113	-9999	0.31196	-9999	-9999	-9999	5.538
1901	2	23	3.764	0.42901	2.9587	-3.8812	84.045	-9999	1.8362	-9999	-9999	-9999	11.213
1901	2	24	6.9968	-1.422	1.9911	-5.0453	78.302	-9999	1.2449	-9999	-9999	-9999	9.258
1901	2	25	8.6514	-3.8249	-1.6878	-6.1462	61.332	-9999	0	-9999	-9999	-9999	4.4544
1901	2	26	3.7979	-2.2394	2.2232	-6.732	90.654	-9999	0.24094	-9999	-9999	-9999	5.2026
1901	2	27	1.8683	1.0202	2.5467	-0.68073	93.962	-9999	4.4331	-9999	-9999	-9999	7.9259
1901	2	28	2.3339	1.8579	3.8285	0.42275	95.79	-9999	2.0176	-9999	-9999	-9999	6.1843
1901	3	1	5.6242	1.5784	2.7588	0.80529	94.474	-9999	1.1373	-9999	-9999	-9999	6.3112
1901	3	2	2.1978	2.125	3.6261	1.1186	95.963	-9999	6.2327	-9999	-9999	-9999	6.856
1901	3	3	2.8195	3.2707	3.6908	2.8121	95.941	-9999	16.729	-9999	-9999	-9999	7.6772
1901	3	4	7.0538	2.9421	4.4888	1.5923	87.635	-9999	0.5967	-9999	-9999	-9999	5.0421
1901	3	5	2.9656	2.6092	3.6574	1.3829	88.968	-9999	2.275	-9999	-9999	-9999	8.0668
1901	3	6	8.7798	1.9993	3.4076	0.79958	87.396	-9999	6.8774	-9999	-9999	-9999	8.4128
1901	3	7	2.0165	1.979	3.0149	0.32049	90.605	-9999	6.7795	-9999	-9999	-9999	7.9592
1901	3	8	8.9601	0.47881	2.8857	-1.9526	87.409	-9999	0	-9999	-9999	-9999	3.5427
1901	3	9	10.049	0.83288	2.9649	-1.1293	89.817	-9999	0	-9999	-9999	-9999	2.842
1901	3	10	8.0447	1.2116	2.8335	0.17428	86.267	-9999	0	-9999	-9999	-9999	4.4433
1901	3	11	9.3689	0.57061	3.8714	-1.9483	85.455	-9999	0	-9999	-9999	-9999	2.5531
1901	3	12	7.6934	1.2713	3.9742	-1.0998	90.342	-9999	0.22108	-9999	-9999	-9999	3.0673
1901	3	13	7.4729	0.70556	3.7163	-1.363	84.028	-9999	0	-9999	-9999	-9999	2.4762
1901	3	14	9.3739	3.0673	5.7549	0.80932	84.555	-9999	0.29859	-9999	-9999	-9999	6.4763
1901	3	15	4.0145	4.0384	5.1836	3.1686	91.141	-9999	4.9448	-9999	-9999	-9999	7.6728
1901	3	16	10.044	4.641	5.7843	3.6859	89.688	-9999	0.25129	-9999	-9999	-9999	4.4355
1901	3	17	7.3529	4.1792	6.6623	1.6943	92.361	-9999	0.69165	-9999	-9999	-9999	1.9004
1901	3	18	1.6569	3.3679	4.4029	2.1859	95.729	-9999	2.4619	-9999	-9999	-9999	3.6635
1901	3	19	5.9562	0.86453	2.6876	-0.74033	83.924	-9999	1.3623	-9999	-9999	-9999	8.7562
1901	3	20	9.032	1.4511	4.3851	-0.3873	70.345	-9999	0	-9999	-9999	-9999	9.3587
1901	3	21	10.806	0.36266	2.4516	-1.4366	69.845	-9999	0.0012802	-9999	-9999	-9999	9.5647
1901	3	22	12.836	-0.25452	2.0812	-2.3101	66.784	-9999	0	-9999	-9999	-9999	6.3643
1901	3	23	13.649	-0.038489	2.8884	-2.749	72.847	-9999	0	-9999	-9999	-9999	2.6746
1901	3	24	13.396	1.8799	5.347	-1.1056	71.149	-9999	0	-9999	-9999	-9999	5.3612
1901	3	25	13.473	0.87295	4.0567	-2.6786	79.128	-9999	1.9066	-9999	-9999	-9999	4.5138
1901	3	26	15.7	-3.1041	-1.5079	-4.8899	73.916	-9999	1.5278	-9999	-9999	-9999	3.843
1901	3	27	15.745	-1.8741	0.55975	-3.9564	62.027	-9999	0.038916	-9999	-9999	-9999	4.9512
1901	3	28	11.625	-0.76575	-0.0038208	-1.642	84.782	-9999	7.7384	-9999	-9999	-9999	5.4794
1901	3	29	14.875	-1.2434	0.38827	-3.7668	89.101	-9999	0.58208	-9999	-9999	-9999	3.6805
1901	3	30	12.594	0.19293	2.5926	-1.9677	79.244	-9999	0.37889	-9999	-9999	-9999	7.0841
1901	3	31	7.2529	4.188	6.1827	1.5612	82.797	-9999	6.7399	-9999	-9999	-9999	9.9029
1901	4	1	3.1661	6.2504	8.1779	4.7013	87.72	-9999	3.2204	-9999	-9999	-9999	8.1052
1901	4	2	16.672	5.5897	9.1297	3.1781	75.062	-9999	0.003522	-9999	-9999	-9999	5.8211
1901	4	3	0.55028	7.9502	11.271	4.4402	88.294	-9999	4.3734	-9999	-9999	-9999	10.177
1901	4	4	2.7364	6.9657	10.198	1.7921	91.849	-9999	8.0199	-9999	-9999	-9999	12.475
1901	4	5	16.33	3.7456	5.5857	0.59704	67.335	-9999	0.58976	-9999	-9999	-9999	12.06
1901	4	6	16.169	3.9527	7.8038	0.53704	74.86	-9999	0.038791	-9999	-9999	-9999	6.6288
1901	4	7	9.165	4.28	6.5958	2.8446	91.187	-9999	1.9617	-9999	-9999	-9999	3.5269
1901	4	8	8.3131	7.277	12.626	2.5141	89.817	-9999	2.3567	-9999	-9999	-9999	6.7689
1901	4	9	12.79	8.8144	10.412	5.8499	83.193	-9999	1.4612	-9999	-9999	-9999	7.2902
1901	4	10	14.732	8.1927	11.242	5.492	86.541	-9999	1.7445	-9999	-9999	-9999	4.1871
1901	4	11	13.145	6.8679	9.8266	4.5619	87.39	-9999	1.4824	-9999	-9999	-9999	5.5985
1901	4	12	4.5034	7.1838	8.3137	5.693	87.241	-9999	0.93875	-9999	-9999	-9999	5.9086
1901	4	13	9.4363	5.5732	9.2396	4.0671	86.065	-9999	1.7362	-9999	-9999	-9999	6.7877
1901	4	14	12.969	5.0991	8.6479	3.1605	88.284	-9999	2.9097	-9999	-9999	-9999	5.2383
1901	4	15	2.9035	4.26	5.4044	3.1063	92.164	-9999	6.1995	-9999	-9999	-9999	6.6496
1901	4	16	14.863	5.3922	9.2034	3.2872	88.369	-9999	0.69712	-9999	-9999	-9999	2.7068
1901	4	17	7.2791	4.1709	6.0656	2.2734	90.345	-9999	0.70184	-9999	-9999	-9999	4.4226
1901	4	18	19.307	4.2287	8.7438	0.67248	84.427	-9999	0.28563	-9999	-9999	-9999	5.9526
1901	4	19	4.9579	6.6425	10.769	3.6894	84.266	-9999	0.10909	-9999	-9999	-9999	5.6503
1901	4	20	19.936	6.6338	11.15	2.9062	81.88	-9999	0	-9999	-9999	-9999	1.3747
1901	4	21	12.7	6.3878	9.0473	2.5488	83.961	-9999	1.6289e-06	-9999	-9999	-9999	3.7195
1901	4	22	15.872	5.5162	9.335	2.3796	75.908	-9999	0	-9999	-9999	-9999	6.5927
1901	4	23	17.799	6.4682	9.6381	4.6922	68.227	-9999	0	-9999	-9999	-9999	6.2772
1901	4	24	20.764	7.1262	12.569	1.6513	73.644	-9999	0	-9999	-9999	-9999	4.7239
1901	4	25	17.381	5.2571	8.9752	2.3255	72.312	-9999	0	-9999	-9999	-9999	6.4288
1901	4	26	4.9995	4.3314	5.9271	2.0699	86.009	-9999	1.8572	-9999	-9999	-9999	6.8577
1901	4	27	17.475	6.3196	9.5625	2.697	91.328	-9999	0.78077	-9999	-9999	-9999	7.4625
1901	4	28	2.8669	7.7162	8.6729	6.7748	94.964	-9999	8.1332	-9999	-9999	-9999	9.1348
1901	4	29	4.9143	8.3991	9.2055	7.0683	90.399	-9999	8.408	-9999	-9999	-9999	7.8495
1901	4	30	18.181	9.4076	13.327	5.0944	91.689	-9999	4.1142	-9999	-9999	-9999	3.3956
1901	5	1	17.764	9.3817	12.321	7.0384	92.53	-9999	3.3823	-9999	-9999	-9999	2.8143
1901	5	2	4.6772	7.9449	11.082	5.1356	88.683	-9999	21.145	-9999	-9999	-9999	4.6889
1901	5	3	23.185	5.4605	9.6858	0.69628	69.576	-9999	0	-9999	-9999	-9999	3.3358
1901	5	4	24.002	6.8502	12.281	1.2378	68.859	-9999	0	-9999	-9999	-9999	1.7454
1901	5	5	23.889	7.762	11.431	4.1478	71.399	-9999	0	-9999	-9999	-9999	3.142
